H	"Florida Gas Transmission Company, LLC"	C000255	4/2/2018	O	4/1/2018	B	B	Iain Russell (713) 989-2615				
P	MQ	Sanford-FPL                             	95	16526	M                   	375000	 	 	 	 	 	
P	MQ	Turkey Point North-FPL                  	95	78446	M                   	218000	 	 	 	 	 	
D	"PIVOTAL UTILITY HOLDINGS, INC.          "	56711344	N 	FTS-2   	3608	3/1/1995	2/28/2025	0	N	2570	 	
A	"SEQUENT ENERGY MANAGEMENT, L.P.         "	N 	 	 	 	 	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	929	 	 	 	 	 	
P	M2	Egan Hub (Rec)                          	95	78299	W                   	420	 	 	 	 	 	
P	M2	TRANSCO St Helena                       	95	10114	W                   	1221	 	 	 	 	 	
P	MQ	Indian River-City Gas                   	95	60606	M                   	345	 	 	 	 	 	
P	MQ	Lake Forest-City Gas                    	95	16114	M                   	50	 	 	 	 	 	
P	MQ	Melbourne-City Gas                      	95	16180	M                   	100	 	 	 	 	 	
P	MQ	NW Hialeah-City Gas                     	95	16117	M                   	1725	 	 	 	 	 	
P	MQ	Opa Locka-City Gas                      	95	16116	M                   	175	 	 	 	 	 	
P	MQ	SE Hialeah-City Gas                     	95	16118	M                   	175	 	 	 	 	 	
D	"CUTRALE CITRUS JUICES USA, INC.         "	958547432	N 	FTS-2   	3612	3/1/1995	6/30/2026	0	N	3415	 	
A	BP ENERGY COMPANY                       	N 	 	 	 	 	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	387	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	550	 	 	 	 	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	857	 	 	 	 	 	
P	M2	SNG High Point-TOCA                     	95	100016	W                   	220	 	 	 	 	 	
P	M2	SNG TX Gas-Kosciusko                    	95	78512	W                   	648	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	753	 	 	 	 	 	
P	MQ	Auburndale-Cutrale                      	95	16264	M                   	3415	 	 	 	 	 	
D	"LAKELAND, CITY OF                       "	959116302	N 	FTS-2   	3620	3/1/1995	2/28/2027	0	N	14136	 	X7
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	990	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	1482	 	 	 	 	 	
P	M2	SNG High Point-TOCA                     	95	100016	W                   	4232	 	 	 	 	 	
P	M2	Tejas Calhoun Co ITE                    	95	71444	W                   	4404	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	3028	 	 	 	 	 	
P	MQ	Lakeland Generating                     	95	16280	M                   	11350	 	 	 	 	 	
P	MQ	Lakeland McIntosh                       	95	55687	M                   	14136	 	 	 	 	 	
D	FLORIDA POWER & LIGHT COMPANY           	6922371	N 	FTS-2   	3623	3/1/1995	2/28/2025	0	N	200000	 	X4/X7
D	FLORIDA POWER & LIGHT COMPANY           	6922371	N 	FTS-2   	3623-5936	10/1/2000	4/30/2021	0	N	214000	 	X4/X7
D	FLORIDA POWER & LIGHT COMPANY           	6922371	N 	FTS-2   	3623-6003	4/1/2002	3/31/2022	0	N	145000	 	X4/X7
P	M2	ANR St Landry Parish                    	95	78303	W                   	11321	 	 	 	 	 	
P	M2	Burns Pt                                	95	100008	W                   	10000	 	 	 	 	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	60000	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	25337	 	 	 	 	 	
P	M2	Enbridge-Orange Co                      	95	78499	W                   	4867	 	 	 	 	 	
P	M2	Frisco Acadian                          	95	78533	W                   	40000	 	 	 	 	 	
P	M2	GSPL Merrill                            	95	100037	W                   	86616	 	 	 	 	 	
P	M2	GSPL Mobile Bay-FGT Capacity            	95	78176	W                   	87012	 	 	 	 	 	
P	M2	GSPL Mobile Bay-Gulf South Capacity     	95	78306	W                   	40000	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	47854	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	19493	 	 	 	 	 	
P	M2	SNG Columbia-Shadyside                  	95	960550	W                   	10772	 	 	 	 	 	
P	M2	SNG High Point-TOCA                     	95	100016	W                   	3306	 	 	 	 	 	
P	M2	SNG TENN TOCA                           	95	503802	W                   	25000	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	11530	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	61342	 	 	 	 	 	
P	M2	Tres Palacios Storage (Rec)             	95	78475	W                   	14550	 	 	 	 	 	
P	MQ	Cape Canaveral-FPL                      	95	100019	M                   	192000	 	 	 	 	 	
P	MQ	Ft Myers-FPL                            	95	78083	M                   	334000	 	 	 	 	 	
P	MQ	Lauderdale A-FPL                        	95	53371	M                   	200000	 	 	 	 	 	
P	MQ	Lauderdale B-FPL                        	95	53369	M                   	200000	 	 	 	 	 	
P	MQ	Manatee-FPL                             	95	78518	M                   	250000	 	 	 	 	 	
P	MQ	Martin-FPL                              	95	78522	M                   	620000	 	 	 	 	 	
P	MQ	Port Everglades Energy Center M&R-FPL   	95	100041	M                   	217000	 	 	 	 	 	
P	MQ	Putnam-FPL                              	95	16525	M                   	120000	 	 	 	 	 	
P	MQ	Riviera East-FPL                        	95	16481	M                   	200000	 	 	 	 	 	
P	MQ	Riviera West-FPL                        	95	100030	M                   	200000	 	 	 	 	 	
P	MQ	Sanford-FPL                             	95	16526	M                   	375000	 	 	 	 	 	
P	MQ	Turkey Point North-FPL                  	95	78446	M                   	218000	 	 	 	 	 	
D	FLORIDA PUBLIC UTILITIES COMPANY        	6924427	N 	FTS-2   	3624	3/1/1995	2/28/2025	0	N	11564	 	X4
D	FLORIDA PUBLIC UTILITIES COMPANY        	6924427	N 	FTS-2   	3624-102048	6/1/2003	5/31/2023	0	N	600	 	X4
D	FLORIDA PUBLIC UTILITIES COMPANY        	6924427	N 	FTS-2   	3624-107033	11/1/2007	2/28/2026	0	N	822	 	X4
D	FLORIDA PUBLIC UTILITIES COMPANY        	6924427	N 	FTS-2   	3624-107034	11/1/2007	3/31/2022	0	N	115	 	X4
D	FLORIDA PUBLIC UTILITIES COMPANY        	6924427	N 	FTS-2   	3624-107035	11/1/2007	2/28/2026	0	N	285	 	X4
D	FLORIDA PUBLIC UTILITIES COMPANY        	6924427	N 	FTS-2   	3624-118690	11/1/2015	2/28/2025	0	N	0	 	X4/X6
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	175	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	528	 	 	 	 	 	
P	M2	Frisco Acadian                          	95	78533	W                   	600	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	2600	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	2841	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	685	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	200	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	5257	 	 	 	 	 	
P	M2	Tres Palacios Storage (Rec)             	95	78475	W                   	500	 	 	 	 	 	
P	MQ	Bartow B-CUC                            	95	60923	M                   	1000	 	 	 	 	 	
P	MQ	Boca Raton-FPU                          	95	16109	M                   	1749	 	 	 	 	 	
P	MQ	Boynton CTG-FPU                         	95	78329	M                   	656	 	 	 	 	 	
P	MQ	Deland South-FPU                        	95	62992	M                   	1087	 	 	 	 	 	
P	MQ	Deland-FPU                              	95	16158	M                   	880	 	 	 	 	 	
P	MQ	Lake Worth South-FPU                    	95	16106	M                   	1020	 	 	 	 	 	
P	MQ	Lake Worth-FPU                          	95	16107	M                   	616	 	 	 	 	 	
P	MQ	New Smyrna-FPU                          	95	16160	M                   	300	 	 	 	 	 	
P	MQ	Pioneer Gate-NUI                        	95	78282	M                   	300	 	 	 	 	 	
P	MQ	Riviera Beach North-FPU                 	95	100034	M                   	842	 	 	 	 	 	
P	MQ	Sanford W-FPU                           	95	16157	M                   	942	 	 	 	 	 	
P	MQ	Sanford-FPU                             	95	16156	M                   	1966	 	 	 	 	 	
P	MQ	W Palm Beach W-FPU                      	95	16104	M                   	590	 	 	 	 	 	
P	MQ	W Palm Beach-FPU                        	95	16105	M                   	1438	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-2   	3630	3/1/1995	5/31/2023	0	N	79954	 	X5/X7
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	14928	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	26899	 	 	 	 	 	
P	M2	Enbridge-Orange Co                      	95	78499	W                   	2350	 	 	 	 	 	
P	M2	Frisco Acadian                          	95	78533	W                   	1335	 	 	 	 	 	
P	M2	LRC White Castle                        	95	664000	W                   	327	 	 	 	 	 	
P	M2	SNG Cypress                             	95	78454	M                   	10000	 	 	 	 	 	
P	M2	SNG High Point-TOCA                     	95	100016	W                   	2969	 	 	 	 	 	
P	M2	SNG Koch-Shadyside                      	95	930300	W                   	37	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	2519	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	13729	 	 	 	 	 	
P	M2	TRANSCO St Helena                       	95	10114	W                   	49	 	 	 	 	 	
P	M2	TX Gas Eunice                           	95	10178	W                   	4812	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-2   	3630-5934	5/1/2001	4/30/2021	0	N	12500	 	X5
P	MQ	Kissimmee Cane Island                   	95	61237	M                   	12500	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-2   	3630-5938	5/1/2001	4/30/2021	0	N	10000	 	X5
P	MQ	Kissimmee Cane Island                   	95	61237	M                   	10000	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-2   	3630-6096	10/1/2000	2/28/2025	0	N	1781	 	X5
P	MQ	Clearwater East                         	95	16204	M                   	614	 	 	 	 	 	
P	MQ	Clearwater North                        	95	16205	M                   	461	 	 	 	 	 	
P	MQ	Clearwater South                        	95	16206	M                   	456	 	 	 	 	 	
P	MQ	Clearwater Trinity                      	95	78137	M                   	250	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-2   	3630-101949	6/1/2003	5/31/2023	0	N	500	 	X5
P	MQ	Leesburg                                	95	16164	M                   	500	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-2   	3630-107324	3/1/1995	2/28/2026	0	N	6000	 	X5
P	MQ	Treasure Coast Energy Center            	95	78443	M                   	6000	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-2   	3630-107346	3/1/1995	4/30/2021	0	N	23484	 	X5
P	MQ	Kissimmee Cane Island                   	95	61237	M                   	23484	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-2   	3630-107696	11/1/2016	4/30/2028	0	N	10000	 	X5/X7
P	MQ	Oleander Power Ct                       	95	78277	M                   	10000	 	 	 	 	 	
P	MQ	Stanton-OUC                             	95	78384	M                   	10000	 	 	 	 	 	
P	MQ	Treasure Coast Energy Center            	95	78443	M                   	10000	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-2   	3630-107895	6/1/2008	2/28/2025	0	N	289	 	X5
P	MQ	Treasure Coast Energy Center            	95	78443	M                   	289	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-2   	3630-108031	8/1/2008	2/28/2025	0	N	400	 	X5
P	MQ	Treasure Coast Energy Center            	95	78443	M                   	400	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-2   	3630-111700	11/1/2016	5/31/2023	0	N	15000	 	X5/X7
P	MQ	Indian River Ctg-Reliant                	95	78037	M                   	15000	 	 	 	 	 	
P	MQ	Reliant Holopaw                         	95	78155	M                   	15000	 	 	 	 	 	
D	REEDY CREEK IMPROVEMENT DISTRICT        	91306597	N 	FTS-2   	3631	3/1/1995	2/28/2025	0	N	1535	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	914	 	 	 	 	 	
P	M2	Frisco Acadian                          	95	78533	W                   	450	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	171	 	 	 	 	 	
P	MQ	Reedy Creek Resid                       	95	16174	M                   	685	 	 	 	 	 	
P	MQ	Reedy Creek Theme                       	95	16175	M                   	850	 	 	 	 	 	
D	"TALLAHASSEE, CITY OF                    "	930321073	N 	FTS-2   	3636	3/1/1995	2/28/2025	0	N	25925	 	X7
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	5000	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	971	 	 	 	 	 	
P	M2	LRC White Castle                        	95	664000	W                   	1840	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	484	 	 	 	 	 	
P	M2	SNG ANR-Shadyside                       	95	604000	W                   	4058	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	983	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	6769	 	 	 	 	 	
P	M2	Tres Palacios Storage (Rec)             	95	78475	W                   	5820	 	 	 	 	 	
P	MQ	Lake Worth South-FPU                    	95	16106	M                   	10000	 	 	 	 	 	
P	MQ	Lakeland McIntosh                       	95	55687	M                   	2750	 	 	 	 	 	
P	MQ	Tallahassee South                       	95	56667	M                   	250	 	 	 	 	 	
P	MQ	Tallahassee-St Marks(Purdom)            	95	16238	M                   	12250	 	 	 	 	 	
P	MQ	Tallahassee-W (Hopkins)                 	95	16237	M                   	13175	 	 	 	 	 	
D	"POLK POWER PARTNERS, L.P.               "	825740475	N 	FTS-2   	3637	3/1/1995	8/8/2024	0	N	9860	 	
A	RAINBOW ENERGY MARKETING CORPORATION    	N 	 	 	 	 	 	 	 	 	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	3461	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	4486	 	 	 	 	 	
P	M2	TX Gas Eunice                           	95	10178	W                   	1913	 	 	 	 	 	
P	MQ	Bartow-Polk Power Partners              	95	61420	M                   	9860	 	 	 	 	 	
D	FLORIDA PUBLIC UTILITIES COMPANY        	6924427	N 	FTS-1   	5009	11/1/1993	7/31/2020	0	N	23016	 	X4/X7
D	FLORIDA PUBLIC UTILITIES COMPANY        	6924427	N 	FTS-1   	5009-100740	12/15/2001	7/31/2020	0	N	1792	 	X4
D	FLORIDA PUBLIC UTILITIES COMPANY        	6924427	N 	FTS-1   	5009-115782	1/1/2014	7/31/2025	0	N	650	 	X4
D	FLORIDA PUBLIC UTILITIES COMPANY        	6924427	N 	FTS-1   	5009-118707	11/1/2015	7/31/2020	0	N	17639	 	X4
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	9413	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	3500	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	2024	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	3031	 	 	 	 	 	
P	M2	HPL Magnet Withers                      	95	8576	W                   	87	 	 	 	 	 	
P	M2	NGPL Jefferson                          	95	10240	W                   	1269	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	2858	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	10454	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	985	 	 	 	 	 	
P	M2	Sabine-Kaplan                           	95	23062	W                   	75	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	136	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	3570	 	 	 	 	 	
P	M2	TRANSCO St Helena                       	95	10114	W                   	695	 	 	 	 	 	
P	M2	Tres Palacios Storage (Rec)             	95	78475	W                   	5000	 	 	 	 	 	
P	MQ	Auburndale-CUC                          	95	16186	M                   	700	 	 	 	 	 	
P	MQ	Bartow A-CUC                            	95	16192	M                   	1341	 	 	 	 	 	
P	MQ	Bartow B-CUC                            	95	60923	M                   	9064	 	 	 	 	 	
P	MQ	Boca Raton-FPU                          	95	16109	M                   	2500	 	 	 	 	 	
P	MQ	Boynton CTG-FPU                         	95	78329	M                   	3000	 	 	 	 	 	
P	MQ	Deland South-FPU                        	95	62992	M                   	1413	 	 	 	 	 	
P	MQ	Deland-FPU                              	95	16158	M                   	2620	 	 	 	 	 	
P	MQ	Fort Meade                              	95	16194	M                   	650	 	 	 	 	 	
P	MQ	Indiantown                              	95	16101	M                   	2055	 	 	 	 	 	
P	MQ	Lake Mattie-CUC                         	95	78528	M                   	1230	 	 	 	 	 	
P	MQ	Lake Wales East-CUC                     	95	16189	M                   	1980	 	 	 	 	 	
P	MQ	Lake Wales-CUC                          	95	16188	M                   	6530	 	 	 	 	 	
P	MQ	Lake Worth South-FPU                    	95	16106	M                   	6800	 	 	 	 	 	
P	MQ	Lake Worth-FPU                          	95	16107	M                   	1250	 	 	 	 	 	
P	MQ	New Smyrna-FPU                          	95	16160	M                   	1792	 	 	 	 	 	
P	MQ	Pierce-CUC                              	95	16193	M                   	3000	 	 	 	 	 	
P	MQ	Plant City-CUC                          	95	16199	M                   	3991	 	 	 	 	 	
P	MQ	Polk Correctional Institution-CUC       	95	62991	M                   	200	 	 	 	 	 	
P	MQ	Riviera Beach North-FPU                 	95	100034	M                   	3330	 	 	 	 	 	
P	MQ	Sanford W-FPU                           	95	16157	M                   	3529	 	 	 	 	 	
P	MQ	Sanford-FPU                             	95	16156	M                   	2971	 	 	 	 	 	
P	MQ	W Palm Beach W-FPU                      	95	16104	M                   	7700	 	 	 	 	 	
P	MQ	W Palm Beach-FPU                        	95	16105	M                   	5500	 	 	 	 	 	
P	MQ	Winter Haven-CUC                        	95	16187	M                   	1542	 	 	 	 	 	
D	"LAKELAND, CITY OF                       "	959116302	N 	FTS-1   	5025	11/1/1993	7/31/2020	0	N	4172	 	X7
P	M2	TX Gas Eunice                           	95	10178	W                   	4172	 	 	 	 	 	
P	MQ	Lakeland Generating                     	95	16280	M                   	4172	 	 	 	 	 	
P	MQ	Lakeland McIntosh                       	95	55687	M                   	4172	 	 	 	 	 	
D	"PIVOTAL UTILITY HOLDINGS, INC.          "	56711344	N 	FTS-1   	5034	11/1/1993	7/31/2020	0	N	20672	 	X7
A	"SEQUENT ENERGY MANAGEMENT, L.P.         "	N 	 	 	 	 	 	 	 	 	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	2072	 	 	 	 	 	
P	M2	Egan Hub (Rec)                          	95	78299	W                   	3691	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	3820	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	5644	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	3293	 	 	 	 	 	
P	M2	TRANSCO St Helena                       	95	10114	W                   	2152	 	 	 	 	 	
P	MQ	Cocoa-City Gas                          	95	16178	M                   	2655	 	 	 	 	 	
P	MQ	Cutler Ridge-NUI City Gas               	95	62966	M                   	3442	 	 	 	 	 	
P	MQ	Eau Gallie-City Gas (Cocoa)             	95	16179	M                   	2655	 	 	 	 	 	
P	MQ	Indian River-PPC                        	95	100029	M                   	750	 	 	 	 	 	
P	MQ	Lake Forest-City Gas                    	95	16114	M                   	3372	 	 	 	 	 	
P	MQ	Melbourne-City Gas                      	95	16180	M                   	711	 	 	 	 	 	
P	MQ	Miami Airport-FCG                       	95	78526	M                   	1066	 	 	 	 	 	
P	MQ	NW Hialeah-City Gas                     	95	16117	M                   	5683	 	 	 	 	 	
P	MQ	Opa Locka-City Gas                      	95	16116	M                   	4933	 	 	 	 	 	
P	MQ	Palm Bay CTG-NUI                        	95	78281	M                   	100	 	 	 	 	 	
P	MQ	Pioneer Gate-NUI                        	95	78282	M                   	891	 	 	 	 	 	
P	MQ	Port St Lucie-City Gas                  	95	58921	M                   	688	 	 	 	 	 	
P	MQ	SE Hialeah-City Gas                     	95	16118	M                   	5683	 	 	 	 	 	
P	MQ	South Miami-City Gas                    	95	16124	M                   	3552	 	 	 	 	 	
P	MQ	Titusville-City Gas                     	95	16177	M                   	763	 	 	 	 	 	
P	MQ	Vero Beach North-City Gas               	95	62898	M                   	190	 	 	 	 	 	
P	MQ	Vero Beach South-City Gas               	95	62897	M                   	190	 	 	 	 	 	
P	MQ	W Miami-City Gas                        	95	16122	M                   	3552	 	 	 	 	 	
D	"PEOPLES GAS SYSTEM, A DIVISION OF TAMPA "	6922736	N 	FTS-1   	5047	11/1/1993	7/31/2020	0	N	270095	 	X4/X7
D	"PEOPLES GAS SYSTEM, A DIVISION OF TAMPA "	6922736	N 	FTS-1   	5047-5846	7/1/1998	1/31/2027	0	N	2000	 	X4
D	"PEOPLES GAS SYSTEM, A DIVISION OF TAMPA "	6922736	N 	FTS-1   	5047-5890	10/1/1998	7/31/2023	0	N	7200	 	X4
P	M2	ANR St Landry Parish                    	95	78303	W                   	42620	 	 	 	 	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	6407	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	22900	 	 	 	 	 	
P	M2	Frisco Acadian                          	95	78533	W                   	10000	 	 	 	 	 	
P	M2	HPL Magnet Withers                      	95	8576	W                   	5200	 	 	 	 	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	22427	 	 	 	 	 	
P	M2	NGPL Jefferson                          	95	10240	W                   	14828	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	57563	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	15430	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	23059	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	20653	 	 	 	 	 	
P	M2	Tejas Calhoun Co ITE                    	95	71444	W                   	2700	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	7704	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	19804	 	 	 	 	 	
P	M2	Tres Palacios Storage (Rec)             	95	78475	W                   	8000	 	 	 	 	 	
P	MQ	Avon Park-PGS                           	95	16191	M                   	1500	 	 	 	 	 	
P	MQ	Brandon-PGS                             	95	16200	M                   	5933	 	 	 	 	 	
P	MQ	Cecil Field-PGS                         	95	16149	M                   	5974	 	 	 	 	 	
P	MQ	Cedar Hills-PGS                         	95	16150	M                   	4000	 	 	 	 	 	
P	MQ	Coconut Creek-PGS                       	95	16110	M                   	10200	 	 	 	 	 	
P	MQ	Dania-PGS                               	95	16113	M                   	11000	 	 	 	 	 	
P	MQ	E Palatka-PGS                           	95	78465	M                   	3700	 	 	 	 	 	
P	MQ	Eustis North-PGS                        	95	16162	M                   	1370	 	 	 	 	 	
P	MQ	Eustis-PGS                              	95	16161	M                   	3500	 	 	 	 	 	
P	MQ	Frostproof-PGS                          	95	16190	M                   	946	 	 	 	 	 	
P	MQ	Georgia Pacific                         	95	16251	M                   	9500	 	 	 	 	 	
P	MQ	Hardee Power Partners Meter Station     	95	57345	M                   	45000	 	 	 	 	 	
P	MQ	Jacksonville-PGS                        	95	16151	M                   	29600	 	 	 	 	 	
P	MQ	Lake Blue-TECO/PGS                      	95	60953	M                   	21800	 	 	 	 	 	
P	MQ	Lake Murphy-TECO/PGS                    	95	58913	M                   	18005	 	 	 	 	 	
P	MQ	Lakeland North-PGS                      	95	16198	M                   	11119	 	 	 	 	 	
P	MQ	Lakeland-PGS                            	95	16197	M                   	5787	 	 	 	 	 	
P	MQ	Miami Beach-PGS                         	95	16121	M                   	10000	 	 	 	 	 	
P	MQ	Miami-PGS                               	95	16119	M                   	19550	 	 	 	 	 	
P	MQ	Midulla Generation Station              	95	78138	M                   	15000	 	 	 	 	 	
P	MQ	Mt Dora-PGS                             	95	16165	M                   	1124	 	 	 	 	 	
P	MQ	North Miami-PGS                         	95	16115	M                   	16103	 	 	 	 	 	
P	MQ	Ocala North-TECO/PGS                    	95	56781	M                   	2330	 	 	 	 	 	
P	MQ	Ocala-PGS                               	95	16146	M                   	3714	 	 	 	 	 	
P	MQ	Oneco-TECO/PGS                          	95	16195	M                   	15034	 	 	 	 	 	
P	MQ	Orlando E-PGS                           	95	16170	M                   	3300	 	 	 	 	 	
P	MQ	Orlando North-PGS                       	95	16167	M                   	4482	 	 	 	 	 	
P	MQ	Orlando South-PGS                       	95	16172	M                   	4482	 	 	 	 	 	
P	MQ	Orlando SW-PGS                          	95	16173	M                   	4482	 	 	 	 	 	
P	MQ	Orlando Turnpike-TECO/PGS               	95	59963	M                   	7782	 	 	 	 	 	
P	MQ	Orlando W-PGS                           	95	28713	M                   	4482	 	 	 	 	 	
P	MQ	Orlando-PGS                             	95	16169	M                   	4482	 	 	 	 	 	
P	MQ	Osceola Co-PGS                          	95	28712	M                   	4482	 	 	 	 	 	
P	MQ	Palm Beach-TECO/PGS                     	95	16102	M                   	354	 	 	 	 	 	
P	MQ	Panama City North-TECO/PGS              	95	57766	M                   	7830	 	 	 	 	 	
P	MQ	Panama City-PGS                         	95	16134	M                   	10830	 	 	 	 	 	
P	MQ	Plantation-PGS                          	95	16112	M                   	5920	 	 	 	 	 	
P	MQ	Silver Springs-TECO/PGS                 	95	60908	M                   	2984	 	 	 	 	 	
