H	"East Tennessee Natural Gas, LLC"	C000085	4/2/2018	O	4/1/2018	T	T	LISA  A. CONNOLLY 713-627-4102				
D	ATHENS UTILITIES BOARD	789516465	N	FT-A	4331-R2	4/1/2006	10/31/2010	1825	N	0		L2/O3
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	ATHENS	95	59041	ETN	0						
D	ATMOS ENERGY CORPORATION	159717263	N	FT-A	30774-R4	1/1/2015	3/31/2019		N	84588		L26
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	56361						
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	6660						
P	MQ	UCG BRISTOL	95	59002	ETN	5981						
P	MQ	UCG BLACKSBURG	95	59010	ETN	6067						
P	MQ	UCG PULASKI	95	59013	ETN	2576						
P	MQ	UCG RADFORD	95	59022	ETN	3450						
P	MQ	UCG MORRISTOWN	95	59027	ETN	2773						
P	MQ	UCG JOHNSON CITY EAST	95	59028	ETN	5431						
P	MQ	UCG MARYVILLE	95	59046	ETN	153						
P	MQ	UCG MARYVILLE EAST	95	59048	ETN	106						
P	MQ	UCG GREENVILLE	95	59049	ETN	6288						
P	MQ	UCG JOHNSON CITY WEST	95	59050	ETN	2963						
P	MQ	UCG KINGSPORT SOUTH	95	59051	ETN	4770						
P	MQ	ROCKFORD	95	59059	ETN	377						
P	MQ	UCG SHELBYVILLE	95	59061	ETN	6138						
P	MQ	UCG KINGSPORT NORTH	95	59067	ETN	255						
P	MQ	UCG WYTHEVILLE	95	59069	ETN	2460						
P	MQ	UCG ELIZABETHTON	95	59070	ETN	4063						
P	MQ	UCG BLOUNTVILLE	95	59071	ETN	1361						
P	MQ	UCG BRISTOL NORTH	95	59074	ETN	2819						
P	MQ	UCG MARION	95	59075	ETN	2339						
P	MQ	UCG ABINGDON WEST	95	59076	ETN	1365						
P	MQ	UCG DUBLIN	95	59077	ETN	1763						
P	MQ	UCG LYNCHBURG	95	59083	ETN	322						
P	MQ	UCG ROCKFORD NORTH	95	59103	ETN	36						
P	MQ	UCG LYNCHBURG PORTABLE (FUEL)	95	59104	ETN	96						
P	MQ	UCG MOTLOW	95	59109	ETN	104						
P	MQ	UCG LOWLAND	95	59115	ETN	4						
P	MQ	UCG MARION EAST	95	59116	ETN	94						
P	MQ	UCG ABINGDON EAST	95	59117	ETN	1016						
P	MQ	UCG GLADE SPRINGS	95	59119	ETN	95						
P	MQ	UCG MARION NORTH	95	59120	ETN	411						
P	MQ	UCG CHILHOWIE	95	59121	ETN	143						
P	MQ	UCG RURAL RETREAT	95	59122	ETN	79						
P	MQ	UCG KINGSPORT REGIONAL	95	59124	ETN	100						
P	MQ	UCG MORTON	95	59125	ETN	1116						
P	MQ	UCG GRAY	95	59126	ETN	215						
P	MQ	UCG TRI CITIES	95	59127	ETN	134						
P	MQ	UCG MILLER PARK	95	59128	ETN	164						
P	MQ	UCG BOONES CREEK	95	59129	ETN	482						
P	MQ	UCG ABINGDON	95	59130	ETN	1950						
P	MQ	UCG MARYVILLE WEST	95	59145	ETN	275						
P	MQ	UNITED CITIES MORRISTOWN SOUTH	95	59155	ETN	4000						
P	MQ	MOHAWK	95	59169	ETN	100						
P	MQ	"UCG, PROGRESS PARK - WYTHE CO., VA"	95	59193	ETN	50						
P	MQ	ATMOS ENERGY RADFORD ARMY AMMUNITIO	95	59247	ETN	104						
P	M2	TROUSDALE COUNTY RECEIVING	95	59313	ETN	4000						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	12567						
P	M2	"TEXAS EASTERN - HARTSVILLE, TN"	95	59330	ETN	5000						
P	MQ	SALTVILLE STORAGE INJECTION	95	59766	ETN	10000						
D	ATMOS ENERGY CORPORATION	159717263	N	FT-A	30777-R4	1/1/2015	3/31/2019		N	0		L26/O27
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	UCG BRISTOL	95	59002	ETN	0						
P	MQ	UCG BLACKSBURG	95	59010	ETN	0						
P	MQ	UCG PULASKI	95	59013	ETN	0						
P	MQ	UCG RADFORD	95	59022	ETN	0						
P	MQ	UCG COLUMBIA WEST	95	59026	ETN	0						
P	MQ	UCG MORRISTOWN	95	59027	ETN	0						
P	MQ	UCG JOHNSON CITY EAST	95	59028	ETN	0						
P	MQ	UCG MARYVILLE	95	59046	ETN	0						
P	MQ	UCG MARYVILLE EAST	95	59048	ETN	0						
P	MQ	UCG GREENVILLE	95	59049	ETN	0						
P	MQ	UCG JOHNSON CITY WEST	95	59050	ETN	0						
P	MQ	UCG KINGSPORT SOUTH	95	59051	ETN	0						
P	MQ	UCG COLUMBIA NORTH	95	59055	ETN	0						
P	MQ	ROCKFORD	95	59059	ETN	0						
P	MQ	UCG SHELBYVILLE	95	59061	ETN	0						
P	MQ	UCG KINGSPORT NORTH	95	59067	ETN	0						
P	MQ	UCG WYTHEVILLE	95	59069	ETN	0						
P	MQ	UCG ELIZABETHTON	95	59070	ETN	0						
P	MQ	UCG BLOUNTVILLE	95	59071	ETN	0						
P	MQ	UCG BRISTOL NORTH	95	59074	ETN	0						
P	MQ	UCG MARION	95	59075	ETN	0						
P	MQ	UCG ABINGDON WEST	95	59076	ETN	0						
P	MQ	UCG DUBLIN	95	59077	ETN	0						
P	MQ	UCG LYNCHBURG	95	59083	ETN	0						
P	MQ	UCG ROCKFORD NORTH	95	59103	ETN	0						
P	MQ	UCG LYNCHBURG PORTABLE (FUEL)	95	59104	ETN	0						
P	MQ	UCG MOTLOW	95	59109	ETN	0						
P	MQ	UCG MARION EAST	95	59116	ETN	0						
P	MQ	UCG ABINGDON EAST	95	59117	ETN	0						
P	MQ	UCG GLADE SPRINGS	95	59119	ETN	0						
P	MQ	UCG MARION NORTH	95	59120	ETN	0						
P	MQ	UCG CHILHOWIE	95	59121	ETN	0						
P	MQ	UCG RURAL RETREAT	95	59122	ETN	0						
P	MQ	UCG MORTON	95	59125	ETN	0						
P	MQ	UCG GRAY	95	59126	ETN	0						
P	MQ	UCG TRI CITIES	95	59127	ETN	0						
P	MQ	UCG MILLER PARK	95	59128	ETN	0						
P	MQ	UCG BOONES CREEK	95	59129	ETN	0						
P	MQ	UCG ABINGDON	95	59130	ETN	0						
P	MQ	UCG MARYVILLE WEST	95	59145	ETN	0						
P	MQ	UCG - GLADE HIGHLANDS	95	59185	ETN	0						
P	MQ	ATMOS ENERGY RADFORD ARMY AMMUNITIO	95	59247	ETN	0						
D	ATMOS ENERGY CORPORATION	159717263	N	LNGS	33245-R3	1/1/2015	3/31/2019		N		339900	L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		52633					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		52633					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		52633					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		52633					
D	ATMOS ENERGY CORPORATION	159717263	N	FT-ART	34538-R3	1/1/2015	3/31/2019		N	27500		L30
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	MAINLINE JEWELL RIDGE	95	50092	ETN	10000						
P	MQ	UCG BRISTOL	95	59002	ETN	7500						
P	MQ	UCG BLACKSBURG	95	59010	ETN	3000						
P	MQ	UCG MARYVILLE	95	59046	ETN	5450						
P	MQ	UCG MARYVILLE EAST	95	59048	ETN	1750						
P	MQ	UCG JOHNSON CITY WEST	95	59050	ETN	3000						
P	MQ	UCG KINGSPORT SOUTH	95	59051	ETN	4000						
P	MQ	ROCKFORD	95	59059	ETN	1750						
P	MQ	UCG FOOTHILLS POINTE	95	59112	ETN	50						
P	MQ	UNITED CITIES MORRISTOWN SOUTH	95	59155	ETN	1000						
P	M2	SONAT BRADLEY	95	59311	ETN	7500						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	4000						
P	M2	SALTVILLE STORAGE WITHDRAWAL	95	59777	ETN	6000						
D	ATMOS ENERGY CORPORATION	159717263	N	FT-A	410243-R2	5/1/2011	3/31/2014	1825	N	1500		L43
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	UCG BLACKSBURG	95	59010	ETN	1500						
P	M2	TROUSDALE COUNTY RECEIVING	95	59313	ETN	1500						
D	ATMOS ENERGY CORPORATION	159717263	N	FT-APT	410274-R2	1/30/2018	10/31/2021		N	1500		L49
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"ROANOKE WEST SALEM-ROANOKE CO., VA"	95	59196	ETN	1000						
P	MQ	WYTHEVILLE	95	59214	ETN	125						
P	MQ	PULASKI	95	59215	ETN	125						
P	MQ	DUBLIN	95	59216	ETN	125						
P	MQ	RADFORD	95	59217	ETN	125						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	1500						
D	ATMOS ENERGY CORPORATION	159717263	N	FT-APT	410334-R3	1/30/2018	4/30/2019		N	20000		L50
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	UCG BLACKSBURG	95	59010	ETN	4989						
P	MQ	UCG RADFORD	95	59022	ETN	1234						
P	MQ	UCG WYTHEVILLE	95	59069	ETN	142						
P	MQ	UCG MARION	95	59075	ETN	3500						
P	MQ	UCG DUBLIN	95	59077	ETN	2010						
P	MQ	UCG RADFORD EAST	95	59118	ETN	289						
P	MQ	UCG RURAL RETREAT	95	59122	ETN	669						
P	MQ	"UCG, PROGRESS PARK - WYTHE CO., VA"	95	59193	ETN	1482						
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	5000						
P	MQ	ATMOS ENERGY RADFORD ARMY AMMUNITIO	95	59247	ETN	685						
P	M2	SALTVILLE STORAGE WITHDRAWAL	95	59777	ETN	20000						
D	ATMOS ENERGY CORPORATION	159717263	N	FT-APT	410527-R1	12/1/2014	3/31/2019		N	1600		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	1600						
P	M2	TRANSCO - CASCADE CREEK (RECEIPT)	95	59304	ETN	1600						
D	ATMOS ENERGY CORPORATION	159717263	N	FT-A	410529-R1	12/1/2014	4/30/2019		N	500		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	500						
P	MQ	UCG COLUMBIA WEST	95	59026	ETN	500						
D	ATMOS ENERGY CORPORATION	159717263	N	FT-A	410542-R1	11/1/2015	3/31/2020		N	2500		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	UCG MORRISTOWN	95	59027	ETN	1250						
P	MQ	UCG ROCKFORD NORTH	95	59103	ETN	750						
P	MQ	UCG LOWLAND	95	59115	ETN	250						
P	MQ	UNITED CITIES MORRISTOWN SOUTH	95	59155	ETN	250						
P	M2	SALTVILLE STORAGE WITHDRAWAL	95	59777	ETN	2500						
D	ATMOS ENERGY CORPORATION	159717263	N	FT-A	410549-R1	11/1/2015	3/31/2021		N	823		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	UCG MORRISTOWN	95	59027	ETN	123						
P	MQ	UCG ROCKFORD NORTH	95	59103	ETN	100						
P	MQ	UCG MARYVILLE WEST	95	59145	ETN	500						
P	MQ	UNITED CITIES MORRISTOWN SOUTH	95	59155	ETN	100						
P	M2	SALTVILLE STORAGE WITHDRAWAL	95	59777	ETN	823						
D	"BAE SYSTEMS,ORDNANCE SYSTEMS INC."	27337	N	FT-AKPT	410581-R1	11/1/2016	10/31/2021		N	8900		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	MAINLINE JEWELL RIDGE	95	50092	ETN	8900						
P	MQ	ATMOS ENERGY RADFORD ARMY AMMUNITIO	95	59247	ETN	8900						
D	"BEDFORD COUNTY UTILITY DISTRICT OF BEDFORD COUNTY,TN"	879439719	N	FT-A	34803-R2	4/1/2006	10/31/2010	1825	N	400		L29
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	400						
P	MQ	BEDFORD COUNTY UTILITY DISTRICT	95	59182	ETN	400						
D	"BRIDGEPORT UTILITY BOARD, CITY OF"	556632909	N	FT-A	410028-R3	11/13/2015	10/31/2017	1825	N	250		L33
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	250						
P	MQ	US GYPSUM	95	59178	ETN	250						
D	"BRIDGEPORT UTILITY BOARD, CITY OF"	556632909	N	FT-A	410257-R2	11/13/2015	10/31/2020		N	1367		L43
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	US GYPSUM	95	59178	ETN	1367						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	1367						
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FT-A	410011-R2	9/1/2012	11/30/2015	1825	N	30		L32
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	30						
P	MQ	MONSANTO	95	59098	ETN	5						
P	MQ	ROYAL ORDNANCE-HOLSTON ARMY AMMUNIT	95	59184	ETN	5						
P	MQ	MD RECYCLING TECHNOLOGIES - GREENE	95	59190	ETN	20						
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FT-A	410430-R1	4/1/2011	10/31/2015	1825	N	0		O48
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	KUB WEST	95	59005	ETN	0						
P	MQ	UCG BLACKSBURG	95	59010	ETN	0						
P	MQ	UCG PULASKI	95	59013	ETN	0						
P	MQ	UCG RADFORD	95	59022	ETN	0						
P	MQ	ROCKWOOD	95	59033	ETN	0						
P	MQ	MEAD	95	59066	ETN	0						
P	MQ	UCG MARION	95	59075	ETN	0						
P	MQ	UCG ABINGDON WEST	95	59076	ETN	0						
P	MQ	UCG DUBLIN	95	59077	ETN	0						
P	MQ	OLIN	95	59090	ETN	0						
P	MQ	UCG ABINGDON	95	59130	ETN	0						
P	MQ	ROYAL ORDNANCE-HOLSTON ARMY AMMUNIT	95	59184	ETN	0						
P	MQ	TENNESSEE EASTMAN CHEMICAL CORP	95	59206	ETN	0						
D	CHATTANOOGA GAS COMPANY	198402935	N	FT-A	410203-R1	5/1/2005	10/31/2007	1825	N	13000		
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	10528						
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	2472						
P	MQ	CHAT EAST	95	59001	ETN	28						
P	MQ	CHAT NORTH	95	59007	ETN	59						
P	MQ	ATLANTA	95	59014	ETN	6172						
P	MQ	CHATTANOOGA OOLTEWAH	95	59016	ETN	886						
P	MQ	CHATTANOOGA SIGNAL MOUNTAIN	95	59017	ETN	867						
P	MQ	CHATTANOOGA CLEVELAND	95	59024	ETN	4861						
P	MQ	CHAT HUNTER RD	95	59106	ETN	71						
P	MQ	CHAT VOLUNTEER ORDINANCE	95	59108	ETN	28						
P	MQ	CHAT EAST BRAINERD	95	59142	ETN	28						
D	CHATTANOOGA GAS COMPANY	198402935	N	FT-A	410204-R3	11/1/2014	10/31/2018		N	28350		L42
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	3012						
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	20439						
P	MQ	CHAT EAST	95	59001	ETN	61						
P	MQ	CHAT NORTH	95	59007	ETN	130						
P	MQ	ATLANTA	95	59014	ETN	3460						
P	MQ	CHATTANOOGA OOLTEWAH	95	59016	ETN	1933						
P	MQ	CHATTANOOGA SIGNAL MOUNTAIN	95	59017	ETN	1890						
P	MQ	CHATTANOOGA CLEVELAND	95	59024	ETN	20600						
P	MQ	CHAT HUNTER RD	95	59106	ETN	154						
P	MQ	CHAT VOLUNTEER ORDINANCE	95	59108	ETN	61						
P	MQ	CHAT EAST BRAINERD	95	59142	ETN	61						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	4899						
D	CITIZENS GAS UTILITY DISTRICT	7850027	N	FT-ART	34549-R2	7/1/2006	10/31/2010	1825	N	3000		L30
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	3000						
P	MQ	CGU WARTBURG	95	59086	ETN	3000						
D	CITIZENS GAS UTILITY DISTRICT	7850027	N	FT-A	6035-R1	1/1/1994	10/31/2015	1825	N	665		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	655						
P	M2	MORGAN COUNTY 1 (BI 59163)	95	59012	ETN	10						
P	MQ	CGU WARTBURG	95	59086	ETN	665						
D	CNX GAS COMPANY LLC	88111906	N	FT-L	410260-R2	10/29/2006	10/28/2021		Y	197500		
P	MQ	JEWELL RIDGE	95	50091	ETN	197500						
P	M2	CNX-JEWELL RIDGE	95	59334	ETN	197500						
D	CNX GAS COMPANY LLC	88111906	N	FT-APT	410344-R1	12/1/2008	11/30/2023		Y	4000		
P	MQ	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	1200						
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	2800						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	4000						
D	COLUMBIA GAS OF VIRGINIA	7940976	N	FT-APT	410269-R1	4/1/2007	3/31/2022		Y	21500		
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	21500						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	21500						
D	"COOKEVILLE GAS DEPT, CITY OF"	16349367	N	FT-A	17218-R1	11/1/1996	10/31/2012	1825	N	4120		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	COOKEVILLE EAST	95	59167	ETN	4120						
P	M2	SALTVILLE STORAGE WITHDRAWAL	95	59777	ETN	4120						
D	"COOKEVILLE GAS DEPT, CITY OF"	16349367	N	LNGS	33249-R2	4/1/2006	10/31/2010	1825	N		18540	L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		2218					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		2218					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		2218					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		2218					
D	"COOKEVILLE GAS DEPT, CITY OF"	16349367	N	FT-APT	410492-R1	3/1/2014	3/31/2019		N	2000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	COOKEVILLE	95	59029	ETN	1000						
P	MQ	COOKEVILLE EAST	95	59167	ETN	1000						
P	M2	"TEXAS EASTERN - HARTSVILLE, TN"	95	59330	ETN	2000						
D	"COOKEVILLE GAS DEPT, CITY OF"	16349367	N	FT-A	4238-R2	11/1/2005	10/31/2015	1825	N	7260		L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	7134						
P	MQ	COOKEVILLE	95	59029	ETN	7260						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	126						
D	"COOKEVILLE GAS DEPT, CITY OF"	16349367	N	FT-A	4335-R2	4/1/2006	10/31/2010	1825	N	0		L2/O4
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	COOKEVILLE	95	59029	ETN	0						
P	MQ	COOKEVILLE EAST	95	59167	ETN	0						
D	"COOKEVILLE GAS DEPT, CITY OF"	16349367	N	FT-A	7570-R2	1/1/2006	10/31/2010	1825	N	0		L18/O21
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	COOKEVILLE	95	59029	ETN	0						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	0						
D	"CYTEC INDUSTRIES, INC."	27927	N	FT-A	17201-R1	11/1/1996	10/31/1997	1825	N	800		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	800						
P	MQ	"CYTEC INDUSTRIES, INC."	95	59081	ETN	800						
D	"DALTON, CITY OF"	26880	N	FT-AMUR	410021-R1	11/1/2002	10/31/2022		N	2000		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	DALTON GAS-CARTERSVILLE - WHITFIELD	95	59203	ETN	2000						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	2000						
D	"DUKE ENERGY PROGRESS, LLC"	6997217	N	FT-A	410103-R1	12/13/2004	10/31/2018		N	40000		L37
A	"DUKE ENERGY CAROLINAS, LLC"	N										
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	40000						
P	M2	"TEXAS EASTERN - HARTSVILLE, TN"	95	59330	ETN	40000						
D	"DUKE ENERGY PROGRESS, LLC"	6997217	N	FT-APT	410104-R1	5/1/2004	10/31/2018		Y	30000		
A	"DUKE ENERGY CAROLINAS, LLC"	N										
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	30000						
P	M2	"TEXAS EASTERN - HARTSVILLE, TN"	95	59330	ETN	10000						
P	M2	"EQT ENERGY, DICKENSON #4, DICKINSON"	95	59332	ETN	20000						
D	"DUKE ENERGY PROGRESS, LLC"	6997217	N	FT-APT	410135-R2	10/1/2007	10/31/2012	1825	Y	30000		L37
A	"DUKE ENERGY CAROLINAS, LLC"	N										
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	30000						
P	M2	"EQT ENERGY, DICKENSON #4, DICKINSON"	95	59332	ETN	30000						
D	DUNLAP GAS SYSTEM	796936599	N	FT-GS	4302-R1	11/1/1993	10/31/2000	1825	N	4167		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	4167						
P	MQ	DUNLAP NATURAL GAS	95	59161	ETN	4167						
D	EASTMAN CHEMICAL COMPANY	867179665	N	FT-A	31096-R2	11/1/2006	10/31/2010	1825	N	13000		L28
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	11400						
P	MQ	TENNESSEE EASTMAN 2	95	59107	ETN	172						
P	MQ	TENNESSEE EASTMAN CHEMICAL CORP	95	59206	ETN	12828						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	1600						
D	EASTMAN CHEMICAL COMPANY	867179665	N	FT-APT	410208-R1	11/1/2005	10/31/2015	1825	N	4000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	4000						
P	MQ	TENNESSEE EASTMAN CHEMICAL CORP	95	59206	ETN	4000						
D	EASTMAN CHEMICAL COMPANY	867179665	N	FT-APT	410446-R1	1/15/2012	10/31/2015	1825	N	18000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	TENNESSEE EASTMAN CHEMICAL CORP	95	59206	ETN	18000						
P	M2	TRANSCO - CASCADE CREEK (RECEIPT)	95	59304	ETN	18000						
D	EASTMAN CHEMICAL COMPANY	867179665	N	FT-APT	410456-R1	11/1/2013	12/31/2039		Y	25000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	TENNESSEE EASTMAN CHEMICAL CORP	95	59206	ETN	25000						
P	M2	TRANSCO - CASCADE CREEK (RECEIPT)	95	59304	ETN	25000						
D	EASTMAN CHEMICAL COMPANY	867179665	N	FT-AKPT	410493-R1	1/1/2015	12/31/2039		Y	61000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"CW-KINGSPORT EXPANSION EASTMAN #2,"	95	59225	ETN	61000						
P	M2	TRANSCO - CASCADE CREEK (RECEIPT)	95	59304	ETN	61000						
D	ELK RIVER PUBLIC UTILITY DISTRICT	7839772	N	LNGS	33252-R1	11/1/2003	10/31/2010	1825	N		7210	L2
A	CH4 CONCEPTS	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		1371					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		1371					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		1371					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		1371					
D	ELK RIVER PUBLIC UTILITY DISTRICT	7839772	N	FT-A	410115-R4	11/1/2014	10/31/2020		N	6609		L38
A	CH4 CONCEPTS	N										
P	M2	MAINLINE JEWELL RIDGE	95	50092	ETN	6609						
