H	"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC"	C000654	4/2/2018	O	4/1/2018	T	T	Karen Gallardo 713-215-3572				
D	ATLANTA GAS LIGHT COMPANY	6924708	N	LSS	1000909	4/1/2013	3/31/2023		N	0	1894389	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	WR	LSS STG C/N/P	95	1002694	ZONE 6	0	18040					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	WSS-OA	1026997	11/1/1998	3/31/2010	365	N	0	6210000	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	65368					
D	BALTIMORE GAS AND ELECTRIC CO	6949713	N	FT	1012153	12/1/1995	10/31/2012	365	N	22253	0	
P	S8	BGE-BEAVER DAM M4392	95	1006743	ZONE 6	22253	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	22253	0					
D	BALTIMORE GAS AND ELECTRIC CO	6949713	N	FT	9061089	11/7/2007	11/6/2027		N	25000	0	
P	S8	BGE-BEAVER DAM M4392	95	1006743	ZONE 6	25000	0					
P	S9	CASCADE CREEK	95	9001040	ZONE 5	25000	0					
D	BALTIMORE GAS AND ELECTRIC CO	6949713	N	FT	9131743	1/5/2013	1/4/2033		N	10000	0	
P	S8	BGE-BEAVER DAM M4392	95	1006743	ZONE 6	10000	0					
P	S9	CASCADE CREEK	95	9001040	ZONE 5	10000	0					
D	BAY STATE GAS COMPANY	69340214	N	FT	1006548	11/1/1993	3/31/2016	365	N	1254	0	
P	S8	ALGONQUIN-CTR M4402	95	1006561	ZONE 6	1254	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	1254	0					
D	"BAYONNE ENERGY CENTER, LLC"	969675060	N	FDLS	9123002	4/5/2012	4/4/2032		N	125000	0	
P	S8	BEC M6323	95	9006583	ZONE 6	125000	0					
P	S9	BAYONNE TRANSFER	95	9006582	ZONE 6	125000	0					
D	BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	N	FT	1006425	6/1/1993	5/31/2008	365	N	6335	0	
A	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	N										
P	S8	ALGONQUIN-CTR M4402	95	1006561	ZONE 6	6335	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	6335	0					
D	CABOT OIL & GAS CORPORATION	607925757	N	FT	9202411	9/1/2017	6/30/2018		N	150000	0	
P	S8	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	150000	0					
P	S9	CPH RIVER ROAD M/L MP 1683.32	95	9009729	ZONE 6	150000	0					
D	CALIQUA ENTERPRISES LLC		N	FT	9125947	11/1/2012	10/31/2027		N	6000	0	
P	S8	PUBLIC SERVICE E&G	95	1006386	ZONE 6	6000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	6000	0					
D	"CALPINE ENERGY SERVICES, LP"	169668212	N	FDLS	9103228	10/1/2010	9/30/2040		N	208800	0	
P	S8	DELTA PWR GEN M6314	95	9005606	ZONE 6	208800	0					
P	S9	DELTA TRANSFER	95	9005605	ZONE 6	208800	0					
D	"CALPINE ENERGY SERVICES, LP"	169668212	N	FT	9099708	7/1/2010	5/31/2033		N	320	0	
P	S8	ALGONQUIN-CTR M4402	95	1006561	ZONE 6	320	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	320	0					
D	"CALPINE ENERGY SERVICES, LP"	169668212	N	FT	9099709	7/1/2010	3/31/2065		N	3416	0	
P	S8	ETOWN NEW VILLAGE	95	9003160	ZONE 6	3416	0					
P	S9	LEIDY-NATIONAL FUEL	95	1007065	ZONE 6	3416	0					
D	CARDINAL FG COMPANY	86868044	N	FT	9002593	5/1/2003	4/30/2018		Y	3400	0	
A	TEXICAN NATURAL GAS CO	N										
P	S8	PUBLIC SERV N C	95	1006608	ZONE 5	3400	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	3400	0					
D	CARDINAL FG COMPANY	86868044	N	FT	9008030	9/1/2003	8/31/2004	1095	N	227	0	
A	TEXICAN NATURAL GAS CO	N										
P	S8	LEXINGTON	95	1006163	ZONE 5	227	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	38	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	58	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	43	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	88	0					
D	CARGILL INC	6249189	N	EESWS	9050780	3/1/2007	4/30/2018		N	0	1324	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	158					
D	CARGILL INC	6249189	N	FT	9002594	5/1/2003	4/30/2018		Y	750	0	
P	S8	UNITED CIT GA M7037	95	1006666	ZONE 4	750	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	750	0					
D	CHESAPEAKE UTILITIES CORP-DELAWARE DIVISION	11003936	N	ESS	9037883	4/1/2006	10/31/2013	365	N	0	31660	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	3776					
D	CHESAPEAKE UTILITIES CORP-DELAWARE DIVISION	11003936	N	FT	1021355	12/1/1997	3/31/2013	1095	N	9203	0	o14
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	121	0					
P	S8	EASTERN SHORE	95	1006570	ZONE 6	9203	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1565	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	2300	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1749	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	3589	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	121	0					
D	CHESAPEAKE UTILITIES CORP-DELAWARE DIVISION	11003936	N	FT	1021366	12/1/1997	7/31/2012	1095	N	311	0	o1
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	121	0					
P	S8	EASTERN SHORE	95	1006570	ZONE 6	311	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	53	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	78	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	59	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	121	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	121	0					
D	CHESAPEAKE UTILITIES CORP-DELAWARE DIVISION	11003936	N	FT	9039629	5/1/2006	4/30/2014	1095	N	1842	0	
P	S8	EASTERN SHORE	95	1006570	ZONE 6	1842	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	313	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	461	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	350	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	718	0					
D	CHESAPEAKE UTILITIES CORP-DELAWARE DIVISION	11003936	N	FT	9076493	12/21/2008	12/20/2028		Y	10000	0	
P	S8	EASTERN SHORE	95	1006570	ZONE 6	10000	0					
P	S9	PLEASANT VALLEY	95	1095059	ZONE 5	10000	0					
D	CHESAPEAKE UTILITIES CORP-DELAWARE DIVISION	11003936	N	FT	9077896	1/1/2009	6/29/2009	180	N	67	0	
P	S8	EASTERN SHORE	95	1006570	ZONE 6	67	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	11	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	17	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	13	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	26	0					
D	CHESAPEAKE UTILITIES CORP-DELAWARE DIVISION	11003936	N	WSS-OA	1027113	11/1/1998	10/31/2012	365	N	0	142830	
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	1503					
D	CHESAPEAKE UTILITIES CORP-MARYLAND DIVISION	131486508	N	ESS	9037884	4/1/2006	10/31/2013	365	N	0	17526	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	2093					
D	CHESAPEAKE UTILITIES CORP-MARYLAND DIVISION	131486508	N	FT	1021357	12/1/1997	3/31/2012	1095	N	4738	0	o14
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	61	0					
P	S8	EASTERN SHORE	95	1006570	ZONE 6	4738	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	805	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1185	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	900	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1848	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	61	0					
D	CHESAPEAKE UTILITIES CORP-MARYLAND DIVISION	131486508	N	FT	1021367	12/1/1997	7/31/2012	1095	N	155	0	o1
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	60	0					
P	S8	EASTERN SHORE	95	1006570	ZONE 6	155	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	26	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	40	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	29	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	60	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	60	0					
D	CHESAPEAKE UTILITIES CORP-MARYLAND DIVISION	131486508	N	FT	9039630	5/1/2006	4/26/2009	1095	N	973	0	
P	S8	EASTERN SHORE	95	1006570	ZONE 6	973	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	165	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	244	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	185	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	379	0					
D	CHESAPEAKE UTILITIES CORP-MARYLAND DIVISION	131486508	N	FT	9091028	12/1/2009	5/29/2010	180	N	262	0	
P	S8	EASTERN SHORE	95	1006570	ZONE 6	262	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	45	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	65	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	50	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	102	0					
D	CHESAPEAKE UTILITIES CORP-MARYLAND DIVISION	131486508	N	WSS-OA	1027116	11/1/1998	10/31/2012	365	N	0	33120	
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	349					
D	CHEVRON USA INC	9140559	N	FTP	9185586	4/1/2016	3/31/2026		N	13400	0	o23
P	S8	POOLING-ST 85-ZN 4A	95	9005542	ZONE 4A	13400	0					
P	S9	BLIND FAITH M2897	95	9004243	ZONE 4B	3000	0					
P	S9	TUBULAR BELLS M2908	95	9008102	ZONE 4B	10400	0					
D	"CITY OF ALEXANDER CITY, ALABAMA"	85769248	N	FT	1004782	2/1/1992	3/30/2000	1095	N	3693	0	o6
A	TEXLA ENERGY MANAGEMENT INC	N										
P	S8	ALEXANDER CITY	95	1006004	ZONE 4	3693	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	628	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	923	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	702	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1440	0					
D	"CITY OF ALEXANDER CITY, ALABAMA"	85769248	N	FTG	1006668	11/1/1993	10/30/2013	180	N	2588	0	o3
A	TEXLA ENERGY MANAGEMENT INC	N										
P	S8	ALEXANDER CITY	95	1006004	ZONE 4	2588	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	440	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	647	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	492	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1009	0					
D	"CITY OF ALEXANDER CITY, ALABAMA"	85769248	N	GSS	1000901	4/1/2013	3/31/2023		N	0	5641	
A	TEXLA ENERGY MANAGEMENT INC	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	109					
D	CITY OF BAMBERG BOARD OF PUBLIC WORKS	131459000	N	FT	9046114	11/1/2006	10/31/2017	730	N	256	0	
A	SCANA ENERGY MARKETING INC	N										
P	S8	CAROLINA GAS	95	9003140	ZONE 5	256	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	256	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	0	0					
D	CITY OF BENNETTSVILLE	77437820	N	FT	9046112	11/1/2006	10/31/2017	730	N	615	0	
A	SCANA ENERGY MARKETING INC	N										
P	S8	CAROLINA GAS	95	9003140	ZONE 5	615	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	615	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	0	0					
D	CITY OF BESSEMER CITY NORTH CAROLINA	51714020	N	FT	1003061	2/1/1992	12/30/2001	1095	N	1470	0	o6
A	TEXLA ENERGY MANAGEMENT INC	N										
P	S8	BESSEMER CITY M7164	95	1006022	ZONE 5	1470	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	250	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	368	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	279	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	573	0					
D	CITY OF BESSEMER CITY NORTH CAROLINA	51714020	N	FTG	1006559	11/1/1993	10/30/2013	180	N	776	0	o3
A	TEXLA ENERGY MANAGEMENT INC	N										
P	S8	BESSEMER CITY M7164	95	1006022	ZONE 5	776	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	132	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	194	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	147	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	303	0					
D	CITY OF BOWMAN GEORGIA	39915830	N	FTG	1006560	11/1/1993	10/30/2013	180	N	57	0	o3
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	57	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	9	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	16	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	10	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	22	0					
D	CITY OF BOWMAN GEORGIA	39915830	N	GSS	1000888	4/1/2013	3/31/2023		N	0	791	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	16					
D	CITY OF BUFORD GEORGIA	79370813	N	FT	1002291	8/1/1991	3/20/1998	1095	N	90	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BUFORD	95	1006032	ZONE 4	90	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	16	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	22	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	17	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	35	0					
D	CITY OF BUFORD GEORGIA	79370813	N	FT	1004174	11/1/1995	10/31/2005	279	N	2070	0	o4
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BUFORD	95	1006032	ZONE 4	2070	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	271	0					
P	S9	HOLMESVILLE	95	1006128	ZONE 4	1799	0					
D	CITY OF BUFORD GEORGIA	79370813	N	FT	1004828	2/1/1992	3/30/2006	1095	N	3809	0	o6
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BUFORD	95	1006032	ZONE 4	3809	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	648	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	951	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	724	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1486	0					
D	CITY OF BUFORD GEORGIA	79370813	N	FT	1004985	8/1/1991	7/30/2001	1095	N	311	0	o1
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BUFORD	95	1006032	ZONE 4	311	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	53	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	77	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	60	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	121	0					
D	CITY OF BUFORD GEORGIA	79370813	N	FT	1009763	11/5/1994	11/4/2014	730	N	151	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BUFORD	95	1006032	ZONE 4	151	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	151	0					
D	CITY OF BUFORD GEORGIA	79370813	N	FT	1012032	11/1/1995	10/31/2015	730	N	1077	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BUFORD	95	1006032	ZONE 4	1077	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	1077	0					
D	CITY OF BUFORD GEORGIA	79370813	N	FT	1037190	11/1/2000	10/31/2015	365	N	3105	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BUFORD	95	1006032	ZONE 4	3105	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	3105	0					
D	CITY OF BUFORD GEORGIA	79370813	N	FT	1042065	5/1/2002	4/30/2017	365	N	2588	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BUFORD	95	1006032	ZONE 4	2588	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	2588	0					
D	CITY OF BUFORD GEORGIA	79370813	N	FT	9002596	5/1/2003	4/30/2018		Y	4140	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	BUFORD	95	1006032	ZONE 4	4140	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	4140	0					
D	CITY OF BUFORD GEORGIA	79370813	N	FT	9079928	3/1/2009	4/30/2014	365	N	2500	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	UNITED CIT GA M7037	95	1006666	ZONE 4	2500	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	625	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	1875	0					
D	CITY OF BUFORD GEORGIA	79370813	N	GSS	1000840	4/1/2013	3/31/2023		N	0	5740	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	114					
D	CITY OF BUFORD GEORGIA	79370813	N	LG-A	1000841	11/1/1974	10/30/2016	180	N	0	2588	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	518					
