H	NATURAL GAS PIPELINE COMPANY OF AMERICA LLC	C002096	4/2/2018	O	4/1/2018	T	T	Pam Ojeman 713-369-9332				
D	"CITY OF SALEM, ILLINOIS"	71954374	N	DSS	145317-DSSNGPL	12/1/2015	11/30/2018		N	1500	75000	x9/n1
A	UTILITY GAS MANAGEMENT	N										
P	MQ	SALEM/NGPL  CLINTON	95	167	MARKET DELIVERY	1500	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	1500					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	1500					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	1500					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	1500					
D	INTERSTATE POWER AND LIGHT COMPANY	6940522	N	DSS	145928-DSSNGPL	5/1/2016	4/30/2019		N	24000	1200000	n1
P	MQ	IPLC/NGPL AINSWORTH WASHINGTON	95	900065	MARKET DELIVERY	119	0					
P	MQ	IPLC/NGPL CHARITON WARREN	95	900091	MARKET DELIVERY	1475	0					
P	MQ	IPLC/NGPL CLARINDA MONTGOMERY	95	900109	MARKET DELIVERY	1783	0					
P	MQ	IPLC/NGPL COLUMBUS JCT MUSCATINE	95	900064	MARKET DELIVERY	348	0					
P	MQ	IPLC/NGPL CONESVILLE MUSCATINE	95	900063	MARKET DELIVERY	1182	0					
P	MQ	IPLC/NGPL CRESTON UNION	95	900102	MARKET DELIVERY	2385	0					
P	MQ	IPLC/NGPL ENGLISH KEOKUK	95	900074	MARKET DELIVERY	1142	0					
P	MQ	IPLC/NGPL GREENFIELD ADAIR	95	900104	MARKET DELIVERY	827	0					
P	MQ	IPLC/NGPL HARPER KEOKUK	95	900075	MARKET DELIVERY	190	0					
P	MQ	IPLC/NGPL KALONA WASHINGTON	95	900069	MARKET DELIVERY	738	0					
P	MQ	IPLC/NGPL KEOTA KEOKUK	95	900073	MARKET DELIVERY	249	0					
P	MQ	IPLC/NGPL KNOXVILLE MARION	95	900088	MARKET DELIVERY	1023	0					
P	MQ	IPLC/NGPL LETTS MUSCATINE	95	900062	MARKET DELIVERY	185	0					
P	MQ	IPLC/NGPL MUSCATINE#1 MUSCATINE	95	900060	MARKET DELIVERY	5759	0					
P	MQ	IPLC/NGPL MUSCATINE#2 MUSCATINE	95	900061	MARKET DELIVERY	938	0					
P	MQ	IPLC/NGPL MUSCATINE#3 MUSCATINE	95	900057	MARKET DELIVERY	1109	0					
P	MQ	IPLC/NGPL OSCEOLA WARREN	95	900095	MARKET DELIVERY	1322	0					
P	MQ	IPLC/NGPL PELLA MAHASKA	95	900084	MARKET DELIVERY	1466	0					
P	MQ	IPLC/NGPL SIGOURNEY KEOKUK	95	900076	MARKET DELIVERY	539	0					
P	MQ	IPLC/NGPL TRURO MADISON	95	900097	MARKET DELIVERY	98	0					
P	MQ	IPLC/NGPL W CHESTER WASHINGTON	95	900070	MARKET DELIVERY	103	0					
P	MQ	IPLC/NGPL WASHINGTON WASHINGTON	95	68	MARKET DELIVERY	796	0					
P	MQ	IPLC/NGPL WHAT CHEER KEOKUK	95	900077	MARKET DELIVERY	224	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	24000					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	24000					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	24000					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	24000					
D	"JO-CARROLL ENERGY, INC."	3805454	N	DSS	145924-DSSNGPL	5/1/2016	4/30/2019		N	1700	85000	n1
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	MQ	JO CE/NGPL SAVANNA HENRY	95	43043	MARKET DELIVERY	1700	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	1700					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	1700					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	1700					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	1700					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	DSS	146436-DSSNGPL	12/1/2016	11/30/2019		N	2530	126500	n1
A	"CENTERPOINT ENERGY SERVICES,  INC."	N										
P	MQ	LIBERTY/NGPL DONIPHAN BUTLER	95	900187	MARKET DELIVERY	455	0					
P	MQ	LIBERTY/NGPL JACKSN CAPE GIRARDEAU	95	900183	MARKET DELIVERY	1781	0					
P	MQ	LIBERTY/NGPL OAKRDG CAPE GIRARDEAU	95	900182	MARKET DELIVERY	53	0					
P	MQ	LIBERTY/NGPL PUXICO STODDARD	95	900185	MARKET DELIVERY	241	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	2530					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	2530					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	2530					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	2530					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	DSS	146678-DSSNGPL	3/1/2017	2/29/2020		N	1200	60000	n1
A	"CENTERPOINT ENERGY SERVICES,  INC."	N										
P	MQ	LIBERTY/NGPL VANDALIA FAYETTE	95	900162	MARKET DELIVERY	1200	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	1200					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	1200					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	1200					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	1200					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	DSS	146679-DSSNGPL	3/1/2017	2/29/2020		N	500	25000	n1
A	"CENTERPOINT ENERGY SERVICES,  INC."	N										
P	MQ	LIBERTY/NGPL ST ELMO EFFINGHAM	95	900161	MARKET DELIVERY	500	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	500					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	500					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	500					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	500					
D	MIDAMERICAN ENERGY COMPANY	884718768	N	DSS	144895-DSSNGPL	5/1/2015	4/30/2018		N	200000	10000000	n1
P	MQ	MIDAMER/NGPL AFTON UNION	95	900103	MARKET DELIVERY	450	0					
P	MQ	MIDAMER/NGPL ANDALUSIA ROCK ISLAND	95	900052	MARKET DELIVERY	492	0					
P	MQ	MIDAMER/NGPL ATTICA MARION	95	900087	MARKET DELIVERY	213	0					
P	MQ	MIDAMER/NGPL CEDR RAP#2 WASHINGTON	95	66	MARKET DELIVERY	5426	0					
P	MQ	MIDAMER/NGPL DAVENPORT SCOTT	95	900053	MARKET DELIVERY	2235	0					
P	MQ	MIDAMER/NGPL DES MOINES WARREN	95	3950	MARKET DELIVERY	54088	0					
P	MQ	MIDAMER/NGPL EDGINGTON ROCK ISLAND	95	900054	MARKET DELIVERY	313	0					
P	MQ	MIDAMER/NGPL ELLIOTT MONTGOMERY	95	900110	MARKET DELIVERY	180	0					
P	MQ	MIDAMER/NGPL EMERSON MILLS	95	900112	MARKET DELIVERY	384	0					
P	MQ	MIDAMER/NGPL HARVEY MARION	95	900086	MARKET DELIVERY	132	0					
P	MQ	MIDAMER/NGPL ILL CITY ROCK ISLAND	95	55	MARKET DELIVERY	98	0					
P	MQ	MIDAMER/NGPL INDIANOLA WARREN	95	900093	MARKET DELIVERY	6494	0					
P	MQ	MIDAMER/NGPL LEIGHTON MAHASKA	95	900083	MARKET DELIVERY	106	0					
P	MQ	MIDAMER/NGPL MALVERN MILLS	95	113	MARKET DELIVERY	569	0					
P	MQ	MIDAMER/NGPL MARTENSDALE WARREN	95	900094	MARKET DELIVERY	395	0					
P	MQ	MIDAMER/NGPL MELCHER MARION	95	900089	MARKET DELIVERY	505	0					
P	MQ	MIDAMER/NGPL MILO WARREN	95	900092	MARKET DELIVERY	352	0					
P	MQ	MIDAMER/NGPL MOLINE #1 ROCK ISLAND	95	900048	MARKET DELIVERY	6511	0					
P	MQ	MIDAMER/NGPL MOLINE #2 ROCK ISLAND	95	900049	MARKET DELIVERY	7852	0					
P	MQ	MIDAMER/NGPL MOLINE #3 HENRY	95	900047	MARKET DELIVERY	7600	0					
P	MQ	MIDAMER/NGPL MOLINE #4 HENRY	95	900046	MARKET DELIVERY	447	0					
P	MQ	MIDAMER/NGPL NEW SHARON MAHASKA	95	900080	MARKET DELIVERY	744	0					
P	MQ	MIDAMER/NGPL OSKALOOSA MAHASKA	95	900082	MARKET DELIVERY	7702	0					
P	MQ	MIDAMER/NGPL OTTUMWA #1 MAHASKA	95	900081	MARKET DELIVERY	9114	0					
P	MQ	MIDAMER/NGPL OTTUMWA #2 MAHASKA	95	900078	MARKET DELIVERY	9114	0					
P	MQ	MIDAMER/NGPL PACIFIC JCT MILLS	95	115	MARKET DELIVERY	344	0					
P	MQ	MIDAMER/NGPL PLEASANTVILLE MARION	95	900090	MARKET DELIVERY	716	0					
P	MQ	MIDAMER/NGPL RED OAK MONTGOMERY	95	900111	MARKET DELIVERY	8155	0					
P	MQ	MIDAMER/NGPL ST CHARLES MADISON	95	900096	MARKET DELIVERY	280	0					
P	MQ	MIDAMER/NGPL TRACY MARION	95	900085	MARKET DELIVERY	642	0					
P	MQ	MIDAMER/NGPL TYLR RDGE ROCK ISLAND	95	900051	MARKET DELIVERY	130	0					
P	MQ	MIDAMER/NGPL W LIBERTY MUSCATINE	95	58	MARKET DELIVERY	5308	0					
P	MQ	MIDAMER/NGPL WINTERSET MADISON	95	900098	MARKET DELIVERY	2905	0					
P	MQ	MONTEZUM/NGPL MONTEZUMA MAHASKA	95	900079	MARKET DELIVERY	4	0					
P	MQ	NICORGAS/NGPL WEBER ROAD WILL	95	4109	MARKET DELIVERY	25000	0					
P	MQ	NIPSCO/NGPL LANSING COOK	95	4187	MARKET DELIVERY	25000	0					
P	MQ	PGLC/NGPL CRAWFORD COOK	95	904360	MARKET DELIVERY	10000	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	200000					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	200000					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	200000					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	200000					
D	NICOR GAS COMPANY	6927792	N	DSS	146204-DSSNGPL	11/1/2016	3/31/2026		Y	511006	25550300	n1
P	MQ	NICORGAS/NGPL CALDWELL AVE COOK	95	4134	MARKET DELIVERY	40000	0					
P	MQ	NICORGAS/NGPL DIXON LEE	95	900018	MARKET DELIVERY	22000	0					
P	MQ	NICORGAS/NGPL EOLA ROAD DU PAGE	95	904117	MARKET DELIVERY	135947	0					
P	MQ	NICORGAS/NGPL OREGON OGLE	95	900016	MARKET DELIVERY	2500	0					
P	MQ	NICORGAS/NGPL PARK RIDGE COOK	95	4131	MARKET DELIVERY	14053	0					
P	MQ	NICORGAS/NGPL ROCKFORD WINNEBAGO	95	900012	MARKET DELIVERY	70500	0					
P	MQ	NICORGAS/NGPL ROSELLE ROAD COOK	95	904106	MARKET DELIVERY	32000	0					
P	MQ	NICORGAS/NGPL SKOKIE RD COOK	95	4142	MARKET DELIVERY	132000	0					
P	MQ	NICORGAS/NGPL STREAMWOOD COOK	95	4100	MARKET DELIVERY	62006	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	511006					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	511006					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	511006					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	511006					
D	NORTH SHORE GAS COMPANY	6936306	N	DSS	146599-DSSNGPL	5/1/2017	4/30/2020		Y	45000	2250000	n1
A	THE PEOPLES GAS LIGHT AND COKE COMPANY	N										
P	MQ	NO SHORE/NGPL GRAYSLAKE LAKE	95	900001	MARKET DELIVERY	10000	0					
P	MQ	NO SHORE/NGPL TONNE RD COOK	95	7866	MARKET DELIVERY	35000	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	45000					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	45000					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	45000					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	45000					
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY	6937585	N	DSS	145881-DSSNGPL	4/1/2016	3/31/2019		N	130000	6500000	n1
P	MQ	NIPSCO/NGPL HEGEWISCH COOK	95	4186	MARKET DELIVERY	5000	0					
P	MQ	NIPSCO/NGPL LANSING COOK	95	4187	MARKET DELIVERY	70000	0					
P	MQ	NIPSCO/NGPL NORTH HAYDEN KANKAKEE	95	900130	MARKET DELIVERY	55000	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	130000					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	130000					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	130000					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	130000					
D	NRG POWER MARKETING LLC	28255979	N	DSS	149076-DSSNGPL	4/1/2018	3/31/2021		N	70000	3500000	n1
P	MQ	"MIDGEN/NGPL NRG CAL#1,#2 WILL"	95	48566	MARKET DELIVERY	70000	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	70000					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	70000					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	70000					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	70000					
D	THE PEOPLES GAS LIGHT AND COKE COMPANY	6932115	N	DSS	146605-DSSNGPL	5/1/2017	4/30/2020		Y	208000	10400000	n1
P	MQ	NO SHORE/NGPL GRAYSLAKE LAKE	95	900001	MARKET DELIVERY	13637	0					
P	MQ	PGLC/KMIP	95	43393	MARKET DELIVERY	40000	0					
P	MQ	PGLC/NGPL CRAWFORD COOK	95	904360	MARKET DELIVERY	104000	0					
P	MQ	PGLC/NGPL OAKTON STREET COOK	95	904174	MARKET DELIVERY	50363	0					
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	208000					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	208000					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	208000					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	208000					
D	WISCONSIN ELECTRIC POWER COMPANY	7947385	N	DSS	145853-DSSNGPL	4/1/2016	3/31/2019		Y	10000	500000	n1
P	MQ	STORAGE - IOWA-ILL AMA ZONE	95	25656	MARKET DELIVERY	0	10000					
P	M2	STORAGE - IOWA-ILL AMA ZONE	95	25656	IOWA-ILLINOIS RECEIP	0	10000					
P	MQ	STORAGE - IOWA-ILL GC ZONE	95	10550	MARKET DELIVERY	0	10000					
P	M2	STORAGE - IOWA-ILL GC ZONE	95	10550	IOWA-ILLINOIS RECEIP	0	10000					
P	MQ	WISC ELE/NGPL  KENOSHA	95	907112	MARKET DELIVERY	10000	0					
D	NICOR GAS COMPANY	6927792	N	FFTS	145637-FFTSNGPL	4/1/2016	3/31/2019		Y	0	0	n1
P	M2	NICORGAS/NGPL REC TROY GROVE LA SAL	95	11096	IOWA-ILLINOIS RECEIP	0	0					
P	MQ	NICORGAS/NGPL ROCK FALLS LEE	95	900021	MARKET DELIVERY	0	0					
D	NICOR GAS COMPANY	6927792	N	FFTS	145638-FFTSNGPL	4/1/2016	3/31/2019		Y	0	0	n1
P	MQ	NICORGAS/NGPL  ROCK ISLAND	95	56	MARKET DELIVERY	0	0					
P	MQ	NICORGAS/NGPL MORRIS GRUNDY	95	900026	MARKET DELIVERY	0	0					
P	MQ	NICORGAS/NGPL NORWAY LA SALLE	95	27	MARKET DELIVERY	0	0					
P	MQ	NICORGAS/NGPL OTTAWA LA SALLE	95	900029	MARKET DELIVERY	0	0					
P	MQ	NICORGAS/NGPL PRINCETON BUREAU	95	900038	MARKET DELIVERY	0	0					
P	M2	NICORGAS/NGPL REC TROY GROVE LA SAL	95	11096	IOWA-ILLINOIS RECEIP	0	0					
P	MQ	NICORGAS/NGPL WEDRON LA SALLE	95	900028	MARKET DELIVERY	0	0					
D	3M COMPANY	89233027	N	FTS	147766-FTSNGPL	1/1/2018	12/31/2020		N	1500	0	n1
A	BP ENERGY COMPANY	N										
P	MQ	3M/NGPL  PULASKI	95	25751	MARKET DELIVERY	1500	0					
P	M2	BP PROD/NGPL RED OAK LATIMER	95	904567	TEXOK RCPT & DELIVER	1500	0					
D	3M COMPANY	54236443	N	FTS	148482-FTSNGPL	11/1/2017	10/31/2018		N	1500	0	n1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	MIDAMER/NGPL MOLINE #4 HENRY	95	900046	MARKET DELIVERY	1500	0					
P	M2	N BORDER/NGPL HARPER KEOKUK	95	908090	IOWA-ILLINOIS RECEIP	1500	0					
D	3M COMPANY	75846824	N	FTS	148483-FTSNGPL	11/1/2017	10/31/2018		N	850	0	n1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	IPLC/NGPL KNOXVILLE MARION	95	900088	MARKET DELIVERY	850	0					
P	M2	N BORDER/NGPL HARPER KEOKUK	95	908090	IOWA-ILLINOIS RECEIP	850	0					
D	ACME BRICK COMPANY	832157283	N	FTS	144560-FTSNGPL	1/1/2015	12/31/2019		N	550	0	n1
A	"PRIORITY POWER MANAGEMENT, LLC"	N										
P	MQ	ACME/NGPL  HOT SPRING	95	10701	MARKET DELIVERY	550	0					
P	M2	EMP-EOIT/NGPL REC BRYAN	95	906507	TEXOK RCPT & DELIVER	550	0					
D	AMEREN ILLINOIS COMPANY	6936017	N	FTS	136280	11/1/2009	3/31/2032		N	0	0	n1
P	MQ	AMER IL/NGPL AMEREN BUREAU	95	46388	MARKET DELIVERY	0	0					
P	M2	OXY/NGPL INDIAN BASIN PLT EDDY	95	1753	PERMIAN RCPT & DELIV	0	0					
D	AMEREN ILLINOIS COMPANY	6936017	N	FTS	138605	11/1/2010	3/31/2021		N	7500	0	n1
P	MQ	AMER IL/NGPL MATTOON DOUGLAS	95	4879	MARKET DELIVERY	7500	0					
P	M2	MARATHON/NGPL VERNA KIOWA	95	44375	MIDCONTINENT RCPT &	5000	0					
P	M2	WILL MLP/NGPL LUCILLE #3-34 CADDO	95	43508	MIDCONTINENT RCPT &	2500	0					
D	AMEREN ILLINOIS COMPANY	6936017	N	FTS	145292-FTSNGPL	11/1/2015	10/31/2018		N	45000	0	n1
P	MQ	AMER IL/NGPL METROEAST MADISON	95	40330	MARKET DELIVERY	45000	0					
P	M2	ENABLEMR/NGPL  CLINTON	95	900169	IOWA-ILLINOIS RECEIP	45000	0					
D	AMEREN ILLINOIS COMPANY	6936017	N	FTS	145293-FTSNGPL	11/1/2015	10/31/2018		N	15000	0	n1
P	MQ	AMER IL/NGPL AMEREN BUREAU	95	46388	MARKET DELIVERY	10000	0					
P	MQ	AMER IL/NGPL HARRISON JACKSON	95	904881	MARKET DELIVERY	5000	0					
P	M2	CIG/NGPL FORGAN BEAVER	95	905207	MIDCONTINENT RCPT &	5000	0					
P	M2	WILL MLP/NGPL LUCILLE #3-34 CADDO	95	43508	MIDCONTINENT RCPT &	10000	0					
D	AMEREN ILLINOIS COMPANY	6936017	N	FTS	145294-FTSNGPL	11/1/2015	10/31/2018		N	60000	0	n1
P	MQ	AMER IL/NGPL HILLSBORO MOULTRIE	95	25165	MARKET DELIVERY	60000	0					
P	M2	ENBRIDGE/NGPL #2 PANOLA	95	41589	TEXOK RCPT & DELIVER	50000	0					
P	M2	GULFSTH/NGPL GOODRICH POLK	95	6297	TEXOK RCPT & DELIVER	5000	0					
P	M2	JEFFSTOR/NGPL  VERMILION	95	25731	LOUISIANA RCPT & DEL	5000	0					
D	ANTERO RESOURCES CORPORATION	831003012	N	FTS	144251-FTSNGPL	4/1/2014	3/31/2022		N	235000	0	n1
P	MQ	NICORGAS/NGPL PONTIAC LIVINGSTON	95	900140	MARKET DELIVERY	235000	0					
P	M2	REX/NGPL  MOULTRIE	95	44413	IOWA-ILLINOIS RECEIP	235000	0					
D	ANTERO RESOURCES CORPORATION	831003012	N	FTS	145234-FTSNGPL	11/1/2016	10/31/2033		Y	75000	0	n1
P	MQ	NIPSCO/NGPL NORTH HAYDEN KANKAKEE	95	900130	MARKET DELIVERY	75000	0					
P	M2	REX/NGPL  MOULTRIE	95	44413	IOWA-ILLINOIS RECEIP	75000	0					
D	APACHE CORPORATION	6961551	N	FTS	145028-FTSNGPL	7/1/2015	6/30/2018		N	10000	0	n1
P	M2	EMP-EOIT/NGPL  BECKHAM	95	5556	MIDCONTINENT RCPT &	10000	0					
P	MQ	NIPSCO/NGPL LANSING COOK	95	4187	MARKET DELIVERY	5000	0					
P	MQ	NIPSCO/NGPL NORTH HAYDEN KANKAKEE	95	900130	MARKET DELIVERY	5000	0					
D	ARKANSAS ELECTRIC COOPERATIVE CORPORATION	43559699	N	FTS	147089-FTSNGPL	10/1/2016	9/30/2018		N	25000	0	n1
P	MQ	AECC/NGPL FULTON POWER PLANT HEMPST	95	37585	MARKET DELIVERY	1000	0					
P	MQ	AECC/NGPL WRIGHTSVILLE PLT PULASKI	95	37026	MARKET DELIVERY	24000	0					
P	M2	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	25000	0					
D	"ASCENT RESOURCES - UTICA, LLC"	79174372	N	FTS	144255-FTSNGPL	4/1/2015	3/31/2035		N	115000	0	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
