H	"Garden Banks Gas Pipeline, LLC"	C000511	4/2/2018	O	4/1/2018	F		LISA CONNOLLY 713-627-4102				
P	MQ	TRANSCO (992107)	95	G0015	GB	5488						
D	MARUBENI OIL & GAS (USA) LLC	141411699	N	FT-2	330042-R1	5/17/2002			N	900		M1/N2
A	MIECO INC	N										
P	M2	GB-128 MAGNOLIA (992103)	95	G0002	GB	900						
P	MQ	SEA ROBIN (992105)	95	G0012	GB	225						
P	MQ	KINETICA ENERGY EXPRESS (992108)	95	G0013	GB	225						
P	MQ	KINETICA DEEPWATER EXPRESS (992106)	95	G0014	GB	225						
P	MQ	TRANSCO (992107)	95	G0015	GB	225						
D	MURPHY EXPLORATION & PRODUCTION COMPANY - USA	78752116	N	FT-2	330043-R1	12/1/2003			N	7613		M1/N2
P	M2	GB-128 (992100)	95	G0001	GB	7613						
P	MQ	KINETICA DEEPWATER EXPRESS (992106)	95	G0014	GB	7613						
D	"SHELL OFFSHORE, INC."	82812637	N	FT-2	330044-R1	3/20/1997			N	87000		M1/N2
P	M2	GB-128 (992100)	95	G0001	GB	87000						
P	MQ	SEA ROBIN (992105)	95	G0012	GB	1000						
P	MQ	KINETICA ENERGY EXPRESS (992108)	95	G0013	GB	1000						
P	MQ	KINETICA DEEPWATER EXPRESS (992106)	95	G0014	GB	34000						
P	MQ	TRANSCO (992107)	95	G0015	GB	51000						
D	STONE ENERGY OFFSHORE LLC	828242425	N	FT-2	330045-R1	1/1/2012			N	0		M1/N2
P	M2	GB-85 BALDPATE (992102)	95	G0008	GB	0						
P	MQ	KINETICA DEEPWATER EXPRESS (992106)	95	G0014	GB	0						
D	"W & T ENERGY VI, LLC"	30686	N	FT-2	330078-R1	2/1/2018			N	1500		YA3/M1/N2
P	M2	GB-85 BALDPATE (992102)	95	G0008	GB	1500						
P	MQ	KINETICA DEEPWATER EXPRESS (992106)	95	G0014	GB	1500						
F	1	"The Term is Life of Reserves, therefore there is no Contract Primary Term Expiration Date."										
F	2	"The Term is Life of Reserves, therefore there is no evergreen."										
F	3	"D-U-N-S number not received yet, proprietary code is shown."										
