H	"WBI Energy Transmission, Inc."	C000111	4/2/2018	O	4/1/2018	F	F	Lynn Lindblom 701-530-1604	f1/g1			
P	MQ	MDU-Sentinel Butte Border	95	2160		35						
P	MQ	MDU-Tran.Line(11)MTZ18	95	5115		13						
P	MQ	MDU-Bowman Border	95	5150		17						
P	MQ	MDU-Field Line(12)MTZ18	95	5153		5						
P	MQ	MDU-Tran.Line(12)NDZ34	95	5156		4						
P	MQ	MDU-Encore Master	95	5157		1						
P	MQ	MDU-Tran.Line(14)MTZ17	95	5195		5						
P	MQ	MDU-Colony Am. Col. West	95	5200		5						
P	MQ	MDU-Belle Fourche Am. Col. Wht	95	5211		10						
P	MQ	MDU-Skelly Master	95	5300		24						
P	MQ	MDU-Pine Acres Master	95	5320		12						
P	MQ	MDU-Rapid-Black Hawk Agg Pt	95	5380		199						
P	MQ	MDU-Tran.Line(15)WYZ37	95	5515		19						
P	M2	McKenzie Plant	95	910		26351						
P	MQ	MDU-St. Marie Border	95	1130		27						
P	MQ	MDU-Glasgow Border	95	1140		205						
P	MQ	MDU-Nashua Border	95	1160		20						
P	MQ	MDU-Wolf Point Border	95	1180		220						
P	MQ	MDU-Glendive Border	95	1220		398						
P	MQ	MDU-Sidney Lewis & Clark	95	1262		50						
P	MQ	MDU-Sidney Border	95	1280		1099						
P	MQ	MDU-Fairview Border	95	1300		274						
P	MQ	MDU-Watford City West Border	95	1325		347						
P	MQ	MDU-Arnegard Border	95	1350		36						
P	MQ	MDU-Trenton Border	95	1390		34						
P	MQ	MDU-Williston Border	95	1410		3472						
P	MQ	MDU-Epping Border	95	1450		125						
P	MQ	MDU-Ray Border	95	1460		216						
P	MQ	MDU-Tioga Border	95	1470		360						
P	MQ	MDU-Lignite Border	95	1475		40						
P	MQ	MDU-Tran.Line(06)MTZ241	95	1479		26						
P	MQ	MDU-Tran.Line(06)MTZ212	95	1484		47						
P	MQ	MDU-Tran.Line(06)MTZ211	95	1485		107						
P	MQ	MDU-Tran.Line(06)NDZ25	95	1486		6						
P	MQ	MDU-White Earth Border	95	1490		5						
P	MQ	MDU-Tran.Line(06)MTZ213	95	1495		50						
P	MQ	MDU-Ross Border	95	1500		72						
P	MQ	MDU-Stanley Border	95	1510		155						
P	MQ	MDU-Palermo Border	95	1520		9						
P	MQ	MDU-Berthold Border	95	1530		40						
P	MQ	MDU-Des Lacs Border	95	1540		45						
P	MQ	MDU-Minot Border	95	1550		2566						
P	MQ	MDU-Ruthville Border	95	1570		25						
P	MQ	MDU-Burlington Border	95	1600		45						
P	MQ	MDU-Prairie View Hgts Master	95	1610		7						
P	MQ	MDU-Max Border	95	1620		44						
P	MQ	MDU-Garrison Border	95	1630		191						
P	MQ	MDU-Turtle Lake Border	95	1640		89						
P	MQ	MDU-Underwood Border	95	1650		67						
P	MQ	MDU-Riverdale Border	95	1660		48						
P	MQ	MDU-Washburn Border	95	1670		65						
P	MQ	MDU-Wilton Border	95	1680		56						
P	MQ	MDU-Tran.Line(30)NDZ264	95	1689		60						
P	MQ	MDU-Steele Border	95	1700		87						
P	MQ	MDU-Jamestown Border	95	1760		328						
P	MQ	MDU-Valley City Border	95	1790		337						
P	MQ	MDU-Fort Totten Border	95	1830		28						
P	MQ	MDU-Devils Lake Border	95	1840		886						
P	MQ	MDU-Park River Border	95	1870		39						
P	MQ	MDU-Grafton Border	95	1880		339						
P	MQ	MDU-Walhalla Border	95	1900		28						
P	MQ	MDU-Bismarck Border	95	1960		1362						
P	MQ	MDU-Mandan Border	95	1970		335						
P	MQ	MDU-New Salem Border	95	2010		116						
P	MQ	MDU-Glen Ullin Border	95	2020		65						
P	MQ	MDU-Hebron Border	95	2030		20						
P	MQ	MDU-Richardton Border	95	2040		244						
P	MQ	MDU-Mott Border	95	2060		119						
P	MQ	MDU-Regent Border	95	2070		42						
P	MQ	MDU-New England Border	95	2080		50						
P	MQ	MDU-Tran.Line(02)NDZ31	95	2115		69						
P	MQ	MDU-Tran.Line(02)NDZ28	95	2116		26						
P	MQ	MDU-Dickinson Border	95	2120		1128						
P	MQ	MDU-South Heart Border	95	2130		57						
P	MQ	MDU-Beach Border	95	2170		55						
P	MQ	MDU-Wibaux Border	95	2185		85						
P	MQ	MDU-Billings Border	95	3820		1068						
P	MQ	MDU-Baker Border	95	5110		61						
P	MQ	MDU-Bowman Border	95	5150		351						
P	MQ	MDU-Camp Crook Border	95	5170		2						
P	MQ	MDU-Belle Fourche Border	95	5220		411						
P	MQ	MDU-Deadwood-Lead Agg Pt	95	5265		776						
P	MQ	MDU-Whitewood Border	95	5280		78						
P	MQ	MDU-Skelly Master	95	5300		28						
P	MQ	MDU-Sturgis Border	95	5310		116						
P	MQ	MDU-Pine Acres Master	95	5320		16						
P	MQ	MDU-Fort Meade Housing	95	5330		33						
P	MQ	MDU-Rapid-Black Hawk Agg Pt	95	5380		6818						
P	M2	Red Wing Plant	95	950		2465						
P	MQ	MDU-Williston Border	95	1410		200						
P	MQ	MDU-Minot Border	95	1550		520						
P	MQ	MDU-Jamestown Border	95	1760		130						
P	MQ	MDU-Mandan Border	95	1970		200						
P	MQ	MDU-Dickinson Border	95	2120		200						
P	MQ	MDU-Rhame Border	95	5130		95						
P	MQ	MDU-Bowman Border	95	5150		259						
P	MQ	MDU-Tran.Line(12)NDZ34	95	5156		6						
P	MQ	MDU-Belle Fourche Border	95	5220		100						
P	MQ	MDU-Spearfish Border	95	5230		127						
P	MQ	MDU-Deadwood-Lead Agg Pt	95	5265		422						
P	MQ	MDU-Sturgis Border	95	5310		206						
P	M2	Pine Unit	95	955		5350						
P	MQ	MDU-Watford City West Border	95	1325		337						
P	MQ	MDU-Ray Border	95	1460		76						
P	MQ	MDU-Tioga Border	95	1470		224						
P	MQ	MDU-Stanley Border	95	1510		201						
P	MQ	MDU-Minot Border	95	1550		1598						
P	MQ	MDU-Burlington Border	95	1600		79						
P	MQ	MDU-Devils Lake Border	95	1840		335						
P	MQ	MDU-Rapid-Black Hawk Agg Pt	95	5380		2500						
P	M2	Lignite Plant	95	980		2385						
P	MQ	MDU-Glasgow Border	95	1140		105						
P	MQ	MDU-Poplar Border	95	1190		58						
P	MQ	MDU-Glendive Border	95	1220		130						
P	MQ	MDU-Sidney Border	95	1280		100						
P	MQ	MDU-Williston Border	95	1410		203						
P	MQ	MDU-Jamestown Border	95	1760		280						
P	MQ	MDU-Valley City Border	95	1790		100						
P	MQ	MDU-Carrington Border	95	1800		90						
P	MQ	MDU-New Rockford Border	95	1810		90						
P	MQ	MDU-Devils Lake Border	95	1840		220						
P	MQ	MDU-Park River Border	95	1870		90						
P	MQ	MDU-Grafton Border	95	1880		110						
P	MQ	MDU-Cavalier Border	95	1930		90						
P	MQ	MDU-Bismarck Border	95	1960		299						
P	MQ	MDU-Baker Border	95	5110		50						
P	MQ	MDU-Belle Fourche Border	95	5220		270						
P	MQ	MDU-Sturgis Border	95	5310		100						
P	M2	Tioga Plant	95	990		9093						
P	MQ	MDU-St. Marie Border	95	1130		166						
P	MQ	MDU-Glasgow Border	95	1140		329						
P	MQ	MDU-Nashua Border	95	1160		29						
P	MQ	MDU-Wolf Point Border	95	1180		89						
P	MQ	MDU-Poplar Border	95	1190		120						
P	MQ	MDU-Sidney Border	95	1280		43						
P	MQ	MDU-Fairview Border	95	1300		65						
P	MQ	MDU-Alexander Border	95	1360		82						
P	MQ	MDU-Williston Border	95	1410		78						
P	MQ	MDU-Epping Border	95	1450		6						
P	MQ	MDU-Tran.Line(06)MTZ241	95	1479		37						
P	MQ	MDU-Tran.Line(06)MTZ212	95	1484		1						
P	MQ	MDU-Tran.Line(06)MTZ211	95	1485		2						
P	MQ	MDU-Tran.Line(06)NDZ241	95	1491		1						
P	MQ	MDU-Berthold Border	95	1530		30						
P	MQ	MDU-Minot Border	95	1550		480						
P	MQ	MDU-Garrison Border	95	1630		58						
P	MQ	MDU-Turtle Lake Border	95	1640		19						
P	MQ	MDU-Underwood Border	95	1650		18						
P	MQ	MDU-Washburn Border	95	1670		77						
P	MQ	MDU-Wilton Border	95	1680		29						
P	MQ	MDU-Tran.Line(07)NDZ261	95	1685		44						
P	MQ	MDU-Tran.Line(07)NDZ262	95	1686		45						
P	MQ	MDU-Tran.Line(07)NDZ264	95	1689		60						
P	MQ	MDU-Tran.Line(30)NDZ260	95	1691		1						
P	MQ	MDU-Steele Border	95	1700		18						
P	MQ	MDU-Jamestown Border	95	1760		694						
P	MQ	MDU-Valley City Border	95	1790		76						
P	MQ	MDU-Carrington Border	95	1800		82						
P	MQ	MDU-New Rockford Border	95	1810		61						
P	MQ	MDU-Fort Totten Border	95	1830		21						
P	MQ	MDU-Devils Lake Border	95	1840		134						
P	MQ	MDU-Langdon Border	95	1860		141						
P	MQ	MDU-Park River Border	95	1870		67						
P	MQ	MDU-Walhalla Border	95	1900		126						
P	MQ	MDU-Cavalier Border	95	1930		63						
P	MQ	MDU-Bismarck Border	95	1960		2070						
P	MQ	MDU-New Salem Border	95	2010		73						
P	MQ	MDU-Glen Ullin Border	95	2020		78						
P	MQ	MDU-Hebron Border	95	2030		40						
P	MQ	MDU-Richardton Border	95	2040		26						
P	MQ	MDU-New England Border	95	2080		59						
P	MQ	MDU-Dickinson Border	95	2120		850						
P	MQ	MDU-Belfield Border	95	2150		159						
P	MQ	MDU-Beach Border	95	2170		144						
P	MQ	MDU-Wibaux Border	95	2185		67						
P	MQ	MDU-Baker Border	95	5110		125						
P	MQ	MDU-Bowman Border	95	5150		97						
P	MQ	MDU-Belle Fourche Border	95	5220		200						
P	MQ	MDU-Spearfish Border	95	5230		445						
P	MQ	MDU-Deadwood-Lead Agg Pt	95	5265		100						
P	MQ	MDU-Whitewood Border	95	5280		83						
P	MQ	MDU-Sturgis Border	95	5310		214						
P	MQ	MDU-Rapid-Black Hawk Agg Pt	95	5380		871						
P	M2	NBPL-Manning (R)	95	1011		38055						
P	MQ	MDU-Tran.Line(26)MTZ41	95	1012		3						
P	MQ	MDU-Tran.Line(26)MTZ39	95	1013		1						
P	MQ	MDU-Glasgow Border	95	1140		325						
P	MQ	MDU-Wolf Point Border	95	1180		287						
P	MQ	MDU-Poplar Border	95	1190		418						
P	MQ	MDU-Glendive Border	95	1220		1101						
P	MQ	MDU-Sidney Border	95	1280		450						
P	MQ	MDU-Williston Border	95	1410		650						
P	MQ	MDU-Berthold Border	95	1530		115						
P	MQ	MDU-Minot Border	95	1550		1205						
P	MQ	MDU-Windsor Staloch Farms	95	1745		1						
P	MQ	MDU-Jamestown Border	95	1760		1558						
P	MQ	MDU-Jamestown Gavilon Grain	95	1762		1						
P	MQ	MDU-Valley City Peavey Master	95	1789		1						
P	MQ	MDU-Valley City Border	95	1790		399						
P	MQ	MDU-Carrington Border	95	1800		329						
P	MQ	MDU-New Rockford Border	95	1810		222						
P	MQ	MDU-Barlow Barlow Elevator	95	1811		1						
P	MQ	MDU-Devils Lake Border	95	1840		869						
P	MQ	MDU-Langdon Border	95	1860		433						
P	MQ	MDU-Grafton Border	95	1880		818						
P	MQ	MDU-P.A.R. Turbine	95	1890		137						
P	MQ	MDU-Walhalla Industrial	95	1900		122						
P	MQ	MDU-Harmon Farms	95	1939		1						
P	MQ	MDU-Bismarck Border	95	1960		9250						
P	MQ	MDU-Mandan Border	95	1970		2190						
P	MQ	MDU-Hebron Border	95	2030		10						
P	MQ	MDU-Taylor Border	95	2050		20						
P	MQ	MDU-Gladstone Border	95	2100		26						
P	MQ	MDU-Dickinson Border	95	2120		1685						
P	MQ	MDU-South Heart Border	95	2130		100						
P	MQ	MDU-Belfield Border	95	2150		60						
P	MQ	MDU-Billings Border	95	3820		1500						
P	MQ	MDU-Belle Creek Field	95	5190		101						
P	MQ	MDU-Belle Fourche Border	95	5220		200						
P	MQ	MDU-Spearfish Border	95	5230		903						
P	MQ	MDU-Deadwood-Lead Agg Pt	95	5265		450						
P	MQ	MDU-Sturgis Border	95	5310		300						
P	MQ	MDU-Fort Meade Hospital	95	5340		150						
P	MQ	MDU-Rapid-Black Hawk Agg Pt	95	5380		5320						
P	MQ	MDU-Buffalo Border	95	5530		853						
P	MQ	MDU-Sheridan Border	95	5540		5405						
P	MQ	MDU-Tran.Line(23)WYZ91	95	5545		85						
P	M2	Little Knife Plant	95	1020		8677						
P	MQ	MDU-Glasgow Border	95	1140		115						
P	MQ	MDU-Wolf Point Border	95	1180		61						
P	MQ	MDU-Glendive Border	95	1220		96						
P	MQ	MDU-Sidney Border	95	1280		35						
P	MQ	MDU-Williston Border	95	1410		500						
P	MQ	MDU-Minot Border	95	1550		950						
P	MQ	MDU-Tran.Line(07)NDZ264	95	1689		32						
P	MQ	MDU-Valley City Border	95	1790		385						
P	MQ	MDU-Bismarck Border	95	1960		383						
P	MQ	MDU-Mandan Border	95	1970		144						
P	MQ	MDU-Taylor Border	95	2050		28						
P	MQ	MDU-Mott Border	95	2060		96						
P	MQ	MDU-New England Border	95	2080		75						
P	MQ	MDU-Tran.Line(02)NDZ28	95	2116		8						
P	MQ	MDU-South Heart Border	95	2130		11						
P	MQ	MDU-Killdeer Border	95	2140		118						
P	MQ	MDU-Belfield Border	95	2150		37						
P	MQ	MDU-Beach Border	95	2170		64						
P	MQ	MDU-Wibaux Border	95	2185		35						
P	MQ	MDU-Billings Border	95	3820		1107						
P	MQ	MDU-Baker Border	95	5110		205						
P	MQ	MDU-Bowman Border	95	5150		87						
P	MQ	MDU-Spearfish Border	95	5230		655						
P	MQ	MDU-Deadwood-Lead Agg Pt	95	5265		308						
P	MQ	MDU-Sturgis Border	95	5310		200						
P	MQ	MDU-Rapid-Black Hawk Agg Pt	95	5380		2942						
P	M2	NBPL-Glen Ullin (R)	95	1051		62561						
P	MQ	MDU-Whitewater Border	95	1080		17						
P	MQ	MDU-Hinsdale Border	95	1120		32						
P	MQ	MDU-St. Marie Border	95	1130		87						
P	MQ	MDU-Glasgow Border	95	1140		1190						
P	MQ	MDU-Fort Peck Border	95	1150		94						
P	MQ	MDU-Tran.Line(08)MTZ22	95	1155		49						
P	MQ	MDU-Nashua Border	95	1160		108						
P	MQ	MDU-Frazer Border	95	1170		60						
P	MQ	MDU-Wolf Point Border	95	1180		854						
P	MQ	MDU-Poplar Border	95	1190		741						
P	MQ	MDU-Tran.Line(09)MTZ22	95	1195		59						
P	MQ	MDU-Richey Border	95	1200		53						
P	MQ	MDU-Tran.Line(10)MTZ22	95	1205		9						
P	MQ	MDU-Glendive Border	95	1220		1814						
P	MQ	MDU-Tran.Line(05)MTZ20	95	1245		71						
P	MQ	MDU-Savage Border	95	1250		72						
P	MQ	MDU-Sidney Border	95	1280		1271						
P	MQ	MDU-Fairview Border	95	1300		107						
P	MQ	MDU-Watford City West Border	95	1325		71						
P	MQ	MDU-Arnegard Border	95	1350		5						
P	MQ	MDU-Alexander Border	95	1360		16						
P	MQ	MDU-Trenton Border	95	1390		57						
P	MQ	MDU-Williston Border	95	1410		1265						
P	MQ	MDU-Epping Border	95	1450		36						
P	MQ	MDU-Ray Border	95	1460		89						
P	MQ	MDU-Tioga Border	95	1470		256						
P	MQ	MDU-Lignite Border	95	1475		47						
P	MQ	MDU-Tran.Line(06)MTZ212	95	1484		108						
P	MQ	MDU-Tran.Line(06)MTZ211	95	1485		135						
P	MQ	MDU-Tran.Line(06)NDZ25	95	1486		1						
P	MQ	MDU-Tran.Line(06)NDZ24	95	1488		25						
P	MQ	MDU-White Earth Border	95	1490		18						
P	MQ	MDU-Ross Border	95	1500		23						
P	MQ	MDU-Stanley Border	95	1510		301						
P	MQ	MDU-Palermo Border	95	1520		14						
P	MQ	MDU-Berthold Border	95	1530		92						
P	MQ	MDU-Des Lacs Border	95	1540		35						
P	MQ	MDU-Minot Border	95	1550		480						
P	MQ	MDU-Ruthville Border	95	1570		22						
P	MQ	MDU-Minot A.F.B.	95	1580		1682						
P	MQ	MDU-Burlington Border	95	1600		277						
P	MQ	MDU-Prairie View Hgts Master	95	1610		10						
P	MQ	MDU-Max Border	95	1620		51						
P	MQ	MDU-Garrison Border	95	1630		349						
P	MQ	MDU-Turtle Lake Border	95	1640		172						
P	MQ	MDU-Underwood Border	95	1650		163						
P	MQ	MDU-Riverdale Border	95	1660		39						
P	MQ	MDU-Washburn Border	95	1670		260						
P	MQ	MDU-Wilton Border	95	1680		166						
P	MQ	MDU-Tran.Line(07)NDZ261	95	1685		62						
P	MQ	MDU-Tran.Line(07)NDZ262	95	1686		59						
P	MQ	MDU-Apple Valley Border	95	1690		176						
P	MQ	MDU-Steele Border	95	1700		184						
P	MQ	MDU-Dawson Border	95	1710		13						
P	MQ	MDU-Tappen Border	95	1720		39						
P	MQ	MDU-Medina Border	95	1730		65						
P	MQ	MDU-Tran.Line(03)NDZ271	95	1735		13						
P	MQ	MDU-Cleveland Border	95	1740		15						
P	MQ	MDU-Eldridge Border	95	1755		22						
P	MQ	MDU-Jamestown Border	95	1760		1805						
P	MQ	MDU-Sanborn Border	95	1780		31						
P	MQ	MDU-Valley City Peavey Master	95	1789		5						
P	MQ	MDU-Valley City Border	95	1790		523						
P	MQ	MDU-Tran.Line(24)NDZ272	95	1791		82						
P	MQ	MDU-Carrington Border	95	1800		386						
P	MQ	MDU-New Rockford Border	95	1810		420						
P	MQ	MDU-Sheyenne Border	95	1820		153						
P	MQ	MDU-Fort Totten Border	95	1830		125						
P	MQ	MDU-Devils Lake Border	95	1840		627						
P	MQ	MDU-M.S.R.	95	1850		15						
P	MQ	MDU-Langdon Border	95	1860		207						
P	MQ	MDU-Park River Border	95	1870		275						
P	MQ	MDU-Grafton Border	95	1880		349						
P	MQ	MDU-P.A.R. Housing	95	1889		35						
P	MQ	MDU-Walhalla Industrial	95	1900		233						
P	MQ	MDU-Cavalier Border	95	1930		521						
P	MQ	MDU-Tran.Line(04)NDZ273	95	1935		65						
P	MQ	MDU-Bismarck Border	95	1960		6091						
P	MQ	MDU-Mandan Border	95	1970		1595						
P	MQ	MDU-New Salem Border	95	2010		172						
P	MQ	MDU-Glen Ullin Border	95	2020		228						
P	MQ	MDU-Hebron Border	95	2030		231						
P	MQ	MDU-Richardton Border	95	2040		125						
P	MQ	MDU-Taylor Border	95	2050		23						
P	MQ	MDU-Mott Border	95	2060		118						
P	MQ	MDU-Regent Border	95	2070		47						
P	MQ	MDU-New England Border	95	2080		123						
P	MQ	MDU-Lefor Border	95	2090		11						
P	MQ	MDU-Gladstone Border	95	2100		36						
P	MQ	MDU-Tran.Line(02)NDZ28	95	2116		17						
P	MQ	MDU-Dickinson Border	95	2120		1183						
P	MQ	MDU-South Heart Border	95	2130		49						
P	MQ	MDU-Killdeer Border	95	2140		117						
P	MQ	MDU-Belfield Border	95	2150		362						
P	MQ	MDU-Sentinel Butte Border	95	2160		16						
P	MQ	MDU-Beach Border	95	2170		288						
P	MQ	MDU-Golva Border	95	2180		3						
P	MQ	MDU-Wibaux Border	95	2185		87						
P	MQ	MDU-Tran.Line(01)MTZ32	95	2187		8						
P	MQ	MDU-Tran.Line(01)NDZ32	95	2188		20						
P	MQ	MDU-Tran.Line(01)NDZ31	95	2189		14						
P	MQ	MDU-Lovell Border	95	3580		406						
P	MQ	MDU-Cowley Border	95	3600		47						
P	MQ	MDU-Powell Border	95	3640		1103						
P	MQ	MDU-Laurel Border	95	3780		686						
P	MQ	MDU-Billings Border	95	3820		6921						
P	MQ	MDU-Crow Agency Border	95	3880		126						
P	MQ	MDU-Hardin Border	95	3900		428						
P	MQ	MDU-Forsyth Border	95	3910		252						
P	MQ	MDU-Miles City Border	95	3930		1782						
P	MQ	MDU-Terry Border	95	3960		63						
P	MQ	MDU-Baker Border	95	5110		520						
