H	"DOMINION ENERGY QUESTAR PIPELINE, LLC"	C001088	4/2/2018	O	4/1/2018	T	T	ERIC LARSON 801-324-2047				
D	NORTHWEST PIPELINE LLC	67977322	N	FSS	926	5/15/1991	5/14/2002	365	N		3237600	
P	SB	CLAY BASIN RESERVOIR	95	184			26980					
D	"OCCIDENTAL ENERGY MARKETING, INC."	52298721	N	T-1	4330	1/1/2010	12/31/2022		N	25000		
P	M2	HELL'S GULCH	95	372		25000						
P	MQ	QPC GREASEWOOD DEL	95	297		25000						
D	PACIFICORP	7909013	N	T-1	3475	4/1/2005	3/31/2035		N	190000		
P	MQ	CURRANT CREEK PWR	95	362		190000						
P	M2	K.R. GOSHEN - REC	95	836		190000						
D	PACIFICORP	7909013	N	T-1	4980	2/1/2014	3/31/2044		Y	90000		
P	M2	CO2 PLT OUTLET	95	302		5000						
P	MQ	QGC/104	95	332		90000						
P	M2	RED WASH - FIDLAR	95	370		11988						
P	M2	SHUTE CREEK MM	95	69		20000						
P	M2	WHITE RIVER HUB (R)	95	409		48012						
P	M2	WILDCAT TAP (C4)	95	329		5000						
D	PACIFICORP	7909013	N	FSS	951	5/1/1993	3/31/2019		N		1065000	
P	SB	CLAY BASIN RESERVOIR	95	184			8875					
D	PACIFICORP	7909013	N	T-1 SSXP	3293	11/1/2005	10/31/2025		N	60000		
P	M2	CO2 PLT OUTLET	95	302		10000						
P	M2	EAST ANSCHUTZ MM	95	92		7000						
P	M2	HUNTINGTON PLANT	95	411		1000						
P	MQ	KERN RIVER - GOSHEN	95	336		60000						
P	M2	OPAL PLANT TO QPC/EAKIN	95	429		10000						
P	M2	PAINTER NRU/NGL	95	88		20000						
P	M2	RED WASH - FIDLAR	95	370		10000						
P	M2	WILDCAT TAP (C4)	95	329		2000						
D	PACIFICORP	7909013	N	NNT	3932	12/15/2007	3/31/2019		N	1000		X1
D	PACIFICORP	7909013	N	T-1	1005	4/15/1994	12/31/2020		N	20000		
P	M2	CLAY BASIN QPC WD	95	66		20000						
P	MQ	NAUGHTON	95	207		20000						
D	"PUGET SOUND ENERGY, INC."	7942113	N	FSS	925	6/18/1991	3/31/2021		N		10437000	
P	SB	CLAY BASIN RESERVOIR	95	184			86975					
D	"PUGET SOUND ENERGY, INC."	7942113	N	FSS	936	5/1/1994	3/31/2020		N		2445750	
P	SB	CLAY BASIN RESERVOIR	95	184			20381					
D	QEP ENERGY COMPANY	46934568	N	T-1	4373	11/1/2011	11/10/2021		N	20000		
P	MQ	KERN RIVER - GOSHEN	95	336		20000						
P	M2	RED WASH - FIDLAR	95	370		20000						
D	QUESTAR GAS COMPANY	7939069	Y	T-1	241	11/1/1989	6/30/2027		N	798902		
P	M2	ALTAMONT MM	95	145		2946						
P	M2	BLACKS FORK OUT/QPC	95	247		45921						
P	M2	BLUE FOREST TAP	95	67		28641						
P	M2	CANYON CR SHALLOW	95	51		127						
P	M2	CHALK CR STORAGE WD	95	97		14700						
P	M2	CHIPETA PROCESSING (REC)	95	421		689						
P	M2	CLAY BASIN FRONTIER	95	65		3178						
P	M2	CLAY BASIN QPC WD	95	66		160699						
P	M2	CO2 PLT OUTLET	95	302		14795						
P	M2	COALVILLE STORAGE WD	95	98		62500						
P	M2	ET OUTLET	95	72		34524						
P	M2	EXXON (COLUMBIA-QPC)	95	84		225						
P	M2	HIAWATHA DEEP CM	95	42		595						
P	M2	KANDA/COL CIG REC	95	871		60903						
P	MQ	KEMMERER GATE TO OTP	95	345		2413						
P	M2	LEROY STORAGE WD	95	82		55128						
P	M2	LUCKEY DITCH CM-REC	95	880		975						
P	M2	NO. BAXTER FLD CMPR	95	326		303						
P	M2	OVERTHRUST JL 36 MS	95	285		46564						
P	M2	POWDER WASH MM	95	35		10273						
P	MQ	QGC EVANSTON	95	177		9076						
P	MQ	QGC ROCK SPRINGS	95	169		20753						
P	MQ	QGC UTAH NORTH	95	162		61729						
P	MQ	QGC UTAH SOUTH	95	163		28021						
P	MQ	QGC VERNAL	95	334		5000						
P	MQ	QGC WASATCH FRONT	95	164		661507						
P	MQ	QGC WYOMING	95	168		10403						
P	M2	RABBIT MOUNTAIN MM	95	114		500						
P	M2	RED WASH - FIDLAR	95	370		35099						
P	M2	RYCKMAN STORAGE WITHDRAWAL (QPC)	95	420		16600						
