H	"TENNESSEE GAS PIPELINE COMPANY, L.L.C."	C000020	4/2/2018	O	4/1/2018	T	T	Nara Houy 713-420-4430				
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	2786					
D	ATMOS ENERGY (TN)	93153468	N	FS	3981-FSMATGP	11/1/1993	3/31/2025		N	0	417837	n1
A	ATMOS ENERGY CORP	N										
A	"ATMOS ENERGY MARKETING, LLC"	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	10000					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	2786					
D	BALDWYN  CITY OF	137022034	N	FS	2050-FSMATGP	9/1/1993	10/31/2020		N	0	48000	n1
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1300					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	320					
D	BATESVILLE  CITY OF	86941077	N	FS	2051-FSMATGP	9/1/1993	10/31/2020		N	0	84389	n1
A	UTILITY MANAGEMENT CORPORATION	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	2105					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	563					
D	BAY STATE GAS COMPANY	69340214	N	FS	5178-FSMATGP	11/1/1993	10/31/2023		N	0	1222594	n1
A	COLUMBIA GAS OF OHIO INC.	N										
A	REPSOL ENERGY NORTH AMERICA CORPORATION	N										
P	WR	STORAGE - NORTHERN	95	460018	ZONE 4	0	19755					
P	IJ	STORAGE - NORTHERN	95	460018	ZONE 4	0	8151					
D	BLACKSTONE GAS CO	9808379	N	FS	472-FSMATGP	9/1/1993	11/1/2020		N	0	16647	n1
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	WR	STORAGE - NORTHERN	95	460018	ZONE 4	0	111					
P	IJ	STORAGE - NORTHERN	95	460018	ZONE 4	0	111					
D	BOLIVAR  CITY OF	30418982	N	FS	2052-FSMATGP	9/1/1993	10/31/2020		N	0	180000	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	4000					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1200					
D	BOONEVILLE MUNICIPAL GAS SYSTEM	605952183	N	FS	2321-FSMATGP	9/1/1993	10/31/2020		N	0	172500	n1
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	3720					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1150					
D	BOSTON GAS COMPANY D/B/A/ NATIONAL GRID	6951586	N	FS	527-FSMATGP	9/1/1993	10/31/2019		N	0	6507460	n1
P	WR	STORAGE - NORTHERN	95	460018	ZONE 4	0	81265					
P	IJ	STORAGE - NORTHERN	95	460018	ZONE 4	0	43383					
D	CALEDONIA NATURAL GAS DISTRICT	782861884	N	FS	2387-FSMATGP	9/1/1993	11/1/2020		N	0	15083	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	309					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	101					
D	CASTLETON COMMODITIES MERCHANT TRADING L.P.	118638852	N	FS	47839-FSPATGP	4/1/2005	3/31/2019		N	0	600000	n1
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	3500					
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	4000					
D	"CENTERPOINT ENERGY ARKLA,  A DIV. OF CENTERPOINT ENERGY"	803838838	N	FS	2046-FSMATGP	9/1/1993	10/31/2019		N	0	16695	n1
A	CENTERPOINT ENERGY ENTEX	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	342					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	111					
D	"CENTERPOINT ENERGY ARKLA,  A DIV. OF CENTERPOINT ENERGY"	803838838	N	FS	2047-FSPATGP	9/1/1993	10/31/2019		N	0	6769	n1
A	CENTERPOINT ENERGY ENTEX	N										
P	WR	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	48					
P	IJ	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	45					
D	CENTERPOINT ENERGY ENTEX	46700779	N	FS	2210-FSMATGP	9/1/1993	10/31/2019		N	0	709765	n1
A	SUPERIOR NATURAL GAS CORPORATION	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	14388					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	4732					
D	CENTERVILLE  TOWN OF	77643716	N	FS	2092-FSMATGP	9/1/1993	10/31/2020		N	0	102331	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	3411					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	682					
D	CENTRAL HUDSON GAS & ELECTRIC CORP.	6993695	N	FS	2130-FSMATGP	9/1/1993	10/31/2019		N	0	920754	n1
P	WR	STORAGE - NORTHERN	95	460018	ZONE 4	0	17167					
P	IJ	STORAGE - NORTHERN	95	460018	ZONE 4	0	6138					
D	CENTRAL HUDSON GAS & ELECTRIC CORP.	6993695	N	FS	8404-FSMATGP	10/1/1994	10/31/2019		N	0	479538	n1
P	WR	STORAGE - NORTHERN	95	460018	ZONE 4	0	3232					
P	IJ	STORAGE - NORTHERN	95	460018	ZONE 4	0	3197					
D	CHATTANOOGA GAS COMPANY	198402935	N	FS	3947-FSMATGP	11/1/1993	11/1/2020		N	0	852286	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	7741					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	5682					
D	CHATTANOOGA GAS COMPANY	198402935	N	FS	22923-FSPATGP	11/27/1997	10/31/2020		N	0	2042390	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	13659					
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	13616					
D	CHEROKEE WATER AND GAS DEPARTMENT	155618341	N	FS	1990-FSPATGP	9/1/1993	10/31/2022		N	0	11250	n1
A	"INTERCONN RESOURCES, LLC"	N										
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	75					
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	75					
D	CLARKSVILLE GAS DEPT CITY OF	364402685	N	FS	2208-FSMATGP	9/1/1993	10/31/2023		N	0	681115	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	14388					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	4541					
D	CLIFTON  CITY OF TENNESSEE	19339084	N	FS	2306-FSMATGP	9/1/1993	11/1/2020		N	0	9357	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	200					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	62					
D	COLLINWOOD  CITY OF	19373992	N	FS	2146-FSMATGP	9/1/1993	10/31/2022		N	0	2817	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	58					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	19					
D	COLLINWOOD  CITY OF	19373992	N	FS	2336-FSPATGP	9/1/1993	10/31/2022		N	0	3982	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	WR	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	28					
P	IJ	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	27					
D	"COLONIAL ENERGY, INC."	939065520	N	FS	28378-FSPATGP	4/1/1999	3/31/2020		N	0	800000	n1
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	2192					
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	5333					
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	N	FS	524-FSMATGP	9/1/1993	10/31/2019		N	0	1095830	n1
A	BOSTON GAS COMPANY D/B/A/ NATIONAL GRID	N										
P	WR	STORAGE - NORTHERN	95	460018	ZONE 4	0	14150					
P	IJ	STORAGE - NORTHERN	95	460018	ZONE 4	0	7306					
D	CONNECTICUT NATURAL GAS CORP.	1139294	N	FS	1623-FSMATGP	9/1/1993	10/31/2022		N	0	555702	n1
P	WR	STORAGE - NORTHERN	95	460018	ZONE 4	0	6174					
P	IJ	STORAGE - NORTHERN	95	460018	ZONE 4	0	3705					
D	CONNECTICUT NATURAL GAS CORP.	1139294	N	FS	1626-FSMATGP	9/1/1993	10/31/2020		N	0	610003	n1
P	WR	STORAGE - NORTHERN	95	460018	ZONE 4	0	13826					
P	IJ	STORAGE - NORTHERN	95	460018	ZONE 4	0	4067					
D	CONSOLIDATED EDISON CO OF NEW YORK INC	6982359	N	FS	32767-FSMATGP	11/1/1999	10/31/2023		N	0	749088	n1
A	EMERA ENERGY SERVICES INC.	N										
P	WR	STORAGE - NORTHERN	95	460018	ZONE 4	0	18727					
P	IJ	STORAGE - NORTHERN	95	460018	ZONE 4	0	4994					
D	CONSOLIDATED EDISON CO OF NEW YORK INC	6982359	N	FS	38521-FSMATGP	11/1/2001	10/31/2023		N	0	499392	n1
A	EMERA ENERGY SERVICES INC.	N										
P	WR	STORAGE - NORTHERN	95	460018	ZONE 4	0	12485					
P	IJ	STORAGE - NORTHERN	95	460018	ZONE 4	0	3329					
D	"COOKEVILLE GAS DEPT, CITY OF"	957412570	N	FS	3949-FSMATGP	11/1/1993	11/1/2025		N	0	210433	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1559					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1403					
D	CORINTH PUBLIC UTILITIES COMMISSION	150489151	N	FS	2209-FSMATGP	9/1/1993	11/30/2020		N	0	297227	n1
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	6152					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1982					
D	DECATUR  ALABAMA  CITY OF	794307686	N	FS	1991-FSMATGP	9/1/1993	3/31/2022		N	0	105963	n1
A	"INTERCONN RESOURCES, LLC"	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1517					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	706					
D	DECATUR  ALABAMA  CITY OF	794307686	N	FS	2054-FSPATGP	9/1/1993	3/31/2022		N	0	24541	n1
A	"INTERCONN RESOURCES, LLC"	N										
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	173					
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	164					
D	DELTA NATURAL GAS COMPANY INC	7779408	N	FS	2362-FSMATGP	9/1/1993	10/31/2019		N	0	45300	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1128					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	302					
D	DELTA NATURAL GAS COMPANY INC	7779408	N	FS	2363-FSMATGP	9/1/1993	10/31/2019		N	0	162411	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	3824					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1083					
D	DELTA NATURAL GAS COMPANY INC	7779408	N	FS	2364-FSMATGP	9/1/1993	10/31/2019		N	0	179911	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	3684					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1199					
D	DELTA NATURAL GAS COMPANY INC	7779408	N	FS	2365-FSPATGP	9/1/1993	10/31/2019		N	0	13358	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	291					
P	IJ	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	89					
D	DELTA NATURAL GAS COMPANY INC	7779408	N	FS	2366-FSPATGP	9/1/1993	10/31/2019		N	0	173399	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	1233					
P	IJ	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	1156					
D	DICKSON GAS AUTHORITY	606638435	N	FS	2053-FSMATGP	9/1/1993	10/31/2019		N	0	189445	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	4361					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1263					
D	DICKSON GAS AUTHORITY	606638435	N	FS	2251-FSPATGP	9/1/1993	10/31/2019		N	0	137411	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	WR	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	977					
P	IJ	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	916					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	FS	48400-FSMATGP	4/1/2005	3/31/2025		N	0	1199250	n1
P	WR	STORAGE - NORTHERN	95	460018	ZONE 4	0	23985					
P	IJ	STORAGE - NORTHERN	95	460018	ZONE 4	0	7995					
D	DUNLAP GAS SYSTEM	796936599	N	FS	3950-FSMATGP	11/1/1993	11/1/2020		N	0	116816	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	849					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	779					
D	DUNLAP GAS SYSTEM	796936599	N	FS	4002-FSPATGP	11/1/1993	11/1/2020		N	0	27055	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	183					
P	IJ	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	180					
D	"ELIZABETH NATURAL GAS, INC."	5608732	N	FS	2093-FSMATGP	9/1/1993	11/1/2020		N	0	16512	n1
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	550					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	110					
D	ELK RIVER PUBLIC UTILITY DISTRICT	7839772	N	FS	3951-FSMATGP	11/1/1993	10/31/2025		N	0	391480	n1
A	CH4 CONCEPTS LLC	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	2845					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	2610					
D	ELK RIVER PUBLIC UTILITY DISTRICT	7839772	N	FS	4003-FSPATGP	11/1/1993	10/31/2025		N	0	90667	n1
A	CH4 CONCEPTS LLC	N										
P	WR	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	613					
P	IJ	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	604					
D	ELK RIVER PUBLIC UTILITY DISTRICT	7839772	N	FS	19456-FSPATGP	5/1/1997	10/31/2025		N	0	129780	n1
A	CH4 CONCEPTS LLC	N										
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	2163					
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	865					
D	"ENERGYNORTH NATURAL GAS, INC."	830408873	N	FS	523-FSMATGP	9/1/1993	10/31/2020		N	0	1560391	n1
P	WR	STORAGE - NORTHERN	95	460018	ZONE 4	0	21844					
P	IJ	STORAGE - NORTHERN	95	460018	ZONE 4	0	10403					
D	ENGLEWOOD NATURAL GAS SYSTEM	80977473	N	FS	3940-FSMATGP	11/1/1993	11/1/2020		N	0	20000	n1
A	"ATMOS ENERGY MARKETING, LLC"	N										
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	148					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	133					
D	ETOWAH UTILITIES DEPARTMENT	837977859	N	FS	3941-FSMATGP	11/1/1993	10/31/2020		N	0	94618	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	688					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	631					
D	ETOWAH UTILITIES DEPARTMENT	837977859	N	FS	4006-FSPATGP	11/1/1993	10/31/2020		N	0	21913	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	148					
P	IJ	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	146					
D	ETOWAH UTILITIES DEPARTMENT	837977859	N	FS	19517-FSPATGP	5/1/1997	10/31/2020		N	0	21000	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	350					
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	140					
D	FAYETTEVILLE BOARD OF PUBLIC UTILITIES	75384115	N	FS	3942-FSMATGP	11/1/1993	10/31/2023		N	0	121593	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1104					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	811					
D	FAYETTEVILLE BOARD OF PUBLIC UTILITIES	75384115	N	FS	4007-FSPATGP	11/1/1993	11/1/2020		N	0	28161	n1
A	"ATMOS ENERGY MARKETING, LLC"	N										
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	238					
P	IJ	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	188					
D	FAYETTEVILLE BOARD OF PUBLIC UTILITIES	75384115	N	FS	19532-FSPATGP	5/1/1997	10/31/2020		N	0	27000	n1
A	"ATMOS ENERGY MARKETING, LLC"	N										
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	450					
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	180					
D	FITCHBURG GAS AND ELECTRIC LIGHT CO	6954317	N	FS	2273-FSMATGP	8/1/1993	3/31/2020		N	0	323703	n1
A	BP ENERGY COMPANY	N										
P	WR	STORAGE - NORTHERN	95	460018	ZONE 4	0	4807					
P	IJ	STORAGE - NORTHERN	95	460018	ZONE 4	0	2158					
D	FLORENCE GAS DEPARTMENT CITY OF	616925293	N	FS	1992-FSPATGP	9/1/1993	10/31/2020		N	0	219144	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	1499					
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	1461					
D	FLORENCE GAS DEPARTMENT CITY OF	616925293	N	FS	1993-FSMATGP	9/1/1993	10/31/2020		N	0	106841	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1560					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	712					
D	"FOREST HILL, VILLAGE OF"	176729796	N	FS	2161-FSMATGP	9/1/1993	11/1/2020		N	0	9289	n1
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	309					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	62					
D	"GRAND ISLE,  TOWN OF"	29475043	N	FS	2128-FSMATGP	9/1/1993	8/31/2023		N	0	6540	n1
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	218					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	44					
D	"GRAYSON, CITY OF"	72669898	N	FS	2535-FSMATGP	9/1/1993	10/31/2021		N	0	37250	n1
A	PUBLIC ENERGY AUTHORITY OF KENTUCKY	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1241					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	248					
D	HARDEMAN FAYETTE UTILITY DISTRICT	26357020	N	FS	2100-FSPATGP	9/1/1993	10/31/2020		N	0	40186	n1
A	"D2 ENERGY, LLC"	N										
P	WR	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	286					
P	IJ	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	268					
D	HARDEMAN FAYETTE UTILITY DISTRICT	26357020	N	FS	2141-FSMATGP	9/1/1993	10/31/2020		N	0	54024	n1
A	"D2 ENERGY, LLC"	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1106					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	360					
D	HARRIMAN UTILITY BOARD	7921091	N	FS	3945-FSMATGP	11/1/1993	11/1/2020		N	0	145839	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	1059					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	972					
D	HARRIMAN UTILITY BOARD	7921091	N	FS	61602-FSPATGP	5/1/2006	4/30/2021		N	0	60800	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	WR	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	765					
P	IJ	STORAGE - BEAR CREEK	95	460017	ZONE 1	0	405					
D	"HARRISONBURG, LOUISIANA,  TOWN OF"	51094001	N	FS	2147-FSMATGP	9/1/1993	11/1/2020		N	0	17900	n1
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	558					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	119					
D	HEMPHILL  CITY OF	74201385	N	FS	2035-FSMATGP	9/1/1993	11/1/2020		N	0	9646	n1
A	MAGNUM GAS MARKETING	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	317					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	64					
D	"HENDERSON,  CITY OF"	89547673	N	FS	2055-FSMATGP	9/1/1993	10/31/2020		N	0	112158	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	WR	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	2297					
P	IJ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	0	748					
D	"HENDERSON,  CITY OF"	89547673	N	FS	2246-FSPATGP	9/1/1993	10/31/2020		N	0	12842	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	WR	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	91					
P	IJ	STORAGE - PORTLAND - PA	95	460020	ZONE 1	0	86					
