H	DOMINION ENERGY TRANSMISSION INC	C000160	4/2/2018	O	4/1/2018	T	T	JOHN BROWNLEE 804-771-4678	 			
P	S9	DETI STRG POINT (ST)	95	10002		0	"39,929"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"16,667"					
D	BALTIMORE GAS & ELECTRIC COMPANY	6949713	N	GSS    	300184	4/1/2009	3/31/2024	 	N	0	"2,339,640"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"38,994"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"38,994"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"12,998"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"12,998"					
D	BALTIMORE GAS & ELECTRIC COMPANY	6949713	N	GSS    	300191	4/1/2014	3/31/2029	 	Y	0	"900,000"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"15,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"15,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"5,000"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"5,000"					
D	BALTIMORE GAS & ELECTRIC COMPANY	6949713	N	FTNNGSS	700004	10/1/1993	3/31/2023	 	N	"39,929"	0	
P	S8	DETI STRG POINT (ST)	95	10002		"39,929"	0					
P	S9	TUSCARORA	95	22002		"39,929"	0					
D	BAY STATE GAS COMPANY	69340214	N	GSSTE  	600002	10/1/1993	3/31/2021	 	N	0	"1,441,753"	
P	S8	TET - OAKFORD	95	40208		0	"8,010"					
P	S8	TET - LEIDY	95	40206		0	"8,010"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"8,010"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"8,010"					
P	S8	TRANSCO - LEIDY	95	40301		0	"8,010"					
P	S9	TET - OAKFORD	95	40208		0	"14,758"					
P	S9	TET - LEIDY	95	40206		0	"14,758"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"14,758"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"14,758"					
P	S9	TRANSCO - LEIDY	95	40301		0	"14,758"					
D	BERKSHIRE GAS COMPANY	6955587	N	GSS    	300077	4/1/1980	3/31/2029	 	N	0	"143,780"	
A	SOUTHERN CONNECTICUT GAS CO	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"1,308"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"1,308"					
P	S9	TGP - ELLISBURG	95	40107		0	"1,308"					
P	S8	DETI STRG POINT (ST)	95	10002		0	798					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	798					
P	S8	TGP - ELLISBURG	95	40107		0	798					
D	"BLUEROCK ENERGY, INC."	614844186	N	FT     	200718	4/1/2017	3/31/2023	 	N	500	0	
P	S8	MILLENNIUM - HOLDING POINT (LN-1/31	95	41601		500	0					
P	S9	THERM CITY 1	95	20515		500	0					
D	"BLUEROCK ENERGY, INC."	614844186	N	FT     	200734	12/15/2017	3/31/2028	 	N	"1,000"	0	
P	S8	TGP - MARILLA	95	40113		"1,000"	0					
P	S9	WARSAW	95	20607		"1,000"	0					
D	"BLUEROCK ENERGY, INC."	614844186	N	FT     	200735	1/1/2018	3/31/2022	 	N	800	0	
P	S9	WARSAW	95	20607		800	0					
P	S8	TGP - MARILLA	95	40113		800	0					
D	BOSTON GAS COMPANY DBA NATIONAL GRID	6951586	N	FTNN   	100015	10/1/1993	3/31/2022	 	N	"12,978"	0	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	DETI STRG POINT (ST)	95	10002		"12,978"	0					
P	S8	TXG - LEBANON	95	40601		"12,978"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"12,978"	0					
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"12,978"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"12,978"	0					
P	S8	ANR - LEBANON	95	40401		"12,978"	0					
P	S9	TRANSCO - LEIDY	95	40301		"12,978"	0					
P	S9	TET - LEIDY	95	40206		"12,978"	0					
D	BOSTON GAS COMPANY DBA NATIONAL GRID	6951586	N	GSSTE  	600020	10/1/1993	3/31/2021	 	N	0	"4,698,132"	yc1
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"42,457"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"26,101"					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	0					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
P	S9	TET - OAKFORD	95	40208		0	"42,457"					
P	S9	TET - RAGER MOUNTAIN	95	40210		0	0					
P	S8	TRANSCO - LEIDY	95	40301		0	"26,101"					
P	S8	TET - WOODSFIELD	95	40213		0	"26,101"					
P	S8	TET - WAYNESBURG	95	40215		0	"26,101"					
P	S8	TET - ROCKWOOD	95	40211		0	"26,101"					
P	S8	TET - POWHATTAN POINT	95	40205		0	"26,101"					
P	S8	TET - OAKFORD	95	40208		0	"26,101"					
P	S8	TET - MULLETT	95	40207		0	"26,101"					
P	S8	TET - MOUNDSVILLE	95	40216		0	"26,101"					
P	S8	TET - LEIDY	95	40206		0	"26,101"					
P	S8	TET - CRAYNE FARM	95	40218		0	"26,101"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"26,101"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"42,457"					
D	BP ENERGY COMPANY	625275755	N	FT     	200546	11/16/2009	11/15/2019	 	N	"70,000"	0	
P	S9	TET - CROOKED RUN (DELMONT)	95	40223		"70,000"	0					
P	S8	MARKWEST LIBERTY BLUESTONE LLC (SWA	95	EB395		"20,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"50,000"	0					
D	BP ENERGY COMPANY	625275755	N	FT     	200605	1/1/2013	12/31/2022	 	N	"85,000"	0	
P	S9	TET - CROOKED RUN (DELMONT)	95	40223		"85,000"	0					
P	S8	MARKWEST LIBERTY BLUESTONE LLC (PRO	95	EB200		"37,000"	0					
P	S8	MARKWEST LIBERTY BLUESTONE LLC (SWA	95	EB395		"48,000"	0					
D	BP ENERGY COMPANY	625275755	N	FT     	200621	4/1/2014	11/15/2019	 	N	"39,375"	0	
P	S9	TET - CROOKED RUN (DELMONT)	95	40223		"39,375"	0					
P	S8	APPALACHIA MIDSTREAM SERVICES (LIME	95	EB390		"39,375"	0					
D	BP ENERGY COMPANY	625275755	N	FT     	200642	11/1/2014	11/30/2022	 	N	"14,000"	0	
P	S8	BLUE RACER MIDSTREAM (BURCH RIDGE)	95	EB475		"14,000"	0					
P	S9	TET - CRAYNE II	95	40226		"14,000"	0					
D	BROOKLYN UNION GAS COMPANY DBA NATIONAL GRID NY	6978795	N	FTNN   	100003	10/1/1993	3/31/2023	 	N	"40,301"	0	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	DETI STRG POINT (ST)	95	10002		"40,301"	0					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		"5,000"	0					
P	S9	TET - LEIDY	95	40206		"35,301"	0					
P	S8	TRANSCO - LEIDY	95	40301		"15,301"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"40,301"	0					
P	S8	IROQ - CANAJ (BROOKMANS CORNER)	95	41101		"25,000"	0					
P	S8	TET - LEIDY	95	40206		"15,301"	0					
P	S9	TRANSCO - LEIDY	95	40301		"35,301"	0					
D	BROOKLYN UNION GAS COMPANY DBA NATIONAL GRID NY	6978795	N	FT     	200721	11/1/2017	10/31/2032	 	Y	"82,000"	0	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	IROQ - CANAJ (BROOKMANS CORNER)	95	41101		"82,000"	0					
P	S8	TET - LEIDY	95	40206		"82,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"82,000"	0					
D	BROOKLYN UNION GAS COMPANY DBA NATIONAL GRID NY	6978795	N	GSS    	300004	10/1/1993	3/31/2023	 	N	0	"2,874,023"	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	TRANSCO - LEIDY	95	40301		0	"46,351"					
P	S9	TET - LEIDY	95	40206		0	"46,351"					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	"5,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"46,351"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"46,351"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"15,967"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"15,967"					
D	BROOKLYN UNION GAS COMPANY DBA NATIONAL GRID NY	6978795	N	GSSTE  	600027	10/1/1993	3/31/2011	365	N	0	"3,097,500"	yc1
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	TET - OAKFORD	95	40208		0	"32,267"					
P	S8	TET - WAYNESBURG	95	40215		0	"17,208"					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	0					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"32,267"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"32,267"					
P	S8	TRANSCO - LEIDY	95	40301		0	"17,208"					
P	S8	TET - WOODSFIELD	95	40213		0	"17,208"					
P	S9	TRANSCO - LEIDY	95	40301		0	"4,928"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"17,208"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"17,208"					
P	S8	TET - CRAYNE FARM	95	40218		0	"17,208"					
P	S8	TET - LEIDY	95	40206		0	"17,208"					
P	S8	TET - MOUNDSVILLE	95	40216		0	"17,208"					
P	S8	TET - MULLETT	95	40207		0	"17,208"					
P	S8	TET - OAKFORD	95	40208		0	"17,208"					
P	S8	TET - POWHATTAN POINT	95	40205		0	"17,208"					
P	S8	TET - ROCKWOOD	95	40211		0	"17,208"					
P	S9	TET - LEIDY	95	40206		0	"4,928"					
D	CABOT OIL & GAS CORPORATION	607925757	N	FT     	200710	10/1/2016	8/31/2022	 	Y	"19,441"	0	
A	CARBON WEST VIRGINIA COMPANY LLC	N										
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		"19,441"	0					
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		"19,441"	0					
P	S8	POD 7 GRANTSVILLE	95	P0007		300	0					
P	S8	POD 7 GRANTSVILLE	95	P0007		300	0					
P	S8	POD 13 OSCAR NELSON	95	P0013		600	0					
P	S8	POD 13 OSCAR NELSON	95	P0013		600	0					
P	S8	POD 12 LOUP CREEK	95	P0012		200	0					
P	S8	POD 12 LOUP CREEK	95	P0012		200	0					
P	S8	POD 10 CORNWELL NO 7&8	95	P0010		800	0					
P	S8	POD 10 CORNWELL NO 7&8	95	P0010		800	0					
P	S8	HORSEMILL (TL585)	95	EB450		"6,715"	0					
P	S8	HORSEMILL (TL585)	95	EB450		"6,715"	0					
P	S8	HAMON (TL-263)	95	EB005		"2,000"	0					
P	S8	HAMON (TL-263)	95	EB005		"2,000"	0					
P	S8	CABOT STATION RUN (TL374)	95	EB455		"3,816"	0					
P	S8	BRADLEY (TL569)	95	EB460		"5,010"	0					
P	S8	BRADLEY (TL569)	95	EB460		"5,010"	0					
P	S8	CABOT STATION RUN (TL374)	95	EB455		"3,816"	0					
D	"CASTLETON POWER, LLC"	256811431	N	FT     	200220	5/10/2000	10/31/2032	 	N	"14,275"	0	
A	"CONSOLIDATED EDISON ENERGY, INC."	N										
P	S9	CETI (INDECK)	95	20521		"14,275"	0					
P	S8	TGP - MARILLA	95	40113		"14,275"	0					
D	CENTERPOINT ENERGY SERVICES INC.	838611739	N	FT     	200530	12/1/2007	10/31/2020	 	N	"5,000"	0	
P	S9	MULLET 1	95	20103		"5,000"	0					
P	S8	ROCKIES EXPRESS - CLARINGTON	95	40411		"5,000"	0					
D	CENTERPOINT ENERGY SERVICES INC.	838611739	N	GSS    	300212	4/1/2017	3/31/2021	 	N	0	"60,569"	
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		0	989					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	989					
P	S9	DETI STRG POINT (ST)	95	10002		0	989					
P	S8	DETI STRG POINT (ST)	95	10002		0	336					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		0	336					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	336					
D	CENTERPOINT ENERGY SERVICES INC.	838611739	N	GSS    	300213	4/1/2017	3/31/2021	 	N	0	"197,243"	
P	S8	DETI STRG POINT (ST)	95	10002		0	"1,095"					
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		0	"3,256"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"3,256"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"3,256"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"1,095"					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		0	"1,095"					
D	CENTERPOINT ENERGY SERVICES INC.	838611739	N	GSS    	300214	4/1/2017	3/31/2021	 	N	0	"6,749"	
P	S8	DETI STRG POINT (ST)	95	10002		0	37					
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		0	110					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	110					
P	S9	DETI STRG POINT (ST)	95	10002		0	110					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	37					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		0	37					
D	CENTRAL HUDSON GAS & ELECTRIC CORP.	602200383	N	GSS    	300112	11/1/1998	3/31/2022	 	N	0	"400,000"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"4,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"4,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"2,222"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"2,222"					
P	S8	TET - LEIDY	95	40206		0	"2,222"					
P	S8	TRANSCO - LEIDY	95	40301		0	"2,222"					
D	CENTRAL HUDSON GAS & ELECTRIC CORP.	602200383	N	GSS    	300113	11/1/1998	3/31/2022	 	N	0	"200,000"	yc1
P	S9	TET - NORTH SUMMIT	95	40217		0	"2,000"					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
P	WR	DETI STRG SERVICE-N.SUMMIT(SS)	95	10003		0	"2,000"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"2,000"					
P	S9	TET - OAKFORD	95	40208		0	0					
P	S8	DETI STRG POINT (ST)	95	10002		0	"1,111"					
P	IJ	DETI STRG SERVICE-N.SUMMIT(SS)	95	10003		0	"1,111"					
P	S8	TET - NORTH SUMMIT	95	40217		0	"1,111"					
D	CENTRAL HUDSON GAS & ELECTRIC CORP.	602200383	N	GSSTE  	600029	10/1/1993	3/31/2022	 	N	0	"92,647"	yc1
P	S9	DETI STRG POINT (ST)	95	10002		0	900					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	900					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	0					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
P	S9	TET - LEIDY	95	40206		0	427					
P	S9	TET - OAKFORD	95	40208		0	900					
P	S9	TRANSCO - LEIDY	95	40301		0	427					
P	S8	DETI STRG POINT (ST)	95	10002		0	515					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	515					
P	S8	TET - LEIDY	95	40206		0	515					
P	S8	TET - MOUNDSVILLE	95	40216		0	515					
P	S8	TET - MULLETT	95	40207		0	515					
P	S8	TET - OAKFORD	95	40208		0	515					
P	S8	TET - POWHATTAN POINT	95	40205		0	515					
P	S8	TET - ROCKWOOD	95	40211		0	515					
P	S8	TET - WAYNESBURG	95	40215		0	515					
P	S8	TET - WOODSFIELD	95	40213		0	515					
P	S8	TRANSCO - LEIDY	95	40301		0	515					
D	CENTRAL HUDSON GAS & ELECTRIC CORP.	602200383	N	FTGSS  	700048	11/1/1998	3/31/2022	 	N	"4,000"	0	
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		"4,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"4,000"	0					
D	"CERTAINTEED GYPSUM WEST VIRGINIA, INC."	805057994	N	FT     	200542	12/1/2008	11/30/2013	365	N	"4,000"	0	
A	"SNYDER BROTHERS, INC"	N										
P	S9	VINCENT LUMBER XS-1948	95	20342		"4,000"	0					
P	S9	HOPE GAS DBA DOMINION ENERGY WEST V	95	20300		"4,000"	0					
P	S9	HOPE DELIVERIES VARIOUS	95	20344		"4,000"	0					
P	S9	HILL JUNCTION DELIVERY	95	20343		"4,000"	0					
P	S9	CARBIDE #2 M&R	95	20340		"4,000"	0					
P	S8	TET - MOUNDSVILLE	95	40216		"4,000"	0					
P	S9	BURCH RIDGE EMERGENCY FEED	95	20341		"4,000"	0					
D	CGAS PROPERTIES LP	79551773	N	FT     	200586	9/1/2012	8/31/2022	 	Y	"2,921"	0	
A	"ESERVICES, LLC"	N										
P	S8	POD 11 BRIDGEPORT	95	P0011		388	0					
P	S8	POD 1 SCHUTTE	95	P0001		147	0					
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		"2,921"	0					
P	S8	POD 2 SALEM EAST	95	P0002		"1,308"	0					
P	S8	POD 9 CORNWELL #9	95	P0009		10	0					
P	S8	POD 7 GRANTSVILLE	95	P0007		55	0					
P	S8	POD 3 SALEM WEST	95	P0003		20	0					
P	S8	POD 4 WESTON	95	P0004		633	0					
P	S8	POD 5 WESTON EAST	95	P0005		360	0					
D	CHESAPEAKE ENERGY MARKETING LLC	809849326	N	FT     	200643	11/1/2014	12/31/2027	 	N	"57,000"	0	
P	S9	TET - CRAYNE II	95	40226		"57,000"	0					
P	S8	BLUE RACER MIDSTREAM (BURCH RIDGE)	95	EB475		"57,000"	0					
D	CI MCKOWN & SON INC OIL AND GAS	188610422	N	FT     	200588	9/1/2012	8/31/2022	 	Y	99	0	
A	DOMINION ENERGY FIELD SERVICES INC	Y										
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		99	0					
P	S8	POD 7 GRANTSVILLE	95	P0007		67	0					
P	S8	POD 8 GRANTSVILLE SOUTH	95	P0008		32	0					
D	CITY OF COOKEVILLE NATURAL GAS	16349367	N	GSS    	300023	11/1/1993	3/31/2021	 	N	0	"37,523"	
A	CENTERPOINT ENERGY SERVICES INC.	N										
P	WR	DETI STRG SERVICE (SS)	95	10001		0	612					
P	S9	DETI STRG POINT (ST)	95	10002		0	612					
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		0	612					
P	S8	DETI STRG POINT (ST)	95	10002		0	208					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	208					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		0	208					
D	CITY OF ETOWAH--UTILITIES DEPARTMENT	70044037	N	GSS    	300026	11/1/1993	3/31/2021	 	N	0	"16,871"	
A	CENTERPOINT ENERGY SERVICES INC.	N										
P	WR	DETI STRG SERVICE (SS)	95	10001		0	276					
P	S9	DETI STRG POINT (ST)	95	10002		0	276					
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		0	276					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		0	94					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	94					
P	S8	DETI STRG POINT (ST)	95	10002		0	94					
D	CITY OF NORWICH (DEPT OF PUBLIC UTILITIES)	967195996	N	GSSTE  	600013	10/1/1993	3/31/2011	365	N	0	"87,706"	yc1
A	DIRECT ENERGY BUSINESS MARKETING LLC	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"1,100"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"1,100"					
P	S8	TRANSCO - LEIDY	95	40301		0	487					
P	S8	TET - WOODSFIELD	95	40213		0	487					
P	S8	TET - WAYNESBURG	95	40215		0	487					
P	S8	TET - ROCKWOOD	95	40211		0	487					
P	S8	TET - POWHATTAN POINT	95	40205		0	487					
P	S8	TET - OAKFORD	95	40208		0	487					
P	S8	TET - MULLETT	95	40207		0	487					
P	S8	TET - MOUNDSVILLE	95	40216		0	487					
P	S8	TET - LEIDY	95	40206		0	487					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	487					
P	S8	DETI STRG POINT (ST)	95	10002		0	487					
P	S9	TET - RAGER MOUNTAIN	95	40210		0	0					
P	S9	TET - OAKFORD	95	40208		0	"1,100"					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	0					
D	CITY OF RICHMOND	3133840	N	FTNN   	100008	10/1/1993	3/31/2022	 	N	"9,054"	0	
A	BP ENERGY COMPANY	N										
P	S9	DETI STRG POINT (ST)	95	10002		"9,054"	0					
P	S9	QUANTICO	95	22402		"9,054"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"9,054"	0					
P	S8	NOTSP PLACEHOLDER METER - SOUTH	95	SPDOM		"1,953"	0					
P	S8	TRANSCO - LEIDY	95	40301		370	0					
P	S8	TET - LEIDY	95	40206		370	0					
P	S8	TET - OAKFORD	95	40208		"3,344"	0					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		"2,596"	0					
P	S8	POD 20 APPALACHIAN NORTH POOLING PO	95	P0020		791	0					
D	CITY OF RICHMOND	3133840	N	FTNN   	100106	11/1/2000	10/31/2020	 	N	"6,000"	0	
A	BP ENERGY COMPANY	N										
P	S9	DETI STRG POINT (ST)	95	10002		"6,000"	0					
P	S9	QUANTICO	95	22402		"6,000"	0					
P	S8	TET - CRAYNE FARM	95	40218		"6,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"6,000"	0					
D	CITY OF RICHMOND	3133840	N	FTNN   	100113	11/1/2004	3/31/2020	 	N	"35,000"	0	
A	BP ENERGY COMPANY	N										
P	S9	DETI STRG POINT (ST)	95	10002		"35,000"	0					
P	S9	QUANTICO	95	22402		"35,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"35,000"	0					
P	S8	TET - OAKFORD	95	40208		"35,000"	0					
D	CITY OF RICHMOND	3133840	N	FTNN   	100116	3/1/2004	10/31/2023	 	N	"10,000"	0	
A	BP ENERGY COMPANY	N										
P	S9	QUANTICO	95	22402		"10,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"10,000"	0					
D	CITY OF RICHMOND	3133840	N	GSS    	300009	10/1/1993	3/31/2022	 	N	0	"562,659"	
A	BP ENERGY COMPANY	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"10,946"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"10,946"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"3,126"					
