H	"TRUNKLINE GAS COMPANY, LLC"	C000251	4/2/2018	O	4/1/2018	T	T	DEBBIE BRADBURY (713) 989-7571				
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	725						
P	MQ	"CITY OF VIENNA, IL"	95	80052	Z1B	1449						
D	CITY OF WICKLIFFE	58970414	N	NNS-2	12159	9/1/1993	10/31/1996	180	N		83835	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	"CITY OF WICKLIFFE, KY - NNS2"	95	N2018	Z1B		699					
P	WR	"CITY OF WICKLIFFE, KY - NNS2"	95	N2018	Z1B		1118					
D	CITY OF WICKLIFFE	58970414	N	SST	12435	9/1/1993	10/31/1996	180	N	4140		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	4140						
P	MQ	"CITY OF WICKLIFFE, KY"	95	80058	Z1B	4140						
D	CLECO POWER LLC	39558619	N	QNT	23083	5/1/2009	10/31/2018		N	10000		
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	10000						
P	MQ	CLECO RODEMAKER INTERCONNECT	95	82044	Z1A	10000						
D	"COLUMBIA GAS OF OHIO, INC."	4773586	N	FT	18122	12/1/2004	3/31/2023		N	0		
P	M2	LAKESIDE - NGPL	95	81718	FLD	0						
P	MQ	PEPL @ BOURBON - TGC	95	80023	Z1B	0						
D	CONOCOPHILLIPS COMPANY	1368265	N	FT	30941	2/1/2015	10/31/2018		N	150		
P	M2	FAYETTEVILLE @ BOBO ROAD - FAYETTEV	95	82747	Z1A	150						
P	MQ	JIMMY DEAN PLANT	95	80738	Z1B	150						
D	CONSUMERS ENERGY COMPANY	6959803	N	FT	12538	9/1/1993	10/31/2020		N	175000		
P	M2	DOUGLAS COUNTY RECEIPT - ROCKIES EX	95	82745	Z1B	175000						
P	MQ	ELKHART - CONSUMERS ENERGY	95	80001	Z-2	175000						
D	CONSUMERS ENERGY COMPANY	6959803	N	FT	34122	4/1/2018	4/30/2018		N	94000		
P	M2	PEPL @ BOURBON - TGC	95	80023	Z1B	94000						
P	MQ	ELKHART - CONSUMERS ENERGY	95	80001	Z-2	94000						
D	"DCP SOUTH CENTRAL TEXAS, LLC"	14278	N	FT	24531	9/1/2010	7/31/2026		Y	336000		YA5
A	"DCP SOUTH CENTRAL TEXAS, LLC"	N										
P	M2	BUTLER - DCP OPERATING	95	82754	FLD	191000						
P	M2	FINTEX - DCP OPERATING	95	82751	FLD	115000						
P	M2	RIVER RANCH INTERCONNECT - CHARRO O	95	82669	FLD	10000						
P	M2	TERRELL POINT FIELD - RINCON PETROL	95	80165	FLD	5000						
P	M2	TURKEY CREEK - PETROLEUM FUELS	95	81570	FLD	15000						
P	MQ	EAGLE PLANT INLET - TGC DELIVERY -	95	80727	FLD	221000						
P	MQ	GULF PLAINS - DCP OPERATING	95	82753	FLD	115000						
D	"DTE ENERGY TRADING, INC."	179989231	N	EFT	33904	4/1/2018	10/31/2018		N	10000		
P	M2	DOUGLAS COUNTY RECEIPT - ROCKIES EX	95	82745	Z1B	10000						
P	MQ	ELKHART - CONSUMERS ENERGY	95	80001	Z-2	10000						
D	"DUKE ENERGY CAROLINAS, LLC"	957879984	N	EFT	33225	7/1/2017	6/30/2019		N	1000		
P	M2	PEPL @ BOURBON - TGC	95	80023	Z1B	1000						
P	MQ	RAGLEY EXCHANGE - TRANSCO	95	80277	FLD	1000						
D	GREEN PLAINS OBION LLC	173549283	N	EFT	20061	5/1/2008	3/31/2019		N	10000		
A	GREEN PLAINS TRADE GROUP LLC DBA GREEN PLAINS ENERGY SERVICES	N										
P	M2	ACADIAN - TRUNKLINE RECEIPT INTERCO	95	82861	Z1A	10000						
P	MQ	OBION ETHANOL PLANT - GREEN PLAINS	95	80719	Z1B	10000						
D	HARDEMAN-FAYETTE UTILITY DISTRICT	26357020	N	NNS-2	12156	9/1/1993	10/31/2003	180	N		420000	
A	"D2 ENERGY, LLC"	N										
P	IJ	HARDEMAN - FAYETTE UTILITY DISTRICT	95	N2022	Z1A		3500					
P	WR	HARDEMAN - FAYETTE UTILITY DISTRICT	95	N2022	Z1A		5600					
D	HARDEMAN-FAYETTE UTILITY DISTRICT	26357020	N	SST	12437	9/1/1993	10/31/2003	180	N	9000		
A	"D2 ENERGY, LLC"	N										
P	M2	KINDER TOTAL MEASURED	95	81701	FLD	1638						
P	M2	LAKESIDE - NGPL	95	81718	FLD	5100						
P	M2	NEPTUNE PLANT	95	82864	FLD	2262						
P	MQ	HARDEMAN - FAYETTE UTILITY DISTRICT	95	HARDM	Z1A	9000						
D	HONEYWELL INTERNATIONAL INC.	139691877	N	FT	14730	3/1/1996	3/31/2020		N	1200		
P	M2	FAYETTEVILLE @ BOBO ROAD - FAYETTEV	95	82747	Z1A	1200						
P	MQ	HONEYWELL - LIBERTY ENERGY (MIDSTAT	95	82037	Z1B	1200						
D	INEOS NITRILES USA LLC	15062	N	FT	26683	11/1/2011	10/31/2019		N	1292		YA5
A	"PCS NITROGEN FERTILIZER, LP"	N										
P	M2	BEAUREGARD PARISH INCT - CHENIERE C	95	82742	FLD	1292						
P	MQ	PEPL @ BOURBON - TGC	95	80023	Z1B	1292						
D	J. ARON & COMPANY	6980312	N	EFT	31510	11/1/2015	10/31/2020		N	25000		
P	M2	DOUGLAS COUNTY RECEIPT - ROCKIES EX	95	82745	Z1B	25000						
P	MQ	ELKHART - CONSUMERS ENERGY	95	80001	Z-2	25000						
D	"JOHNS MANVILLE INTERNATIONAL, INC."	45426558	N	FT	25178	11/1/2011	10/31/2021		N	10200		
P	M2	LAKESIDE - NGPL	95	81718	FLD	10200						
P	MQ	PEPL @ BOURBON - TGC	95	80023	Z1B	10200						
D	LAFARGE NORTH AMERICA INC.	67568246	N	FT	17377	8/1/2002	3/31/2019		N	300		
A	BP ENERGY COMPANY	N										
P	M2	PATTERSON II PLANT	95	83033	FLD	300						
P	MQ	LAFARGE - LIBERTY ENERGY (MIDSTATES	95	82036	Z1B	300						
D	LAKE COUNTY UTILITY DISTRICT	73543191	N	NNS-2	12110	9/1/1993	10/31/2003	180	N		319000	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	LAKE COUNTY UTILITY DISTRICT - NNS2	95	N2026	Z1B		2658					
P	WR	LAKE COUNTY UTILITY DISTRICT - NNS2	95	N2026	Z1B		4253					
D	LAKE COUNTY UTILITY DISTRICT	73543191	N	SST	12439	9/1/1993	10/31/2003	180	N	5700		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	LAKESIDE - NGPL	95	81718	FLD	4112						
P	M2	NEPTUNE PLANT	95	82864	FLD	794						
P	M2	PATTERSON II PLANT	95	83033	FLD	794						
P	MQ	LAKE COUNTY UTILITY DISTRICT	95	LKCNT	Z1B	5700						
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	NNS-2	12224	9/1/1993	10/31/1996	180	N		208035	
A	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	N										
P	IJ	LIBERTY ENERGY (MIDSTATES) - NNS2	95	N2046	Z1B		1734					
P	WR	LIBERTY ENERGY (MIDSTATES) - NNS2	95	N2046	Z1B		2774					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	NNS-2	12225	9/1/1993	10/31/1996	180	N		12420	
A	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	N										
P	IJ	LIBERTY ENERGY (MIDSTATES) - NNS2	95	N2048	Z1B		103					
P	WR	LIBERTY ENERGY (MIDSTATES) - NNS2	95	N2048	Z1B		166					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	SST	12404	9/1/1993	10/31/1996	180	N	621		
A	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	N										
P	M2	LAKESIDE - NGPL	95	81718	FLD	28						
P	M2	PATTERSON II PLANT	95	83033	FLD	527						
P	M2	WHARTON CO - ENTERPRISE TEXAS PIPEL	95	81526	FLD	66						
P	MQ	XENIA - LIBERTY ENERGY (MIDSTATES)	95	80034	Z1B	621						
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	SST	12420	9/1/1993	8/31/1996	180	N	311		
A	UTILITY GAS MANAGEMENT	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	155						
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	156						
P	MQ	"VILLAGE OF PITTSBURG, IL"	95	80048	Z1B	311						
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	SST	12541	9/1/1993	10/31/1996	180	N	10350		
A	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	N										
P	M2	PATTERSON II PLANT	95	83033	FLD	8897						
P	M2	WHARTON CO - ENTERPRISE TEXAS PIPEL	95	81526	FLD	1453						
P	MQ	CHAMPAIGN LATERAL FARM TAPS - LIBER	95	82717	Z-2	750						
P	MQ	"METROPOLIS, IL - LIBERTY ENERGY (MI"	95	80055	Z1B	9600						
D	LIMA REFINING COMPANY	199623414	N	FT	26676	11/1/2011	10/31/2019		N	12294		
P	M2	KINDER TOTAL MEASURED	95	81701	FLD	12294						
P	MQ	PEPL @ BOURBON - TGC	95	80023	Z1B	12294						
D	MACQUARIE ENERGY LLC	798846036	N	EFT	34128	4/1/2018	4/30/2018		N	50000		
P	M2	PEPL @ BOURBON - TGC	95	80023	Z1B	50000						
P	MQ	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	50000						
D	MORGAN STANLEY CAPITAL GROUP INC.	130198013	N	FT	33969	4/1/2018	10/31/2019		N	80000		
P	M2	PEPL @ BOURBON - TGC	95	80023	Z1B	80000						
P	MQ	ELKHART - CONSUMERS ENERGY	95	80001	Z-2	80000						
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT	33366	11/1/2017	10/31/2022		N	30000		
P	M2	FAYETTEVILLE @ BOBO ROAD - FAYETTEV	95	82747	Z1A	30000						
P	MQ	BRIDGELINE @ PATTERSON - BRIDGELINE	95	80578	FLD	30000						
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY	6937585	N	EFT	15222	2/1/1997	3/31/2024		N	75000		
P	M2	LAKESIDE - NGPL	95	81718	FLD	36000						
P	M2	PATTERSON II PLANT	95	83033	FLD	39000						
P	MQ	NORTHERN INDIANA PUBLIC SERVICE	95	TRKNI	Z-2	75000						
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY	6937585	N	FT	15540	4/1/1998	3/31/2024		N	20000		
P	M2	PEPL @ BOURBON - TGC	95	80023	Z1B	20000						
P	MQ	NORTHERN INDIANA PUBLIC SERVICE	95	TRKNI	Z-2	20000						
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY	6937585	N	FT	18876	4/1/2005	3/31/2024		N	13226		
A	NORTHERN INDIANA PUBLIC SERVICE COMPANY	N										
P	M2	NEPTUNE PLANT	95	82864	FLD	13226						
P	MQ	PEPL @ BOURBON - TGC	95	80023	Z1B	13226						
D	OHIO GAS ENERGY SERVICES COMPANY	616476441	N	EFT	21767	4/1/2010	3/31/2025		N	5085		
A	"OCCIDENTAL ENERGY MARKETING, INC."	N										
P	M2	LAKESIDE - NGPL	95	81718	FLD	5085						
P	MQ	PEPL @ BOURBON - TGC	95	80023	Z1B	5085						
D	OHIO GAS ENERGY SERVICES COMPANY	616476441	N	FSS	21768	4/1/2010	3/31/2025		N		500000	
A	"OCCIDENTAL ENERGY MARKETING, INC."	N										
P	IJ	OHIO GAS ENERGY SERVICES - FSS	95	FS001	Z1A		2500					
P	WR	OHIO GAS ENERGY SERVICES - FSS	95	FS001	Z1A		5000					
D	ROVER PIPELINE LLC	79717714	Y	FT	33251	8/31/2017	8/30/2032		N	750000		
P	M2	PEPL @ BOURBON - TGC	95	80023	Z1B	750000						
P	MQ	ZONE 1A -  ECLIPSE	95	RA002	Z1A	100000						
P	MQ	ZONE 1A -  EDGEMARC	95	RA003	Z1A	25000						
P	MQ	ZONE 1A -  GULFPORT	95	RA004	Z1A	25000						
P	MQ	ZONE 1A -  RANGE	95	RA005	Z1A	200000						
P	MQ	ZONE 1A -  SWN	95	RA006	Z1A	200000						
P	MQ	ZONE 1A ??? ASCENT	95	RA001	Z1A	200000						
D	"SABINE PASS LIQUEFACTION, LLC"	78731670	N	FT	31250	9/1/2016	8/31/2026		N	200000		
P	M2	FAYETTEVILLE @ BOBO ROAD - FAYETTEV	95	82747	Z1A	200000						
P	MQ	BEAUREGARD PARISH INCT - CHENIERE C	95	82742	FLD	200000						
D	"SABINE PASS LIQUEFACTION, LLC"	78731670	N	FT	33496	11/1/2017	10/31/2018		N	170000		
P	M2	FAYETTEVILLE @ BOBO ROAD - FAYETTEV	95	82747	Z1A	170000						
P	MQ	BEAUREGARD PARISH INCT - CHENIERE C	95	82742	FLD	170000						
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	EFT	31202	5/1/2015	5/5/2020		N	30000		
P	M2	DOUGLAS COUNTY RECEIPT - ROCKIES EX	95	82745	Z1B	30000						
P	MQ	ELKHART - CONSUMERS ENERGY	95	80001	Z-2	30000						
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FT	17892	4/1/2004	3/31/2030		N	1500000		
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	M2	LNG AT LAKE CHARLES - TGC	95	80482	FLD	1500000						
P	MQ	COLUMBIA GULF TRANSMISSION @ CENTER	95	81722	FLD	225000						
P	MQ	RAGLEY EXCHANGE - TRANSCO	95	80277	FLD	500000						
P	MQ	SABINE HENRY HUB LOW PRESSURE	95	93058	FLD	75000						
P	MQ	SOUTHERN NATURAL @ SHADYSIDE	95	81738	FLD	225000						
P	MQ	TEXAS GAS @ CENTERVILLE	95	81568	FLD	225000						
P	MQ	TGC DELIVERY TO LAKE CHARLES LNG	95	82730	FLD	250000						
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FT	32056	6/1/2016	3/31/2019		N	7500		
P	M2	DOUGLAS COUNTY RECEIPT - ROCKIES EX	95	82745	Z1B	7500						
P	MQ	ELKHART - CONSUMERS ENERGY	95	80001	Z-2	7500						
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FT	34121	4/1/2018	3/31/2020		N	10000		
P	M2	PEPL @ BOURBON - TGC	95	80023	Z1B	10000						
P	MQ	ELKHART - CONSUMERS ENERGY	95	80001	Z-2	10000						
D	SPIRE MISSOURI INC.	6967798	N	EFT	16634	11/1/2002	10/31/2018		N	40000		
P	M2	PATTERSON II PLANT	95	83033	FLD	10000						
P	M2	WHARTON CO - ENTERPRISE TEXAS PIPEL	95	81526	FLD	30000						
P	MQ	ELKHART - CONSUMERS ENERGY	95	80001	Z-2	40000						
D	SPIRE MISSOURI INC.	6967798	N	EFT	29223	11/1/2013	3/31/2021		N	0		
P	M2	PEPL @ BOURBON - TGC	95	80023	Z1B	0						
P	MQ	FLORA - ENABLE ENERGY MISSISSIPPI R	95	80036	Z1B	0						
D	TARGA GAS MARKETING LLC	610946290	N	FT	26568	11/1/2011	10/31/2018		N	25000		
P	M2	SILSBEE - ENBRIDGE PIPELINES (EAST	95	82740	FLD	25000						
P	MQ	TGC - TARGA INTERCONNECT AT BIG LAK	95	82666	FLD	25000						
D	TARGA GAS MARKETING LLC	610946290	N	FT	33017	4/1/2017	3/31/2019		N	25000		
P	M2	SILSBEE HARDIN COUNTY INTERCONNECT	95	82741	FLD	25000						
P	MQ	SABINE HENRY HUB LOW PRESSURE	95	93058	FLD	25000						
D	TARGA GAS MARKETING LLC	610946290	N	FT	33913	2/1/2018	1/31/2019		N	25000		
P	M2	SILSBEE HARDIN COUNTY INTERCONNECT	95	82741	FLD	25000						
P	MQ	SABINE HENRY HUB LOW PRESSURE	95	93058	FLD	25000						
D	TENNESSEE VALLEY AUTHORITY	1883032	N	QNT	22516	6/1/2010	5/31/2020		N	35000		
P	M2	LA 1 STORAGE FIELD - ACCTG METER	95	93072	FLD	35000						
P	MQ	LAGOON CREEK - TVA	95	TVALC	Z1A	35000						
