H	"Algonquin Gas Transmission, LLC"	C000084	4/2/2018	O	4/1/2018	T	T	BERK DONALDSON 713-627-4488				
D	BAY STATE GAS COMPANY	69340214	N	AFT-1	93401-R3	2/1/2013	10/31/2019		N	5690		L5
A	"EXELON GENERATION COMPANY, LLC"	N										
P	MQ	"TAUNTON (BRISTOL, MA)"	95	11	AGT	5690						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	5690						
D	BAY STATE GAS COMPANY	69340214	N	AFT-1	94501-R2	2/1/2013	10/31/2019		N	14758		L60
A	"DTE ENERGY TRADING, INC."	N										
P	MQ	"BROCKTON (PLYMOUTH,MA)"	95	24	AGT	14758						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	14758						
D	BP ENERGY COMPANY	625275755	N	AFT-1	510519-R3	9/1/2015	10/31/2017	365	N	1600		L65
P	MQ	"NATIONAL GRID- EVERETT (MIDDLESEX,M"	95	27	AGT	1600						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	1600						
D	BP ENERGY COMPANY	625275755	N	AFT-1	511017-R1	11/10/2017	10/31/2018		Y	20000		
P	MQ	"SALEM ESSEX CO., MA NORTH (ESSEX,MA"	95	1215	AGT	20000						
P	M2	INTERCONNECTION BETWEEN NORTHEAST G	95	88202	AGT	20000						
D	BP ENERGY COMPANY	625275755	N	AFT-1	511026-R1	1/1/2018	12/31/2018		Y	7000		
P	M2	"SALEM ESSEX CO., MA (ESSEX,MA)"	95	215	AGT	7000						
P	MQ	LATERAL E SYSTEM MAINLINE	95	80031	AGT	7000						
D	"BRAYTON POINT ENERGY, LLC"	168723166	N	AFT-CLB	510694-R1	4/1/2013	3/31/2019		Y	120000		
P	MQ	"BRAYTON POINT ENERGY, LLC"	95	90	AGT	120000						
P	M2	G-22 SYSTEM	95	80074	AGT	120000						
D	CASTLETON COMMODITIES MERCHANT TRADING L.P.	118638852	N	AFT-1AB	511019-R1	11/4/2017	10/31/2018		N	6000		
P	M2	"BROOKFIELD (FAIRFIELD,CT)"	95	251	AGT	6000						
P	MQ	LATERAL G-1 SYSTEM MAINLINE	95	80035	AGT	6000						
D	CENTRAL HUDSON GAS & ELECTRIC CORPORATION	6993695	N	T-1	931001-R1	11/1/2004	3/31/2011	365	N	12620		L5
P	MQ	SOMERS  (WESTCHESTER)	95	45	AGT	12620						
P	M2	"MAHWAH (BERGEN,NJ)"	95	201	AGT	8468						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	4152						
D	CENTRAL HUDSON GAS & ELECTRIC CORPORATION	6993695	N	AFT-1	93112-R2	11/1/2009	3/31/2017	365	N	2000		L5
P	MQ	SOMERS  (WESTCHESTER)	95	45	AGT	2000						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	2000						
D	CENTRAL HUDSON GAS & ELECTRIC CORPORATION	6993695	N	AFT-1	933002-R2	1/1/2017	12/31/2026		N	4000		L5
P	MQ	SOMERS  (WESTCHESTER)	95	45	AGT	4000						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	4000						
D	CENTRAL HUDSON GAS & ELECTRIC CORPORATION	6993695	N	AFT-1	934002-R2	1/1/2017	12/31/2026		N	5056		L5
P	MQ	SOMERS  (WESTCHESTER)	95	45	AGT	5056						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	5056						
D	CENTRAL HUDSON GAS & ELECTRIC CORPORATION	6993695	N	AFT-1	9S101-R3	2/1/2013	10/31/2016	365	N	886		L5/O54
P	MQ	SOMERS  (WESTCHESTER)	95	45	AGT	886						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	886						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	Y	AFT-1	510364-R1	11/20/2007	11/19/2022		N	38000		
P	M2	MENDON	95	205	AGT	38000						
P	MQ	LATERAL G SYSTEM CANAL MAINLINE	95	80047	AGT	38000						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	Y	AFT-CL	510365-R1	11/20/2007	11/19/2022		Y	38000		
P	M2	"INTERCONNECT AGT G-SYS BOURNE, MA &"	95	80004	AGT	38000						
P	MQ	G-24 MAINLINE HEAD OF LATERAL	95	80806	AGT	38000						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	Y	AFTCLCC	510366-R1	11/20/2007	11/19/2022		Y	38000		
P	MQ	"NATIONAL GRID-SANDWICH (BARNSTABLE,"	95	829	AGT	38000						
P	M2	G-24 LATERAL HEAD OF LATERAL	95	80060	AGT	38000						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	Y	AFT1AIM	510800-R2	1/7/2017	1/6/2032		Y	25000		
P	MQ	"NATIONAL GRID-BOURNE (BARNSTABLE,MA"	95	18	AGT	10000						
P	MQ	"NATIONAL GRID-SAGAMORE (BARNSTABLE,"	95	51	AGT	15000						
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	25000						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	Y	AFT-1	92100-R4	3/1/2014	10/31/2016	365	N	104		L5
P	MQ	"NATIONAL GRID-BOURNE (BARNSTABLE,MA"	95	18	AGT	36						
P	MQ	"NATIONAL GRID-SAGAMORE (BARNSTABLE,"	95	51	AGT	68						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	104						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	Y	AFT-1	9227-R1	11/1/1994	10/31/2013	365	N	4000		L9
P	MQ	"NATIONAL GRID-BOURNE (BARNSTABLE,MA"	95	18	AGT	4000						
P	MQ	"NATIONAL GRID-SAGAMORE (BARNSTABLE,"	95	51	AGT	4000						
P	M2	MENDON	95	205	AGT	4000						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	Y	AFT-E	93003ECR-R3	3/1/2014	10/31/2016	365	N	16463		L28/O29
P	MQ	"NATIONAL GRID-BOURNE (BARNSTABLE,MA"	95	18	AGT	10885						
P	MQ	"NATIONAL GRID-SAGAMORE (BARNSTABLE,"	95	51	AGT	12213						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	9020						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	7443						
P	MQ	"NATIONAL GRID-ROCHESTER (PLYMOUTH,M"	95	813	AGT	819						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	Y	AFT-1	93203C-R4	3/1/2014	10/31/2016	365	N	12446		L28
P	MQ	"NATIONAL GRID-SAGAMORE (BARNSTABLE,"	95	51	AGT	9031						
P	M2	MENDON	95	205	AGT	2000						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	9869						
P	M2	"CENTERVILLE-TRANSCO (MORRIS,NJ)"	95	220	AGT	577						
P	MQ	"NATIONAL GRID-ROCHESTER (PLYMOUTH,M"	95	813	AGT	3415						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	Y	AFT-1	933003-R1	6/1/1993	3/31/2012	365	N	2222		
P	MQ	"NATIONAL GRID-SAGAMORE (BARNSTABLE,"	95	51	AGT	1456						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	2222						
P	MQ	"NATIONAL GRID-ROCHESTER (PLYMOUTH,M"	95	813	AGT	766						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	Y	AFT-E	98002C-R4	3/1/2014	10/31/2016	365	N	7327		L24/O25
P	MQ	"NATIONAL GRID-SAGAMORE (BARNSTABLE,"	95	51	AGT	7327						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	4242						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	3085						
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	Y	AFT-1	9B101C-R3	3/1/2014	10/31/2016	365	N	4001		L28/O35
P	MQ	"NATIONAL GRID-BOURNE (BARNSTABLE,MA"	95	18	AGT	1334						
P	MQ	"NATIONAL GRID-SAGAMORE (BARNSTABLE,"	95	51	AGT	2667						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	4001						
D	"COLUMBIA GAS TRANSMISSION, LLC"	29479	N	AFT-4	9141-R2	11/1/2011	10/31/2017	365	N	23000		YA1/L9
P	MQ	"RAMAPO (ROCKLAND,NY)"	95	202	AGT	23000						
P	M2	"COLUMBIA HANOVER (MORRIS,NJ)"	95	240	AGT	23000						
D	CONNECTICUT MUNICIPAL ELECTRIC ENERGY COOPERATIVE	92078351	N	AFT-1	510381-R1	1/1/2008	12/31/2022		N	2489		
P	MQ	CMEEC-PIERCE POWER PLANT-(NEW HAVEN	95	831	AGT	2489						
P	M2	LATERAL C-8 SYSTEM	95	80054	AGT	2489						
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	AFT-1	510064-R4	2/1/2013	3/31/2017	365	N	6000		L37
P	MQ	NORTH HAVEN (NEW HAVEN)	95	3	AGT	6000						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	4123						
P	M2	"CENTERVILLE-TRANSCO (MORRIS,NJ)"	95	220	AGT	1877						
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	AFT1AIM	510796-R2	1/7/2017	1/6/2032		Y	33000		
A	"EMERA ENERGY SERVICES, INC."	N										
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	"FARMINGTON (HARTFORD,CT)"	95	68	AGT	3000						
P	MQ	"GLASTONBURY (HARTFORD,CT)"	95	75	AGT	30000						
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	33000						
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	AFT-1	89102-R5	2/1/2013	3/31/2017	365	N	14639		L5
P	MQ	"GLASTONBURY (HARTFORD,CT)"	95	75	AGT	6411						
P	MQ	"CROMWELL (MIDDLESEX,CT)"	95	78	AGT	8228						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	7639						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	7000						
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	AFT-1	93005-R3	2/1/2013	3/31/2017	365	N	23016		L5/O56
P	MQ	"KENNSINGTON (NEW HAVEN,CT)"	95	31	AGT	305						
P	MQ	"FARMINGTON (HARTFORD,CT)"	95	68	AGT	1119						
P	MQ	"GLASTONBURY (HARTFORD,CT)"	95	75	AGT	6672						
P	MQ	"MANSFIELD (TOLLAND,CT)"	95	76	AGT	3102						
P	MQ	"CROMWELL (MIDDLESEX,CT)"	95	78	AGT	23016						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	6367						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	16649						
P	MQ	"HEBRON (HARTFORD,CT)"	95	804	AGT	200						
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	AFT-1	93205-R4	2/1/2013	4/15/2017	365	N	6340		L9
P	MQ	"FARMINGTON (HARTFORD,CT)"	95	68	AGT	6340						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	6340						
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	AFT-1	9B103-R5	11/1/2015	4/30/2021		N	4230		L5/O42
P	MQ	"GLASTONBURY (HARTFORD,CT)"	95	75	AGT	4230						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	4230						
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	AFT-1	9W005-R4	2/1/2013	3/31/2017	365	N	23712		L5/O53
P	MQ	"GLASTONBURY (HARTFORD,CT)"	95	75	AGT	14248						
P	MQ	"CROMWELL (MIDDLESEX,CT)"	95	78	AGT	9464						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	9016						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	14696						
D	"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC."	6982359	N	AFT-1RM	510371-R2	11/1/2008	10/31/2018		Y	125000		
A	"DTE ENERGY TRADING, INC."	N										
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	125000						
P	MQ	"BROOKFIELD DELIVERY (FAIRFIELD,CT)"	95	851	AGT	125000						
D	"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC."	6982359	N	AFT-1	97033-R1	4/1/1999	10/31/2004	365	N	20000		L30
P	MQ	"PEEKSKILL (WESTCHESTER,NY)"	95	41	AGT	12000						
P	MQ	"CORTLANDT (WESTCHESTER,NY)"	95	47	AGT	440						
P	MQ	"YORKTOWN (WESTCHESTER,NY)"	95	48	AGT	5960						
P	M2	"BROOKFIELD (FAIRFIELD,CT)"	95	251	AGT	20000						
P	MQ	"NORTH SOMERS (WESTCHESTER,NY)"	95	811	AGT	1600						
D	"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC."	6982359	N	AFT-1	99011-R1	11/1/1999	10/31/2009	365	N	20000		O32
A	"UGI ENERGY SERVICES, LLC"	N										
P	M2	"NATIONAL GRID-DEY ST. (PROVIDENCE,R"	95	4	AGT	20000						
P	MQ	"STONY POINT (ROCKLAND,NY)"	95	40	AGT	15000						
P	MQ	"PEEKSKILL (WESTCHESTER,NY)"	95	41	AGT	5000						
D	"DIRECT ENERGY BUSINESS MARKETING,LLC"	78790103	N	AFT-1T	510742-R1	11/1/2014	10/31/2016	365	N	23000		
P	M2	"BROOKFIELD (FAIRFIELD,CT)"	95	251	AGT	23000						
P	MQ	LATERAL G-1 SYSTEM MAINLINE	95	80035	AGT	23000						
D	"DIRECT ENERGY BUSINESS MARKETING,LLC"	78790103	N	AFT-1	510743-R3	4/1/2017	3/31/2021		N	35455		L68
P	MQ	"NATIONAL GRID-DEY ST. (PROVIDENCE,R"	95	4	AGT	18734						
P	MQ	"SOUTH ATTLEBORO (BRISTOL, MA)"	95	37	AGT	16721						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	35455						
D	"DIRECT ENERGY BUSINESS MARKETING,LLC"	78790103	N	AFT-1	510744-R2	12/1/2015	3/31/2018	365	N	3000		L68
P	MQ	NORTH HAVEN (NEW HAVEN)	95	3	AGT	500						
P	MQ	"KENNSINGTON (NEW HAVEN,CT)"	95	31	AGT	2000						
P	MQ	"CROMWELL (MIDDLESEX,CT)"	95	78	AGT	500						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	3000						
D	"DIRECT ENERGY BUSINESS MARKETING,LLC"	78790103	N	AFT-1	510750-R1	5/1/2014	10/31/2015	365	N	2500		
P	MQ	"NATIONAL GRID-PONKAPOAG (NORFOLK,MA"	95	52	AGT	2500						
P	M2	MENDON	95	205	AGT	2500						
D	"DTE ENERGY TRADING, INC."	179989231	N	AFT-1	511000-R1	8/1/2017	7/31/2018		N	18000		
P	MQ	"PUTNAM (WINDHAM,CT)"	95	9	AGT	1000						
P	MQ	"POMFRET (WINDHAM,CT)"	95	50	AGT	5000						
P	MQ	"BRISTOL (HARTFORD,CT)"	95	85	AGT	2000						
P	M2	MENDON	95	205	AGT	18000						
P	MQ	LATERAL W SYSTEM MAINLINE	95	80063	AGT	10000						
D	"EMERA ENERGY SERVICES, INC."	101069263	N	AFT-1	510565-R1	10/1/2011	3/31/2017	365	N	6676		
P	MQ	"CORTLANDT (WESTCHESTER,NY)"	95	47	AGT	3114						
P	MQ	"YORKTOWN (WESTCHESTER,NY)"	95	48	AGT	3562						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	3145						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	3531						
D	"EMERA ENERGY SERVICES, INC."	101069263	N	AFT-1RM	510593-R1	5/12/2011	3/31/2017	365	N	4000		
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	4000						
P	MQ	"BROOKFIELD DELIVERY (FAIRFIELD,CT)"	95	851	AGT	4000						
D	"EMERA ENERGY SERVICES, INC."	101069263	N	AFT-1	510594-R1	5/12/2011	3/31/2017	365	N	4000		
P	M2	"BROOKFIELD (FAIRFIELD,CT)"	95	251	AGT	4000						
P	MQ	LATERAL G-1 SYSTEM MAINLINE	95	80035	AGT	4000						
D	FOOTPRINT POWER SALEM HARBOR DEVELOPMENT LP	78779302	N	AFTCLSH	510814-R1	11/1/2016	1/31/2032		Y	115000		
A	"CONSOLIDATED EDISON ENERGY, INC."	N										
P	MQ	SALEM HARBOR STATION	95	837	AGT	115000						
P	M2	SALEM LATERAL	95	80107	AGT	115000						
D	GDF SUEZ GAS NA LLC	196714414	N	AFT-1	510605-R1	10/1/2011	10/31/2022		N	80000		
P	MQ	"WATERBURY (NEW HAVEN,CT)"	95	2	AGT	6000						
P	MQ	NORTH HAVEN (NEW HAVEN)	95	3	AGT	16000						
P	MQ	NEW ENGLAND GAS COMPANY FALL RIVER	95	16	AGT	5000						
P	MQ	"NATIONAL GRID-BOURNE (BARNSTABLE,MA"	95	18	AGT	5000						
P	MQ	"BROOKFIELD DELIVERY (FAIRFIELD,CT)"	95	851	AGT	16000						
P	MQ	"LAMBERTVILLE DELIVERY (HUNTERDON, N"	95	2210	AGT	32000						
P	M2	INTERCONNECT BETWEEN SUEZ NEPTUNE A	95	89848	AGT	80000						
D	GDF SUEZ GAS NA LLC	196714414	N	AFT-1	510606-R1	10/1/2011	10/31/2022		N	90000		
P	MQ	NORTH HAVEN (NEW HAVEN)	95	3	AGT	3000						
P	MQ	"NATIONAL GRID - WARREN (BRISTOL,RI)"	95	12	AGT	1000						
P	MQ	NEW ENGLAND GAS COMPANY FALL RIVER	95	16	AGT	5000						
P	MQ	"NEW BEDFORD (BRISTOL,MA)"	95	17	AGT	3000						
P	MQ	"NATIONAL GRID-BOURNE (BARNSTABLE,MA"	95	18	AGT	13100						
P	MQ	"PLYMOUTH (PLYMOUTH,MA)"	95	19	AGT	2000						
P	MQ	"WESTWOOD (NORFOLK, MA)"	95	22	AGT	1000						
P	MQ	NATIONAL GRID- EAST BRAINTREE (NORF	95	23	AGT	1000						
P	MQ	"BROCKTON (PLYMOUTH,MA)"	95	24	AGT	30000						
P	MQ	"MIDDLEBORO (PLYMOUTH,MA)"	95	29	AGT	1900						
P	MQ	"NATIONAL GRID-PONKAPOAG (NORFOLK,MA"	95	52	AGT	5000						
P	MQ	MENDON	95	205	AGT	14500						
P	M2	"EVERETT INT. (MIDDLESEX,MA)"	95	271	AGT	90000						
P	MQ	"LAMBERTVILLE DELIVERY (HUNTERDON, N"	95	2210	AGT	6500						
P	MQ	G-12 SYSTEM G-5 MAINLINE	95	80071	AGT	3000						
D	GDF SUEZ GAS NA LLC	196714414	N	AFT-1	510607-R2	1/1/2014	10/31/2016	365	N	60000		L46
P	MQ	"PUTNAM (WINDHAM,CT)"	95	9	AGT	4500						
P	MQ	"STONY POINT (ROCKLAND,NY)"	95	40	AGT	5000						
P	MQ	"POMFRET (WINDHAM,CT)"	95	50	AGT	3500						
P	MQ	"CROMWELL (MIDDLESEX,CT)"	95	78	AGT	10000						
P	MQ	"BELLINGHAM(NORFOLK,MA)"	95	94	AGT	6000						
P	MQ	"MAHWAH (BERGEN,NJ)"	95	201	AGT	500						
P	MQ	MENDON	95	205	AGT	10500						
P	M2	"EVERETT INT. (MIDDLESEX,MA)"	95	271	AGT	60000						
P	MQ	ANP BELLINGHAM ENERGY COMPANY (NORF	95	814	AGT	5000						
P	MQ	"BROOKFIELD DELIVERY (FAIRFIELD,CT)"	95	851	AGT	5000						
P	MQ	"LAMBERTVILLE DELIVERY (HUNTERDON, N"	95	2210	AGT	10000						
D	GREEN PLAINS TRADE GROUP LLC (DBA GREEN PLAINS ENERGY SERVICES)	848984915	N	AFT-1	511011-R1	11/1/2017	10/31/2018		N	7500		
P	MQ	"WATERBURY (NEW HAVEN,CT)"	95	2	AGT	7500						
P	M2	LATERAL B SYSTEM	95	80008	AGT	7500						
D	"IROQUOIS GAS TRANSMISSION SYSTEM, L.P."	7955	N	AFT-1	9224-R2	11/1/2007	10/31/2022		N	3000		YA1/L5
P	MQ	"WATERBURY (NEW HAVEN,CT)"	95	2	AGT	3000						
P	M2	"BROOKFIELD (FAIRFIELD,CT)"	95	251	AGT	3000						
D	"IROQUOIS GAS TRANSMISSION SYSTEM, L.P."	7955	N	AFT-1	9226-R3	2/1/2016	10/31/2022		N	10000		YA1/L5
P	MQ	"GLASTONBURY (HARTFORD,CT)"	95	75	AGT	10000						
P	M2	"BROOKFIELD (FAIRFIELD,CT)"	95	251	AGT	10000						
D	"KAISER NEG LATERAL, LLC"	30413	N	AFTCLNE	510849-R1	12/1/2015	12/6/2032		Y	800000		YA1
P	MQ	INTERCONNECTION BETWEEN NORTHEAST G	95	88203	AGT	800000						
P	M2	NORTHEAST GATEWAY DEEP WATER PORT (	95	89847	AGT	800000						
D	"KAISER NEG ONSHORE, LLC"	30416	N	AFT-1	510850-R1	12/1/2015	10/31/2022		Y	180000		YA1
A	"KAISER NEG LATERAL, LLC"	N										
P	MQ	"LAMBERTVILLE DELIVERY (HUNTERDON, N"	95	2210	AGT	180000						
P	M2	INTERCONNECTION BETWEEN NORTHEAST G	95	88202	AGT	180000						
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	AFT-1RM	510369-R1	11/1/2008	10/31/2023		Y	196000		
A	"CONSOLIDATED EDISON ENERGY, INC."	N										
A	"EMERA ENERGY SERVICES, INC."	N										
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	196000						
P	MQ	"BROOKFIELD DELIVERY (FAIRFIELD,CT)"	95	851	AGT	196000						
D	"KLEEN ENERGY SYSTEMS, LLC"	3471322	N	AFT-CLM	510505-R1	1/4/2010	1/3/2025		Y	101000		
A	"EXELON GENERATION COMPANY, LLC"	N										
A	TENASKA MARKETING VENTURES	N										
P	M2	INTERCONNECT BETWEEN MIDDLETON LAT	95	80001	AGT	101000						
P	MQ	KLEEN ENERGY LATERAL MAINLINE	95	80100	AGT	101000						
D	"KLEEN ENERGY SYSTEMS, LLC"	3471322	N	AFT-CLK	510506-R1	1/4/2010	1/3/2025		Y	131000		
A	"EXELON GENERATION COMPANY, LLC"	N										
A	TENASKA MARKETING VENTURES	N										
P	MQ	KLEEN ENERGY	95	833	AGT	131000						
P	M2	KLEEN ENERGY LATERAL	95	80101	AGT	131000						
D	"LAKE ROAD GENERATING COMPANY, L.P."	25808	N	AFT-1	510101-R4	12/1/2012	10/31/2014	365	N	40335		YA1/L36
A	"DYNEGY MARKETING AND TRADE, LLC"	N										
P	M2	"MAHWAH (BERGEN,NJ)"	95	201	AGT	15000						
P	M2	MENDON	95	205	AGT	15000						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	10335						
P	MQ	"DYNEGY LAKE ROAD (WINDHAM,CT)"	95	817	AGT	40335						
D	"LAKE ROAD GENERATING COMPANY, L.P."	25808	N	AFT-CLR	98005LR-R1	8/1/2000	7/31/2020		N	146000		YA1
P	MQ	"DYNEGY LAKE ROAD (WINDHAM,CT)"	95	817	AGT	146000						
P	M2	LATERAL Z SYSTEM	95	80016	AGT	146000						
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP D/B/A LIBERTY UTILITIES	30126	N	AFT-1	510026-R5	11/1/2014	10/31/2021		N	16169		YA1/L38
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	NEW ENGLAND GAS COMPANY FALL RIVER	95	16	AGT	2002						
P	MQ	NEW ENGLAND GAS COMPANY NO. ATTLEBO	95	34	AGT	4917						
P	MQ	NEW ENGLAND GAS COMPANY SWANSEA (BR	95	71	AGT	4250						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	15329						
P	M2	"CENTERVILLE-TRANSCO (MORRIS,NJ)"	95	220	AGT	840						
P	MQ	NEW ENGLAND GAS COMPANY FALL RIVER	95	824	AGT	5000						
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP D/B/A LIBERTY UTILITIES	30126	N	AFT-1	510054-R2	11/1/2014	11/30/2017	365	N	5000		YA1/L48
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	M2	"SALEM ESSEX CO., MA (ESSEX,MA)"	95	215	AGT	5000						
P	MQ	NEW ENGLAND GAS COMPANY FALL RIVER	95	824	AGT	5000						
