H	"ENABLE GAS TRANSMISSION, LLC"	C000544	4/2/2018	O	4/1/2018	T	T	P. Shupe        (346)701-2124				
D	A & A COATING INC.	793369414	N	FT	1006964	4/1/2009	3/31/2010	365	N	325	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	325	0	YM2				
P	M2	TGT PV CORE REC	95	12143	SOUTH POOLING AREA	325	0					
P	MQ	A&A COATING ACCT	95	14211	SOUTH POOLING AREA	325	0	YI3/YK3				
D	"A-LINE TDS, INC."	79693767	N	FT	1010936	10/1/2016	9/30/2017	365	N	70	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	70	0					
P	MQ	A-LINE TDS ACCT	95	18350	WEST POOLING AREA 1	70	0	YI3/YK3				
D	ACME BRICK COMPANY	858723778	N	FT	1003639	9/1/2003	12/31/2017	365	N	1200	0	
A	"THG ENERGY SOLUTIONS, LLC"	N										
A	BP ENERGY COMPANY	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	1200	0					
P	MQ	ACME BRICK @ MALVERN	95	79139	NORTH POOLING AREA	1200	0					
D	AEROJET ROCKETDYNE INC	621563266	N	FT	1007373	10/1/2009	3/31/2013	365	N	400	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	400	0					
P	MQ	AEROJET ROCKETDYNE ACCT	95	14574	SOUTH POOLING AREA	400	0	YI3/YK3				
D	AFCO STEEL LLC	943575191	N	FT	1008484	1/1/2011	3/31/2013	365	N	250	0	
A	ENERGY FINANCIAL & PHYSICAL LP	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	250	0					
P	MQ	AFCO STEEL LLC ACCT	95	14713	NORTH POOLING AREA	250	0	YI3/YK3				
D	AFCO STEEL LLC	943575191	N	FT	1009962	10/1/2013	3/31/2016	365	N	46	0	
A	ENERGY FINANCIAL & PHYSICAL LP	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	46	0					
P	MQ	AFCO STEEL 2 ACCT	95	15598	NORTH POOLING AREA	46	0	YI3/YK3				
D	AFCO STEEL LLC	943575191	N	FT	1009963	10/1/2013	3/31/2016	365	N	45	0	
A	ENERGY FINANCIAL & PHYSICAL LP	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	45	0					
P	MQ	AFCO STEEL 3 ACCT	95	15599	NORTH POOLING AREA	45	0	YI3/YK3				
D	AIR LIQUIDE LARGE INDUSTRIES U.S.LP	180015062	N	FT	1002132	1/22/1998	3/31/2019		N	125	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	125	0					
P	MQ	AIR LIQUIDE LARGE IND.	95	170117	NORTH POOLING AREA	125	0					
D	ALBEMARLE CORPORATION	825080096	N	FT	1000811	12/1/1991	3/31/2013	365	N	6000	0	
A	CONOCOPHILLIPS COMPANY	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	6000	0	YM2				
P	M2	WILLOW SPRINGS IC	95	12134	SOUTH POOLING AREA	300	0					
P	M2	ENTERPRISE @ PANOLA REC	95	801663	SOUTH POOLING AREA	1700	0					
P	MQ	ALBEMARLE PLANT WEST	95	60823	SOUTH POOLING AREA	1600	0					
P	MQ	ALBEMARLE PLANT  SOUTH	95	801517	SOUTH POOLING AREA	4400	0					
D	ALBERTO CULVER COMPANY	5071378	N	FT	1007094	5/1/2009	3/31/2012	365	N	288	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	288	0					
P	MQ	ALBERTO CULVER ACCT	95	14303	NORTH POOLING AREA	288	0	YI3/YK3				
D	"ALLEGIANCE HOSPITAL OF NORTH LITTLE ROCK, LLC DBA NORTH METRO MEDICAL CENTE"	79171626	N	FT	1010459	4/1/2015	3/31/2016	365	N	138	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	138	0					
P	MQ	NORTH METRO MC ACCT	95	15704	NORTH POOLING AREA	138	0	YI3/YK3				
D	ALMATIS INC	142787600	N	FT	1003862	3/2/2004	10/31/2018		N	3500	0	
A	SIEMENS INDUSTRY INC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	3500	0					
P	MQ	ALMATIS BAUXITE PLANT	95	801655	NORTH POOLING AREA	3500	0					
D	"ALSCO, INC."	182301825	N	FT	1004871	1/1/2006	12/31/2012	365	N	175	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	175	0					
P	MQ	ALSCO_ACCT	95	12309	SOUTH POOLING AREA	175	0	YI3/YK3				
D	ALTUS AIR FORCE BASE	960516029	N	FT	1010665	10/1/2015	3/31/2019		N	2324	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	2324	0					
P	MQ	ALTUS AFB ACCT	95	18319	WEST POOLING AREA 1	2324	0	YI3/YK3				
D	"ALUCHEM OF LITTLE ROCK, LLC"	827040911	N	FT	1008441	12/1/2010	3/31/2012	365	N	720	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	720	0					
P	MQ	ALUCHEM ACCT	95	13901	NORTH POOLING AREA	720	0	YI3/YK3				
D	ALUMAX MILL PRODUCTS INC	57830952	N	FT	1010676	11/1/2015	10/31/2017	365	N	5150	0	
A	SIEMENS INDUSTRY INC	N										
A	SPIRE MARKETING INC.	N										
A	U.S. ENERGY SERVICES INC	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	150	0	YM2				
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	3290	0	YM2				
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	1710	0	YM2				
P	M2	EOIT CADDO RECEIPT	95	302015	WEST POOLING AREA 1	1710	0					
P	MQ	ALUMAX JONES MILL	95	801500	NORTH POOLING AREA	150	0					
P	MQ	ALUMAX TEXARKANA	95	801653	SOUTH POOLING AREA	5000	0					
D	AMBIENT MINERALS INC	167884423	N	FT	1007121	6/1/2009	3/31/2012	365	N	79	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	79	0					
P	MQ	AMBIENT MINERALS INC AC	95	14351	NORTH POOLING AREA	79	0	YI3/YK3				
D	AMERCABLE INCORPORATED	112716043	N	FT	1008207	9/1/2010	3/31/2012	365	N	281	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	281	0					
P	MQ	AMERCABLE INC #1 ACCT	95	14842	SOUTH POOLING AREA	131	0	YI3/YK3				
P	MQ	AMERCABLE INC #2 ACCT	95	14861	SOUTH POOLING AREA	150	0	YI3/YK3				
D	AMERICAN RAILCAR INDUSTRIES INC	929875615	N	FT	1005842	10/1/2007	5/31/2013	365	N	460	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	460	0					
P	MQ	AMERICAN RAILCAR ACCT#1	95	13440	NORTH POOLING AREA	170	0	YI3/YK3				
P	MQ	AMERICAN RAILCAR ACCT#2	95	13473	NORTH POOLING AREA	130	0	YI3/YK3				
P	MQ	AM RAIL 901 JONES ACCT	95	15339	NORTH POOLING AREA	80	0	YI3/YK3				
P	MQ	AM RAIL 903 JONES2 ACCT	95	15340	NORTH POOLING AREA	80	0	YI3/YK3				
D	"AMERIMAX COATED PRODUCTS, INC"	883355653	N	FT	1001541	6/1/1995	3/31/2008	365	N	850	0	
A	NUS CONSULTING GROUP	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	850	0					
P	MQ	ALUMAX(HELENA)-ACCT	95	12049	NORTH POOLING AREA	850	0	YI3/YK3				
D	AMERIPRIDE SERVICES INC	56481716	N	FT	1005546	4/1/2007	3/31/2012	365	N	77	0	
A	U.S. ENERGY SERVICES INC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	77	0					
P	MQ	AMERIPRIDE ACCT @ LR TB	95	13593	NORTH POOLING AREA	77	0	YI3/YK3				
D	AMERITIES SOUTH LLC	199626842	N	FT	1008539	1/1/2011	12/31/2016	365	N	130	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	130	0					
P	MQ	AMERITIES SOUTH ACCT	95	14964	SOUTH POOLING AREA	130	0	YI3/YK3				
D	AMETHYST CONSTRUCTION INC	790645279	N	FT	1007409	11/1/2009	3/31/2012	365	N	350	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	350	0					
P	MQ	AMETHYST CONSTRUCT ACCT	95	14584	SOUTH POOLING AREA	350	0	YI3/YK3				
D	AMFUEL	72702871	N	FT	1001162	11/1/1993	11/30/1995	365	N	400	0	
A	"PRO ENERGY PARTNERS, LP"	N										
A	CIMA ENERGY LP	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	400	0					
P	MQ	AMFUEL(MAGNOLIA)-ACCT	95	11427	SOUTH POOLING AREA	400	0	YI3/YK3				
D	"ANTHONY OAK FLOORING, INC"	8050460	N	FT	1010120	2/1/2014	12/31/2018		N	110	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	110	0					
P	MQ	ANTHONY OAK FLOORING AC	95	14645	SOUTH POOLING AREA	110	0	YI3/YK3				
D	"ANTHONY TIMBERLANDS, INC."	67680777	N	FT	1010384	1/1/2015	12/31/2015	365	N	750	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	750	0					
P	MQ	ANTHONY TIMBERLANDS ACC	95	15760	SOUTH POOLING AREA	750	0	YI3/YK3				
D	ANTHONY-HIGGS LUMBER COMPANY	120264999	N	FT	1009114	1/1/2012	12/31/2018		N	63	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	63	0					
P	MQ	ANTHONY-HIGGS LUMBER AC	95	15182	SOUTH POOLING AREA	63	0	YI3/YK3				
D	"APAC-TENNESSEE, INC"	22341858	N	FT	1009490	8/1/2012	3/31/2015	365	N	50	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	50	0	YM2				
P	M2	TGT @ W MEMPHIS IC	95	2017	NORTH POOLING AREA	50	0					
P	MQ	APAC TENNESSEE INC ACCT	95	15405	NORTH POOLING AREA	50	0	YI3/YK3				
D	APACHE CORPORATION	6961551	N	FT	1010169	4/1/2014	3/31/2020		N	14500	0	
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	14500	0	YM2				
P	M2	EGG MCCLURE IC	95	301104	WEST POOLING AREA 1	14500	0					
P	MQ	CGT PV CORE DEL	95	805092	SOUTH POOLING AREA	14500	0					
D	"AQUA CONTOUR CUTTING, INC"	941189698	N	FT	1009448	7/1/2012	3/31/2016	365	N	12	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	12	0					
P	MQ	AQUA CONTOUR CUTT ACCT	95	15350	NORTH POOLING AREA	12	0	YI3/YK3				
D	ARAMARK UNIFORM AND CAREER APPAREL LLC	88389739	N	FT	1008306	10/1/2010	3/31/2012	365	N	62	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	62	0					
P	MQ	ARAMARK UNIFORM SVC ACC	95	14887	NORTH POOLING AREA	62	0	YI3/YK3				
D	ARCELOR PINE BLUFF INC	604384164	N	FT	1002730	12/1/2000	3/31/2002	365	N	580	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	580	0					
P	MQ	ARCELOR PINE BLUFF ACCT	95	12950	NORTH POOLING AREA	580	0	YI3/YK3				
D	ARKADELPHIA HUMAN DEVELOPMENT CENTER	53772828	N	FT	1008507	1/1/2011	3/31/2012	365	N	180	0	
A	"BERNHARD TME, LLC"	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	180	0					
P	MQ	ARK HUMAN DEV_ACCT	95	13232	SOUTH POOLING AREA	180	0	YI3/YK3				
D	ARKANSAS ARTS CENTER	968502372	N	FT	1009115	1/1/2012	3/31/2018	365	N	49	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	49	0					
P	MQ	ARKANSAS ARTS CENTER AC	95	15188	NORTH POOLING AREA	49	0	YI3/YK3				
D	ARKANSAS BLUE CROSS AND BLUE SHIELD DBA USABLE MUTUAL INSURANCE COMPANY	75653675	N	FT	1008212	9/1/2010	3/31/2012	365	N	249	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	249	0					
P	MQ	USABLE MUTUAL INSUR ACC	95	14853	NORTH POOLING AREA	249	0	YI3/YK3				
D	ARKANSAS BUILDING AUTHORITY	96960492	N	FT	1008276	10/1/2010	3/31/2016	365	N	75	0	
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	75	0					
P	MQ	AR BLDG AUTH LR ACCT	95	14891	NORTH POOLING AREA	75	0	YI3/YK3				
D	ARKANSAS BUILDING AUTHORITY	96960492	N	FT	1010318	4/1/2015	3/31/2016	365	N	35	0	
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	35	0					
P	MQ	ARK BUILDING AUT ACCT	95	15274	NORTH POOLING AREA	35	0	YI3/YK3				
D	ARKANSAS BUILDING AUTHORITY	96960492	N	FT	1010504	5/1/2015	3/31/2019		N	42	0	
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	42	0					
P	MQ	AR BLDG AUTH ACCT #2	95	15945	NORTH POOLING AREA	42	0	YI3/YK3				
D	ARKANSAS CHILDRENS HOSPITAL	75669416	N	FT	1008379	11/1/2010	3/31/2012	365	N	650	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	650	0					
P	MQ	ARK CHILDRENS HOSP-ACCT	95	11423	NORTH POOLING AREA	650	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF COMMUNITY PUNISHMENT	809872831	N	FT	1004284	4/1/2005	3/31/2006	365	N	180	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	180	0					
P	MQ	AR DOC-NEWPORT#2-ACCT	95	13236	NORTH POOLING AREA	180	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF COMMUNITY PUNISHMENT - TEXARKANA	2751068	N	FT	1004272	4/1/2005	3/31/2006	365	N	140	0	
A	TME ENERGY SERVICES	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	140	0					
P	MQ	DEPT COMM PUNISHMNT-ACC	95	13172	SOUTH POOLING AREA	140	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF CORRECTION	70524835	N	FT	1002733	12/1/2000	9/30/2007	365	N	550	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	550	0					
P	MQ	ARK DOC TUCKER_ACCT	95	12673	NORTH POOLING AREA	550	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF CORRECTION	70524835	N	FT	1004283	4/1/2005	3/31/2006	365	N	100	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	100	0					
P	MQ	AR DOC-NEWPORT#1-ACCT	95	13237	NORTH POOLING AREA	100	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF CORRECTION	70524835	N	FT	1007082	5/1/2009	3/31/2012	365	N	269	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	269	0					
P	MQ	ARK DOC MALVERN_ACCT	95	14299	NORTH POOLING AREA	269	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF CORRECTION	70524835	N	FT	1008128	8/1/2010	3/31/2012	365	N	375	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	375	0	YM2				
P	M2	TGT @ W MEMPHIS IC	95	2017	NORTH POOLING AREA	375	0					
P	MQ	ARK DOC BRICKEYS ACCT	95	14835	NORTH POOLING AREA	375	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF CORRECTION	70524835	N	FT	1008288	10/1/2010	3/31/2012	365	N	400	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	400	0					
P	MQ	AR DOC(VARNER)-ACCT	95	12672	NORTH POOLING AREA	400	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF CORRECTION	70524835	N	FT	1008449	1/1/2011	3/31/2012	365	N	190	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	190	0					
P	MQ	AR DOC(WRIGHTVILLE)ACCT	95	12704	NORTH POOLING AREA	190	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF CORRECTION	70524835	N	FT	1008472	1/1/2011	3/31/2012	365	N	70	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	70	0					
P	MQ	AR DOC-BENTON UNIT-ACCT	95	13235	NORTH POOLING AREA	70	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF CORRECTION	70524835	N	FT	1008504	1/1/2011	3/31/2012	365	N	405	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	405	0					
P	MQ	AR DOC(PINE BLUFF)-ACCT	95	12705	NORTH POOLING AREA	405	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF CORRECTION	70524835	N	FT	1008505	1/1/2011	3/31/2012	365	N	610	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	610	0					
P	MQ	ARK DOC(CUMMINS)-ACCT	95	12715	NORTH POOLING AREA	610	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF FINANCE AND ADMINISTRATION RAGLAND	809872872	N	FT	1007026	4/1/2009	3/31/2012	365	N	70	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	70	0					
P	MQ	AR DEPT FIN ADMIN ACCT	95	14277	NORTH POOLING AREA	70	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF FINANCE REVENUE DIVISION	21611921	N	FT	1008523	1/1/2011	3/31/2012	365	N	145	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	145	0					
P	MQ	ARK DF&A/REV DIV-ACCT	95	13106	NORTH POOLING AREA	145	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF HUMAN SERVICES DIV OF DEVELOPMENTAL DISABILITIES SER	17364256	N	FT	1004268	4/1/2005	3/31/2006	365	N	120	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	120	0					
P	MQ	JONESBORO HUMAN DEV ACC	95	13166	NORTH POOLING AREA	120	0	YI3/YK3				
D	ARKANSAS DEPARTMENT OF HUMAN SERVICES DIVISION OF BEHAVIORAL HEALTH SERVICE	784129744	N	FT	1007131	6/1/2009	3/31/2012	365	N	244	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	244	0					
P	MQ	ARK HEALTH CENTER ACCT	95	14350	NORTH POOLING AREA	244	0	YI3/YK3				
D	ARKANSAS ELECTRIC COOPERATIVE CORPORATION	35542398	N	FT	1009537	9/10/2012	5/31/2019		Y	80000	0	
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	80000	0	YM2				
P	M2	EOIT NEUTRAL IC	95	12261	NEUTRAL POOLING AREA	80000	0					
P	MQ	MAGNET COVE GEN STATION	95	874120	NORTH POOLING AREA	80000	0					
D	ARKANSAS GLASS CONTAINER CORPORATION	7017676	N	FT	1000175	1/1/1987	12/31/2019		N	2000	0	
A	CONOCOPHILLIPS COMPANY	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	2000	0					
P	MQ	ARKANSAS GLASS-ACCT	95	12174	NORTH POOLING AREA	2000	0	YI3/YK3				
D	ARKANSAS LIME COMPANY	80737083	N	FT	1000529	1/1/1989	3/31/2008	365	N	400	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	400	0					
P	MQ	ARKANSAS LIME ACCT	95	13779	NORTH POOLING AREA	400	0	YI3/YK3				
D	ARKANSAS METHODIST HOSPITAL CORPORATION	73524563	N	FT	1010422	4/1/2015	3/31/2016	365	N	125	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	125	0					
P	MQ	ARK METHODIST HOS 1 ACC	95	15167	NORTH POOLING AREA	125	0	YI3/YK3				
D	ARKANSAS METHODIST HOSPITAL CORPORATION	73524563	N	FT	1010423	4/1/2015	3/31/2016	365	N	30	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	30	0					
P	MQ	ARK METHODIST HOS 2 ACC	95	15169	NORTH POOLING AREA	30	0	YI3/YK3				
D	ARKANSAS OKLAHOMA GAS CORPORATION	6903058	N	FT	1005193	1/11/2007	3/31/2028		Y	10000	0	
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	10000	0	YM2				
P	M2	TGT@HELENA RECEIPT	95	170080	NORTH POOLING AREA	10000	0					
P	MQ	AOG IC LINE BT -14	95	808547	NORTH POOLING AREA	10000	0					
D	ARKANSAS SCHOOL FOR THE BLIND	80455832	N	FT	1008524	1/1/2011	3/31/2012	365	N	90	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	90	0					
P	MQ	AR SCHOOL FOR BLIND-ACC	95	13062	NORTH POOLING AREA	90	0	YI3/YK3				
D	ARKANSAS SCHOOL FOR THE DEAF	835442864	N	FT	1008519	1/1/2011	3/31/2012	365	N	125	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	125	0					
P	MQ	AR SCHOOL FOR DEAF-ACCT	95	13063	NORTH POOLING AREA	125	0	YI3/YK3				
D	ARKANSAS SECRETARY OF STATE	188450779	N	FT	1010993	12/5/2016	11/30/2017	365	N	56	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	56	0					
P	MQ	AR SEC STATE ACCT	95	18356	NORTH POOLING AREA	56	0	YI3/YK3				
D	ARKANSAS STATE HIGHWAY AND TRANSPORTATION DEPARTMENT - FACILITIES MANAGEMEN	809873235	N	FT	1010926	10/1/2016	9/30/2017	365	N	72	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	72	0					
