H	"TALLGRASS INTERSTATE GT, LLC"	C000597	2/2/2018	R	2/2/2018	T	T	MARILYN WEST 303-763-2913				
P	MQ	PSCC/TIGT XCEL ROCKPORT WELD	95	41334	TIGT-W	7800						
P	MQ	WIC/TIGT ROCKPORT WELD	95	9663	TIGT-W	7800						
P	M2	WIC/TIGT ROCKPORT WELD	95	9663	TIGT-W	9600						
D	"BLACK HILLS GAS DISTRIBUTION, LLC"	796654684	N	NNS	519031	6/1/2001	5/31/2025	2707	N	41674	1875330	O1
P	MQ	BHGD/TIGT SEG 100 EFM RETAIL MASTER	95	37701	TIGT-W	501						
P	MQ	BHGD/TIGT SEG 100 NON-EFM RETAIL MAS	95	37709	TIGT-W	29						
P	MQ	BHGD/TIGT SEG 105 EFM RETAIL MASTER	95	39936	TIGT-W	1423						
P	MQ	BHGD/TIGT SEG 105 NON-EFM RETAIL MAS	95	37717	TIGT-W	10						
P	MQ	BHGD/TIGT SEG 110 EFM RETAIL MASTER	95	37725	TIGT-W	267						
P	MQ	BHGD/TIGT SEG 110 NON-EFM RETAIL MAS	95	37733	TIGT-W	6						
P	MQ	BHGD/TIGT SEG 125 EFM RETAIL MASTER	95	37743	TIGT-W	647						
P	MQ	BHGD/TIGT SEG 125 NON-EFM RETAIL MAS	95	37816	TIGT-W	3						
P	MQ	BHGD/TIGT SEG 190 EFM RETAIL MASTER	95	37824	TIGT-E	2248						
P	MQ	BHGD/TIGT SEG 190 NON-EFM RETAIL MAS	95	37832	TIGT-E	104						
P	MQ	BHGD/TIGT SEG 210 EFM RETAIL MASTER	95	37840	TIGT-E	1208						
P	MQ	BHGD/TIGT SEG 210 NON-EFM RETAIL MAS	95	37848	TIGT-E	85						
P	MQ	BHGD/TIGT SEG 215 EFM RETAIL MASTER	95	37857	TIGT-E	3211						
P	MQ	BHGD/TIGT SEG 215 NON-EFM RETAIL MAS	95	37865	TIGT-E	229						
P	MQ	BHGD/TIGT SEG 220 EFM RETAIL MASTER	95	37873	TIGT-E	87						
P	MQ	BHGD/TIGT SEG 220 NON-EFM RETAIL MAS	95	37881	TIGT-E	70						
P	MQ	BHGD/TIGT SEG 250 EFM RETAIL MASTER	95	37921	TIGT-E	538						
P	MQ	BHGD/TIGT SEG 250 NON-EFM RETAIL MAS	95	37929	TIGT-E	138						
P	MQ	BHGD/TIGT SEG 260 EFM RETAIL MASTER	95	37937	TIGT-E	1887						
P	MQ	BHGD/TIGT SEG 260 NON-EFM RETAIL MAS	95	37945	TIGT-E	7						
P	MQ	BHGD/TIGT SEG 270 EFM RETAIL MASTER	95	37953	TIGT-E	258						
P	MQ	BHGD/TIGT SEG 270 NON-EFM RETAIL MAS	95	37961	TIGT-E	16						
P	MQ	BHGD/TIGT SEG 280 EFM RETAIL MASTER	95	37969	TIGT-E	457						
P	MQ	BHGD/TIGT SEG 280 NON-EFM RETAIL MAS	95	37979	TIGT-E	48						
P	MQ	BHGD/TIGT SEG 370 EFM RETAILMASTER U	95	37751	TIGT-E	1763						
P	MQ	BHGD/TIGT SEG 370 NON-EFM RETAIL MAS	95	37759	TIGT-E	151						
P	MQ	BHGD/TIGT SEG 380 NON-EFM RETAIL MAS	95	37783	TIGT-E	84						
P	MQ	BHGD/TIGT SEG 390 EFM RETAIL MASTER	95	37767	TIGT-E	791						
P	MQ	BHGD/TIGT SEG 390 NON-EFM RETAIL MAS	95	37775	TIGT-E	206						
P	MQ	BHGD/TIGT SEG 400 EFM RETAIL MASTER	95	37784	TIGT-E	244						
P	MQ	BHGD/TIGT SEG 400 NON-EFM RETAIL MAS	95	37792	TIGT-E	105						
P	MQ	BHGD/TIGT SEG 410 EFM RETAIL MASTER	95	37800	TIGT-E	1385						
P	MQ	BHGD/TIGT SEG 410 NON-EFM RETAIL MAS	95	37808	TIGT-E	27						
P	MQ	BHGD/TIGT SEG 420 EFM RETAIL MASTER	95	37995	TIGT-E	153						
P	MQ	BHGD/TIGT SEG 420 NON-EFM RETAIL MAS	95	38004	TIGT-E	86						
P	MQ	BHGD/TIGT SEG 430 EFM RETAIL MASTER	95	38012	TIGT-E	3571						
P	MQ	BHGD/TIGT SEG 460 EFM RETAIL MASTER	95	38062	TIGT-E	1509						
P	MQ	BHGD/TIGT SEG 460 NON-EFM RETAIL MAS	95	38070	TIGT-E	136						
P	MQ	BHGD/TIGT SEG 470 EFM RETAIL MASTER	95	38080	TIGT-E	1413						
P	MQ	BHGD/TIGT SEG 470 NON-EFM RETAIL MAS	95	38088	TIGT-E	84						
P	MQ	BHGD/TIGT SEG 50 EFM RETAIL MASTER U	95	38151	TIGT-W	1735						
P	MQ	BHGD/TIGT SEG 50 NON-EFM RETAIL MAST	95	38158	TIGT-W	78						
P	MQ	BHGD/TIGT SEG 500 EFM RETAIL MASTER	95	38128	TIGT-E	1143						
P	MQ	BHGD/TIGT SEG 500 NON-EFM RETAIL MAS	95	38136	TIGT-E	319						
P	MQ	BHGD/TIGT SEG 55 EFM RETAIL MASTER U	95	38164	TIGT-W	1336						
P	MQ	BHGD/TIGT SEG 55 NON-EFM RETAIL MAST	95	38170	TIGT-W	23						
P	MQ	BHGD/TIGT SEG 58 EFM RETAIL MASTER U	95	38177	TIGT-W	2087						
P	MQ	BHGD/TIGT SEG 58 NON-EFM RETAIL MAST	95	38183	TIGT-W	156						
P	MQ	BHGD/TIGT SEG 60 EFM RETAIL MASTER S	95	37677	TIGT-W	9339						
P	MQ	BHGD/TIGT SEG 60 NON-EFM RETAIL MAST	95	37685	TIGT-W	201						
P	MQ	BHGD/TIGT SEG 80 NON-EFM RETAIL MAST	95	37693	TIGT-W	1						
P	M2	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	41674						
P	IJ	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	20837						
P	WR	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	41674						
P	MQ	TIGT/BHGD SEG 430 NON-EFM RETAIL MAS	95	38020	TIGT-E	71						
D	"BLACK HILLS GAS DISTRIBUTION, LLC"	796654684	N	FT	519038	6/1/2001	5/31/2025	2707	N	82997		O1
P	M2	AETHON/TIGT FRENCHIE DRAW FREMONT	95	8832	TIGT-W	14876						
P	MQ	BHGD/TIGT SEG 100 EFM RETAIL MASTER	95	37701	TIGT-W	993						
P	MQ	BHGD/TIGT SEG 100 NON-EFM RETAIL MAS	95	37709	TIGT-W	59						
P	MQ	BHGD/TIGT SEG 105 EFM RETAIL MASTER	95	39936	TIGT-W	2824						
P	MQ	BHGD/TIGT SEG 105 NON-EFM RETAIL MAS	95	37717	TIGT-W	21						
P	MQ	BHGD/TIGT SEG 110 EFM RETAIL MASTER	95	37725	TIGT-W	518						
P	MQ	BHGD/TIGT SEG 110 NON-EFM RETAIL MAS	95	37733	TIGT-W	13						
P	MQ	BHGD/TIGT SEG 125 EFM RETAIL MASTER	95	37743	TIGT-W	1283						
P	MQ	BHGD/TIGT SEG 125 NON-EFM RETAIL MAS	95	37816	TIGT-W	5						
P	MQ	BHGD/TIGT SEG 190 EFM RETAIL MASTER	95	37824	TIGT-E	4460						
P	MQ	BHGD/TIGT SEG 190 NON-EFM RETAIL MAS	95	37832	TIGT-E	206						
P	MQ	BHGD/TIGT SEG 210 EFM RETAIL MASTER	95	37840	TIGT-E	2398						
P	MQ	BHGD/TIGT SEG 210 NON-EFM RETAIL MAS	95	37848	TIGT-E	169						
P	MQ	BHGD/TIGT SEG 215 EFM RETAIL MASTER	95	37857	TIGT-E	6373						
P	MQ	BHGD/TIGT SEG 215 NON-EFM RETAIL MAS	95	37865	TIGT-E	455						
P	MQ	BHGD/TIGT SEG 220 EFM RETAIL MASTER	95	37873	TIGT-E	173						
P	MQ	BHGD/TIGT SEG 220 NON-EFM RETAIL MAS	95	37881	TIGT-E	140						
P	MQ	BHGD/TIGT SEG 250 EFM RETAIL MASTER	95	37921	TIGT-E	1068						
P	MQ	BHGD/TIGT SEG 250 NON-EFM RETAIL MAS	95	37929	TIGT-E	274						
P	MQ	BHGD/TIGT SEG 260 EFM RETAIL MASTER	95	37937	TIGT-E	3746						
P	MQ	BHGD/TIGT SEG 260 NON-EFM RETAIL MAS	95	37945	TIGT-E	13						
P	MQ	BHGD/TIGT SEG 270 EFM RETAIL MASTER	95	37953	TIGT-E	512						
P	MQ	BHGD/TIGT SEG 270 NON-EFM RETAIL MAS	95	37961	TIGT-E	33						
P	MQ	BHGD/TIGT SEG 280 EFM RETAIL MASTER	95	37969	TIGT-E	907						
P	MQ	BHGD/TIGT SEG 280 NON-EFM RETAIL MAS	95	37979	TIGT-E	94						
P	MQ	BHGD/TIGT SEG 370 EFM RETAILMASTER U	95	37751	TIGT-E	3499						
P	MQ	BHGD/TIGT SEG 370 NON-EFM RETAIL MAS	95	37759	TIGT-E	301						
P	MQ	BHGD/TIGT SEG 380 NON-EFM RETAIL MAS	95	37783	TIGT-E	167						
P	MQ	BHGD/TIGT SEG 390 EFM RETAIL MASTER	95	37767	TIGT-E	1571						
P	MQ	BHGD/TIGT SEG 390 NON-EFM RETAIL MAS	95	37775	TIGT-E	408						
P	MQ	BHGD/TIGT SEG 400 EFM RETAIL MASTER	95	37784	TIGT-E	485						
P	MQ	BHGD/TIGT SEG 400 NON-EFM RETAIL MAS	95	37792	TIGT-E	207						
P	MQ	BHGD/TIGT SEG 410 EFM RETAIL MASTER	95	37800	TIGT-E	2834						
P	MQ	BHGD/TIGT SEG 410 NON-EFM RETAIL MAS	95	37808	TIGT-E	53						
P	MQ	BHGD/TIGT SEG 420 EFM RETAIL MASTER	95	37995	TIGT-E	219						
P	MQ	BHGD/TIGT SEG 420 NON-EFM RETAIL MAS	95	38004	TIGT-E	172						
P	MQ	BHGD/TIGT SEG 430 EFM RETAIL MASTER	95	38012	TIGT-E	7086						
P	MQ	BHGD/TIGT SEG 460 EFM RETAIL MASTER	95	38062	TIGT-E	2995						
P	MQ	BHGD/TIGT SEG 460 NON-EFM RETAIL MAS	95	38070	TIGT-E	271						
P	MQ	BHGD/TIGT SEG 470 EFM RETAIL MASTER	95	38080	TIGT-E	2805						
P	MQ	BHGD/TIGT SEG 470 NON-EFM RETAIL MAS	95	38088	TIGT-E	167						
P	MQ	BHGD/TIGT SEG 50 EFM RETAIL MASTER U	95	38151	TIGT-W	3540						
P	MQ	BHGD/TIGT SEG 50 NON-EFM RETAIL MAST	95	38158	TIGT-W	158						
P	MQ	BHGD/TIGT SEG 500 EFM RETAIL MASTER	95	38128	TIGT-E	2267						
P	MQ	BHGD/TIGT SEG 500 NON-EFM RETAIL MAS	95	38136	TIGT-E	633						
P	MQ	BHGD/TIGT SEG 55 EFM RETAIL MASTER U	95	38164	TIGT-W	2724						
P	MQ	BHGD/TIGT SEG 55 NON-EFM RETAIL MAST	95	38170	TIGT-W	47						
P	MQ	BHGD/TIGT SEG 58 EFM RETAIL MASTER U	95	38177	TIGT-W	4258						
P	MQ	BHGD/TIGT SEG 58 NON-EFM RETAIL MAST	95	38183	TIGT-W	318						
P	MQ	BHGD/TIGT SEG 60 EFM RETAIL MASTER S	95	37677	TIGT-W	18532						
P	MQ	BHGD/TIGT SEG 60 NON-EFM RETAIL MAST	95	37685	TIGT-W	399						
P	MQ	BHGD/TIGT SEG 80 NON-EFM RETAIL MAST	95	37693	TIGT-W	3						
P	M2	CHACO/TIGT CASPER NATRONA	95	998588	TIGT-W	1605						
P	M2	CHEY/TIGT  SCOTT	95	41544	TIGT-E	7993						
P	M2	CIG/TIGT BIDI INTERCONNECT WELD	95	6997	TIGT-W	12116						
P	M2	CIG/TIGT GLENROCK CONVERSE	95	19350	TIGT-W	1478						
P	M2	CONOCO/TIGT LOST CABIN PLT FREMONT	95	8963	TIGT-W	411						
P	M2	PEPL/TIGT #1 GRANT	95	6616	TIGT-E	18551						
P	MQ	TIGT/BHGD SEG 430 NON-EFM RETAIL MAS	95	38020	TIGT-E	141						
P	M2	TMID/TIGT DOUGLAS PLT OUTLET CONVER	95	996620	TIGT-W	13579						
P	M2	TPC/TIGT  ADAMS	95	7857	TIGT-E	8955						
P	M2	WBI/TIGT LOST CABIN BRIDGER FREMONT	95	8737	TIGT-W	2629						
P	M2	WIC/TIGT ROCKPORT WELD	95	9663	TIGT-W	804						
D	"BLACK HILLS GAS DISTRIBUTION, LLC"	796654684	N	FT	949673	6/1/2017	5/31/2025	2707	N	6684		O1
P	MQ	BHGD/TIGT JULESBURG-OVID RETAIL MASTER	95	60309	TIGT-W	680						
P	MQ	BHGD/TIGT SEG 130 EFM RETAIL MASTER	95	38252	TIGT-W	5						
P	MQ	BHGD/TIGT SEG 130 NON-EFM RETAIL MAS	95	38254	TIGT-W	105						
P	MQ	BHGD/TIGT SEG 140 EFM RETAIL MASTER	95	38256	TIGT-W	1327						
P	MQ	BHGD/TIGT SEG 140 NON-EFM RETAIL MAS	95	38258	TIGT-W	110						
P	MQ	BHGD/TIGT SEG 145 EFM RETAIL MASTER	95	38260	TIGT-W	83						
P	MQ	BHGD/TIGT SEG 145 NON-EFM RETAIL MAS	95	38262	TIGT-W	14						
P	MQ	BHGD/TIGT SEG 150 EFM RETAIL MASTER	95	38264	TIGT-W	2566						
P	MQ	BHGD/TIGT SEG 150 NON-EFM RETAIL MAS	95	38266	TIGT-W	383						
P	MQ	BHGD/TIGT SEG 160 EFM RETAIL MASTER	95	38268	TIGT-W	1212						
P	MQ	BHGD/TIGT SEG 160 NON-EFM RETAIL MAS	95	38270	TIGT-W	108						
P	MQ	BHGD/TIGT SEG 165 NON-EFM RETAIL MAS	95	38272	TIGT-W	91						
P	M2	CIG/TIGT BIDI INTERCONNECT WELD	95	6997	TIGT-W	500						
P	M2	FOUNDATION/TIGT NIOBRARA YUMA	95	998577	TIGT-W	4308						
P	M2	WIC/TIGT ROCKPORT WELD	95	9663	TIGT-W	1876						
D	"BLACK HILLS GAS DISTRIBUTION, LLC"	796654684	N	NNS	949676	6/1/2017	5/31/2025	2707	N	3636	163620	O1
P	MQ	BHGD/TIGT JULESBURG-OVID RETAIL MASTER	95	60309	TIGT-W	336						
P	MQ	BHGD/TIGT SEG 130 EFM RETAIL MASTER	95	38252	TIGT-W	3						
P	MQ	BHGD/TIGT SEG 130 NON-EFM RETAIL MAS	95	38254	TIGT-W	57						
P	MQ	BHGD/TIGT SEG 140 EFM RETAIL MASTER	95	38256	TIGT-W	730						
P	MQ	BHGD/TIGT SEG 140 NON-EFM RETAIL MAS	95	38258	TIGT-W	61						
P	MQ	BHGD/TIGT SEG 145 EFM RETAIL MASTER	95	38260	TIGT-W	45						
P	MQ	BHGD/TIGT SEG 145 NON-EFM RETAIL MAS	95	38262	TIGT-W	8						
P	MQ	BHGD/TIGT SEG 150 EFM RETAIL MASTER	95	38264	TIGT-W	1411						
P	MQ	BHGD/TIGT SEG 150 NON-EFM RETAIL MAS	95	38266	TIGT-W	210						
P	MQ	BHGD/TIGT SEG 160 EFM RETAIL MASTER	95	38268	TIGT-W	666						
P	MQ	BHGD/TIGT SEG 160 NON-EFM RETAIL MAS	95	38270	TIGT-W	59						
P	MQ	BHGD/TIGT SEG 165 NON-EFM RETAIL MAS	95	38272	TIGT-W	50						
P	M2	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	3636						
P	IJ	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	1818						
P	WR	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	3636						
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	FT	29011	10/1/1993	4/30/2019	484	N	22463		
P	M2	AUGUSTUS/TIGT  YUMA	95	4905	TIGT-W	500						
P	M2	AUGUSTUS/TIGT YODEL M.L. R.P. YUMA	95	9132	TIGT-W	100						
P	MQ	BLK HIL/TIGT PILGER TBS STANTON	95	15153	TIGT-E	132						
P	MQ	BLK HILL/TIGT BATTLE CREEK TBS MADI	95	15104	TIGT-E	329						
P	MQ	BLK HILL/TIGT GOODLAND TBS SHERMAN	95	12001	TIGT-E	7276						
P	MQ	BLK HILL/TIGT HST-GRI HAMILTON	95	15000	TIGT-E	3003						
P	MQ	BLK HILL/TIGT HST-HEB HAMILTON	95	15200	TIGT-E	1065						
P	MQ	BLK HILL/TIGT HUMPHREY TBS PLATTE	95	15136	TIGT-E	348						
P	MQ	BLK HILL/TIGT LINDSAY TBS PLATTE	95	15138	TIGT-E	56						
P	MQ	BLK HILL/TIGT MADISON TBS MADISON	95	15141	TIGT-E	892						
P	MQ	BLK HILL/TIGT MEADOW GROVE TBS MADI	95	15144	TIGT-E	79						
P	MQ	BLK HILL/TIGT NEWMAN GROVE  TBS MAD	95	15146	TIGT-E	223						
P	MQ	BLK HILL/TIGT NORFOLK  TBS  #2 MADI	95	15149	TIGT-E	2840						
P	MQ	BLK HILL/TIGT NORFOLK TBS  #1 MADIS	95	15148	TIGT-E	2411						
P	MQ	BLK HILL/TIGT NORFOLK TBS  #1B MADI	95	15150	TIGT-E	2142						
P	MQ	BLK HILL/TIGT PIERCE  TBS PIERCE	95	15151	TIGT-E	979						
P	MQ	BLK HILL/TIGT STANTON TBS STANTON	95	15154	TIGT-E	434						
P	MQ	BLK HILL/TIGT TILDEN TBS MADISON	95	15156	TIGT-E	254						
P	M2	CHEY/TIGT  SCOTT	95	41544	TIGT-E	1232						
P	M2	CONOCO/TIGT LOST CABIN PLT FREMONT	95	8963	TIGT-W	1444						
P	M2	FOUNDATION/TIGT CHERRY CREEK R.P. CHE	95	8164	TIGT-W	1000						
P	M2	FOUNDATION/TIGT NEWTON M.L. R.P. YUMA	95	9069	TIGT-W	400						
P	M2	FOUNDATION/TIGT NIOBRARA YUMA	95	998577	TIGT-W	2741						
P	M2	FOUNDATION/TIGT VERNON M.L. R.P. YUMA	95	9131	TIGT-W	700						
P	M2	HILCORP/TIGT #1 ARMINTO RICH NATRON	95	9675	TIGT-W	6472						
P	M2	MIGC/TIGT GLENROCK CONVERSE	95	9661	TIGT-W	1742						
P	M2	MT PETRO/TIGT PHUMA PHILLIPS	95	8937	TIGT-W	87						
P	M2	NNG/TIGT MILLIGAN [210] FILLMORE	95	8601	TIGT-E	571						
P	M2	PEPL/TIGT #1 GRANT	95	6616	TIGT-E	3690						
P	M2	TMGATH/TIGT WIND RIVER FREMONT	95	36391	TIGT-W	1280						
P	M2	TPC/TIGT  ADAMS	95	7857	TIGT-E	504						
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	NNS	30004	10/1/1993	4/30/2019	484	N	11383	512235	
P	MQ	BLK HIL/TIGT PILGER TBS STANTON	95	15153	TIGT-E	69						
P	MQ	BLK HILL/TIGT BATTLE CREEK TBS MADI	95	15104	TIGT-E	171						
P	MQ	BLK HILL/TIGT GOODLAND TBS SHERMAN	95	12001	TIGT-E	1800						
P	MQ	BLK HILL/TIGT HST-GRI HAMILTON	95	15000	TIGT-E	3380						
P	MQ	BLK HILL/TIGT HST-HEB HAMILTON	95	15200	TIGT-E	503						
P	MQ	BLK HILL/TIGT HUMPHREY TBS PLATTE	95	15136	TIGT-E	105						
P	MQ	BLK HILL/TIGT LINDSAY TBS PLATTE	95	15138	TIGT-E	29						
P	MQ	BLK HILL/TIGT MADISON TBS MADISON	95	15141	TIGT-E	463						
P	MQ	BLK HILL/TIGT MEADOW GROVE TBS MADI	95	15144	TIGT-E	41						
P	MQ	BLK HILL/TIGT NEWMAN GROVE  TBS MAD	95	15146	TIGT-E	116						
P	MQ	BLK HILL/TIGT NORFOLK  TBS  #2 MADI	95	15149	TIGT-E	1475						
P	MQ	BLK HILL/TIGT NORFOLK TBS  #1 MADIS	95	15148	TIGT-E	1252						
P	MQ	BLK HILL/TIGT NORFOLK TBS  #1B MADI	95	15150	TIGT-E	1113						
P	MQ	BLK HILL/TIGT PIERCE  TBS PIERCE	95	15151	TIGT-E	508						
P	MQ	BLK HILL/TIGT STANTON TBS STANTON	95	15154	TIGT-E	226						
P	MQ	BLK HILL/TIGT TILDEN TBS MADISON	95	15156	TIGT-E	132						
P	M2	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	11383						
P	IJ	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	5692						
P	WR	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	11383						
D	"BRIDGEPORT ETHANOL, LLC"	956745413	N	FT	553186	9/19/2008	12/31/2023	2190	N	2400		
A	"KINECT ENERGY, INC."	N										
P	MQ	BRIDGEPO/TIGT ETHANOL MORRILL	95	44371	TIGT-W	2400						
P	M2	HILCORP/TIGT #1 ARMINTO RICH NATRON	95	9675	TIGT-W	1000						
P	M2	TMID/TIGT DOUGLAS PLT OUTLET CONVER	95	996620	TIGT-W	1400						
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FSS	949288	9/1/2016	5/31/2023	1976	N		75600	
P	IJ	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	840						
P	WR	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	1680						
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FT	949287	9/1/2016	5/31/2023	1976	N	1680		
P	MQ	BHGD/TIGT SEG 220 EFM RETAIL MASTER	95	37873	TIGT-E	1680						
P	M2	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	1680						
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FT	949075	4/1/2016	3/31/2018	89	N	2000		O1
P	MQ	ATMOS/TIGT GREELEY NORTH & WEST WEL	95	44099	TIGT-W	2000						
P	M2	WIC/TIGT ROCKPORT WELD	95	9663	TIGT-W	2000						
D	"CENTRAL CITY, CITY OF"	82724923	N	SCS	30007	10/1/1993	9/30/2019	637	N	1750	78750	
A	NATIONAL PUBLIC GAS AGENCY	N										
P	MQ	CNTL CTY/TIGT CENTRAL CITY TBS MERR	95	14700	TIGT-E	1750						
P	WR	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	1750						
P	IJ	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	875						
P	M2	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	1750						
D	"CITY OF HASTINGS, HASTINGS UTILITIES"	76980556	N	NNS	30014	10/1/1994	9/30/2018	272	N	2000	90000	
P	MQ	HASTINGS/TIGT TBS ADAMS	95	15500	TIGT-E	2000						
P	WR	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	2000						
P	IJ	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	1000						
P	M2	HUNTSMAN STORAGE ROLLUP	95	994000	TIGT-W	2000						
D	"CITY OF HASTINGS, HASTINGS UTILITIES"	76980556	N	FT	26295	10/1/1993	8/31/2021	1338	Y	16000		
P	MQ	HASTINGS/TIGT TBS ADAMS	95	15500	TIGT-E	16000						
P	M2	TPC/TIGT  ADAMS	95	7857	TIGT-E	16000						
D	COLORADO SPRINGS UTILITIES	127711760	N	CMC-2	550378	6/1/2004	3/31/2021	1185	Y	15600	1500000	
P	MQ	CIG/TIGT ARROWHEAD WELD	95	9662	TIGT-W	15600						
P	M2	CIG/TIGT BIDI INTERCONNECT WELD	95	6997	TIGT-W	9600						
P	IJ	HUNTSMAN STORAGE CMC	95	994500	TIGT-W	9600						
P	WR	HUNTSMAN STORAGE CMC	95	994500	TIGT-W	15600						
D	GRASSLANDS ENERGY MARKETING LLC	78835079	N	FT	568599	9/1/2013	8/31/2018	242	Y	7500		
P	MQ	TPC/TIGT  LOGAN	95	7413	TIGT-W	7500						
P	M2	YENTER PLT STERLING/TIGT LOGAN	95	7411	TIGT-W	7500						
D	GREEN PLAINS ATKINSON LLC	78887136	N	FT	553377	10/23/2008	10/31/2023	2129	Y	1000		
P	MQ	BHGD/TIGT GREEN PLAINS ATKINSON	95	42543	TIGT-E	1000						
P	M2	TPC/TIGT  ADAMS	95	7857	TIGT-E	1000						
D	GREEN PLAINS ATKINSON LLC	78887136	N	FT	551593	6/1/2007	10/31/2023	2129	N	2973		
P	MQ	BHGD/TIGT GREEN PLAINS ATKINSON	95	42543	TIGT-E	2973						
P	M2	CIG/TIGT GLENROCK CONVERSE	95	19350	TIGT-W	904						
P	M2	TMID/TIGT DOUGLAS PLT OUTLET CONVER	95	996620	TIGT-W	2069						
D	GREEN PLAINS CENTRAL CITY LLC	10827431	N	FT	550285	6/1/2004	10/31/2023	2129	N	6300		
A	"CENTRAL CITY, CITY OF"	N										
