H	ROCKIES EXPRESS PIPELINE LLC	C000594	4/1/2018	O	4/1/2018	T	T	MARILYN WEST 303-763-2913				
P	MQ	TET/REX CLAR MONROE	95	44425	ZONE 3	17500						
P	MQ	TGP/REX  GUERNSEY	95	44423	ZONE 3	17500						
P	M2	WHITE RI/REX MEEKER RIO BLANCO	95	42234	ZONE 1	50000						
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FTS	552042	1/12/2008	5/19/2018	48	Y	28000		
P	MQ	TPC/REX LONE TREE WELD	95	42717	ZONE 1	28000						
P	M2	WFS/REX OPAL (OT #25) LINCOLN	95	43462	ZONE 1	28000						
D	SIERENTZ GLOBAL MERCHANTS LLC	80356493	N	FTS	950201	4/1/2018	10/31/2018	213	N	10000		
P	MQ	TEX GAS/REX LEB WARREN	95	44420	ZONE 3	10000						
P	M2	WFS/REX OPAL (OT #25) LINCOLN	95	43462	ZONE 1	1000						
P	M2	WHITE RI/REX MEEKER RIO BLANCO	95	42234	ZONE 1	9000						
D	SIERENTZ GLOBAL MERCHANTS LLC	80356493	N	FTS	950005	3/1/2018	6/30/2018	90	N	20000		
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	20000						
P	M2	ENTPROC/REX PIONEER (OT #26) LINCOL	95	43463	ZONE 1	10790						
P	M2	WFS/REX OPAL (OT #25) LINCOLN	95	43462	ZONE 1	9210						
D	SPIRE MISSOURI INC.	6967798	N	FTS	949208	12/13/2016	1/5/2032	5027	Y	20000		YE2
"A   EQT ENERGY, LLC    N    YE2"												
P	M2	EQT OVC/REX ISALY MONROE	95	60062	ZONE 3	20000						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	20000						
D	STATOIL NATURAL GAS LLC	130073534	N	FTS	949709	8/1/2017	7/31/2020	852	Y	20000		
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	20000						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	20000						
D	TENASKA MARKETING VENTURES	624240628	N	FTS	950009	3/1/2018	6/30/2018	90	N	50000		
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	50000						
P	M2	WFS/REX OPAL (OT #25) LINCOLN	95	43462	ZONE 1	50000						
D	TENASKA MARKETING VENTURES	624240628	N	FTS	950291	4/1/2018	4/30/2018	29	N	15000		
P	M2	OVRTHRUS/REX WAMSUTTER (OT #27) SWE	95	42804	ZONE 1	15000						
P	MQ	TEX GAS/REX LEB WARREN	95	44420	ZONE 3	15000						
D	"TRIAD HUNTER, LLC"	29076159	N	FTS	949019	12/13/2016	1/5/2032	5027	Y	38000		YE2
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
A	BP ENERGY COMPANY	N	YE2									
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	38000						
P	MQ	TEX GAS/REX LEB WARREN	95	44420	ZONE 3	38000						
D	"TRIAD HUNTER, LLC"	29076159	N	FTS	949122	12/13/2016	1/5/2032	5027	Y	12000		YE2
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
A	BP ENERGY COMPANY	N	YE2									
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	12000						
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	12000						
D	"WYOMING INTERSTATE COMPANY, L.L.C."	30669048	N	FTS	553362	12/9/2009	12/8/2019	616	Y	40000		
P	MQ	OVRTHRUS/REX WAMSUTTER (OT #27) SWE	95	42804	ZONE 1	40000						
P	M2	WHITE RI/REX MEEKER RIO BLANCO	95	42234	ZONE 1	40000						
F	O1	THE INDEX OF CUSTOMERS REFLECTS THE RATCHET CONTRACT QUANTITY IN EFFECT ON THE FIRST DAY OF THE CALENDAR QUARTER										
F	YE2	ASSET MANAGEMENT AGREEMENT (AMA) RELATIONSHIP										
F	YE3	AMA RELATIONSHIP OCCURS MORE THAN ONCE BETWEEN THIS REPLACEMENT SHIPPER AND RELEASING SHIPPER FOR THIS CONTRACT										
F	YE4	AGENCY RELATIONSHIP AND AMA RELATIONSHP OCCURS CONCURRENTLY BETWEEN THIS REPLACEMENT SHIPPER AND RLEASING SHIPPER FOR THIS CONTRACT										
