H	"COLORADO INTERSTATE GAS COMPANY, L.L.C."	C000981	4/2/2018	O	4/1/2018	T	T	Sherry Saunders 719-520-3711				
D	"CHEYENNE LIGHT, FUEL AND POWER COMPANY"	6915144	N	NNT-1	31037000-NNT1CIG	5/1/2001	4/30/2021		N	18055	605076	n1
A	"BLACK HILLS UTILITY HOLDINGS, INC."	N										
P	WR	CLFP/CIG (CHE) CHEYENNE WELD	95	800141	CIG MAINLINE	18055	0					
P	WR	CLFP/CIG (N43) CHEYENNE LF&P NN LOC	95	800481	CIG MAINLINE	0	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	NNT-1	31051000-NNT1CIG	10/1/2001	4/30/2022		N	73528	2464109	n1
P	WR	CSU/CIG (COS) CITY OF COLORADO SPRI	95	800160	CIG MAINLINE	73528	0					
P	WR	CSU/CIG (N42) COLORADO SPRINGS NN L	95	800480	CIG MAINLINE	0	0					
P	WR	CSU/CIG (N53) COLORADO SPRINGS NN E	95	800484	CIG MAINLINE	0	0					
P	WR	CSU/CIG (NCS) NIXON/CLEAR SPRING EL	95	800488	CIG MAINLINE	0	0					
D	"MIDWEST ENERGY, INC."	42379594	N	NNT-1	31047000-NNT1CIG	10/1/2001	10/31/2021		N	887	29736	n1
P	WR	MWE/CIG (LDH) LAKIN; DEERFIELD; HOL	95	800378	CIG MAINLINE	887	0					
P	WR	MWE/CIG (N13) MIDWEST ENERGY CITY G	95	800456	CIG MAINLINE	0	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	NNT-1	31050000-NNT1CIG	10/1/2001	4/30/2023		N	677921	22719036	n1
A	XCEL ENERGY SERVICES INC.	N										
P	WR	PSCC/CIG (ASH) ARISTOCRAT HIGH WELD	95	800066	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (AST) ARISTOCRAT DELIVERY	95	800067	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (BCL) BEAVER CREEK LATERAL	95	892149	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (BLU) BLUE SPRUCE ADAMS	95	892088	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (BRS) BRUSH STATION MORGAN	95	800109	CIG MAINLINE	4256	0					
P	WR	PSCC/CIG (CCR) COYOTE CREEK METER S	95	801485	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (CRG) CORRAL GULCH RECEIPT	95	800167	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (EDE) EAST DENVER ADAMS	95	800220	CIG MAINLINE	618215	0					
P	WR	PSCC/CIG (FLH) FORT LUPTON HIGH WEL	95	800239	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (FSC) FIRST CREEK ADAMS	95	800255	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (FTL) FORT LUPTON DELIVERY	95	800261	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (GRE) GREELEY WELD	95	800279	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (HSN) HUDSON LOW WELD	95	800313	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (HUD) HUDSON HIGH WELD	95	800319	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (LPM) LODGEPOLE WELD	95	891989	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (LTH) LITTLE HORSE RECEIPT	95	800394	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (MPH) MIDWAY PSCO HIGH EL	95	800433	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (MWP) MIDWAY PUBLIC SERVIC	95	800450	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (N26) PSCO NN LOCATION ADA	95	800468	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (N52) PSCO NN ELECTRIC LOC	95	800483	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (PON) PONDEROSA WELD	95	896046	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (PUE) PUEBLO STATIONS PUEB	95	800599	CIG MAINLINE	55450	0					
P	WR	PSCC/CIG (RIF) RIFLE DELIVERY GARFI	95	892291	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (SKL) SKYLINE WELD	95	891807	CIG MAINLINE	0	0					
P	WR	PSCC/CIG (STV) ST. VRAIN DELIVERY W	95	892191	CIG MAINLINE	0	0					
D	RATON GAS TRANSMISSION CO	965769383	N	NNT-1	31048000-NNT1CIG	10/1/2001	4/30/2021		N	6694	224324	n1
A	"UNITED ENERGY TRADING, LLC"	N										
P	WR	RATONGAS/CIG (N34) RATON NO NOTICE	95	800477	CIG MAINLINE	0	0					
P	WR	RATONGAS/CIG (RTN) RATON STATION LA	95	891100	CIG MAINLINE	6694	0					
D	"COLORADO NATURAL GAS, INC."	31675325	N	NNT-2	31038000-NNT2CIG	10/1/2001	4/30/2021		N	3093	103659	n1
A	"KTM, INC."	N										
P	WR	CONATGAS/CIG (NDT) NORTH DEERTRAIL	95	800489	CIG MAINLINE	3093	0					
D	FORT MORGAN CITY OF	175503770	N	NNT-2	31039000-NNT2CIG	10/1/2001	4/30/2022		N	5208	174558	n1
A	NATIONAL PUBLIC GAS AGENCY	N										
P	WR	FORT MOR/CIG (FTM) CITY OF FORT MOR	95	800262	CIG MAINLINE	5208	0					
D	KEYES TOWN OF	54588793	N	NNT-2	31040000-NNT2CIG	10/1/2001	4/30/2022		N	303	10170	n1
A	NATIONAL PUBLIC GAS AGENCY	N										
P	WR	KEYES/CIG (KST) TOWN OF KEYES CIMAR	95	891036	CIG MAINLINE	303	0					
D	TRINIDAD CITY OF	76452556	N	NNT-2	31041000-NNT2CIG	10/1/2001	4/30/2020		N	5210	174599	n1
A	NATIONAL PUBLIC GAS AGENCY	N										
P	WR	TRINIDAD/CIG (N23) TRINIDAD NN LOCA	95	800460	CIG MAINLINE	0	0					
P	WR	TRINIDAD/CIG (TRI) TRINIDAD LAS ANI	95	800727	CIG MAINLINE	5210	0					
D	WALSENBURG CITY OF	67308080	N	NNT-2	31042000-NNT2CIG	10/1/2001	4/30/2022		N	1736	58186	n1
A	NATIONAL PUBLIC GAS AGENCY	N										
P	WR	WALSEN/CIG (WSB) WALSENBURG LAS ANI	95	891104	CIG MAINLINE	1736	0					
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	TF-1	213006-TF1CIG	9/1/2017	10/31/2027		Y	241290	0	n1
P	MQ	CIG/CPG (RCD) RED CLOUD METER STATI	95	800614	CIG MAINLINE	120000	0					
P	M2	KERRMCGE/CIG (PTV) PLATTE VALLEY WE	95	291761	CIG MAINLINE	134290	0					
P	MQ	TPC/CIG (TOM) TOMAHAWK WELD	95	291661	CIG MAINLINE	121290	0					
P	M2	WGRASSET/CIG (WAT) WATKINS ADAMS	95	800759	CIG MAINLINE	107000	0					
D	ATMOS ENERGY CORP	108203241	N	TF-1	33182000-TF1CIG	10/1/2000	3/31/2021		N	6121	0	n1
A	CONCORD ENERGY LLC	N										
P	MQ	AEC-I/CIG (CAN) CANON CITY FREMONT	95	800128	CIG MAINLINE	4814	0					
P	MQ	AEC-I/CIG (MCD) MCCLAVE DELIVERY (G	95	800414	CIG MAINLINE	607	0					
P	MQ	AEC-I/CIG (SPR) SPRINGFIELD METER B	95	891072	CIG MAINLINE	700	0					
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	593	0					
P	M2	CIMRIVER/CIG (SIN) SINGING GRASS CH	95	800683	CIG MAINLINE	2277	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	1260	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	1200	0					
P	M2	PNR USA/CIG (BIC) BIG CANYON POTTER	95	800088	CIG MAINLINE	491	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	300	0					
D	ATMOS ENERGY CORP	108203241	N	TF-1	33314000-TF1CIG	9/1/2001	3/31/2021		N	4000	0	n1
A	CONCORD ENERGY LLC	N										
P	MQ	AEC-I/CIG (CAN) CANON CITY FREMONT	95	800128	CIG MAINLINE	2000	0					
P	MQ	AEC-I/CIG (MCD) MCCLAVE DELIVERY (G	95	800414	CIG MAINLINE	2000	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	1000	0					
P	M2	PNR USA/CIG (BIC) BIG CANYON POTTER	95	800088	CIG MAINLINE	1000	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	2000	0					
D	BLACK HILLS DISTRIBUTION LLC/COLORADO	9237	N	TF-1	33261001-TF1CIG	5/1/2008	3/31/2021		N	120	0	n1
A	"BLACK HILLS UTILITY HOLDINGS, INC."	N										
P	MQ	BHD COL/CIG (CIT) COLORADO IRRIGATI	95	291035	CIG MAINLINE	20	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	120	0					
P	MQ	TALLGRAS/CIG (VIT) VALLERY IRRIGATI	95	892275	CIG MAINLINE	100	0					
D	BLACK HILLS DISTRIBUTION LLC/SOUTH CO	8209	N	TF-1	33171032-TF1CIG	5/1/2008	12/31/2038		N	7375	0	n1
A	"BLACK HILLS UTILITY HOLDINGS, INC."	N										
P	MQ	BHD SOU/CIG (WRK) WHITE ROCK OTERO	95	800793	CIG MAINLINE	7375	0					
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	797	0					
P	M2	DEQ/CIG (KAN) KANDA SWEETWATER	95	800335	CIG MAINLINE	2074	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	47	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	882	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	175	0					
P	M2	WGROPER/CIG (BLF) BLUE FOREST SWEET	95	891645	CIG MAINLINE	3400	0					
D	BLACK HILLS DISTRIBUTION LLC/SOUTH CO	8209	N	TF-1	33175032-TF1CIG	5/1/2008	3/31/2021		N	3175	0	n1
A	"BLACK HILLS UTILITY HOLDINGS, INC."	N										
P	MQ	BHD SOU/CIG (WRK) WHITE ROCK OTERO	95	800793	CIG MAINLINE	3175	0					
P	M2	CIG/WIC (SWT) SWEETWATER SWEETWATER	95	800709	CIG MAINLINE	26	0					
P	M2	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	367	0					
P	M2	ETC FS/CIG (LAM) LAKIN MASTER METER	95	800359	CIG MAINLINE	539	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	658	0					
P	M2	MGR/CIG (TAB) TABLE ROCK MASTER MET	95	895008	CIG MAINLINE	1570	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	15	0					
D	BLACK HILLS DISTRIBUTION LLC/WYHIGHLN	8242	N	TF-1	33349006-TF1CIG	5/1/2008	5/31/2023		N	138	0	n1
A	ROCKY MOUNTAIN NATURAL GAS LLC	N										
P	MQ	BHD WYH/CIG (WYT) WYOMING HILINE TA	95	800819	CIG MAINLINE	138	0					
P	M2	BHGD/CIG (CKC) CHOKECHERRY BI-DIR C	95	47967	CIG MAINLINE	61	0					
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	6	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	32	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	4	0					
P	M2	MGR/CIG (TAB) TABLE ROCK MASTER MET	95	895008	CIG MAINLINE	4	0					
P	M2	PNR USA/CIG (BIC) BIG CANYON POTTER	95	800088	CIG MAINLINE	31	0					
D	BLACK HILLS DISTRIBUTION WS	9661	N	TF-1	33611001-TF1CIG	6/1/2014	10/31/2021		N	37800	0	n1
A	"BLACK HILLS UTILITY HOLDINGS, INC."	N										
P	MQ	PSCC/CIG (RIF) RIFLE DELIVERY GARFI	95	892291	CIG MAINLINE	37800	0					
P	M2	WRH/CIG (FLT) FLAT TOP RECEIPT RIO	95	892268	CIG MAINLINE	37800	0					
D	"BLACK HILLS GAS DISTRIBUTION, LLC D/B/A/ BLACK HILLS ENERGY"	796654684	N	TF-1	33262007-TF1CIG	5/1/2008	3/31/2023		N	56	0	n1
A	"BLACK HILLS UTILITY HOLDINGS, INC."	N										
P	MQ	BHGD/CIG (LAR) LARAMIE STATION ALBA	95	891045	CIG MAINLINE	56	0					
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	6	0					
P	M2	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	25	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	25	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TF-1	33167000-TF1CIG	11/1/1997	6/30/2026		N	4247	0	n1
P	MQ	BLK HILL/CIG (CRK) CASTLE ROCK AREA	95	800169	CIG MAINLINE	4247	0					
P	M2	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	2114	0					
P	M2	ETC FS/CIG (LAM) LAKIN MASTER METER	95	800359	CIG MAINLINE	1394	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	739	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TF-1	33391000-TF1CIG	10/1/2001	10/31/2021		N	10000	0	n1
P	MQ	BLK HILL/CIG (CRK) CASTLE ROCK AREA	95	800169	CIG MAINLINE	10000	0					
P	M2	WGRASSET/CIG (WAT) WATKINS ADAMS	95	800759	CIG MAINLINE	10000	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TF-1	33392000-TF1CIG	11/1/2002	10/31/2021		N	22898	0	n1
P	MQ	BLK HILL/CIG (CRK) CASTLE ROCK AREA	95	800169	CIG MAINLINE	19424	0					
P	MQ	BLK HILL/CIG (HUG) HUGO LINCOLN	95	800320	CIG MAINLINE	3474	0					
P	M2	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	1740	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	2730	0					
P	M2	WGRASSET/CIG (WAT) WATKINS ADAMS	95	800759	CIG MAINLINE	13000	0					
P	M2	WGROPER/CIG (BLF) BLUE FOREST SWEET	95	891645	CIG MAINLINE	5428	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TF-1	33497000-TF1CIG	11/1/2006	10/31/2021		N	0	0	n1
P	MQ	BLK HILL/CIG (CRK) CASTLE ROCK AREA	95	800169	CIG MAINLINE	0	0					
P	M2	CIG/CIG (CJC) CHEYENNE JUMPER WELD	95	800150	CIG MAINLINE	0	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TF-1	33599000-TF1CIG	8/1/2008	10/31/2021		N	47000	0	n1
P	MQ	BLK HILL/CIG (BWF) BLACK WOLF DELIV	95	892315	CIG NO RATON Z2	47000	0					
P	M2	WIC/CIG (BOW) BOWIE WELD	95	800104	CIG MAINLINE	47000	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TF-1	33629000-TF1CIG	10/1/2011	9/30/2026		N	50000	0	n1
P	MQ	BLK HILL/CIG (CRK) CASTLE ROCK AREA	95	800169	CIG MAINLINE	16000	0					
P	MQ	BLK HILL/CIG (SHH) SPRUCE HILL HIGH	95	800680	CIG MAINLINE	34000	0					
P	M2	CIG/CIG (SHB) SPRUCE HILL BLENDING	95	800677	CIG MAINLINE	50000	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TF-1	33640000-TF1CIG	1/1/2012	10/31/2021		Y	13000	0	n1
P	MQ	BLK HILL/CIG (BWF) BLACK WOLF DELIV	95	892315	CIG NO RATON Z2	13000	0					
P	M2	XTO ENER/CIG (PGT) PURGATOIRE LAS A	95	800556	CIG MAINLINE	13000	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TF-1	213757-TF1CIG	1/1/2018	10/31/2021		N	3045	0	n1
P	MQ	BLK HILL/CIG (CRK) CASTLE ROCK AREA	95	800169	CIG MAINLINE	3045	0					
P	M2	WGROPER/CIG (BLF) BLUE FOREST SWEET	95	891645	CIG MAINLINE	1045	0					
P	M2	WIC/CIG (DOV) DOVER METER STATION W	95	800212	CIG MAINLINE	2000	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TF-1	213759-TF1CIG	1/1/2018	10/31/2021		N	10000	0	n1
P	MQ	NGPL/CIG (FOR) FORGAN BEAVER	95	891044	CIG MAINLINE	10000	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	3000	0					
P	M2	WRH/CIG (FLT) FLAT TOP RECEIPT RIO	95	892268	CIG MAINLINE	7000	0					
D	BONANZA BIOENERGY LLC	784984416	N	TF-1	33521000-TF1CIG	4/1/2007	3/31/2019		N	2000	0	n1
A	"KINECT ENERGY, INC."	N										
P	MQ	BLK HILL/CIG (FIN) FINNEY METER STA	95	892251	CIG MAINLINE	2000	0					
P	M2	NW P/L/CIG (GRN) GREEN RIVER NPC ST	95	800282	CIG MAINLINE	2000	0					
D	BP ENERGY COMPANY	625275755	N	TF-1	33417000-TF1CIG	11/1/2003	10/31/2023		N	4700	0	n1
P	MQ	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	500	0					
P	MQ	NGPL/CIG (FOR) FORGAN BEAVER	95	891044	CIG MAINLINE	4200	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	4700	0					
D	BP ENERGY COMPANY	625275755	N	TF-1	33524000-TF1CIG	11/1/2006	7/31/2021		N	20000	0	n1
P	MQ	CIG/RUBY (EMS) EMERALD SPRINGS LINC	95	800230	CIG MAINLINE	20000	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	20000	0					
D	BP ENERGY COMPANY	625275755	N	TF-1	211039-TF1CIG	11/1/2015	10/31/2019		N	21889	0	n1
P	MQ	ANR/CIG (BEA) BEAVER BEAVER	95	800078	CIG MAINLINE	3339	0					
P	MQ	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	18550	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	3339	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	18550	0					
D	"CF&I STEEL, L.P. DBA EVRAZ ROCKY MOUTAIN STEEL"	805425675	N	TF-1	33251000-TF1CIG	10/1/2001	9/30/2021		N	4000	0	n1
A	"SUMMIT ENERGY SERVICES, INC."	N										
P	MQ	CF&I/CIG (CFI) ROCKY MOUNTAIN STEEL	95	891003	CIG MAINLINE	4000	0					
P	M2	WIC/CIG (BOW) BOWIE WELD	95	800104	CIG MAINLINE	4000	0					
D	"CF&I STEEL, L.P. DBA EVRAZ ROCKY MOUTAIN STEEL"	805425675	N	TF-1	33376000-TF1CIG	12/1/2003	11/30/2018		Y	2000	0	n1
A	"SUMMIT ENERGY SERVICES, INC."	N										
P	MQ	CF&I/CIG (CFI) ROCKY MOUNTAIN STEEL	95	891003	CIG MAINLINE	2000	0					
P	M2	WIC/CIG (BOW) BOWIE WELD	95	800104	CIG MAINLINE	2000	0					
D	"CHEYENNE LIGHT, FUEL AND POWER COMPANY"	6915144	N	TF-1	33296000-TF1CIG	5/1/2001	4/30/2021		N	5700	0	n1
A	"BLACK HILLS UTILITY HOLDINGS, INC."	N										
A	TENASKA MARKETING VENTURES	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	1500	0					
P	MQ	CLFP/CIG (CHE) CHEYENNE WELD	95	800141	CIG MAINLINE	3240	0					
P	M2	NWC/CIG (GRZ) GRIZZLY METER STATION	95	800284	CIG MAINLINE	2100	0					
P	MQ	PSCC/CIG (EDE) EAST DENVER ADAMS	95	800220	CIG MAINLINE	2460	0					
P	M2	WGROPER/CIG (BLF) BLUE FOREST SWEET	95	891645	CIG MAINLINE	2100	0					
D	CHS INC	6147177	N	TF-1	33093000-TF1CIG	1/1/1996	5/31/2023		N	17000	0	n1
P	M2	ANR/CIG (BEA) BEAVER BEAVER	95	800078	CIG MAINLINE	6000	0					
P	M2	DCP OPER/CIG (MEW) MEWBOURN WELD	95	800421	CIG MAINLINE	11000	0					
P	MQ	NWC/CIG (GRZ) GRIZZLY METER STATION	95	800284	CIG MAINLINE	6000	0					
P	MQ	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	11000	0					
D	"CIMA ENERGY, LP"	945601599	N	TF-1	213228-TF1CIG	7/1/2017	6/30/2018		N	7000	0	n1
P	MQ	KERN/CIG (MUD) MUDDY CREEK LINCOLN	95	891735	CIG MAINLINE	7000	0					
P	M2	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	7000	0					
D	"COLORADO NATURAL GAS, INC."	31675325	N	TF-1	33387000-TF1CIG	12/1/2002	4/30/2021		N	1500	0	n1
A	"KTM, INC."	N										
P	MQ	CF&I/CIG (CFI) ROCKY MOUNTAIN STEEL	95	891003	CIG MAINLINE	1500	0					
P	M2	WIC/CIG (BOW) BOWIE WELD	95	800104	CIG MAINLINE	1500	0					
D	"COLORADO NATURAL GAS, INC."	31675325	N	TF-1	33660000-TF1CIG	12/1/2011	11/30/2036		N	250	0	n1
A	"KTM, INC."	N										
P	MQ	PSCC/CIG (PUE) PUEBLO STATIONS PUEB	95	800599	CIG MAINLINE	250	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	250	0					
D	"COLORADO NATURAL GAS, INC."	31675325	N	TF-1	33727000-TF1CIG	7/1/2013	6/30/2033		N	1500	0	n1
A	"KTM, INC."	N										
P	MQ	BLK HILL/CIG (CRK) CASTLE ROCK AREA	95	800169	CIG MAINLINE	400	0					
P	M2	PNR USA/CIG (PKW) PICKETWIRE LAS AN	95	800564	CIG MAINLINE	1500	0					
P	MQ	PSCC/CIG (PUE) PUEBLO STATIONS PUEB	95	800599	CIG MAINLINE	1100	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33166003-TF1CIG	11/1/2013	6/8/2021		N	6750	0	n1
P	MQ	CSU/CIG (COS) CITY OF COLORADO SPRI	95	800160	CIG MAINLINE	6750	0					
P	M2	DEQ/CIG (KAN) KANDA SWEETWATER	95	800335	CIG MAINLINE	1650	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	50	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	2100	0					
P	M2	NW P/L/CIG (GRN) GREEN RIVER NPC ST	95	800282	CIG MAINLINE	1900	0					
P	M2	WGROPER/CIG (BLF) BLUE FOREST SWEET	95	891645	CIG MAINLINE	1050	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33186000-TF1CIG	10/1/1996	3/31/2022		N	21085	0	n1
P	MQ	CSU/CIG (COS) CITY OF COLORADO SPRI	95	800160	CIG MAINLINE	21085	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	0	0					
P	MQ	YGS/CIG (YCS) YOUNG GAS STORAGE MOR	95	800826	CIG MAINLINE	0	0					
P	M2	YGS/CIG (YCS) YOUNG GAS STORAGE MOR	95	800826	CIG MAINLINE	21085	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33247000-TF1CIG	12/1/2002	4/14/2023		N	90480	0	n1
P	MQ	CSU/CIG (NCS) NIXON/CLEAR SPRING EL	95	800488	CIG MAINLINE	90480	0					
P	M2	WIC/CIG (BOW) BOWIE WELD	95	800104	CIG MAINLINE	90480	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33248000-TF1CIG	12/1/2002	3/31/2022		Y	10000	0	n1
P	MQ	CSU/CIG (COS) CITY OF COLORADO SPRI	95	800160	CIG MAINLINE	10000	0					
P	M2	WIC/CIG (DOV) DOVER METER STATION W	95	800212	CIG MAINLINE	10000	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33259000-TF1CIG	10/1/2003	3/31/2022		Y	5000	0	n1
P	MQ	CSU/CIG (COS) CITY OF COLORADO SPRI	95	800160	CIG MAINLINE	5000	0					
