H	"American Midstream (Midla), LLC"	C001024	4/2/2018	O	4/1/2018	F		Bryan Escobedo (346) 241-3574				
P	MQ	"VIDALIA, LA #3"		95	20305	696	0					
												
D	MISSISSIPPI GAS CORPORATION	968754465	N	FTS	FTS-MID-0016	9/1/1993	8/31/1998	365	N	11	0	
A	"INTERCONN RESOURCES, LLC"	N										
P	M2	TRANSCO TO MIDLA-ETHEL	95	10151	11	0						
P	MQ	"NATCHEZ, MS #4"			95	20115	11	0				
												
D	"MISSISSIPPI RIVER PULP, LLC"	650	N	FTS	FTS-MID-0007	7/1/2010	6/30/2017	365	N	1500	0	
P	M2	TRANSCO TO MIDLA- ETHEL	95	10151	1500	0						
P	MQ	"NATCHEZ, MS #3"		95	20122	1500	0					
												
D	TOWN OF CLINTON	51453694	N	FTS	FTS-MID-0024	9/1/1993	8/31/1994	365	N	846	0	
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	M2	GULF SOUTH TO MIDLA- SCOTLANDVILLE	95	10150	846	0						
P	MQ	"CLINTON, LA"	95	20127	846	0						
												
D	TOWN OF JACKSON	31590094	N	FTS	FTS-MID-0012	9/1/1993	8/31/1998	365	N	391	0	
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	M2	TRANSCO TO MIDLA-ETHEL	95	10151	391	0						
P	MQ	"JACKSON, LA"		95	20131	391	0					
												
D	TOWN OF SLAUGHTER	969799683	N	FTS	FTS-MID-0018	9/1/1993	8/31/1998	365	N	178	0	
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	M2	GULF SOUTH TO MIDLA-SCOTLANDVILLE	95	10150	178	0						
P	MQ	"SLAUGHTER, LA"	95	20133	178	0						
												
D	TOWN OF ST. FRANCISVILLE	31590094	N	FTS	FTS-MID-0017	9/1/1993	8/31/1998	365	N	356	0	
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	M2	GULF SOUTH TO MIDLA-SCOTLANDVILLE	95	10150		356	0					
P	MQ	"ST.FRANCISVILLE, LA"	95	20132		356	0					
												
D	TOWN OF WOODVILLE	480048004	N	FTS	FTS-MID-0021	9/1/1993	8/31/1998	365	N	41	0	
P	M2	TRANSCO TO MIDLA-ZACHARY	95	10154		41	0					
P	MQ	"WOODVILLE, MS"	95	20121		41	0					
												
D	TRANS LOUISIANA GAS COMPANY	613205723	N	FTS	FTS-MID-0013	9/1/1993	8/31/1998	365	N	39	0	
P	M2	TRANSCO TO MIDLA-ZACHARY	95	10154		39	0					
P	MQ	BOSCO LANE	95	20109		39	0					
												
F	1	DUNS Number is not avaialable. Proprietary code is shown										
