H	"Columbia Gas Transmission, LLC"	C000306          	4/2/2018	O	4/1/2018	T	T	Kay Dennison (832)320-5336	 			
P	MQ	Constellation Big Sandy         	95	836799	TCO     	30			 	 	 	 
D	ArcelorMittal USA LLC	SR 011639	N       	FTS     	10409	12/1/2009	10/31/2024	 	N	9293		 
A	"Delta Energy, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Strategic Energy LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	9293			 	 	 	 
P	MQ	BALTIMORE GAS & ELEC	95	4	TCO     	9293			 	 	 	 
D	ArcelorMittal USA LLC	SR 011639	N       	FTS     	148427	4/1/2014	10/31/2027	 	N	4068		 
A	"Delta Energy, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Strategic Energy LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	4068			 	 	 	 
P	MQ	UGI CORP-25         	95	72-25	TCO     	4068			 	 	 	 
D	"ARP Mountaineer Production, LLC"	78330018	N       	FTS     	153650	5/13/2014	10/31/2024	 	N	10950		 
P	M2	CDX-WOLF PEN MS.                	95	837746	TCO     	9950			 	 	 	 
P	M2	LASHER	95	840219	TCO     	1000			 	 	 	 
P	MQ	COL GAS OH OP 07-6  	95	23-6	TCO     	10950			 	 	 	 
D	"ARP Mountaineer Production, LLC"	78330018	N       	FTS     	153651	5/13/2014	10/31/2024	 	N	3050		 
P	M2	CDX-WOLF PEN MS.                	95	837746	TCO     	2800			 	 	 	 
P	M2	LASHER	95	840219	TCO     	250			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	3050			 	 	 	 
D	Arsenal Resources Energy LLC	SR 4225397	N       	OPT60   	173385	6/1/2016	10/31/2019	 	N	3000		 
A	ARM Energy Management LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	DGP-Cassidy Mtn     	95	I1	TCO     	3000			 	 	 	 
P	MQ	HANOVER             	95	R2	TCO     	3000			 	 	 	 
D	Arsenal Resources Energy LLC	SR 4225397	N       	FTS     	187693	4/1/2017	8/31/2023	 	N	52500		 
A	ARM Energy Management LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	Alton	95	842526	TCO     	33583			 	 	 	 
P	M2	Cassidy Mountain	95	842549	TCO     	15000			 	 	 	 
P	M2	DGP-Cassidy Mtn     	95	I1	TCO     	3917			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	52500			 	 	 	 
D	"Ascent Resources - Utica, LLC"	79174372	N       	FTS     	172580	1/1/2018	12/31/2032	 	Y	200000		 
A	"Direct Energy Business Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"EQT Energy, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Tenaska Marketing Ventures	N       		 	 	 	 	 	 	 	 	 
P	M2	Eureka	95	743103	TCO     	150000			 	 	 	 
P	M2	Stagecoach - LXP	95	743093	TCO     	50000			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	200000			 	 	 	 
D	"Ascent Resources - Utica, LLC"	79174372	N       	FTS     	195969	1/1/2018	12/31/2032	 	Y	161759		 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"CNE Gas Supply, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Direct Energy Business Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Elevation Energy Group, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Interstate Gas Supply, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Twin Eagle Resource Management, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	Eureka	95	743103	TCO     	161759			 	 	 	 
P	MQ	COL GAS OH OP 05-2  	95	23N-2	TCO     	7357			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	16522			 	 	 	 
P	MQ	COL GAS OH OP 07-4  	95	23-4	TCO     	7012			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	26495			 	 	 	 
P	MQ	COL GAS OH OP 07-8  	95	23-8	TCO     	45368			 	 	 	 
P	MQ	COL GAS OH OP 07-9  	95	23-9	TCO     	23403			 	 	 	 
P	MQ	DAYTON-6            	95	33-6	TCO     	33742			 	 	 	 
P	MQ	NATIONAL GAS&OIL-8  	95	51-8	TCO     	1860			 	 	 	 
D	"Auroras Oilfield Services, LLC"	620693119	N       	FTS     	10218	8/1/2009	3/31/2020	 	Y	7		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TECHNOLOGY DEVELOPMENT - FIELDS 	95	824766	TCO     	7			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	7			 	 	 	 
D	"Auroras Oilfield Services, LLC"	620693119	N       	FTS     	15244	5/17/2010	5/31/2020	 	Y	13		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TECHNOLOGY DEVELOPMENT - FIELDS 	95	824766	TCO     	13			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	13			 	 	 	 
D	Baltimore Gas and Electric Company	6949713	N       	SST     	77156	11/1/2004	3/31/2026	 	N	70969		 
P	M2	RP Storage Point TCO	95	STOR	TCO     	70969			 	 	 	 
P	MQ	BALTIMORE GAS & ELEC	95	4	TCO     	330518			 	 	 	 
D	Baltimore Gas and Electric Company	6949713	N       	FSS     	77166	11/1/2004	3/31/2026	 	N		11525574	 
D	Baltimore Gas and Electric Company	6949713	N       	FTS     	77167	11/1/2004	10/31/2033	 	N	146925		 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO POOL	95	P10	TCO     	29940			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	116985			 	 	 	 
P	MQ	BALTIMORE GAS & ELEC	95	4	TCO     	146925			 	 	 	 
D	Baltimore Gas and Electric Company	6949713	N       	NTS     	77224	11/1/2004	10/31/2024	 	N	63000		 
P	M2	TCO POOL	95	P10	TCO     	63000			 	 	 	 
P	MQ	BALTIMORE GAS & ELEC	95	4	TCO     	63000			 	 	 	 
D	Baltimore Gas and Electric Company	6949713	N       	TPS     	100888	8/1/2008	3/31/2023	 	N	23017		 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	Lost River	95	LOSTRI	TCO     	23017			 	 	 	 
P	MQ	BALTIMORE GAS & ELEC	95	4	TCO     	23017			 	 	 	 
D	Baltimore Gas and Electric Company	6949713	N       	FSS     	159472	4/1/2015	3/31/2020	 	N		2660900	 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
D	Baltimore Gas and Electric Company	6949713	N       	SST     	159473	4/1/2015	3/31/2020	 	N	26607		 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	26607			 	 	 	 
P	MQ	BALTIMORE GAS & ELEC	95	4	TCO     	26607			 	 	 	 
D	"Berry Energy, Inc."	SR 011281	N       	FTS     	10232	8/1/2009	3/31/2020	 	Y	130		 
P	M2	BENSON DRILLING JVR3 DETERMAN   	95	620530	TCO     	45			 	 	 	 
P	M2	ENG DRILLING COMPANY WEBBER     	95	620539	TCO     	85			 	 	 	 
P	MQ	Constellation Big Sandy         	95	836799	TCO     	130			 	 	 	 
D	Blacksville Oil and Gas Company	41732827	N       	GTS     	37977	11/1/1993	10/31/1994	365	N	320	10512	 
A	Constellation NewEnergy - Gas Division LLC	N       		 	 	 	 	 	 	 	 	 
A	"Constellation ProLiance, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Proliance Energy, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	107			 	 	 	 
P	MQ	BLACKSVILLE OIL & GS	95	6	TCO     	320			 	 	 	 
D	Blue Creek Gas Co.	SR 003582	N       	FTS     	10219	8/1/2009	3/31/2020	 	Y	359		 
A	"Aspire Energy of Ohio, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Peninsula Energy Services Company, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Riley Natural Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	BLUE - WARD                     	95	832253	TCO     	32			 	 	 	 
P	M2	BLUE CREEK GAS COMPANY          	95	827389	TCO     	5			 	 	 	 
P	M2	BLUE CREEK-WORKMAN #1           	95	804578	TCO     	1			 	 	 	 
P	M2	BLUE CREEK-WORKMAN #2           	95	827391	TCO     	4			 	 	 	 
P	M2	CHK - Cobb	95	CNR18	TCO     	268			 	 	 	 
P	M2	CHK -BUFF LICK        	95	CNR05	TCO     	3			 	 	 	 
P	M2	JOE RUBIN & SONS                	95	804548	TCO     	46			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	359			 	 	 	 
D	Blue Creek Gas Co.	SR 003582	N       	FTS     	15245	5/17/2010	5/31/2020	 	Y	191		 
A	"Aspire Energy of Ohio, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Peninsula Energy Services Company, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	BLUE - WARD                     	95	832253	TCO     	62			 	 	 	 
P	M2	BLUE CREEK GAS COMPANY          	95	827389	TCO     	10			 	 	 	 
P	M2	BLUE CREEK-WORKMAN #1           	95	804578	TCO     	2			 	 	 	 
P	M2	BLUE CREEK-WORKMAN #2           	95	827391	TCO     	7			 	 	 	 
P	M2	CHK - Cobb	95	CNR18	TCO     	18			 	 	 	 
P	M2	CHK -BUFF LICK        	95	CNR05	TCO     	5			 	 	 	 
P	M2	JOE RUBIN & SONS                	95	804548	TCO     	87			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	191			 	 	 	 
D	Bluefield Gas Company	5849393	N       	FTS     	155338	11/1/2014	10/31/2024	 	N	2058		 
A	Roanoke Gas Company	N       		 	 	 	 	 	 	 	 	 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	CONOCO-GRANT        	95	P1	TCO     	27			 	 	 	 
P	M2	KENOVA AGG POINT 01	95	A01	TCO     	3			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	2028			 	 	 	 
P	MQ	BLUEFIELD GAS CO    	95	7	TCO     	2058			 	 	 	 
D	Bluefield Gas Company	5849393	N       	FSS     	160410	4/1/2015	3/31/2025	 	N		480915	 
A	Roanoke Gas Company	N       		 	 	 	 	 	 	 	 	 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
D	Bluefield Gas Company	5849393	N       	SST     	160417	4/1/2015	3/31/2025	 	N	4341		 
A	Roanoke Gas Company	N       		 	 	 	 	 	 	 	 	 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	4341			 	 	 	 
P	MQ	BLUEFIELD GAS CO    	95	7	TCO     	6444			 	 	 	 
D	BP Energy Company	625275755	N       	FTS     	171024	4/1/2016	4/30/2019	 	N	2666		 
P	M2	TCO-LEACH	95	801	TCO     	2666			 	 	 	 
P	MQ	COL GAS MD OP-4-25  	95	19E	TCO     	2096			 	 	 	 
P	MQ	COL GAS PA 04-25	95	2.50E-24	TCO     	570			 	 	 	 
D	BP Energy Company	625275755	N       	FTS     	171027	4/1/2016	3/31/2021	 	N	369		 
P	M2	TCO-LEACH	95	801	TCO     	369			 	 	 	 
P	MQ	WASHINGTON GAS-30   	95	78-30	TCO     	369			 	 	 	 
D	"Bunge North America, Inc."	6981435	N       	FTS     	133346	11/1/2012	10/31/2020	 	N	3390		 
A	Constellation NewEnergy - Gas Division LLC	N       		 	 	 	 	 	 	 	 	 
A	"Fellon McCord & Associates, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Macquarie Energy LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	3390			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	3390			 	 	 	 
D	"C. I. McKown & Son, Inc."	188610422	N       	FTS     	10228	8/1/2009	3/31/2020	 	Y	44		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	CHK - Cobb	95	CNR18	TCO     	42			 	 	 	 
P	M2	MCKOWN - J B YOAK LEASE         	95	834263	TCO     	2			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	44			 	 	 	 
D	"C. I. McKown & Son, Inc."	188610422	N       	FTS     	15246	5/17/2010	5/31/2020	 	Y	6		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	CHK - Cobb	95	CNR18	TCO     	2			 	 	 	 
P	M2	MCKOWN - J B YOAK LEASE         	95	834263	TCO     	4			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	6			 	 	 	 
D	Cabot Oil & Gas Corporation	607925757	N       	FTS     	31465	11/1/2011	10/31/2019	 	N	25000		 
A	Cranberry Pipeline Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	Wagoner Line K	95	640203	TCO     	25000			 	 	 	 
P	MQ	LOUDOUN LNG         	95	LOUDOUN	TCO     	25000			 	 	 	 
D	Cabot Oil & Gas Corporation	607925757	N       	FTS     	161137	11/1/2015	10/31/2025	 	Y	50000		 
A	Cranberry Pipeline Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	Stagecoach Receipt	95	640168	TCO     	50000			 	 	 	 
P	MQ	LOUDOUN LNG         	95	LOUDOUN	TCO     	50000			 	 	 	 
D	"Calpine Energy Services, L.P."	169668212	N       	NTS     	8946	6/1/2009	10/31/2019	 	N	8800	0	 
P	M2	TCO-LEACH	95	801	TCO     	8800			 	 	 	 
P	MQ	UGI CORP-23         	95	72-23	TCO     	8800			 	 	 	 
D	"Calpine Energy Services, L.P."	169668212	N       	FTS     	70348	11/1/2001	10/31/2022	 	N	5000		 
P	M2	MONCLOVA-1          	95	F4	TCO     	5000			 	 	 	 
P	MQ	DELMARVA POWER LIGHT	95	107	TCO     	5000			 	 	 	 
D	"Calpine Energy Services, L.P."	169668212	N       	FTS     	75630	5/16/2003	5/31/2018	 	N	168000		 
P	M2	MARTINS CREEK - 21	95	E17	TCO     	168000			 	 	 	 
P	MQ	UGI CORP-23         	95	72-23	TCO     	168000			 	 	 	 
D	"Calpine Energy Services, L.P."	169668212	N       	OPT60   	77365	1/1/2004	12/31/2024	 	N	10000		 
P	M2	BOON'S CAMP                     	95	835802	TCO     	88			 	 	 	 
P	M2	BROAD RUN-19        	95	B9	TCO     	5000			 	 	 	 
P	M2	Chestnut	95	840402	TCO     	196			 	 	 	 
P	M2	CHK - KERMIT/INEZ     	95	CNR04	TCO     	1370			 	 	 	 
P	M2	DWALE-16            	95	H3	TCO     	3140			 	 	 	 
P	M2	HAY EXP-OTTER BRANCH            	95	835284	TCO     	98			 	 	 	 
P	M2	W G BAILEY TRUSTEE              	95	802477	TCO     	108			 	 	 	 
P	MQ	SOUTH JERSEY GAS CO 	95	109	TCO     	10000			 	 	 	 
D	"Calpine Energy Services, L.P."	169668212	N       	OPT60   	90927	11/9/2006	10/31/2019	 	N	0		 
P	M2	BROAD RUN-19        	95	B9	TCO     	0			 	 	 	 
P	MQ	HANOVER             	95	R2	TCO     	0			 	 	 	 
D	"Campbell Oil & Gas, Inc."	SR 4224805	N       	FTS     	161453	4/10/2015	4/30/2018	 	N	1000		 
A	Upstream Energy Services LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	Mid Penn Ut B	95	642801	TCO     	1000			 	 	 	 
P	MQ	DELMONT-36          	95	C16	TCO     	1000			 	 	 	 
D	"Campbell Oil & Gas, Inc."	SR 4224805	N       	FTS     	176892	9/8/2016	9/30/2019	 	N	500		 
A	Upstream Energy Services LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	Mid Penn Ut A	95	642829	TCO     	500			 	 	 	 
P	MQ	DELMONT-36          	95	C16	TCO     	500			 	 	 	 
D	"Capital Oil & Gas, Inc."	80613804	N       	FTS     	194439	10/1/2017	2/28/2019	 	N	675		 
P	M2	NCL	95	638525	TCO     	675			 	 	 	 
P	MQ	YNG WOMANS CK-RENOVO	95	E9	TCO     	675			 	 	 	 
D	Carbon West Virginia Company LLC	SR 4226599	N       	FTS     	195845	11/1/2017	5/31/2027	 	N	15000		 
A	Cranberry Pipeline Corporation	N       		 	 	 	 	 	 	 	 	 
A	Mid-Atlantic Energy LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	BRADLEY-17          	95	G3	TCO     	15000			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	7917			 	 	 	 
P	MQ	COL GAS OH OP 07-6  	95	23-6	TCO     	7083			 	 	 	 
D	Carbon West Virginia Company LLC	SR 4226599	N       	FTS     	195848	11/1/2017	5/31/2027	 	N	14900		 
A	Cranberry Pipeline Corporation	N       		 	 	 	 	 	 	 	 	 
A	Mid-Atlantic Energy LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	TANNER-17           	95	G5	TCO     	14900			 	 	 	 
P	MQ	COL GAS OH OP 07-6  	95	23-6	TCO     	734			 	 	 	 
P	MQ	COL GAS OH OP 07-8  	95	23-8	TCO     	7917			 	 	 	 
P	MQ	LANHAM-19           	95	G1	TCO     	6249			 	 	 	 
D	Carbon West Virginia Company LLC	SR 4226599	N       	FTS     	196610	11/1/2017	10/31/2020	 	N	4300		 
A	Cranberry Pipeline Corporation	N       		 	 	 	 	 	 	 	 	 
A	Mid-Atlantic Energy LLC	N       		 	 	 	 	 	 	 	 	 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	SONAT-PENN VIRGINIA             	95	833264	TCO     	4300			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	4300			 	 	 	 
D	Carbon West Virginia Company LLC	SR 4226599	N       	FTS     	196614	11/1/2017	10/31/2020	 	N	2000		 
A	Cranberry Pipeline Corporation	N       		 	 	 	 	 	 	 	 	 
A	Mid-Atlantic Energy LLC	N       		 	 	 	 	 	 	 	 	 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	SONAT-PENN VIRGINIA             	95	833264	TCO     	2000			 	 	 	 
P	MQ	COL GAS OH OP 05-2  	95	23N-2	TCO     	2000			 	 	 	 
D	Celanese Acetate LLC	SR 4223933	N       	FTS     	151487	10/1/2014	9/30/2029	 	Y	46000		 
A	"Direct Energy Business Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"EQT Energy, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	LOUDOUN LNG         	95	LOUDOUN	TCO     	25047			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	20953			 	 	 	 
P	MQ	CGV OP 03-17        	95	26-17	TCO     	46000			 	 	 	 
D	Celina Aluminum Precision Technology Inc.	SR 4223761	N       	FTS     	139315	4/1/2013	3/31/2021	 	N	550		 
A	"Twin Eagle Resource Management, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	550			 	 	 	 
P	MQ	EAST OHIO GAS CO-3  	95	80-3	TCO     	550			 	 	 	 
D	"CenterPoint Energy Services, Inc."	838611739	N       	FTS     	187453	4/1/2017	5/31/2024	 	N	3425		 
P	M2	TCO-LEACH	95	801	TCO     	3425			 	 	 	 
P	MQ	ROANOKE GAS COMPANY 	95	62	TCO     	3425			 	 	 	 
D	Central Hudson Gas & Electric Corporation	6993695	N       	FSS     	79850	4/1/2005	3/31/2020	 	N		732415	 
D	Central Hudson Gas & Electric Corporation	6993695	N       	FTS     	79851	11/1/2004	10/31/2019	 	N	10415		 
P	M2	MILFORD-21          	95	B18	TCO     	5310			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	5105			 	 	 	 
P	MQ	CENTRAL HUDSON      	95	11	TCO     	10415			 	 	 	 
D	Central Hudson Gas & Electric Corporation	6993695	N       	SST     	79852	4/1/2005	3/31/2020	 	N	4493		 
P	M2	RP Storage Point TCO	95	STOR	TCO     	4493			 	 	 	 
P	MQ	CENTRAL HUDSON      	95	11	TCO     	14938			 	 	 	 
D	"Chesapeake Utilities Corporation, Delaware Division"	11003936	N       	FTS     	6625	2/1/2009	1/31/2019	 	N	7500		 
A	"Peninsula Energy Services Company, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	MILFORD-21          	95	B18	TCO     	7500			 	 	 	 
P	MQ	EASTERN SHORE NATRL 	95	88	TCO     	7500			 	 	 	 
D	"Chesapeake Utilities Corporation, Delaware Division"	11003936	N       	FTS     	57750	11/1/1997	10/31/2024	 	N	3460		 
A	"Peninsula Energy Services Company, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	3460			 	 	 	 
P	MQ	EASTERN SHORE NATRL 	95	88	TCO     	3460			 	 	 	 
D	"Chesapeake Utilities Corporation, Delaware Division"	11003936	N       	SST     	80982	4/1/2005	3/31/2020	 	N	4113		 
A	"Peninsula Energy Services Company, Inc."	N       		 	 	 	 	 	 	 	 	 
