H	"Texas Eastern Transmission, LP"	C000094	4/2/2018	O	4/1/2018	T	T	BERK DONALDSON 713-627-4488				
D	ATHENS UTILITIES BOARD	789516465	N	FT-1M1	910447-R1	11/1/2005	10/31/2015	365	N	0		O86
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1	0						
P	M2	"SOUTHCROSS MISSISSIPPI PIPELINE, LP"	95	76580	ELA	0						
D	ATHENS UTILITIES BOARD	789516465	N	FT-1	911175-R1	11/1/2014	10/31/2024		N	512		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1	512						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	512						
D	ATMOS ENERGY CORPORATION	159717263	N	SS-1	400244-R3	1/1/2015	3/31/2019		N		180000	L64
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"UNIT CITIES - MURFREESBORO, TN"	95	70102	1		800					
P	MQ	"UNITED CITIES - FRANKLIN, TN"	95	70396	1		100					
P	MQ	"UNITED CITIES -NOLENSVILLE, TN"	95	71430	1		1000					
P	MQ	"ATMOS ENERGY, TN (B/D 76025)"	95	73025	1		1000					
P	MQ	"ATMOS ENERGY - COLUMBIA, TN"	95	73076	1		100					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		925	YN21				
D	ATMOS ENERGY CORPORATION	159717263	N	SCT	800007-R2	5/1/2017	3/31/2023		N	532		L4/X19
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"BUDE, MS"	95	70420	ELA	532						
D	ATMOS ENERGY CORPORATION	159717263	N	SCT	800043-R2	5/1/2017	3/31/2023		N	371		L4/X19
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"MEADVILLE, MS"	95	70419	ELA	371						
D	ATMOS ENERGY CORPORATION	159717263	N	SCT	800048-R2	5/1/2017	3/31/2023		N	185		L4/X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	ATMOS ENERGY - ETHEL - ATTALA CO. M	95	70297	1	185						
D	ATMOS ENERGY CORPORATION	159717263	N	SCT	800089-R2	5/1/2017	3/31/2023		N	111		L4/X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"MISSISSIPPI VALLEY - MCCOOL, MS"	95	70298	1	111						
D	ATMOS ENERGY CORPORATION	159717263	N	FT-1	910800-R2	1/1/2015	3/31/2019		N	5000		L66
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"ATMOS ENERGY - COLUMBIA, TN"	95	73076	1	5000						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	5000						
D	ATMOS ENERGY CORPORATION	159717263	N	FT-1	911195-R1	11/1/2015	3/31/2019		N	5000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	"CHEVRON - VENICE, LA"	95	71200	ELA	5000						
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1	5000						
D	ATMOS ENERGY CORPORATION	159717263	N	FT-1	911446-R1	11/1/2017	10/31/2018		N	9000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"ATMOS ENERGY, TN (B/D 76025)"	95	73025	1	9000						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	9000						
D	ATMOS ENERGY CORPORATION (MISSISSIPPI)	28002	N	SS-1	400247-R3	6/1/2017	3/31/2021		N		180000	YA1/L102
P	MQ	"MISS. VALLEY GAS - HINDS CO., MS"	95	72367	ELA		100					
P	MQ	"ATMOS ENERGY -MONROE, MS"	95	72967	1		2900					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		925	YN21				
D	ATMOS ENERGY CORPORATION (MISSISSIPPI)	28002	N	FT-1	911192-R1	11/1/2014	3/31/2019		N	2500		YA1
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1	2500						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	2500						
D	ATMOS ENERGY CORPORATION (MISSISSIPPI)	28002	N	FT-1	911193-R1	11/1/2015	3/31/2019		N	15000		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"UNIT CITIES - MURFREESBORO, TN"	95	70102	1	2500						
P	M2	"CHEVRON - VENICE, LA"	95	71200	ELA	15000						
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1	10000						
P	MQ	"ATMOS ENERGY, TN (B/D 76025)"	95	73025	1	2500						
D	ATMOS ENERGY CORPORATION (MISSISSIPPI)	28002	N	CDS	911479-R1	1/1/2018	10/31/2019		N	1097		YA1/X19
P	MQ	"FLORA, MS"	95	70421	ELA	1097						
D	"BATESVILLE, IN, CITY OF"	87438255	N	SCT	800004-R1	6/1/1993	10/31/2012	365	N	4449		X47
A	"CONSTELLATION NEW ENERGY-GAS DIVISION,LLC."	N										
P	MQ	"BATESVILLE, IN"	95	70573	2	4449						
D	"BATESVILLE, IN, CITY OF"	87438255	N	SCT	800112-R1	6/1/1993	10/31/1999	365	N	324		X47
A	"CONSTELLATION NEW ENERGY-GAS DIVISION,LLC."	N										
P	MQ	"BATESVILLE, IN"	95	70573	2	324						
D	BAY STATE GAS COMPANY	69340214	N	SS-1	400193-R3	1/1/2013	4/30/2023		N		1588950	L103
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3		10223					
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		15814					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		8168	YN21				
D	BAY STATE GAS COMPANY	69340214	N	FSS-1	400502-R4	7/1/2017	4/30/2027		N		63360	L9
P	M2	ZONE M3 STORAGE POINT	95	79513	3		326	YN21				
P	MQ	ZONE M3 STORAGE POINT	95	79513	3		1056	YN20				
D	BAY STATE GAS COMPANY	69340214	N	FT-1	800382-R3	4/1/2012	10/31/2022		N	4235		L7
A	"DTE ENERGY TRADING, INC."	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	4235						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	39						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	4235						
D	BAY STATE GAS COMPANY	69340214	N	CDS	800414-R4	7/1/2017	10/31/2027		N	1056		L9
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	453						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	603						
P	M2	ZONE M3 STORAGE POINT	95	79513	3	1056						
D	BAY STATE GAS COMPANY	69340214	N	CDS	800462-R3	4/1/2012	10/31/2022		N	36369		L8/X2
A	"EXELON GENERATION COMPANY, LLC"	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	34715						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	25030						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	8494						
D	"BERNIE, MISSOURI, CITY OF"	47370721	N	SCT	800006-R1	6/1/1993	10/31/2012	365	N	1046		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"BERNIE, MO"	95	70398	1	1046						
D	"BLACK HILLS ENERGY ARKANSAS, INC."	30481	N	SS-1	400184-R1	6/1/2000	4/30/2012	365	N		502690	YA1/L103
P	MQ	ATMOS ENERGY CORPORATION - SCOTT CO	95	70061	1		7536	YM104				
P	MQ	"ATMOS ENERGY CORPORATION- JIM HILL,"	95	70079	1		6290					
P	MQ	"ASSOC NAT GAS - PIGGOTT, AR"	95	70110	1		2693					
P	MQ	"ASSOC. NATURAL - BENTON, MO"	95	79033	1		7536					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		2584	YN21				
D	"BLACK HILLS ENERGY ARKANSAS, INC."	30481	N	CDS	800204-R1	6/1/2000	10/31/2012	365	N	5000		YA1/L4
P	MQ	ATMOS ENERGY CORPORATION - SCOTT CO	95	70061	1	5000						
P	MQ	"ATMOS ENERGY CORPORATION- JIM HILL,"	95	70079	1	5000						
P	MQ	"ASSOC NAT GAS - PIGGOTT, AR"	95	70110	1	3141						
P	M2	"OZARK GAS - GREENE CO., AR"	95	72848	1	5000						
P	MQ	ZONE M1 STORAGE POINT	95	79511	1	2584						
D	BP ENERGY COMPANY	625275755	N	FT-1	910687-R1	11/1/2009	10/31/2019		Y	100000		
P	M2	"REX CLARINGTON, MONROE CO., OH"	95	73580	2	100000						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	100000						
P	MQ	DELMONT DISCHARGE CUSTODY TRANSFER	95	79662	3	100000						
D	BP ENERGY COMPANY	625275755	N	FT-1MX	911064-R1	10/1/2013	4/30/2015	365	N	10000		
P	MQ	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	10000						
P	M2	MARIETTA EXTENSION H/L	95	79965	3	10000						
D	BP ENERGY COMPANY	625275755	N	FT-1MX	911067-R1	11/1/2013	3/31/2015	365	N	20000		
P	MQ	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	20000						
P	M2	MARIETTA EXTENSION H/L	95	79965	3	20000						
D	BP ENERGY COMPANY	625275755	N	FT-1	911084-R1	11/1/2013	10/31/2016	365	N	5000		
P	MQ	MONROE GAS STORAGE - (D73578/R73579	95	75578	1	5000						
P	M2	NISOURCE MIDSTREAM SERVCS-DRY RIDGE	95	75660	2	5000						
D	BP ENERGY COMPANY	625275755	N	FT-1	911137-R1	11/1/2014	4/30/2021		N	30000		
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	30000						
P	MQ	MARIETTA CUSTODY TRANSFER POINT	95	79660	3	30000						
D	BP ENERGY COMPANY	625275755	N	FT-1	911401-R3	4/1/2018	3/31/2019		N	45000		L83
P	M2	ENTERPRISE TEXAS PIPELINE LLC - LAV	95	72248	STX	20000						
P	MQ	ETX-ENBRIDGE/WELLS LANDING - POLK	95	73684	ETX	25000						
P	MQ	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	20000						
P	M2	MOSS BLUFF GAS STRG-CHAMBERS CO. TX	95	75773	STX	25000						
D	BP ENERGY COMPANY	625275755	N	FT-1	911483-R1	2/1/2018	3/31/2019		Y	30000		
P	M2	"COLUMBIA MIDSTREAM GROUP, LLC WESTM"	95	73727	3	30000						
P	MQ	UNIONTOWN NORTH	95	79980	2	30000						
D	"BRIDGEPORT UTILITY BOARD, CITY OF"	556632909	N	FT-1M1	910451-R1	11/1/2004	10/31/2014	365	N	0		O89
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"E.TENNESSEE GAS - MT. PLEASANT, GIL"	95	71298	1	0						
P	M2	"SOUTHCROSS MISSISSIPPI PIPELINE, LP"	95	76580	ELA	0						
D	CAIRO PUBLIC UTILITY COMPANY	25010	N	SS-1	400102-R2	5/1/2017	4/30/2022		N		100000	YA1/L4
A	"CONSTELLATION NEW ENERGY-GAS DIVISION,LLC."	N										
P	MQ	"CAIRO, PUBLIC"	95	70122	1		847					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		514	YN21				
D	CAIRO PUBLIC UTILITY COMPANY	25010	N	SS-1	400131-R1	6/1/1993	4/30/2012	365	N		18720	YA1
A	"CONSTELLATION NEW ENERGY-GAS DIVISION,LLC."	N										
P	MQ	"CAIRO, PUBLIC"	95	70122	1		312					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		96	YN21				
D	CAIRO PUBLIC UTILITY COMPANY	25010	N	SCT	800008-R2	11/1/2014	10/31/2016	365	N	3500		YA1/L4/X5
A	"CONSTELLATION NEW ENERGY-GAS DIVISION,LLC."	N										
P	MQ	"CAIRO, PUBLIC"	95	70122	1	3500						
P	MQ	ZONE M1 STORAGE POINT	95	79511	1	608						
D	CAIRO PUBLIC UTILITY COMPANY	25010	N	SCT	800101-R1	6/1/1993	10/31/2012	365	N	324		YA1/X5
A	"CONSTELLATION NEW ENERGY-GAS DIVISION,LLC."	N										
P	MQ	"CAIRO, PUBLIC"	95	70122	1	324						
P	MQ	ZONE M1 STORAGE POINT	95	79511	1	324						
D	"CAIRO PUC E C GIRARDEAU ILL DIV., AN INSTRUMENTALITY OF CITY OF CAIRO"	27181	N	SCT	910358-R1	6/1/2002	10/31/2012	365	N	400		YA1/X99
A	"CONSTELLATION NEW ENERGY-GAS DIVISION,LLC."	N										
P	MQ	"EAST CAPE GIRARDEAU, IL"	95	73171	1	400						
D	"CALPINE ENERGY SERVICES, L.P."	169668212	N	FT-1	910783-R2	11/1/2010	10/31/2015	365	N	20000		L67
P	MQ	DELMARVA POWER & LIGHT - NEW CASTLE	95	72863	3	20000						
P	M2	FINA - LOVE HILL GATHERING - OKTIBB	95	73256	1	8475						
P	M2	EGAN GAS STORAGE (73331 INJ/73332 W	95	75332	WLA	11525						
D	"CALPINE ENERGY SERVICES, L.P."	169668212	N	FT-1	911030-R2	12/2/2016	2/29/2024		N	30000		L25
P	MQ	MAGIC VALLEY PL-CALPINE-POWER PROJE	95	75258	STX	30000						
P	M2	MOSS BLUFF GAS STRG-CHAMBERS CO. TX	95	75773	STX	30000						
D	"CALPINE ENERGY SERVICES, L.P."	169668212	N	FT-1	911306-R3	11/1/2017	10/31/2019		N	10000		L79
P	M2	ENTERPRISE TEXAS PIPELINE LLC - HID	95	73113	STX	10000						
P	MQ	MAGIC VALLEY PL-CALPINE-POWER PROJE	95	75258	STX	10000						
D	"CALPINE HIDALGO ENERGY CENTER, L.P."	84621494	N	FT-1	911018-R2	12/2/2016	2/29/2024		N	60000		L25
A	"CALPINE ENERGY SERVICES, L.P."	N										
P	MQ	MAGIC VALLEY PL-CALPINE-POWER PROJE	95	75258	STX	60000						
P	M2	MOSS BLUFF GAS STRG-CHAMBERS CO. TX	95	75773	STX	60000						
D	"CAMERON LNG, LLC"	187576595	N	FT-1GM3	911327-R1	8/1/2017	7/31/2018		N	400000		
A	TENASKA MARKETING VENTURES	N										
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	75000						
P	M2	COPANO PROCESSING - HOUSTON CENTRAL	95	73417	STX	90000						
P	M2	"TEXAS GAS- KOSCIUSKO, MS"	95	73576	1	175000						
P	M2	T2 GAS UTILITY LLC/REFUGIO INTERCON	95	73719	STX	60000						
P	MQ	SEMPRA/CAMERON -GULF MARKET	95	73882	WLA	400000						
D	CENTERPOINT ENERGY RESOURCES CORP.	46700779	N	FT-1	911022-R1	4/1/2014	3/31/2019		N	20000		
P	M2	ENTERPRISE TEXAS PIPELINE LLC - HID	95	73113	STX	20000						
P	MQ	MOSS BLUFF GAS STRG-CHAMBERS CO. TX	95	75773	STX	20000						
D	CENTERPOINT ENERGY RESOURCES CORP.	46700779	N	FT-1	911154-R1	6/1/2014	10/31/2017	365	N	150		
P	MQ	"NORAM -  BODCAW, AR"	95	72871	ETX	150						
P	M2	SOUTHWESTERN ENERGY/JEBEL GATHERING	95	73639	ETX	150						
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FT-1	910602-R2	11/1/2013	10/31/2015	365	N	2964		L60
P	MQ	"COLUMBIA GAS - LEBANON, OH"	95	70041	2	2964						
P	MQ	"NAT GAS & OIL - SOMERSET, OH"	95	70062	2	2716						
P	M2	ENBRIDGE PIPELINES (EAST TEXAS) LP	95	71964	ETX	2964						
P	MQ	"NGO (MILLER) - BUTLER CO., OH"	95	72026	2	531						
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FT1TME3	910661-R2	11/1/2010	10/31/2021		Y	25000		
P	MQ	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	25000						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	25000						
D	CENTRAL HUDSON GAS & ELECTRIC CORPORATION	6993695	N	FTS-5	330210-R1	6/1/1993	3/31/2012	365	N	2000		
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	2000						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	2000						
P	M2	DTI - N. SUMMIT STORAGE - FAYETTE C	95	75821	2	2000						
P	MQ	DTI - N. SUMMIT STORAGE - FAYETTE C	95	75821	2	2000						
D	CENTRAL HUDSON GAS & ELECTRIC CORPORATION	6993695	N	FTS-5	330868-R1	6/1/1993	3/31/2012	365	N	4000		
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	4000						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	4000						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	4000						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	2222						
P	M2	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	4000						
P	MQ	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	4000						
D	CENTRAL HUDSON GAS & ELECTRIC CORPORATION	6993695	N	FTS-8	331012-R1	7/1/2004	3/31/2013	365	N	886		L4
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70004	2	464						
P	M2	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	464						
P	MQ	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	464						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	886						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	886						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70372	2	464						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70450	2	464						
P	MQ	DOMINION TRANSMISSION INC - WOODSFI	95	70471	2	464						
P	MQ	DOMINION TRANSMISSION INC - POWHATA	95	70983	2	464						
P	M2	"ALGONQUIN - HANOVER, NJ"	95	71078	3	886						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	886						
P	M2	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	464						
P	MQ	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	464						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	464						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	464						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	422						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	422						
D	"CHAMBERSBURG, PA, BOROUGH OF"	797195984	N	SS-1	400113-R1	6/1/1993	4/30/2012	365	N		114915	
A	MUNICIPAL GAS AUTHORITY OF GA	N										
P	MQ	"CHAMBERSBURG, PA"	95	70119	3		973					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		591	YN21				
D	"CHAMBERSBURG, PA, BOROUGH OF"	797195984	N	SS-1	400127-R1	6/1/1993	4/30/2012	365	N		162000	
A	MUNICIPAL GAS AUTHORITY OF GA	N										
P	MQ	"CHAMBERSBURG, PA"	95	70119	3		2700					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		833	YN21				
D	"CHAMBERSBURG, PA, BOROUGH OF"	797195984	N	SCT	800010-R1	6/1/1993	10/31/2012	365	N	4399		X2
A	MUNICIPAL GAS AUTHORITY OF GA	N										
P	MQ	"CHAMBERSBURG, PA"	95	70119	3	4399						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	1424						
D	"CHAMBERSBURG, PA, BOROUGH OF"	797195984	N	SCT	800102-R1	6/1/1993	10/31/2012	365	N	69		X2
A	MUNICIPAL GAS AUTHORITY OF GA	N										
P	MQ	"CHAMBERSBURG, PA"	95	70119	3	69						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	69						
D	"CHESAPEAKE ENERGY MARKETING, L.L.C."	809849326	N	FT1NJNY	910952-R2	11/1/2014	10/31/2033		Y	400250		L113
A	BP ENERGY COMPANY	N										
A	CASTLETON COMMODITIES MERCHANT TRADING L.P.	N										
A	"EDF TRADING NORTH AMERICA, LLC"	N										
A	"NEXTERA ENERGY MARKETING, LLC"	N										
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	CONED-MANHATTAN DELIVERY	95	73722	3	400250						
P	M2	AGT MAINLINE (NJ-NY)	95	78200	3	400250						
P	M2	MAHWAH	95	78201	3	400250						
P	M2	RAMAPO	95	78214	3	400250						
D	"CHESAPEAKE ENERGY MARKETING, L.L.C."	809849326	N	FT-1OPN	911041-R3	12/1/2017	11/30/2030		Y	350000		L98
A	"DTE ENERGY TRADING, INC."	N										
A	"ECO-ENERGY, LLC"	N										
A	"NEXTERA ENERGY MARKETING, LLC"	N										
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	"EQT- BRADEN RUN, GREENE CO., PA."	95	73706	2	50000						
P	M2	"DTE APPALACHIA GATHERING, LLC"	95	73714	2	100000						
P	M2	"EQT- BRADEN RUN II, GREENE CO., PA."	95	73907	2	150000						
P	M2	"MOMENTUM KENSINGTON / HIGHWAY 644,"	95	74200	2	350000						
P	M2	ACCESS MIDSTREAM CLARKS MILL ROAD-J	95	74201	2	300000						
P	M2	ACCESS MIDSTREAM HIGHWAY 219 - JEFF	95	74202	2	300000						
P	M2	ACCESS MIDSTREAM - BOYD ROAD - JEFF	95	74204	2	225000						
P	M2	ACCESS MIDSTREAM - YELLOW CREEK CHU	95	74205	2	225000						
P	M2	ACCESS MIDSTREAM - T-126 - COLUMBIA	95	74206	2	150000						
P	MQ	EGAN GAS STORAGE (73331 INJ/73332 W	95	75332	WLA	175000						
P	MQ	"CHENIERE LNG, BEAUREGARD PA,LA (D-7"	95	75866	WLA	175000						
P	M2	M2/M3 ILT POINT	95	79667	ZB	350000						
D	"CHESAPEAKE ENERGY MARKETING, L.L.C."	809849326	N	FT-1OPX	911217-R2	2/1/2016	1/31/2021		Y	50000		
P	M2	"MOMENTUM KENSINGTON / HIGHWAY 644,"	95	74200	2	50000						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	74203	2	50000						
D	CHESAPEAKE UTILITIES CORPORATION - DELAWARE DIVISION	29358	N	FT1TM12	910914-R1	11/1/2012	10/31/2027		Y	34100		YA1
A	"PENINSULA ENERGY SERVICES COMPANY, INC."	N										
P	M2	"REX CLARINGTON, MONROE CO., OH"	95	73580	2	34100						
P	MQ	EASTERN SHORE NATURAL GAS HONEYBROO	95	73677	3	34100						
D	CHESAPEAKE UTILITIES CORPORATION - MARYLAND DIVISION	29359	N	FT1TM12	910915-R1	11/1/2012	10/31/2027		Y	15900		YA1
A	"PENINSULA ENERGY SERVICES COMPANY, INC."	N										
P	M2	"REX CLARINGTON, MONROE CO., OH"	95	73580	2	15900						
P	MQ	EASTERN SHORE NATURAL GAS HONEYBROO	95	73677	3	15900						
D	CHEVRON U.S.A. INC.	9140559	N	FT1TM14	911109-R1	11/15/2014	11/14/2024		Y	300000		
P	MQ	"COLUMBIA GAS - LEBANON, OH"	95	70041	2	50000						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	125000						
P	M2	WILLIAMS OHIO VALLEY MIDSTREAM LLC.	95	73656	2	30000						
P	M2	"WILLIAMS/SHAMROCK N. SALEM RD, FAYE"	95	73673	2	300000						
P	M2	"WILLIAMS CANTARAL - RT 18, GREENE C"	95	73704	2	75000						
P	M2	"WILLIAMS - LMM / DAVIS II, GREENE C"	95	73708	2	50000						
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	74058	3	25000						
P	MQ	EGAN GAS STORAGE (73331 INJ/73332 W	95	75332	WLA	50000						
P	MQ	SESH (D73584/R73583)	95	75583	ELA	50000						
P	M2	NISOURCE MIDSTREAM SERVCS-DRY RIDGE	95	75660	2	45000						
D	CHIEF OIL & GAS LLC	29242	N	FT1NJNY	911187-R1	11/1/2014	10/31/2033		Y	14000		YA1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	CONED-MANHATTAN DELIVERY	95	73722	3	14000						
P	M2	AGT MAINLINE (NJ-NY)	95	78200	3	14000						
P	M2	MAHWAH	95	78201	3	14000						
P	M2	RAMAPO	95	78214	3	14000						
D	"CIMA ENERGY, LTD."	945601599	N	FT-1GM1	911365-R1	10/4/2016	7/31/2018		Y	100000		
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	100000						
P	MQ	"M1 30"" CUSTODY TRANSFER POINT KOSCI"	95	79524	1	100000						
D	CITIZENS GAS UTILITY DISTRICT	7850027	N	FT-1	911181-R1	11/1/2015	10/31/2025		N	680		
