H	ROCKIES EXPRESS PIPELINE LLC	C000594	2/2/2018	R	2/2/2018	T	T	MARILYN WEST 303-763-2913				
D	"EOG Y RESOURCES, INC."	7785728	N	FTS	553128	6/29/2009	11/11/2019	679	Y	15000		
P	M2	ENTPROC/REX PIONEER (OT #26) LINCOL	95	43463	ZONE 1	15000						
P	MQ	TET/REX CLAR MONROE	95	44425	ZONE 3	10000						
P	MQ	TGP/REX  GUERNSEY	95	44423	ZONE 3	5000						
D	"EQT ENERGY, LLC"	35858708	N	FTS	947978	8/1/2015	7/31/2035	6420	Y	300000		YE2/YE3
A	RICE ENERGY MARKETING LLC	N										
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N	YE2									
A	SPIRE MARKETING INC.	N	YE2/YE3									
A	BP ENERGY COMPANY	N	YE2									
A	MORGAN STANLEY CAPITAL GROUP INC.	N	YE2									
A	"EXELON GENERATION COMPANY, LLC"	N	YE2									
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N	YE2/YE3									
A	EMERA ENERGY SERVICES INC.	N	YE2									
P	M2	EQT OVC/REX ISALY MONROE	95	60062	ZONE 3	300000						
P	MQ	MIDWSTRN/REX  EDGAR	95	43537	ZONE 3	35000						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	180000						
P	MQ	PEPL/REX DEL PUTNAM	95	44415	ZONE 3	35000						
P	MQ	TRUNKLNE/REX  DOUGLAS	95	44414	ZONE 3	50000						
D	"EQT ENERGY, LLC"	35858708	N	FTS	949014	12/13/2016	1/5/2032	5117	Y	70000		O1
A	RICE ENERGY MARKETING LLC	N										
P	M2	EQT OVC/REX ISALY MONROE	95	60062	ZONE 3	70000						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	70000						
D	"EQT ENERGY, LLC"	35858708	N	FTS	949013	12/13/2016	1/5/2032	5117	Y	130000		
A	RICE ENERGY MARKETING LLC	N										
P	M2	EQT OVC/REX ISALY MONROE	95	60062	ZONE 3	130000						
P	MQ	TEX GAS/REX LEB WARREN	95	44420	ZONE 3	130000						
D	"EXELON GENERATION COMPANY, LLC"	196748938	N	FTS	949701	7/1/2017	3/31/2018	89	N	30000		
P	M2	EQT OVC/REX ISALY MONROE	95	60062	ZONE 3	30000						
P	MQ	MIDWSTRN/REX  EDGAR	95	43537	ZONE 3	30000						
D	FREEPOINT COMMODITIES LLC	967963906	N	FTS	949889	11/1/2017	3/31/2018	89	Y	25000		
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	10000						
P	M2	EQT OVC/REX ISALY MONROE	95	60062	ZONE 3	5000						
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	10000						
P	M2	OHIO RIVER SYSTEM/REX BEARWALLOW MON	95	60060	ZONE 3	5000						
P	MQ	PEPL/REX DEL PUTNAM	95	44415	ZONE 3	15000						
P	M2	RICE/REX GUNSLINGER MONROE	95	60065	ZONE 3	5000						
D	GULFPORT ENERGY CORPORATION	4850660	N	FTS	949015	12/13/2016	1/5/2032	5117	Y	40000		YE2
A	"ECO-ENERGY, LLC"	N	YE2									
A	BP ENERGY COMPANY	N	YE2									
P	M2	RICE/REX GUNSLINGER MONROE	95	60065	ZONE 3	40000						
P	MQ	TEX GAS/REX LEB WARREN	95	44420	ZONE 3	40000						
D	GULFPORT ENERGY CORPORATION	4850660	N	FTS	949016	12/13/2016	1/5/2032	5117	Y	10000		YE2
A	BP ENERGY COMPANY	N	YE2									
A	MORGAN STANLEY CAPITAL GROUP INC.	N	YE2									
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	10000						
P	M2	RICE/REX GUNSLINGER MONROE	95	60065	ZONE 3	10000						
D	GULFPORT ENERGY CORPORATION	4850660	N	FTS	948001	8/1/2015	7/31/2035	6420	Y	275000		YE2
A	"MERCURIA ENERGY AMERICA, INC."	N	YE2									
A	BP ENERGY COMPANY	N	YE2									
A	MORGAN STANLEY CAPITAL GROUP INC.	N	YE2									
A	TENASKA MARKETING VENTURES	N	YE2									
A	MACQUARIE ENERGY LLC	N	YE2									
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N	YE2									
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	100000						
P	M2	E OH GAS/REX CLAR MONROE	95	44490	ZONE 3	70000						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	175000						
P	M2	RICE/REX GUNSLINGER MONROE	95	60065	ZONE 3	205000						
D	"INDIANA GAS COMPANY, INC. D/B/A VECTREN ENERGY DELIVERY OF INDIANA"	350793669	N	FTS	949017	5/1/2017	4/30/2032	5233	Y	60000		YE4
A	"EXELON GENERATION COMPANY, LLC"	N	YE4									
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	60000						
P	MQ	VECTREN NORTH/REX BAINBRIDGE PUTNAM	95	60159	ZONE 3	60000						
D	JAY-BEE PRODUCTION COMPANY	80546663	N	FTS	949018	12/13/2016	1/5/2032	5117	Y	150000		YE2
A	"ICON MIDSTREAM MARKETING, LLC"	N										
A	MACQUARIE ENERGY LLC	N	YE2									
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	150000						
P	MQ	TEX GAS/REX LEB WARREN	95	44420	ZONE 3	150000						
D	"LNG INDY, LLC d/b/a KINETREX ENERGY"	64913873	N	FTS	949877	11/1/2017	10/31/2018	303	N	5000		
P	MQ	CITIZENS/REX  MORGAN	95	44430	ZONE 3	5000						
P	M2	EQT OVC/REX ISALY MONROE	95	60062	ZONE 3	5000						
D	MARATHON OIL COMPANY	55122568	N	FTS	552838	4/1/2008	11/11/2019	679	N	12000		O1
P	MQ	TPC/REX LONE TREE WELD	95	42717	ZONE 1	12000						
P	M2	WHITE RI/REX MEEKER RIO BLANCO	95	42234	ZONE 1	12000						
D	MARATHON OIL COMPANY	55122568	N	FTS	947946	5/1/2014	12/8/2019	706	Y	40000		
P	MQ	OVRTHRUS/REX WAMSUTTER (OT #27) SWE	95	42804	ZONE 1	40000						
P	M2	WHITE RI/REX MEEKER RIO BLANCO	95	42234	ZONE 1	40000						
D	"MIECO, INC."	118562412	N	FTS	950049	1/1/2018	10/31/2018	303	N	20000		
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	20000						
P	M2	WFS/REX OPAL (OT #25) LINCOLN	95	43462	ZONE 1	20000						
D	"OCCIDENTAL ENERGY MARKETING, INC."	52298721	N	FTS	568408	12/1/2012	12/8/2019	706	Y	120000		
P	MQ	OVRTHRUS/REX WAMSUTTER (OT #27) SWE	95	42804	ZONE 1	120000						
P	M2	WHITE RI/REX MEEKER RIO BLANCO	95	42234	ZONE 1	120000						
D	RICE ENERGY MARKETING LLC	79663699	N	FTS	949888	11/1/2017	3/31/2018	89	Y	80000		
A	"EQT ENERGY, LLC"	N										
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	30000						
P	MQ	PEPL/REX DEL PUTNAM	95	44415	ZONE 3	25000						
P	M2	RICE/REX GUNSLINGER MONROE	95	60065	ZONE 3	80000						
P	MQ	TRUNKLNE/REX  DOUGLAS	95	44414	ZONE 3	25000						
D	RICE ENERGY MARKETING LLC	79663699	N	FTS	949348	12/13/2016	1/5/2032	5117	Y	25000		
A	"EQT ENERGY, LLC"	N										
P	M2	RICE/REX GUNSLINGER MONROE	95	60065	ZONE 3	25000						
P	MQ	TEX GAS/REX LEB WARREN	95	44420	ZONE 3	25000						
D	RICE ENERGY MARKETING LLC	79663699	N	FTS	949347	12/13/2016	1/5/2032	5117	Y	25000		
A	"EQT ENERGY, LLC"	N										
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	25000						
P	M2	RICE/REX GUNSLINGER MONROE	95	60065	ZONE 3	25000						
D	RICE ENERGY MARKETING LLC	79663699	N	FTS	947976	8/1/2015	7/31/2035	6420	Y	175000		YE2
A	"EQT ENERGY, LLC"	N										
A	"WELLS FARGO COMMODITIES, LLC"	N	YE2									
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N	YE2									
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	50000						
P	MQ	MIDWSTRN/REX  EDGAR	95	43537	ZONE 3	50000						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	75000						
P	M2	RICE/REX GUNSLINGER MONROE	95	60065	ZONE 3	175000						
D	SEMPRA ROCKIES MARKETING LLC	806789769	N	FTS	553081	6/29/2009	11/11/2019	679	Y	72500		
P	MQ	COL GAS/REX  FAIRFIELD	95	44422	ZONE 3	5000						
P	MQ	DOMINION/REX CLAR MONROE	95	44424	ZONE 3	10000						
P	MQ	TET/REX CLAR MONROE	95	44425	ZONE 3	28750						
P	MQ	TGP/REX  GUERNSEY	95	44423	ZONE 3	28750						
P	M2	WHITE RI/REX MEEKER RIO BLANCO	95	42234	ZONE 1	72500						
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	FTS	949855	1/1/2018	1/31/2018	30	Y	30000		
P	MQ	MIDWSTRN/REX  EDGAR	95	43537	ZONE 3	12800						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	3900						
P	M2	OHIO RIVER SYSTEM/REX BEARWALLOW MON	95	60060	ZONE 3	30000						
P	MQ	TRUNKLNE/REX  DOUGLAS	95	44414	ZONE 3	13300						
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FTS	552042	1/12/2008	5/19/2018	138	Y	28000		
P	MQ	TPC/REX LONE TREE WELD	95	42717	ZONE 1	28000						
P	M2	WFS/REX OPAL (OT #25) LINCOLN	95	43462	ZONE 1	28000						
D	SPIRE MISSOURI INC.	6967798	N	FTS	949208	12/13/2016	1/5/2032	5117	Y	20000		YE2
A	"EQT ENERGY, LLC"	N	YE2									
P	M2	EQT OVC/REX ISALY MONROE	95	60062	ZONE 3	20000						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	20000						
D	SPIRE MISSOURI INC.	6967798	N	FTS	554836	11/1/2010	3/31/2018	89	N	10000		O1
P	MQ	PEPL/REX  AUDRAIN	95	43039	ZONE 2	10000						
P	M2	WHITE RI/REX MEEKER RIO BLANCO	95	42234	ZONE 1	10000						
D	STATOIL NATURAL GAS LLC	130073534	N	FTS	949709	8/1/2017	7/31/2020	942	Y	20000		
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	20000						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	20000						
D	TENASKA MARKETING VENTURES	624240628	N	FTS	949854	1/1/2018	1/31/2018	30	Y	30000		
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	30000						
P	MQ	MIDWSTRN/REX  EDGAR	95	43537	ZONE 3	12800						
P	MQ	NGPL/REX  MOULTRIE	95	44413	ZONE 3	3900						
P	MQ	TRUNKLNE/REX  DOUGLAS	95	44414	ZONE 3	13300						
D	"TRIAD HUNTER, LLC"	29076159	N	FTS	949019	12/13/2016	1/5/2032	5117	Y	38000		YE2
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
A	BP ENERGY COMPANY	N	YE2									
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	38000						
P	MQ	TEX GAS/REX LEB WARREN	95	44420	ZONE 3	38000						
D	"TRIAD HUNTER, LLC"	29076159	N	FTS	949122	12/13/2016	1/5/2032	5117	Y	12000		YE2
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
A	BP ENERGY COMPANY	N	YE2									
P	MQ	ANR/REX  SHELBY	95	44416	ZONE 3	12000						
P	M2	EUREKA MIDSTREAM/REX CAMERON MONROE	95	60059	ZONE 3	12000						
D	"WYOMING INTERSTATE COMPANY, L.L.C."	30669048	N	FTS	553362	12/9/2009	12/8/2019	706	Y	40000		
P	MQ	OVRTHRUS/REX WAMSUTTER (OT #27) SWE	95	42804	ZONE 1	40000						
P	M2	WHITE RI/REX MEEKER RIO BLANCO	95	42234	ZONE 1	40000						
F	O1	THE INDEX OF CUSTOMERS REFLECTS THE RATCHET CONTRACT QUANTITY IN EFFECT ON THE FIRST DAY OF THE CALENDAR QUARTER										
F	YE2	ASSET MANAGEMENT AGREEMENT (AMA) RELATIONSHIP										
F	YE3	AMA RELATIONSHIP OCCURS MORE THAN ONCE BETWEEN THIS REPLACEMENT SHIPPER AND RELEASING SHIPPER FOR THIS CONTRACT										
F	YE4	AGENCY RELATIONSHIP AND AMA RELATIONSHP OCCURS CONCURRENTLY BETWEEN THIS REPLACEMENT SHIPPER AND RLEASING SHIPPER FOR THIS CONTRACT										
