H	"American Midstream (AlaTenn), LLC"	C001023	4/2/2018	O	4/1/2018	B		Bryan M. Escobedo (346) 241-3574			
P	M2	TGP-BARTON	95	10138		600	0				
P	MQ	OCI PLANT	95	20062		600	0				
											
D	"ATHENS UTILITIES, CITY OF"	77656221	N	FTS	FTS-ALT-0015	11/1/2014	10/31/2020	365	N	"13,500"	0
A	"Atmos Energy Marketing, LLC"	N									
P	M2	TGP-BARTON	95	10138		11745	0				
P	M2	TGP-CORINTH	95	10137		1755	0				
P	MQ	ATHENS 1	95	10710		6534	0				
P	MQ	ATHENS 2	95	10705		27	0				
P	MQ	ATHENS 3	95	10695		675	0				
P	MQ	ATHENS 4	95	10675		2606	0				
P	MQ	ATHENS 5	95	10665		3658	0				
											
D	NORTH ALABAMA GAS DISTRICT	61141453	N	FTS	FTS-ALT-0019	11/1/2014	10/31/2025	0	N	16500	0
A	"Atmos Energy Marketing, LLC"	N									
P	M2	TGP-BARTON	95	10138		13000	0				
P	M2	TGP-CORINTH	95	10137		500	0				
P	M2	CGT-CORINTH	95	10140		1500	0				
P	M2	TETCO BARTON	95	10139		1500	0				
P	MQ	MARGERUM DELV	95	20037		1	0				
P	MQ	AVALON AVE DELV	95	20044		50	0				
P	MQ	MUSCLE SHOALS #1	95	20049		50	0				
P	MQ	MSC #3 OXY CHEM	95	20048		400	0				
P	MQ	GNAT POND DELV	95	20053		50	0				
P	MQ	COURTLAND DELV	95	20056		525	0				
P	MQ	HILLSBORO DELV	95	20058		125	0				
P	MQ	LEIGHTON DELV	95	20054		500	0				
P	MQ	TOWN CREEK DELV	95	20055		300	0				
P	MQ	PRYOR #1 DELV	95	20072		250	0				
P	MQ	PRYOR #2	95	20074		1	0				
P	MQ	TANNER #1 DELV	95	20076		1	0				
P	MQ	TANNER #2 DELV	95	20077		100	0				
P	MQ	STRAIN NURSERY DELV	95	20079		2	0				
P	MQ	BELLE MINA DELV	95	20081		100	0				
P	MQ	GREENBRIER DELV	95	20082		175	0				
P	MQ	MADISON #4 DELV	95	20083		6000	0				
P	MQ	MADISON #3 DELV	95	20084		4520	0				
P	MQ	MADISON #2 DELV	95	20085		1675	0				
P	MQ	MADISON #1 DELV	95	20086		1675	0				
											
D	HARTSELLE UTILITIES	120889647	N	FTS	FTS-ALT-0013	11/1/2009	10/31/2015	365	N	2563	0
A	INTERCONN RESOURCES	N									
P	M2	TGP-BARTON	95	10138		2563	0				
P	MQ	HARTSELLE DELV	95	20071		2563	0				
											
D	TENNESSEE VALLEY AUTHORITY	967537572	N	FTS	FTS-ALT-0026	6/18/2014	5/31/2019	0	N	3500	0
P	M2	TGP to AlaTenn - Corinth	95	10137		3500	0				
P	M2	TGP to AlaTenn - Barton	95	10138		3500	0				
P	M2	TETCO to AlaTenn	95	10139		3500	0				
P	M2	CGT to AlaTenn	95	10140		3500	0				
P	MQ		95	20039		3500	0				
											
D	CITY OF HUNTSVILLE	41561291	N	FTS	FTS-ALT-0027	12/1/2014	11/30/2024	0	N	25281	0
P	M2	TGP-BARTON	95	10138		15281	0				
P	M2	CGT to AlaTenn	95	10140		10000	0				
P	MQ	HUNTSVILLE #1	95	20088		25281	0				
											
D	CITY OF SHEFFIELD	626530513	N	FTS	FTS-ALT-0028	11/1/2014	10/31/2019	0	N	4600	0
P	M2	TGP-BARTON	95	10138		4600	0				
P	MQ	SHEFFEILD #2 DELV	95	20042		1300	0				
P	MQ	SHEFFIELD #1 DELV	95	20045		2500	0				
P	MQ	SHEFFIELD #4 DELV	95	20040		500	0				
P	MQ	SHEFFIELD #5 DELV	95	20050		300	0				
											
D	BP ENERGY COMPANY	625275755	N	FTS	FTS-ALT-0030	4/1/2016	3/31/2018	0	N	7500	0
P	M2	TETCO to AlaTenn	95	10139		7500	0				
P	MQ	NUCOR	95	20059		6000	0				
P	MQ	NUCOR	95	20060		1500	0				
											
D	"ASCEND PERFORMANCE MATERIALS OPERATIONS, LLC"	830235474	N	FTS	FTS-ALT-0031	4/27/2016	4/28/2021	0	N	8000	0
P	M2	TGP Barton	95	10138		80000					
P	MQ	AlaTenn to Trigas - Morgan County	95	20089		8000	0				
											
D	BP ENERGY COMPANY	625275755	N	FTS	FTS-ALT-0034	11/1/2016	12/31/2018	0	N	6000	0
P	M2	TETCO to AlaTenn	95	10139		6000	0				
P	MQ	AMOCO DELIVERY	95	20063		3500	0				
P	MQ	AphaPet DELIVERY	95	20064	2000						
P	MQ	AMOCO WESTGATE	95	20065		500	0				
											
D	CITY OF ATHENS UTILITIES GAS DEPARTMENT	77656221	N	FTS	FTS-ALT-0033	11/1/2016	10/31/2017	365	N	2000	0
A	"ATMOS ENERGY MARKETING, LLC"	N									
P	M2	TGP-BARTON	95	10138		2000	0				
P	MQ	ATHENS 1	95	20080		2000	0				
