H	"Dominion Energy Carolina Gas Transmission, LLC"	C000190	4/2/2018	O	4/1/2018	T	T	John Brownlee (804) 771-4678				
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	3000	0					
D	"Johnson Controls, Inc."	00-609-2860	N	Rate Schedule FT	FT10268.01	2/1/2012	11/30/2015	1825	N	1000	0	
A	"Texican Natural Gas Company, LLC"	N										
P	MQ	Johnson Controls	95	13041	Zone 1	1000	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	1000	0					
D	"Johnson Controls, Inc."	00-609-2860	N	Rate Schedule FT	FT10268.02	12/1/2012	11/30/2015	1825	N	1200	0	
A	"Texican Natural Gas Company, LLC"	N										
P	MQ	Johnson Controls	95	13041	Zone 1	1200	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	1200	0					
D	"Johnson Controls, Inc."	00-609-2860	N	Rate Schedule FT	FT10268.03	5/1/2013	11/30/2015	1825	N	300	0	
A	"Texican Natural Gas Company, LLC"	N										
P	MQ	Johnson Controls	95	13041	Zone 1	300	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	300	0					
D	Joint Base Charleston	05-777-2094	N	Rate Schedule FT	FT10264.01	10/1/2010	10/31/2014	1825	N	300	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	300	0					
P	MQ	"U.S. Navy, Naval Weapons Station - Northside"	95	27237	Zone 1	300	0					
D	Mansfield Power and Gas LLC	07-909-6773	N	Rate Schedule FT	FT10314.01	11/1/2017	10/31/2018		N	200	0	
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	200	0					
P	MQ	SCE&G - Riverneck Road Area Point	95	95005	Zone 1	200	0					
D	Mountaire Farms Inc.	09-181-2669	N	Rate Schedule FT	FT10298.01	12/1/2014	8/31/2016	1825	N	600	0	
A	"Texican Natural Gas Company, LLC"	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	600	0					
P	MQ	NEOgas	95	12360	Zone 1	600	0					
D	Nucor Corporation	00-344-6796	N	Rate Schedule FT	FT10035.01	11/1/2006	10/31/2009	1825	N	15000	0	
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	10796	0					
P	MQ	Nucor - Berkeley	95	27296	Zone 1	15000	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	4204	0					
D	Nucor Corporation	00-344-6796	N	Rate Schedule FT	FT10035.02	4/1/2017	3/31/2022		N	1600	0	
P	MQ	Nucor - Darlington	95	13296	Zone 1	1600	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	1600	0					
D	"Owens Corning Sales, LLC"	00-131-7452	N	Rate Schedule FT	FT10037.02	11/1/2009	10/31/2012	1825	N	1000	0	
A	"Infinite Energy, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	1000	0					
P	MQ	Owens Corning	95	22350	Zone 1	1000	0					
D	"Owens Corning Sales, LLC"	00-131-7452	N	Rate Schedule FT	FT10037.03	11/1/2012	10/31/2015	1825	N	600	0	
A	"Infinite Energy, Inc. "	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	600	0					
P	MQ	Owens Corning	95	22350	Zone 1	600	0					
D	Patriots Energy Group	13-746-7457	N	Rate Schedule FT	FT10039.09	11/1/2015	10/31/2035		N	50200	0	o1
A	Municipal Gas Authority of Georgia	N										
P	MQ	Patriots Energy Group	95	11346	Zone 1	22600	0					
P	MQ	Patriots Energy Group	95	11346	Zone 1	27600	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	27600	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	22600	0					
D	Patriots Energy Group	13-746-7457	N	Rate Schedule FT	FT10039.10	4/1/2017	10/31/2035		N	4000	0	
A	Municipal Gas Authority of Georgia	N										
P	MQ	Patriots Energy Group	95	11346	Zone 1	4000	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	4000	0					
D	"Perdue Farms, Inc."	02-266-6820	N	Rate Schedule FT	FT10295.01	11/1/2014	10/31/2016	1825	N	250	0	
A	"Texican Natural Gas Company, LLC"	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	250	0					
P	MQ	NEOgas	95	12360	Zone 1	250	0					
D	"RockTenn CP, LLC"	96-850-5995	N	Rate Schedule FT	FT10047.04	11/1/2014	10/31/2019		N	3600	0	
A	"Texican Natural Gas Company, LLC"	N										
P	MQ	"Smurfit-Stone Container Enterprises, Inc."	95	13050	Zone 1	3600	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	3600	0					
D	SC Department of Corrections	04-397-4567	N	Rate Schedule FT	FT10043.01	11/1/2006	10/31/2009	1825	N	140	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	140	0					
P	MQ	SC Department of Corrections	95	26255	Zone 1	140	0					
D	"SCANA Energy Marketing, Inc."	60-564-7775	N	Rate Schedule BH	BH10307.01	11/1/2016	10/31/2019		N	10500	0	
P	MQ	SLNG - Elba Island Delivery (Displacement)	95	10104	Zone 2	10500	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	10500	0					
D	"SCANA Energy Marketing, Inc."	60-564-7775	N	Rate Schedule BH	BH10307.02	8/1/2017	4/30/2020		N	225	0	
P	MQ	SNG - Aiken Delivery (Displacement)	95	10101	Zone 1	225	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	225	0					
D	"SCANA Energy Marketing, Inc."	60-564-7775	N	Rate Schedule FT	FT10044.01	11/1/2006	10/31/2023		N	78083	0	
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	483	0					
P	MQ	Reemay Inc.	95	11018	Zone 1	630	0					
P	MQ	Patriots Energy Group	95	11346	Zone 1	3153	0					
P	MQ	Invista S.A.R.L. Company	95	12015	Zone 1	700	0					
P	MQ	"Winnsboro, Town of"	95	12045	Zone 1	2292	0					
P	MQ	ESAB Welding and Cutting Products	95	13292	Zone 1	60	0					
P	MQ	Nucor - Darlington	95	13296	Zone 1	2500	0					
P	MQ	"American Stainless & Alloy Products, LLC"	95	13307	Zone 1	25	0					
P	MQ	Milliken Magnolia	95	16051	Zone 1	925	0					
P	MQ	Talley Metals Technology	95	18280	Zone 1	450	0					
P	MQ	"Bennettsville, City of"	95	19006	Zone 1	1316	0					
P	MQ	"Palmetto Brickworks, LLC"	95	19021	Zone 1	800	0					
P	MQ	Flakeboard	95	19297	Zone 1	2400	0					
P	MQ	"Marion Ceramics, Inc."	95	20061	Zone 1	200	0					
P	MQ	Mohawk - Oak River	95	20305	Zone 1	500	0					
P	MQ	Columbia Energy LLC	95	22396	Zone 1	3656	0					
P	MQ	"Showa Denko Carbon, Inc."	95	26213	Zone 1	1300	0					
P	MQ	"Bamberg, City of"	95	26218	Zone 1	465	0					
P	MQ	Giant Cement Company	95	26223	Zone 1	50	0					
P	MQ	Orangeburg Department of Public Utilities	95	26234	Zone 1	5106	0					
P	MQ	SC Department of Corrections	95	26255	Zone 1	55	0					
P	MQ	BP Amoco Corporation	95	27217	Zone 1	5900	0					
P	MQ	JW Aluminum Company	95	27291	Zone 1	3000	0					
P	M2	SLNG - Elba Island Receipt Point	95	10004	Zone 2	77600	0					
P	MQ	SCE&G - Jasper County	95	95014	Zone 2	42600	0					
D	"SCANA Energy Marketing, Inc."	60-564-7775	N	Rate Schedule FT	FT10044.03	11/1/2012	10/31/2017	1825	N	930	0	
P	MQ	Milliken Magnolia	95	16051	Zone 1	930	0					
P	M2	Transco - Milliken Magnolia Receipt Point	95	10009	Zone 1	930	0					
D	"SCANA Energy Marketing, Inc."	60-564-7775	N	Rate Schedule FT	FT10044.04	11/1/2012	10/31/2016	1825	N	3602	0	
P	MQ	Reemay Inc.	95	11018	Zone 1	630	0					
P	MQ	Invista S.A.R.L. Company	95	12015	Zone 1	200	0					
P	MQ	"Winnsboro, Town of"	95	12045	Zone 1	1972	0					
P	MQ	"Palmetto Brickworks, LLC"	95	19021	Zone 1	800	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	3602	0					
D	"SCANA Energy Marketing, Inc."	60-564-7775	N	Rate Schedule FT	FT10044.06	10/1/2015	4/30/2017	1825	N	0	0	o2
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	0	0					
P	MQ	International Paper Company	95	27227	Zone 1	0	0					
D	"SCANA Energy Marketing, Inc."	60-564-7775	N	Rate Schedule FT	FT99904.01	3/1/2018	4/30/2038		Y	2000	0	
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	2000	0					
P	MQ	International Paper Company	95	27227	Zone 1	2000	0					
D	"SCANA Energy Marketing, Inc."	60-564-7775	N	Rate Schedule FT	FT99904.02	3/1/2018	4/30/2038		Y	1500	0	
P	MQ	International Paper Company	95	27227	Zone 1	1500	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	1500	0					
D	"Shaw Industries Group, Inc."	04-584-0055	N	Rate Schedule FT	FT10313.01	8/1/2017	10/31/2020		N	1500	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	1500	0					
P	MQ	Shaw Industries	95	23214	Zone 1	1500	0					
D	"Shaw Industries Group, Inc."	04-584-0055	N	Rate Schedule FT	FT10313.02	1/1/2018	12/31/2027		N	2600	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	2600	0					
P	MQ	Shaw Industries	95	23214	Zone 1	2600	0					
D	"Shell Energy North America (US), L.P."	83-756-5548	N	Rate Schedule BH	BH10282.02	7/1/2014	6/30/2021		N	16300	0	
P	M2	Transco - Moore Receipt Point	95	10007	Zone 1	16300	0					
P	MQ	SNG - Aiken Delivery (Displacement)	95	10101	Zone 1	16300	0					
D	"Shell Energy North America (US), L.P."	83-756-5548	N	Rate Schedule FT	FT10315.02	4/1/2018	6/30/2021		N	9500	0	
P	M2	Transco - Moore Receipt Point	95	10007	Zone 1	9500	0					
P	MQ	Patriots Energy Group	95	11346	Zone 1	9500	0					
D	"Showa Denko Carbon, Inc."	18-824-4651	N	Rate Schedule FT	FT10285.01	1/1/2013	12/31/2016	1825	N	1000	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	1000	0					
P	MQ	"Showa Denko Carbon, Inc."	95	26213	Zone 1	1000	0					
D	"Showa Denko Carbon, Inc."	18-824-4651	N	Rate Schedule FT	FT10285.02	12/1/2015	11/30/2025		N	500	0	
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	500	0					
P	MQ	"Showa Denko Carbon, Inc."	95	26213	Zone 1	500	0					
D	South Carolina Electric & Gas Company	00-791-9517	N	Rate Schedule FT	FT10048.01	11/1/2006	10/31/2012	1825	N	296929	0	o1
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	151512	0					
P	M2	SCE&G - Salley LNG Receipt Point	95	10005	Zone 1	34520	0					
P	M2	SCE&G - Salley LNG Receipt Point	95	10005	Zone 1	25000	0					
P	M2	SCE&G - Bushy Park LNG Receipt Point	95	10006	Zone 1	10025	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	75872	0					
P	MQ	SCE&G - Sumter Area Point	95	95001	Zone 1	18353	0					
P	MQ	SCE&G - Sumter Area Point	95	95001	Zone 1	1687	0					
P	MQ	SCE&G - Columbia Area Point	95	95002	Zone 1	8245	0					
P	MQ	SCE&G - Columbia Area Point	95	95002	Zone 1	89686	0					
P	MQ	SCE&G - Florence Area Point	95	95003	Zone 1	1636	0					
P	MQ	SCE&G - Florence Area Point	95	95003	Zone 1	17790	0					
P	MQ	SCE&G - Riverneck Road Area Point	95	95005	Zone 1	2263	0					
P	MQ	SCE&G - Riverneck Road Area Point	95	95005	Zone 1	24618	0					
P	MQ	SCE&G - Cheraw Area Point	95	95006	Zone 1	3032	0					
P	MQ	SCE&G - Cheraw Area Point	95	95006	Zone 1	279	0					
P	MQ	SCE&G - Aiken Area Point	95	95008	Zone 1	1916	0					
P	MQ	SCE&G - Aiken Area Point	95	95008	Zone 1	20840	0					
P	MQ	SCE&G - Allendale Area Point	95	95010	Zone 1	16670	0					
P	MQ	SCE&G - Allendale Area Point	95	95010	Zone 1	1533	0					
P	MQ	SCE&G - Georgetown Area Point	95	95011	Zone 1	294	0					
P	MQ	SCE&G - Georgetown Area Point	95	95011	Zone 1	3200	0					
P	MQ	SCE&G - Charleston Area Point	95	95012	Zone 1	77740	0					
P	MQ	SCE&G - Charleston Area Point	95	95012	Zone 1	7147	0					
D	South Carolina Electric & Gas Company	00-791-9517	N	Rate Schedule FT	FT10048.04	5/1/2011	10/31/2023		N	120000	0	
P	M2	SLNG - Elba Island Receipt Point	95	10004	Zone 2	120000	0					
P	MQ	SCE&G - Columbia Area Point	95	95002	Zone 1	27000	0					
P	MQ	SCE&G - Jasper County	95	95014	Zone 2	93000	0					
D	South Carolina Electric & Gas Company	00-791-9517	N	Rate Schedule FT	FT10048.06	11/1/2012	10/31/2026		N	7500	0	
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	7500	0					
P	MQ	SCE&G - Riverneck Road Area Point	95	95005	Zone 1	7500	0					
D	South Carolina Electric & Gas Company	00-791-9517	N	Rate Schedule FT	FT10048.07	5/1/2013	4/30/2018		N	1500	0	
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	1500	0					
P	MQ	SCE&G - Charleston Area Point	95	95012	Zone 1	1500	0					
D	South Carolina Electric & Gas Company	00-791-9517	N	Rate Schedule FT	FT10048.09	12/1/2015	11/30/2030		N	18498	0	
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	18498	0					
P	MQ	SCE&G - Columbia Area Point	95	95002	Zone 1	18498	0					
D	South Carolina Electric & Gas Company	00-791-9517	N	Rate Schedule FT	FT10048.10	11/1/2016	10/31/2036		N	12000	0	
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	12000	0					
P	MQ	SCE&G - Columbia Area Point	95	95002	Zone 1	11000	0					
P	MQ	SCE&G - Riverneck Road Area Point	95	95005	Zone 1	1000	0					
D	South Carolina Electric & Gas Company	00-791-9517	N	Rate Schedule FT	FT99901.01	3/1/2018	2/29/2048		Y	75000	0	
P	M2	Transco - Moore Receipt Point	95	10007	Zone 1	75000	0					
