H	"SOUTHERN STAR CENTRAL GAS PIPELINE, INC."	C000374	4/2/2018	O	4/1/2018	T	T	PHILIP RULLMAN 270-852-4440			
D	"Conexus Energy, LLC"	80120548	N	FTS-P	TA26995	4/1/2018	5/1/2018	0	N	10152	0
P	M2	Cheyenne Plains - Sand Dune	95	16813	PRD	10152	0				
P	MQ	OGT Mutual	95	33	PRD	10152	0				
D	ConocoPhillips Company	1368265	N	FTS-P	TA13737	11/1/2008	5/1/2018	0	N	200	0
P	M2	Superior - Cashion	95	16857	PRD	200	0				
P	MQ	Bartlesville & Dewey	95	2009	PRD	200	0				
D	"DCP Midstream, LP"	3048753	N	FTS-P	TA17850	1/1/2012	1/1/2019	0	N	850	0
A	"DCP Midstream Marketing, LLC"	N									
P	M2	DCP Mustang Plt	95	14377	PRD	850	0				
P	MQ	DCP Carney	95	180	PRD	625	0				
P	MQ	DCP NW Booster	95	181	PRD	225	0				
D	Dennis Langley	25112181	N	FTS-M	TA8293	9/1/2001	9/1/2011	1825	N	20	0
A	"Centerpoint Energy Services, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	20	0				
P	MQ	Dennis Langley	95	186	MKT	20	0				
D	Dennis Langley	25112181	N	FTS-P	TA8293	9/1/2001	9/1/2011	1825	N	20	0
A	"Centerpoint Energy Services, Inc."	N									
P	M2	CIG Floris	95	15266	PRD	20	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	20	0				
D	"Devlar Energy Marketing, LLC"	196394956	N	FTS-P	TA13105	2/1/2009	4/1/2059	0	N	1200	0
P	M2	Wamsutter - Echo Springs	95	16294	PRD	1200	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	1200	0				
D	"Dogwood Energy, LLC"	790967405	N	FTS-M	TA15421	11/1/2009	11/1/2018	0	N	14735	0
A	"Westar Energy, Inc."	N									
P	M2	TIGT Sugar Creek	95	16592	MKT	14735	0				
P	MQ	Dogwood Energy Power Plant	95	189	MKT	14735	0				
D	"Downstream Casino Authority, Downtown Development Ath.of the Quapaw Tribe of OK"	0	N	FTS-M	TA12892	5/1/2008	5/1/2018	0	N	1160	0
A	"Tiger Natural Gas, Inc."	N									
P	M2	EGT Jane - Receipt	95	10997	MKT	1160	0				
P	MQ	Downstream Casino	95	16917	MKT	1160	0				
D	"East Kansas Agri-Energy, LLC"	126781173	N	FTS-M	TA9806	11/1/2005	11/1/2018	0	N	2900	0
A	"U.S. Energy Services, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	2900	0				
P	MQ	EKAE Ethanol Plant	95	16837	MKT	2900	0				
D	"Empire District Electric Company, The"	6965305	N	FTS-M	TA8385	9/1/2004	9/1/2019	0	N	35000	0
P	M2	Prd/Mkt Interface	95	999000	MKT	35000	0				
P	MQ	Empire Riverton	95	378501	MKT	35000	0				
D	"Empire District Electric Company, The"	6965305	N	FTS-P	TA16259	10/1/2010	9/1/2019	0	N	24480	0
P	M2	DCP - Sholem	95	15857	PRD	10000	0				
P	M2	ETC Field Services Hemphill	95	16621	PRD	14480	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	24480	0				
D	"Empire District Electric Company, The"	6965305	N	FTS-P	TA22488	4/1/2016	11/1/2022	0	N	50968	0
P	M2	OFS Maysville	95	7158	PRD	14628	0				
P	M2	Transwestern Canadian - Rec.	95	11377	PRD	4329	0				
P	M2	EOIT McClain	95	15142	PRD	9797	0				
P	M2	DCP - Cimarron Plant	95	15253	PRD	1387	0				
P	M2	OFS Stateline	95	15300	PRD	5909	0				
P	M2	DCP - Sholem	95	15857	PRD	4876	0				
P	M2	Cheney Dell Plant	95	16524	PRD	1970	0				
P	M2	Oneok Westex Hemphill	95	16584	PRD	788	0				
P	M2	ETC Field Services Canadian	95	16620	PRD	1764	0				
P	M2	ETC Field Services Hemphill	95	16621	PRD	5520	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	50968	0				
D	"Empire District Electric Company, The"	6965305	N	FTS-M	TA22489	4/1/2016	11/1/2022	0	N	50280	0
P	M2	Prd/Mkt Interface	95	999000	MKT	50280	0				
P	MQ	Empire Stateline North	95	378504	MKT	50280	0				
D	"Empire District Gas Company, The"	625371880	N	FTS-M	TA553	10/1/1993	11/1/2018	0	N	11109	0
A	"Energy Support Providers, Llc"	N									
P	M2	River Rock - Fireside	95	16757	MKT	3000	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	8109	0				
P	MQ	Clinton & Leeton	95	113812	MKT	1439	0				
P	MQ	Marshall	95	113852	MKT	291	0				
P	MQ	Nevada	95	113856	MKT	486	0				
P	MQ	Platte City	95	113864	MKT	2564	0				
P	MQ	Lexington-Richmond-Henrietta	95	113872	MKT	1676	0				
P	MQ	Sedalia	95	113876	MKT	4310	0				
P	MQ	Tracy	95	113880	MKT	90	0				
P	MQ	Weston	95	113892	MKT	253	0				
D	"Empire District Gas Company, The"	625371880	N	FTS-P	TA553	10/1/1993	11/1/2018	0	N	10651	0
A	"Energy Support Providers, Llc"	N									
P	M2	Cheyenne Plains - Sand Dune	95	16813	PRD	9459	0				
P	M2	Wamsutter - Echo Springs	95	16294	PRD	1192	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	10651	0				
D	"ENVIA Energy Oklahoma City, LLC"	80333014	N	FTS-P	TA23936	12/15/2015	12/15/2035	0	N	2900	0
A	Mansfield Power and Gas LLC	N									
P	M2	Superior - Bellmon	95	16981	PRD	2900	0				
P	MQ	"ENVIA Energy Oklahoma City, LLC"	95	17034	PRD	2900	0				
D	Evonik Jayhawk Fine Chemicals Corporation	3161668	N	FTS-M	TA1060	11/1/2000	11/1/2018	0	N	700	0
A	"Encore Energy Services, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	700	0				
P	MQ	Jayhawk Chemical Plant	95	545801	MKT	700	0				
D	Excel Corporation	71374854	N	FTS-P	TA889	10/1/1996	11/1/2019	0	N	3800	0
A	"Cargill, Incorporated"	N									
P	M2	LINN - Jayhawk	95	16289	PRD	800	0				
P	M2	Wamsutter - Echo Springs	95	16294	PRD	3000	0				
P	MQ	Excel Dodge City Plant	95	149	PRD	3800	0				
D	Ford Motor Company	1344746	N	FTS-M	TA7198	9/1/2004	7/1/2018	0	N	3700	0
A	ConocoPhillips Company	N									
A	"Total Utility Management Services, L.L.C."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	3700	0				
P	MQ	"Kansas City, MO"	95	13745	MKT	3700	0				
D	Ford Motor Company	1344746	N	FTS-P	TA7198	9/1/2004	7/1/2018	0	N	3743	0
A	"Total Utility Management Services, L.L.C."	N									
A	ConocoPhillips Company	N									
P	M2	Transwestern Canadian - Rec.	95	11377	PRD	3743	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	3743	0				
D	"Fort Cobb Oklahoma Irrigation Fuel Authority, L.L.C."	601281132	N	FTS-M	TA566	10/1/1993	10/1/2018	0	N	425	0
A	"Clearwater Enterprises, L.L.C."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	425	0				
P	MQ	Lenapah	95	103101	MKT	425	0				
D	"Fort Cobb Oklahoma Irrigation Fuel Authority, L.L.C."	601281132	N	FTS-P	TA566	10/1/1993	10/1/2018	0	N	1205	0
A	"Clearwater Enterprises, L.L.C."	N									
P	M2	OkTex Marsh Interconnect	95	11435	PRD	605	0				
P	M2	LINN - Jayhawk	95	16289	PRD	600	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	430	0				
P	MQ	Ochelata	95	108119	PRD	175	0				
P	MQ	Washington	95	108221	PRD	325	0				
P	MQ	"Webb City, OK TB"	95	113612	PRD	125	0				
P	MQ	Osage City Ok	95	113713	PRD	75	0				
P	MQ	Mulhall	95	118321	PRD	50	0				
P	MQ	Leann Bowring Pld	95	22	PRD	25	0				
D	General Motors LLC	5356613	N	FTS-M	TA539	10/1/1993	11/1/2018	0	N	3750	0
A	ConocoPhillips Company	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	3750	0				
P	MQ	"Kansas City, Kansas"	95	13644	MKT	3750	0				
D	General Motors LLC	5356613	N	FTS-P	TA539	10/1/1993	11/1/2018	0	N	3784	0
A	ConocoPhillips Company	N									
P	M2	LINN - Jayhawk	95	16289	PRD	3784	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	3784	0				
D	Grove Municipal Services Authority	184548741	N	FTS-M	TA547	10/1/1993	10/1/2013	1825	N	1720	0
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	1720	0				
P	MQ	Afton-Fairland-Grove-Jay	95	122715	MKT	1720	0				
D	Grove Municipal Services Authority	184548741	N	FTS-P	TA547	10/1/1993	10/1/2013	1825	N	1749	0
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Oneok Westex Hemphill	95	16584	PRD	1749	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	1749	0				
D	"International Dehydrated Foods, Inc"	48571923	N	FTS-M	TA13115	7/1/2008	7/1/2018	0	N	500	0
P	M2	Prd/Mkt Interface	95	999000	MKT	500	0				
P	MQ	Monett	95	17454	MKT	500	0				
D	Kansas City Board Of Public Utilities	7169584	N	FTS-M	TA19875	12/18/2012	11/1/2018	0	N	5950	0
P	M2	TIGT Sugar Creek	95	16592	MKT	5950	0				
P	MQ	Dogwood Energy Power Plant	95	189	MKT	5950	0				
D	Kansas City Power And Light Company	6965842	N	FTS-M	TA897	8/12/1997	1/1/2020	0	N	40000	0
P	M2	TIGT Sugar Creek	95	16592	MKT	25000	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	15000	0				
P	MQ	Hawthorn Power Plant	95	148	MKT	40000	0				
D	Kansas City Power And Light Company	6965842	N	FTS-P	TA14955	11/1/2009	1/1/2020	0	N	15255	0
P	M2	CIG Floris	95	15266	PRD	7500	0				
P	M2	Cheyenne Plains - Sand Dune	95	16813	PRD	7755	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	7500	0				
P	MQ	Rawlins-Hesston P/M Interface	95	999001	PRD	7755	0				
D	"Kansas Ethanol, LLC"	783311256	N	FTS-P	TA12019	4/1/2008	4/1/2019	0	N	3000	0
A	"Fidelis Energy Group, LLC"	N									
P	M2	Wamsutter - Echo Springs	95	16294	PRD	2000	0				
P	M2	Cheyenne Plains - Sand Dune	95	16813	PRD	1000	0				
P	MQ	"Kansas Ethanol, LLC"	95	16916	PRD	3000	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	FTS-M	TA627	10/1/1993	6/1/2010	1825	N	8156	0
P	M2	Prd/Mkt Interface	95	999000	MKT	8156	0				
P	MQ	"Kansas City, Kansas"	95	13644	MKT	599	0				
P	MQ	Overland Park	95	16952	MKT	3503	0				
P	MQ	Parsons	95	20764	MKT	206	0				
P	MQ	Topeka	95	24280	MKT	2669	0				
P	MQ	Atchison	95	29001	MKT	197	0				
P	MQ	Emporia	95	29002	MKT	283	0				
P	MQ	Leavenworth	95	29003	MKT	376	0				
P	MQ	Arma-Girard-Pittsburg	95	206	MKT	323	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	FTS-P	TA627	10/1/1993	6/1/2010	1825	N	9689	0
P	M2	Wamsutter - Echo Springs	95	16294	PRD	9689	0				
P	MQ	Newton	95	18356	PRD	224	0				
P	MQ	Derby	95	27035	PRD	113	0				
P	MQ	Wichita	95	27092	PRD	881	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	8248	0				
P	MQ	Wellington	95	590	PRD	130	0				
P	MQ	Augusta & Leon	95	6706	PRD	93	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	FTS-P	TA629	10/1/1993	10/1/1998	1825	N	6450	0
P	M2	Wamsutter - Echo Springs	95	16294	PRD	6450	0				
P	MQ	KGS Kansas Star Casino	95	16977	PRD	159	0				
P	MQ	Rose Hill	95	27065	PRD	278	0				
P	MQ	Udall	95	27080	PRD	11	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	4103	0				
P	MQ	El Dorado Rural	95	118	PRD	16	0				
P	MQ	Kiowa	95	530	PRD	99	0				
P	MQ	Wellington	95	590	PRD	400	0				
P	MQ	Alden	95	3504	PRD	99	0				
P	MQ	Chase	95	3512	PRD	46	0				
P	MQ	Augusta & Leon	95	6706	PRD	1167	0				
P	MQ	Douglas	95	6722	PRD	72	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	FTS-M	TA632	10/1/1993	10/1/1997	1825	N	15041	0
P	M2	TIGT Glavin	95	16593	MKT	4000	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	11041	0				
P	MQ	Merriam	95	16953	MKT	15041	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	FTS-P	TA8577	4/22/2003	4/1/2023	0	N	75000	0
P	M2	Prd Storage	95	999020	PRD	75000	0				
P	MQ	KGST Alden Interconnect	95	208	PRD	75000	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	FTS-M	TA8586	9/1/2004	9/1/2019	0	N	3000	0
P	M2	Prd/Mkt Interface	95	999000	MKT	3000	0				
P	MQ	Arma-Girard-Pittsburg	95	206	MKT	2200	0				
P	MQ	Baxter Springs	95	21008	MKT	100	0				
P	MQ	Columbus	95	21015	MKT	400	0				
P	MQ	Galena & Empire City	95	21024	MKT	300	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	FTS-P	TA13280	12/1/2008	12/1/2022	0	N	39100	0
P	M2	LINN - Jayhawk	95	16289	PRD	11500	0				
P	M2	Targa - Waynoka	95	16912	PRD	27600	0				
P	MQ	Bentley	95	27020	PRD	70	0				
P	MQ	Derby	95	27035	PRD	1002	0				
P	MQ	Haysville	95	27050	PRD	12	0				
P	MQ	Valley Center	95	27085	PRD	385	0				
P	MQ	Wichita	95	27092	PRD	30283	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	7242	0				
P	MQ	Clearwater	95	510	PRD	38	0				
P	MQ	Ks Prd Domestics	95	610	PRD	68	0				
D	Kansas Industrial Energy Supply Company	194290110	N	FTS-P	TA13693	11/1/2008	11/1/2020	0	N	8000	0
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Cheyenne Plains - Sand Dune	95	16813	PRD	5000	0				
P	M2	Targa - Waynoka	95	16912	PRD	3000	0				
P	MQ	Black Hills Colwich	95	16980	PRD	460	0				
P	MQ	Wichita	95	27092	PRD	580	0				
P	MQ	Beech Aircraft Plant	95	243501	PRD	1450	0				
P	MQ	Boeing No 2 Plant	95	266001	PRD	5050	0				
P	MQ	Cessna E-Beech Aircraft-Rock R	95	193	PRD	460	0				
D	KMEA - Kansas Municipal Energy Agency	0	N	FTS-M	TA27004	3/31/2018	11/1/2018	0	N	3535	0
P	M2	TIGT Sugar Creek	95	16592	MKT	3535	0				
P	MQ	Dogwood Energy Power Plant	95	189	MKT	3535	0				
D	"Koch Fertilizer Enid, LLC"	142981278	N	FTS-P	TA26065	11/1/2017	11/1/2020	0	N	55000	0
P	M2	"Mustang Gas Products, LLC"	95	16955	PRD	12000	0				
P	M2	Superior - Bellmon	95	16981	PRD	36000	0				
P	M2	ETC Field Services Crescent	95	16999	PRD	7000	0				
P	MQ	Koch - Enid	95	17064	PRD	55000	0				
D	Laclede Gas Company	6967798	N	FTS-M	TA7620	6/1/2005	10/1/2020	0	N	30300	0
P	M2	Prd/Mkt Interface	95	999000	MKT	30300	0				
P	MQ	Laclede	95	120000	MKT	30300	0				
D	Laclede Gas Company	6967798	N	FTS-P	TA7620	6/1/2005	10/1/2020	0	N	30502	0
P	M2	OFS Maysville	95	7158	PRD	8000	0				
P	M2	Transwestern Canadian - Rec.	95	11377	PRD	5487	0				
P	M2	EOIT Noble	95	15011	PRD	3000	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	7000	0				
P	M2	ETC Field Services Canadian	95	16620	PRD	2015	0				
P	M2	Semgas Group LLC	95	16855	PRD	5000	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	30502	0				
