H	Northwest Pipeline LLC	C000640	1/1/2018	O 	1/1/2018	T	T	Josh Taylor 801-584-6673				
D	The Boeing Company	9256819	N	TF-1	100112	11/1/1993	12/31/2020	365	N	10000	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		10000						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		7000						
P	MQ	NORTH SEATTLE/EVERETT	29	481		3000						
D	The Boeing Company	9256819	N	TF-1	100114	1/14/1994	3/31/2008	365	N	4000	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		4000						
P	MQ	NORTH TACOMA	29	482		4000						
D	BP Energy Company	625275755	N	TF-1	135536	4/1/2007	4/30/2007	31	N	14680	0	x4/x7/x38
P	M2	FRONTIER	29	540		14680						
P	MQ	CLAY BASIN DELIVERY	29	77		14680						
D	BP Energy Company	625275755	N	TF-1	135539	4/1/2007	4/30/2007	31	N	30000	0	x4/x7/x38
P	M2	WESTERN MARKET CENTER RECEIPT	29	86		30000						
P	MQ	CROSSOVER 16 DELIVERY	29	82		30000						
D	Calpine Energy Solutions LLC	968254276	N	TF-1	142117	1/1/2018	1/31/2018		N	4600	0	x4/x38
P	M2	East Hamilton Receipt	29	771		4600						
P	MQ	LANGLEY GULCH	29	737		4600						
D	Cardinal FG Company	6249015	N	TF-1	132677	9/1/2004	1/31/2023	365	N	2000	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		2000						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		2000						
D	Cardinal FG Company	6249015	N	TF-1	132678	9/1/2004	1/31/2023	365	N	1700	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		1700						
P	MQ	WEYEHAEUSER (OSTRANDER PLANT)	29	228		1700						
D	"Cascade Kelly Holdings, LLC dba Columbia Pacific Bio-Refiner"	71175015	N	TF-1	139302	3/1/2012	2/28/2017	365	N	8500	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		8500						
P	MQ	DEER ISLAND	29	470		8500						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	100002	11/1/1992	10/31/2032	365	N	205123	0	x4/x38/x66
P	M2	BLANCO RECEIPT	29	554		11000						
P	M2	CLAY BASIN RECEIPT	29	75		554						
P	M2	CUTTHROAT	29	20		2084						
P	M2	GREEN RIVER GATHERING	29	80		16739						
P	M2	HATCH GULCH	29	669		3995						
P	M2	IGNACIO PLANT	29	4		18892						
P	M2	LISBON RECEIPT	29	30		2781						
P	M2	OPAL PLANT	29	543		27212						
P	M2	SHUTE CREEK PLANT RECEIPT	29	541		5000						
P	M2	STANFIELD RECEIPT	29	187		1000						
P	M2	STARR ROAD RECEIPT	29	401		27055						
P	M2	SUMAS RECEIPT	29	297		88811						
P	MQ	A&M RENDERING	29	471		100						
P	MQ	ABERDEEN/HOQUIAM/MCCLEARY	29	487		4400						
P	MQ	ACME	29	285		90						
P	MQ	ALCOA WENATCHEE	29	444		2860						
P	MQ	ARLINGTON	29	279		2480						
P	MQ	ATHENA	29	518		1150						
P	MQ	BAKER	29	175		5922						
P	MQ	BELLINGHAM (FERNDALE)	29	472		17500						
P	MQ	BELLINGHAM II	29	290		12523						
P	MQ	BREMERTON (SHELTON)	29	486		37102						
P	MQ	BURBANK HEIGHTS	29	373		7800						
P	MQ	CASTLE ROCK	29	230		220						
P	MQ	CITY OF FINLEY	29	488		430						
P	MQ	DEMING	29	286		210						
P	MQ	GRANDVIEW	29	430		3200						
P	MQ	HERMISTON	29	190		7845						
P	MQ	HUNTINGTON	29	171		200						
P	MQ	KALAMA #2	29	469		3900						
P	MQ	KALAMA TAP	29	225		200						
P	MQ	KAWECKI	29	445		382						
P	MQ	KENNEWICK	29	369		8424						
P	MQ	LAWRENCE	29	288		100						
P	MQ	LONGVIEW-KELSO	29	227		38400						
P	MQ	LYNDEN	29	289		2020						
P	MQ	MENAN STARCH	29	411		43						
P	MQ	MILTON-FREEWATER	29	519		1040						
P	MQ	MISSION TAP	29	184		133						
P	MQ	MOSES LAKE	29	412		27320						
P	MQ	MOUNT VERNON	29	283		5000						
P	MQ	MOXEE CITY	29	437		2597						
P	MQ	NYSSA-ONTARIO	29	170		8125						
P	MQ	OAK HARBOR/STANWOOD	29	479		3470						
P	MQ	OTHELLO	29	414		4825						
P	MQ	PASCO	29	371		3850						
P	MQ	PATTERSON	29	198		1000						
P	MQ	PENDLETON	29	185		8487						
P	MQ	PLYMOUTH	29	367		2500						
P	MQ	PROSSER	29	427		3116						
P	MQ	QUINCY	29	443		1770						
P	MQ	RICHLAND	29	370		471						
P	MQ	SANDVIK	29	489		540						
P	MQ	SEDRO/WOOLLEY	29	284		19363						
P	MQ	SELAH	29	441		2823						
P	MQ	STANFIELD DELIVERY	29	188		13840						
P	MQ	SUNNYSIDE	29	433		2802						
P	MQ	UMATILLA	29	192		5760						
P	MQ	WALLA WALLA	29	520		11830						
P	MQ	WENATCHEE	29	446		3875						
P	MQ	WOODLAND	29	223		920						
P	MQ	YAKIMA CHIEF FARMS	29	428		50						
P	MQ	YAKIMA FIRING CENTER	29	440		302						
P	MQ	YAKIMA/UNION GAP	29	439		17098						
P	MQ	ZILLAH (TOPPENISH)	29	435		6586						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	100064	4/1/1993	3/31/2013	365	N	1078	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		1078						
P	MQ	HERMISTON	29	190		278						
P	MQ	NORTH PASCO	29	372		800						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	100134	12/1/1995	11/30/2015	365	N	330	0	x4/x38/x66
P	M2	IGNACIO PLANT	29	4		165						
P	M2	SUMAS RECEIPT	29	297		165						
P	MQ	ABERDEEN/HOQUIAM/MCCLEARY	29	487		80						
P	MQ	BURBANK HEIGHTS	29	373		200						
P	MQ	YAKIMA/UNION GAP	29	439		50						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	100149	3/1/1996	11/30/2015	365	N	75	0	x4/x38/x66
P	M2	IGNACIO PLANT	29	4		31						
P	M2	SUMAS RECEIPT	29	297		44						
P	MQ	WALLA WALLA	29	520		75						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	100150	3/1/1996	11/30/2015	365	N	160	0	x4/x38/x66
P	M2	IGNACIO PLANT	29	4		67						
P	M2	SUMAS RECEIPT	29	297		93						
P	MQ	MENAN STARCH	29	411		160						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	132329	7/1/2004	1/31/2021	365	N	5000	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		5000						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		5000						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	135558	4/1/2008	4/30/2020	365	N	25400	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		25400						
P	MQ	PORTLAND WEST/SCAPPOOSE	29	467		4000						
P	MQ	STANFIELD DELIVERY	29	188		21400						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	139090	4/1/2012	3/31/2052	365	N	27063	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		27063						
P	MQ	BELLINGHAM (FERNDALE)	29	472		8074						
P	MQ	PLYMOUTH LNG DELIVERY	29	196		12490						
P	MQ	PROSSER	29	427		29						
P	MQ	UMATILLA	29	192		6160						
P	MQ	YAKIMA/UNION GAP	29	439		310						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	139382	3/1/2012	10/31/2050	365	N	6191	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		6191						
P	MQ	SEDRO/WOOLLEY	29	284		6191						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	139383	4/1/2012	10/31/2050	365	N	1050	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		1050						
P	MQ	SEDRO/WOOLLEY	29	284		1050						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	139384	1/1/2013	10/31/2050	365	N	3259	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		3259						
P	MQ	SEDRO/WOOLLEY	29	284		3259						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	139630	9/1/2012	10/31/2050	365	N	7450	0	x4/x38/x66
P	M2	PLYMOUTH LNG RECEIPT	29	194		7450						
P	MQ	DURKEE (ASH GROVE)	29	172		4823						
P	MQ	MISSION TAP	29	184		1545						
P	MQ	PENDLETON	29	185		1082						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	139637	1/1/2013	10/31/2050	365	N	7241	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		7241						
P	MQ	ARLINGTON	29	279		175						
P	MQ	BELLINGHAM (FERNDALE)	29	472		221						
P	MQ	EAST STANWOOD	29	716		530						
P	MQ	HERMISTON	29	190		2738						
P	MQ	LDS CHURCH	29	280		10						
P	MQ	OAK HARBOR/STANWOOD	29	479		1564						
P	MQ	SELAH	29	441		1421						
P	MQ	WENATCHEE	29	446		582						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	140047	4/1/2014	10/31/2034	365	N	15000	0	x1/x4/x38
P	M2	SUMAS RECEIPT	29	297		15000						
P	MQ	BELLINGHAM (FERNDALE)	29	472		15000						
D	Cascade Natural Gas Corporation	7942584	N	TF-1	140748	4/1/2015	3/31/2031	365	N	1000	0	x3/x4/x38
P	M2	OPAL PLANT	29	543		1000						
P	MQ	PORTLAND WEST/SCAPPOOSE	29	467		1000						
D	Castleton Commodities Merchant Trading L.P.	118638852	N	TF-1	142082	12/1/2017	12/31/2017	31	N	10000	0	x4/x7/x38
P	M2	OPAL PLANT	29	543		10000						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		10000						
D	"CenterPoint Energy Services, Inc."	838611739	N	TF-1	141183	4/1/2016	4/30/2016	31	N	250	0	x4/x7/x38
P	M2	GREAT DIVIDE/PICEANCE CR. REC.	29	501		250						
P	MQ	CORTEZ & DOLORES	29	18		250						
D	"CenterPoint Energy Services, Inc."	838611739	N	TF-1	141266	6/17/2016	6/30/2016	31	N	100	0	x4/x7/x38
P	M2	IGNACIO PLANT	29	4		100						
P	MQ	DURANGO	29	11		100						
D	Chevron U.S.A. Inc.	9140559	N	TF-1	135744	8/1/2007	3/31/2008	31	N	2500	0	x4/x7/x38
P	M2	CLAY BASIN RECEIPT	29	75		2500						
P	MQ	CHEVRON RANGELY	29	66		2500						
D	Chevron U.S.A. Inc.	9140559	N	TF-1	137680	11/10/2009	10/31/2019	365	N	25000	0	x1/x4/x38
P	M2	WILD HORSE RECEIPT	29	727		25000						
P	MQ	IGNACIO DELIVERY	29	3		25000						
D	Citadel Energy Marketing LLC	79663087	N	TF-1	141319	8/1/2016	10/31/2019	365	N	32486	0	x1/x4/x38
P	M2	OPAL PLANT	29	543		32486						
P	MQ	LAPLATA-TW	29	550		32486						
D	Citadel Energy Marketing LLC	79663087	N	TF-1	141322	8/1/2016	10/31/2022	365	N	150000	0	x1/x4/x38
P	M2	COLLINS GULCH	29	700		22000						
P	M2	WILD HORSE RECEIPT	29	727		128000						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		150000						
D	Citadel Energy Marketing LLC	79663087	N	TF-1	141323	8/1/2016	10/31/2020	365	N	100000	0	x1/x4/x38
P	M2	OPAL PLANT	29	543		22000						
P	M2	STANFIELD RECEIPT	29	187		78000						
P	MQ	IGNACIO DELIVERY	29	3		88217						
P	MQ	LAPLATA-TW	29	550		11783						
D	City of Blanding	73093437	N	TF-1	100115	7/1/1994	6/30/2014	365	N	1000	0	x2/x3/x4/x38
P	M2	BLANCO HUB-MILAGRO (56419)	29	556		450						
P	M2	COLLINS GULCH	29	700		450						
P	M2	IGNACIO PLANT	29	4		100						
P	MQ	BLANDING	29	27		1000						
D	City Of Ellensburg	60041985	N	TF-1	100011	7/31/1991	10/31/2030	365	N	6000	0	x2/x3/x4/x38
P	M2	CLAY BASIN RECEIPT	29	75		1900						
P	M2	SHUTE CREEK PLANT RECEIPT	29	541		1142						
P	M2	SUMAS RECEIPT	29	297		2958						
P	MQ	ELLENSBURG	29	442		6000						
D	City Of Ellensburg	60041985	N	TF-1	100063	4/1/1993	10/31/2030	365	N	1500	0	x2/x3/x4/x38
P	M2	OPAL PLANT	29	543		1500						
P	MQ	ELLENSBURG	29	442		1500						
D	City Of Ellensburg	60041985	N	TF-1	100135	12/1/1995	10/31/2030	365	N	250	0	x2/x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		250						
P	MQ	ELLENSBURG	29	442		250						
D	City Of Enumclaw	76642123	N	TF-1	100012	11/1/1992	10/31/2015	365	N	6500	0	x2/x3/x4/x38
P	M2	CLAY BASIN RECEIPT	29	75		1350						
P	M2	GREEN RIVER GATHERING	29	80		464						
P	M2	OPAL PLANT	29	543		978						
P	M2	SUMAS RECEIPT	29	297		3708						
P	MQ	ENUMCLAW	29	255		6500						
D	CLEARWATER PAPER CORPORATION	782437318	N	TF-1	137847	11/1/2009	11/30/2010	365	N	3000	0	x3/x4/x38
P	M2	IGNACIO PLANT	29	4		1500						
P	M2	SUMAS RECEIPT	29	297		1500						
P	MQ	LEWISTON PFI	29	426		3000						
D	"Columbia Properties Tahoe,LLC dba Mont Bleu Resort Casino &"	98864010	N	TF-1	100074	4/1/1993	9/30/2044	365	N	30	0	x1/x4/x38
P	M2	SUMAS RECEIPT	29	297		30						
P	MQ	RENO LATERAL (TO PAIUTE)	29	459		30						
D	"Cyanco Company, LLC"	612755959	N	TF-1	100067	4/1/1993	3/31/2008	365	N	2000	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		2000						
P	MQ	RENO LATERAL (TO PAIUTE)	29	459		2000						
D	"EDF Trading North America, LLC"	130385763	N	TF-1	136222	11/1/2007	12/31/2007	31	N	7500	0	x4/x7/x38
P	M2	SHUTE CREEK PLANT RECEIPT	29	541		7500						
P	MQ	GREEN RIVER DELIVERY	29	539		7500						
D	"EDF Trading North America, LLC"	130385763	N	TF-1	141205	5/1/2016	8/31/2016	31	N	5000	0	x4/x7/x38
P	M2	OPAL PLANT	29	543		5000						
P	MQ	CLAY BASIN DELIVERY	29	77		5000						
D	"EDF Trading North America, LLC"	130385763	N	TF-1	141220	5/1/2016	8/31/2016	31	N	3820	0	x4/x7/x38
P	M2	OPAL PLANT	29	543		3820						
P	MQ	CLAY BASIN DELIVERY	29	77		3820						
D	"EP Minerals, LLC"	178808465	N	TF-1	100068	4/1/1993	3/31/2008	365	N	1680	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		1680						
P	MQ	RENO LATERAL (TO PAIUTE)	29	459		1680						
D	"EP Minerals, LLC"	178808465	N	TF-1	100069	4/1/1993	3/31/2008	365	N	184	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		184						
P	MQ	NYSSA-ONTARIO	29	170		184						
D	"EP Minerals, LLC"	178808465	N	TF-1	121638	4/1/1998	6/30/2008	365	N	1000	0	x3/x4/x38
P	M2	OPAL PLANT	29	543		1000						
P	MQ	RENO LATERAL (TO PAIUTE)	29	459		1000						
D	Evraz Inc. NA	9106055	N	TF-1	100139	12/1/1995	11/30/2010	365	N	3000	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		3000						
P	MQ	RIVERGATE (OREGON STEEL)	29	468		3000						
D	Evraz Inc. NA	9106055	N	TF-1	138896	2/23/2011	2/28/2011	31	N	1200	0	x4/x7/x38
P	M2	OPAL PLANT	29	543		1200						
P	MQ	GREEN RIVER DELIVERY	29	539		1200						
D	"Exelon Generation Company, LLC"	196748938	N	TF-1	140749	5/1/2015	6/30/2015	31	N	15000	0	x4/x7/x38
P	M2	OPAL PLANT	29	543		15000						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		15000						
D	FortisBC Energy Inc.	249953860	N	TF-1	135562	11/1/2007	3/31/2023	365	N	9000	0	x1/x4/x38/x92
P	M2	DEER ISLAND RECEIPT	29	620		9000						
P	MQ	SIPI DELIVERY	29	295		9000						
D	Frederickson Power LP	38912692	N	TF-1	130975	10/1/2003	8/31/2022	365	N	21878	0	x1/x4/x38/x47
P	M2	SUMAS RECEIPT	29	297		21878						
P	MQ	SCOTT METER STATION	29	628		21878						
D	Georgia-Pacific LLC	9252297	N	TF-1	100034	9/1/1990	10/31/2022	365	N	10000	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		10000						
P	MQ	CAMAS JR	29	300		3500						
P	MQ	DEER ISLAND	29	470		3500						
P	MQ	NORTH TACOMA	29	482		3000						
D	Georgia-Pacific LLC	9252297	N	TF-1	100082	4/1/1993	10/31/2022	365	N	2341	0	x3/x4/x38
P	M2	IGNACIO PLANT	29	4		616						
P	M2	SUMAS RECEIPT	29	297		1725						
P	MQ	CAMAS JR	29	300		2341						
D	Georgia-Pacific LLC	9252297	N	TF-1	100136	12/1/1995	10/31/2022	365	N	8750	0	x3/x4/x38
P	M2	IGNACIO PLANT	29	4		8750						
P	MQ	BELLINGHAM (FERNDALE)	29	472		750						
P	MQ	BROWNSVILLE/HALSEY	29	330		1750						
P	MQ	CAMAS JR	29	300		4750						
P	MQ	DEER ISLAND	29	470		1500						
D	"Harvey's Tahoe Management Co., Inc."	9238965	N	TF-1	100072	4/1/1993	3/31/2008	365	N	500	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		500						
P	MQ	RENO LATERAL (TO PAIUTE)	29	459		500						
D	"Harvey's Tahoe Management Co., Inc."	9238965	N	TF-1	100073	4/1/1993	9/30/2044	365	N	165	0	x1/x4/x38
P	M2	SUMAS RECEIPT	29	297		165						
P	MQ	RENO LATERAL (TO PAIUTE)	29	459		165						
D	Idaho Power Company	6927271	N	TF-1	126442	11/1/2002	10/31/2032	365	N	24523	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		24523						
P	MQ	ELMORE DELIVERY M/S	29	616		24523						
D	Idaho Power Company	6927271	N	TF-1	126951	9/24/2001	9/23/2031	365	N	36977	0	x1/x4/x38/x163
P	M2	ELMORE IN-LINE TRANSFER REC	29	617		36977						
P	MQ	ELMORE DELIVERY M/S	29	616		36977						
D	Idaho Power Company	6927271	N	TF-1	138369	3/1/2011	5/31/2042	365	N	4500	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		4500						
P	MQ	LANGLEY GULCH	29	737		4500						
D	Idaho Power Company	6927271	N	TF-1	138370	11/1/2013	5/31/2042	365	N	250	0	x4/x38/x66
P	M2	STANFIELD RECEIPT	29	187		250						
P	MQ	LANGLEY GULCH	29	737		250						
D	Idaho Power Company	6927271	N	TF-1	138390	4/1/2011	4/30/2031	365	N	4311	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		4311						
P	MQ	LANGLEY GULCH	29	737		4311						
D	Idaho Power Company	6927271	N	TF-1	139664	11/1/2012	10/31/2032	365	N	22000	0	x4/x38/x66
P	M2	STANFIELD RECEIPT	29	187		22000						
P	MQ	LANGLEY GULCH	29	737		22000						
D	"Idahoan Foods, LLC"	65008559	N	TF-1	121657	4/1/1998	6/30/2008	365	N	1000	0	x3/x4/x38
P	M2	OPAL PLANT	29	543		1000						
P	MQ	RENO LATERAL (TO PAIUTE)	29	459		1000						
D	"IGI Resources, Inc."	194290953	N	TF-1	123302	11/1/1999	10/31/2032	365	N	21000	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		21000						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		21000						
D	"IGI Resources, Inc."	194290953	N	TF-1	124045	1/1/2001	10/31/2022	365	N	5040	0	x1/x4/x38
P	M2	STANFIELD RECEIPT	29	187		5040						
P	MQ	ALBANY	29	327		3400						
P	MQ	NORTH EUGENE	29	334		60						
P	MQ	SOUTH EUGENE	29	336		1580						
D	"IGI Resources, Inc."	194290953	N	TF-1	137605	11/1/2009	10/31/2022	365	N	10000	0	x1/x 38/x 95
P	M2	STANFIELD RECEIPT	29	187		10000						
P	MQ	NINE MILE FALLS	29	718		2841						
P	MQ	SPOKANE MEAD	29	385		7159						
D	"IGI Resources, Inc."	194290953	N	TF-1	138238	6/1/2010	3/31/2017	365	N	3671	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		3671						
P	MQ	PORTLAND WEST/SCAPPOOSE	29	467		2200						
P	MQ	PROSSER	29	427		1471						
D	"IGI Resources, Inc."	194290953	N	TF-1	138431	3/1/2015	3/31/2025	365	N	2800	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		2800						
P	MQ	ALBANY	29	327		1000						
P	MQ	SOUTH EUGENE	29	336		1800						
D	"IGI Resources, Inc."	194290953	N	TF-1	139514	5/1/2012	10/31/2020	365	N	12700	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		12700						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		12700						
D	Intermountain Gas Company	181912262	N	TF-1	100004	11/1/1992	10/31/2032	365	N	113024	0	x3/x4/x38
P	M2	BLANCO HUB-TW (56498)	29	564		3527						
P	M2	CLAY BASIN RECEIPT	29	75		20000						
P	M2	GLEN BENCH	29	516		50						
P	M2	HATCH GULCH	29	669		8063						
P	M2	IGNACIO PLANT	29	4		3876						
P	M2	NORTH DOUGLAS CREEK	29	61		2257						
P	M2	OPAL PLANT	29	543		9255						
P	M2	SUMAS RECEIPT	29	297		65496						
P	M2	WEST DOUGLAS	29	57		500						
P	MQ	ABERDEEN	29	134		3766						
P	MQ	ALBERTSONS INC. (KUNA)	29	158		316						
P	MQ	AMERICAN FALLS	29	133		882						
P	MQ	BANCROFT	29	119		183						
P	MQ	BRUNEAU	29	455		50						
P	MQ	BUHL (GOODING)	29	148		4267						
P	MQ	BURLEY-RUPERT-HEYBURN	29	138		8550						
P	MQ	BURLEY-RUPERT-HEYBURN #2	29	137		9000						
P	MQ	CALDWELL	29	161		23054						
P	MQ	CENTRAL TURNER-GRACE	29	116		200						
P	MQ	DECLO	29	136		110						
P	MQ	EAST RAFT RIVER	29	135		150						
P	MQ	EMMETT/PARMA	29	163		2633						
P	MQ	FILER	29	147		600						
P	MQ	FLYING H FARMS	29	453		778						
P	MQ	FRUITLAND	29	168		470						
