H	"Egan Hub Storage, LLC"	C000086	4/2/2018	O	4/1/2018	T	T	LISA  A. CONNOLLY 713-627-4102				
P	M2	"TEXAS EASTERN - STORAGE, LA (D40116"	95	45115	EGAN		15000					
F	1	"D-U-N-S number not received yet, proprietary code is shown."										
F	2	Original contract effective date: 09/01/2001										
F	3	Original contract effective date: 11/01/2006										
F	4	Original contract effective date: 04/01/2011										
F	5	Varying MDQ quantities as follows: 500000 dth through 03/31/2025; 250000 dth beginning 04/01/2025										
F	6	Original contract effective date: 04/01/2014										
F	7	Original contract effective date: 04/01/2016										
F	8	Original contract effective date: 03/03/2017										
F	9	Original contract effective date: 04/01/2017										
F	10	Original contract effective date: 11/01/2015										
