H	"GULF SOUTH PIPELINE COMPANY, LP"	C000591	2/13/2018	R	1/1/2018	T	T	NATALIE LAWRENCE 713-479-8208				
P	M2	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	75793	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	N	FSS-P	8439	1/1/2015	3/31/2018		N	0	1140000	
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	13130					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	62663					
D	ATMOS ENERGY CORPORATION	108203241	N	NNS	44140	4/1/2015	4/30/2023		N	141516	0	
A	"TRANS LOUISIANA GAS PIPELINE, INC"	N										
P	MQ	AMITE/INDEP AGGREGATE - LGS	95	10721	SYSTEM 	2050	0					
P	MQ	BASTROP LINE METER SKID CITY GATE	95	24248	SYSTEM 	5000	0					
P	MQ	BOUTTE-LULING-DES ALLEMANDS AGG	95	10821	SYSTEM 	4075	0					
P	MQ	BR/NO-ST ROSE-MARCHAND	95	20476	SYSTEM 	14465	0					
P	MQ	BREAUX BRIDGE CITY GATE	95	2938	SYSTEM 	900	0					
P	MQ	BURAS / VENICE AGGREGATE SLN - LGS	95	10725	SYSTEM 	2250	0					
P	M2	CAMP WORTH CP	95	21083	SYSTEM 	3000	0					
P	MQ	COPPERFIELD	95	12824	SYSTEM 	150	0					
P	MQ	CYPRESS BAYOU CASINO (TO TRANSLA)	95	12826	SYSTEM 	150	0					
P	MQ	D'ARBONNE HILLS AGGREGATE	95	11316	SYSTEM 	225	0					
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	16653	0					
P	MQ	DELACROIX/B.CHASSE/RESERVE AGG	95	10724	SYSTEM 	20565	0					
P	M2	DISCOVERY GAS TRANSMISSION	95	21805	SYSTEM 	2000	0					
P	MQ	GLOSTER ETAL WOTB/FARM AGGREGATE  	95	10717	SYSTEM 	220	0					
P	MQ	GOODWOOD/WEBBER AGGREGATE	95	10726	SYSTEM 	17120	0					
P	MQ	HAILE #2 (ENABLE TO ATMOS)	95	4697	SYSTEM 	50	0					
P	MQ	HAMMOND/PONCHATOULA AGGREGATE LOC	95	10720	SYSTEM 	20695	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	14969	0					
P	M2	HOLLY FIELD CP - EXCO (EXPANSON)	95	22662	SYSTEM 	16162	0					
P	M2	HOLLY FIELD CP - HAWK FIELD SERVIC	95	22551	SYSTEM 	3156	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	27248	0					
P	M2	JEFFERSON ISLAND STORAGE WITHDRAWAL	95	12014	SYSTEM 	5000	0					
P	MQ	L.O. PECK	95	21103	SYSTEM 	125	0					
P	MQ	LAFAYETTE AGGREGATE 05	95	11314	SYSTEM 	2241	0					
P	MQ	MANDEVILLE AGGREGATE	95	10723	SYSTEM 	15970	0					
P	MQ	MANY ETAL AGGREGATE	95	11315	SYSTEM 	2850	0					
P	MQ	MILL GANSVILLE/TANNEHILL COMMUNITI	95	3364	SYSTEM 	100	0					
P	MQ	NORTH LOUISIANA T. B. S. AGGREGATE	95	10718	SYSTEM 	535	0					
P	MQ	NORTHEAST LOUISIANA AGGREGATE - LGS	95	10719	SYSTEM 	6535	0					
P	M2	PERRYVILLE EXCHANGE POINT	95	23039	SYSTEM 	3818	0					
P	MQ	SLIDELL AGGREGATE	95	10722	SYSTEM 	14485	0					
P	MQ	SPENCER #2 (ENABLE TO ATMOS)	95	4698	SYSTEM 	100	0					
P	MQ	ST LOUIS CANAL ROAD - ATMOS CITY G	95	21486	SYSTEM 	1250	0					
P	MQ	ST MARY PARISH SCHOOL - TRANS LA	95	20646	SYSTEM 	100	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	43510	0					
P	M2	VENICE PLT (FROM TARGA MIDSTREAM)	95	464	SYSTEM 	6000	0					
P	MQ	WEST MONROE AGGREGATE	95	10715	SYSTEM 	9260	0					
P	MQ	WEST STERLINGTON (ENABLE TO ATMOS)	95	4699	SYSTEM 	50	0					
D	ATMOS ENERGY CORPORATION (MISSISSIPPI DIVISION)	6964415	N	NNS	44133	4/1/2015	4/30/2023		N	90000	0	
A	"TRANS LOUISIANA GAS PIPELINE, INC"	N										
P	M2	CENTERVILLE (FROM TRUNKLINE)	95	3262	SYSTEM 	3600	0					
P	M2	DISCOVERY GAS TRANSMISSION	95	21805	SYSTEM 	9501	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	3922	0					
P	M2	HOLLY FIELD CP - EXCO (EXPANSON)	95	22662	SYSTEM 	10651	0					
P	MQ	JACKSON CITY GATES AGGREGATE	95	9915	SYSTEM 	82951	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	18000	0					
P	M2	KILN (FROM TENN GAS)	95	2921	SYSTEM 	4311	0					
P	MQ	LUCEDALE CITY GATE	95	2428	SYSTEM 	750	0					
P	MQ	MERIDIAN SOUTH CITY GATE	95	11303	SYSTEM 	5999	0					
P	M2	PERRYVILLE EXCHANGE POINT	95	23039	SYSTEM 	3903	0					
P	M2	RACELAND (FROM TEXAS EASTERN)	95	8455	SYSTEM 	4362	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	27000	0					
P	M2	VENICE PLT (FROM TARGA MIDSTREAM)	95	464	SYSTEM 	2750	0					
P	MQ	WILLIAMSVILLE CITY GATE	95	2551	SYSTEM 	300	0					
P	M2	WOODARDVILLE CP #2 (QEP)	95	21954	SYSTEM 	2000	0					
D	ATMOS ENERGY CORPORATION (MISSISSIPPI DIVISION)	6964415	N	NNS	48707	11/1/2017	3/31/2019		N	6000	0	
P	MQ	JACKSON CITY GATES AGGREGATE	95	9915	SYSTEM 	6000	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	1200	0					
P	M2	POOLING AREA #16 - EXPANSION	95	22116	SYSTEM 	3000	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	1800	0					
D	ATMOS ENERGY CORPORATION (MISSISSIPPI DIVISION)	6964415	N	FTS	48742	12/1/2017	2/28/2018		N	3000	0	
P	MQ	JACKSON CITY GATES AGGREGATE	95	9915	SYSTEM 	3000	0					
P	M2	POOLING AREA #16 - EXPANSION	95	22116	SYSTEM 	3000	0					
D	"BALDWIN, TOWN OF"	164549156	N	FTS-SCO	36204	4/1/2009	3/31/2019		N	600	0	
A	BLACKBELT ENERGY	N										
P	MQ	BALDWIN CITY GATE	95	2936	SYSTEM 	600	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	600	0					
D	"BALDWIN, TOWN OF"	164549156	N	NNS-SCO	36205	4/1/2009	4/30/2023		N	400	0	
A	BLACKBELT ENERGY	N										
P	MQ	BALDWIN CITY GATE	95	2936	SYSTEM 	400	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	200	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	80	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	120	0					
D	"BAY SPRINGS, CITY OF"	606860849	N	NNS-SCO	39548	4/1/2012	3/31/2013	1825	N	1080	0	
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	MQ	BAY SPRINGS CITY GATE	95	2412	SYSTEM 	1080	0					
P	M2	BIENVILLE (FROM PANENERGY)	95	6861	SYSTEM 	540	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	216	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	324	0					
D	BAY ST LOUIS CITY OF	50584689	N	NNS-SCO	39511	4/1/2012	3/31/2016	1825	N	3710	0	
A	UTILITY MANAGEMENT CORPORATION	N										
P	MQ	BAY ST LOUIS CITY GATE	95	2413	SYSTEM 	3710	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	742	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	1113	0					
P	M2	VERNON FIELD CP #2	95	21459	SYSTEM 	1855	0					
D	"BEAUMONT, TOWN OF"	39045153	N	NNS-SCO	39513	4/1/2012	3/31/2016	1825	N	1509	0	
A	UTILITY MANAGEMENT CORPORATION	N										
P	MQ	BEAUMONT CITY GATE	95	2570	SYSTEM 	1509	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	302	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	452	0					
P	M2	VERNON FIELD CP #2	95	21459	SYSTEM 	755	0					
D	BLUEBONNET NATURAL GAS LLC	10855	N	FTS-SCO	42595	6/9/2014	3/31/2024		N	409	0	
A	"ETC MARKETING, LTD"	N										
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	409	0					
P	MQ	MT ENTERPRISE CG	95	584	SYSTEM 	409	0					
D	BP ENERGY COMPANY	625275755	N	FTS	37090	5/1/2010	10/31/2035		N	5000	0	
P	MQ	HOLMESVILLE (TO TRANSCO)	95	2690	SYSTEM 	5000	0					
P	M2	STATELINE GATHERING SYSTEM (LEGACY)	95	22511	SYSTEM 	5000	0					
D	BP ENERGY COMPANY	625275755	N	FTS	37091	4/1/2010	6/30/2035		N	5000	0	
P	MQ	BREWTON MILL GEORGIA PACIFIC	95	2536	SYSTEM 	5000	0					
P	M2	FLOMATON-(FLORIDA GAS CROSSOVER)	95	2926	SYSTEM 	5000	0					
D	BP ENERGY COMPANY	625275755	N	FTS	37094	4/1/2010	9/30/2035		N	7500	0	
P	MQ	NOPSI AGGREGATE - NEW ORLEANS PUBL	95	9921	SYSTEM 	4500	0					
P	MQ	PENSACOLA AGGREGATE	95	9922	SYSTEM 	3000	0					
P	M2	STATELINE GATHERING SYSTEM (LEGACY)	95	22511	SYSTEM 	7500	0					
D	BP ENERGY COMPANY	625275755	N	FTS	37095	4/1/2010	5/31/2020		N	1700	0	
P	M2	PLANTATION WEST II - EXPANSION	95	22561	SYSTEM 	1700	0					
P	MQ	REX BROWN POWER (TO MP&L)	95	2532	SYSTEM 	1700	0					
D	BP ENERGY COMPANY	625275755	N	FTS	37096	4/1/2010	5/31/2020		N	1700	0	
P	MQ	HOLMESVILLE (TO TRANSCO)	95	2690	SYSTEM 	1700	0					
P	M2	PLANTATION WEST II - EXPANSION	95	22561	SYSTEM 	1700	0					
D	BP ENERGY COMPANY	625275755	N	FSS-B	45600	4/1/2016	3/31/2018		N	0	2000000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	15800					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	15800					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	28600					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	26800					
D	BP ENERGY COMPANY	625275755	N	FSS-B	45617	4/1/2016	3/31/2018		N	0	750000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	5925					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	5925					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	10725					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	10725					
D	BP ENERGY COMPANY	625275755	N	FSS-B	45756	4/1/2016	3/31/2018		N	0	250000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	1975					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	1975					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	3575					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	3575					
D	BP ENERGY COMPANY	625275755	N	FSS-B	47679	4/1/2017	3/31/2019		N	0	1000000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	7900					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	7900					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	14300					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	14300					
D	"BREWTON ALABAMA, CITY OF"	1383801	N	NNS-SCO	45719	4/1/2016	3/31/2023		N	4000	0	
A	BP ENERGY COMPANY	N										
P	MQ	BREWTON AGGREGATE - UMDG	95	9931	SYSTEM 	4000	0					
P	M2	CENTERVILLE (FROM ANR)	95	425	SYSTEM 	500	0					
P	M2	ERATH (FROM NGPL)	95	3260	SYSTEM 	1000	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	500	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	800	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	1200	0					
D	CANTON MUNICIPAL UTILITIES	155768278	N	NNS-SCO	39546	4/1/2012	3/31/2013	1825	N	7335	0	
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	MQ	CANTON MUNICIPAL AGGREGATE SLN	95	9959	SYSTEM 	7335	0					
P	M2	CENTERVILLE (FROM ANR)	95	425	SYSTEM 	917	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	917	0					
P	M2	GOODRICH (FROM ENBRIDGE)	95	1607	SYSTEM 	1833	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	1467	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	2201	0					
D	"CARENCRO, TOWN OF"	139242051	N	FTS-SCO	36207	4/1/2009	3/31/2019		N	900	0	
A	BLACKBELT ENERGY	N										
P	MQ	CARENCRO CITY GATE	95	2939	SYSTEM 	900	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	900	0					
D	"CARENCRO, TOWN OF"	139242051	N	NNS-SCO	36208	4/1/2009	4/30/2023		N	600	0	
A	BLACKBELT ENERGY	N										
P	MQ	CARENCRO CITY GATE	95	2939	SYSTEM 	600	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	300	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	120	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	180	0					
D	CASTLETON COMMODITIES MERCHANT TRADING L.P.	118638852	N	FSS-B	47650	4/1/2017	3/31/2019		N	0	933333	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	7373					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	7373					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	13347					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	13347					
D	CASTLETON COMMODITIES MERCHANT TRADING L.P.	118638852	N	FSS-B	47667	4/1/2017	3/31/2019		N	0	750000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	5925					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	5925					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	10725					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	10725					
D	CASTLETON COMMODITIES MERCHANT TRADING L.P.	118638852	N	FSS-B	47683	4/1/2017	3/31/2019		N	0	500000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	3950					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	3950					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	7150					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	7150					
D	CENTERPOINT ENERGY RESOURCES CORP.	46700779	N	NNS	35483	6/1/2008	4/30/2023		N	142404	0	
A	BP ENERGY COMPANY	N										
P	MQ	BALLARD-HUDSON POULTRY (TO TENNGPL)	95	11586	SYSTEM 	20	0					
P	M2	BECKVILLE (FROM EGPT TEXAS PL)	95	9641	SYSTEM 	2943	0					
P	MQ	BROOKHAVEN AGGREGATE SLN - ENTEX	95	6613	SYSTEM 	22333	0					
P	MQ	BYRAM CITY GATE	95	20764	SYSTEM 	1566	0					
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	5148	0					
P	MQ	DEDEAUX ROAD TO CENTERPOINT CITY G	95	15898	SYSTEM 	932	0					
P	M2	DEEP LAKE (FROM NGPL)	95	3263	LAKE CHARLES 	4660	0					
P	M2	DISCOVERY GAS TRANSMISSION	95	21805	SYSTEM 	3677	0					
P	M2	FLOMATON-(FLORIDA GAS CROSSOVER)	95	2926	SYSTEM 	5854	0					
P	MQ	FLOWOOD-TERRA MISSISSIPPI NITROGEN	95	9778	SYSTEM 	1	0					
P	M2	FT BEND (FROM ATMOS PIPELINE TX)	95	9345	SYSTEM 	5518	0					
P	MQ	GULFPORT AGGREGATE	95	6617	SYSTEM 	29378	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	19678	0					
P	M2	JACKSON COUNTY (FROM DESTIN)	95	15903	SYSTEM 	3678	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	28481	0					
P	MQ	LAUREL AGGREGATE	95	6612	SYSTEM 	55325	0					
P	M2	LONGVIEW PLT (FROM ENBRIDGE)	95	11673	SYSTEM 	4781	0					
P	MQ	MISC AREA 01 130 AGGREGATE	95	6611	SYSTEM 	7543	0					
P	MQ	NASA: JOHN C STENNIS SPACE CENTER	95	2568	SYSTEM 	1487	0					
P	MQ	PHILADELPHIA CITY GATE	95	20462	SYSTEM 	17269	0					
P	MQ	PIG TRAP YARD	95	15935	SYSTEM 	2433	0					
P	MQ	RICHTON AGGREGATE	95	6643	SYSTEM 	713	0					
P	M2	SHELL: N. TERREBONNE PLANT RESIDUE	95	165	SYSTEM 	9380	0					
P	MQ	STONEWALL AGGREGATE SLN - ENTEX	95	6616	SYSTEM 	2163	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	42721	0					
P	M2	VENICE PLT (FROM TARGA MIDSTREAM)	95	464	SYSTEM 	5885	0					
P	MQ	WIGGINS AGGREGATE SLN - ENTEX	95	6619	SYSTEM 	1241	0					
D	CENTERPOINT ENERGY RESOURCES CORP.	46700779	N	NNS	35484	6/1/2008	4/30/2023		N	104031	0	
A	BP ENERGY COMPANY	N										
P	MQ	AVOYELLES RAPIDES AGGREGATE SLN - 	95	10166	SYSTEM 	484	0					
P	MQ	AVOYELLES-RAPIDES AGGREGATE	95	6623	SYSTEM 	1351	0					
P	MQ	BAYOU DINDE CITY GATE	95	20709	LAKE CHARLES 	327	0					
P	M2	BECKVILLE (FROM EGPT TEXAS PL)	95	9641	SYSTEM 	2369	0					
P	MQ	BOGALUSA AGGREGATE SLN - ENTEX	95	6618	SYSTEM 	9770	0					
P	MQ	CAMERON #1 CITY GATE	95	3005	SYSTEM 	1	0					
P	MQ	CAMERON #2 CITY GATE	95	3014	SYSTEM 	1	0					
P	MQ	CROWLEY AGGREGATE SLN - ENTEX	95	6626	SYSTEM 	20707	0					
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	3607	0					
P	M2	DEEP LAKE (FROM NGPL)	95	3263	LAKE CHARLES 	3860	0					
P	M2	DISCOVERY GAS TRANSMISSION	95	21805	SYSTEM 	2899	0					
P	M2	FLOMATON-(FLORIDA GAS CROSSOVER)	95	2926	SYSTEM 	4714	0					
P	MQ	FRANKLIN AGGREGATE SLN - ENTEX	95	6622	SYSTEM 	9793	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	15843	0					
P	M2	JACKSON COUNTY (FROM DESTIN)	95	15903	SYSTEM 	2961	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	20806	0					
P	MQ	LAKE CHARLES AGGREGATE  LC 24	95	23429	LAKE CHARLES 	821	0					
P	MQ	LAUREL AGGREGATE	95	6612	SYSTEM 	171	0					
P	M2	LONGVIEW PLT (FROM ENBRIDGE)	95	11673	SYSTEM 	3850	0					
P	MQ	NEW IBERIA AGGREGATE	95	6621	SYSTEM 	10658	0					
P	MQ	OAKDALE AGGREGATE SLN - ENTEX	95	6625	SYSTEM 	9663	0					
P	MQ	OPELOUSAS AGGREGATE SLN - ENTEX	95	6642	SYSTEM 	9426	0					
P	MQ	PEARL RIVER AGGREGATE	95	6615	SYSTEM 	568	0					
P	MQ	S BOGALUSA FT-DAIRYMAN/COVINGTON P	95	7328	SYSTEM 	78	0					
P	M2	SAN AUGUSTINE CP #1	95	22602	SYSTEM 	4337	0					
P	M2	SHELL: N. TERREBONNE PLANT RESIDUE	95	165	SYSTEM 	2838	0					
P	MQ	SOUTHWEST LA AGGREGATE 06	95	6624	SYSTEM 	30212	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	31209	0					
P	M2	VENICE PLT (FROM TARGA MIDSTREAM)	95	464	SYSTEM 	4738	0					
D	CENTERPOINT ENERGY RESOURCES CORP.	46700779	N	NNS	35485	6/1/2008	4/30/2023		N	169936	0	
A	BP ENERGY COMPANY	N										
P	M2	BECKVILLE (FROM EGPT TEXAS PL)	95	9641	SYSTEM 	2688	0					
P	MQ	BULLARD CITY GATE	95	561	SYSTEM 	1111	0					
P	MQ	CARTHAGE AGGREGATE SLN - ENTEX	95	6630	SYSTEM 	903	0					
P	MQ	CENTER AGGREGATE SLN - ENTEX	95	6646	SYSTEM 	4606	0					
P	MQ	COLMESNEIL AGGREGATE SLN - ENTEX	95	6645	SYSTEM 	82	0					
P	MQ	CROCKETT AGGREGATE SLN - ENTEX	95	6631	SYSTEM 	5455	0					
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	4705	0					
P	M2	DEEP LAKE (FROM NGPL)	95	3263	LAKE CHARLES 	11991	0					
P	M2	DISCOVERY GAS TRANSMISSION	95	21805	SYSTEM 	3361	0					
P	MQ	DIXIE LAKE (TO ENTEX)	95	20459	SYSTEM 	6	0					
P	M2	FLOMATON-(FLORIDA GAS CROSSOVER)	95	2926	SYSTEM 	5349	0					
P	M2	FT BEND (FROM ATMOS PIPELINE TX)	95	9345	SYSTEM 	1180	0					
