H	SOUTHERN NATURAL GAS COMPANY L.L.C.	C000021	4/2/2018	O	4/1/2018	T	T	Sherry Noack 713-420-3764				
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	4224					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	1609					
D	"GORDO, TOWN OF"	15617210	N	CSS	451508-MCSSSNG-451512	11/1/1993	8/31/2016	365	N	0	30616	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	618					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	235					
D	"GRANTVILLE, CITY OF"	69223840	N	CSS	451518-MCSSSNG-451525	11/1/1993	8/31/2016	365	N	0	4791	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	97					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	37					
D	"GRANTVILLE, CITY OF"	69223840	N	CSS	451518-MCSSSNG-451526	11/1/1993	8/31/2016	365	N	0	4791	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	97					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	37					
D	"GRANTVILLE, CITY OF"	69223840	N	CSS	451518-MCSSSNG-451527	11/1/1993	8/31/2016	365	N	0	4791	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	97					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	37					
D	GRAYSVILLE MUNICIPAL GAS SYSTEM	1513993	N	CSS	451536-MCSSSNG-451541	11/1/1993	8/31/2016	365	N	0	240790	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	4862					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	1852					
D	"HAVANA, TOWN OF"	80686694	N	CSS	451557-MCSSSNG-451561	11/1/1993	8/31/2016	365	N	0	22736	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	459					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	175					
D	"HAWKINSVILLE, CITY OF"	942454869	N	CSS	451565-MCSSSNG-451569	11/1/1993	8/31/2016	365	N	0	48707	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	984					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	375					
D	"HOGANSVILLE, CITY OF"	24373177	N	CSS	451585-MCSSSNG-451593	11/1/1993	8/31/2016	365	N	0	51672	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1043					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	397					
D	"JACKSONVILLE, CITY OF"	884399924	N	CSS	451807-MCSSSNG-451811	11/1/1993	8/31/2016	365	N	0	81715	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1650					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	629					
D	"JASPER, CITY OF (FLORIDA)"	24767055	N	CSS	451815-MCSSSNG-454647	6/1/2015	8/31/2016	365	N	0	17180	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	347					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	132					
D	"LAFAYETTE, GA., CITY OF"	38916755	N	CSS	451856-MCSSSNG-451862	11/1/1993	8/31/2016	365	N	0	110933	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	2240					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	853					
D	"LAGRANGE, CITY OF"	78105012	N	CSS	451867-MCSSSNG-451872	11/1/1993	8/31/2016	365	N	0	221865	
A	"INTERCONN RESOURCES, LLC"	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	4480					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	1707					
D	"LANETT, CITY OF"	84953280	N	CSS	451879-MCSSSNG-451884	11/1/1993	8/31/2016	365	N	0	85946	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1735					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	661					
D	LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.	78591904	N	CSS	451892-MCSSSNG-451896	4/1/2013	8/31/2016	365	N	0	1453265	
A	"DTE ENERGY TRADING, INC."	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	29345					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	11179					
D	LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.	78591904	N	CSS	451892-MCSSSNG-463737	4/1/2017	8/31/2018	365	N	0	5166	
A	"DTE ENERGY TRADING, INC."	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	104					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	40					
D	"LIVINGSTON, TOWN OF"	602353187	N	CSS	451902-MCSSSNG-451906	11/1/1993	8/31/2016	365	N	0	42984	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	868					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	331					
D	"LOUISVILLE, CITY OF"	26677500	N	CSS	451913-MCSSSNG-451918	11/1/1993	8/31/2016	365	N	0	38334	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	774					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	295					
D	"LUMPKIN, CITY OF"	969005354	N	CSS	451922-MCSSSNG-451926	11/1/1993	8/31/2016	365	N	0	10206	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	206					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	78					
D	"MANCHESTER, CITY OF"	19576776	N	CSS	451939-MCSSSNG-451945	11/1/1993	8/31/2016	365	N	0	44409	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	897					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	342					
D	MARSHALL COUNTY GAS DISTRICT	47865589	N	CSS	451983-MCSSSNG-451991	11/1/1993	8/31/2016	365	N	0	581304	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	11738					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	4472					
D	MARSHALL COUNTY GAS DISTRICT	47865589	N	CSS	451983-MCSSSNG-451992	4/1/2013	3/31/2023		N	0	18050	n1
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	364					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	139					
D	"MILLEN, CITY OF"	79380119	N	CSS	452029-MCSSSNG-452036	11/1/1993	8/31/2016	365	N	0	38753	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	783					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	298					
D	"MONTICELLO, CITY OF"	93384931	N	CSS	452045-MCSSSNG-452051	11/1/1993	8/31/2016	365	N	0	46505	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	939					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	358					
D	"MOULTRIE, GEORGIA"	72477847	N	CSS	452062-MCSSSNG-454668	6/1/2015	8/31/2016	365	N	0	82777	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1671					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	637					
D	"MULGA, TOWN OF"	867176091	N	CSS	452072-MCSSSNG-452075	11/1/1993	8/31/2016	365	N	0	48421	
A	"INTERCONN RESOURCES, LLC"	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	978					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	373					
D	"NASHVILLE, GEORGIA"	104583299	N	CSS	452147-MCSSSNG-454690	6/1/2015	8/31/2016	365	N	0	16211	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	327					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	125					
D	NORTHWEST ALABAMA GAS DISTRICT	48894711	N	CSS	452231-MCSSSNG-452235	11/1/1993	8/31/2016	365	N	0	107443	
A	"INTERCONN RESOURCES, LLC"	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	2170					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	827					
D	"OCILLA, CITY OF"	96633490	N	CSS	452245-MCSSSNG-452249	11/1/1993	8/31/2016	365	N	0	13919	
A	CITY SERVICES	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	281					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	107					
D	"ONEONTA, CITY OF"	622133221	N	CSS	452271-MCSSSNG-452276	11/1/1993	8/31/2016	365	N	0	94550	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1909					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	727					
D	"PELHAM, CITY OF"	21337225	N	CSS	452306-MCSSSNG-454707	6/1/2015	8/31/2016	365	N	0	23511	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	475					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	181					
D	"PERRY, CITY OF"	80940869	N	CSS	452326-MCSSSNG-454709	6/1/2015	8/31/2016	365	N	0	92654	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1871					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	713					
D	PICKENS COUNTY GAS DISTRICT	614668234	N	CSS	452344-MCSSSNG-452348	11/1/1993	8/31/2016	365	N	0	54065	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1092					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	416					
D	"PIEDMONT, CITY OF"	195117577	N	CSS	452353-MCSSSNG-452358	11/2/1993	8/31/2016	365	N	0	63234	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1277					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	486					
D	"QUINCY, CITY OF"	93596070	N	CSS	452383-MCSSSNG-452387	11/1/1993	8/31/2016	365	N	0	76208	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1539					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	586					
D	"QUITMAN, CITY OF"	33449109	N	CSS	452392-MCSSSNG-452396	11/1/1993	8/31/2016	365	N	0	39330	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	794					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	302					
D	"RICHLAND, CITY OF"	27044148	N	CSS	452425-MCSSSNG-452428	11/1/1993	8/31/2016	365	N	0	7192	
A	CITY SERVICES	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	145					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	55					
D	"ROXIE, TOWN OF"	19703321	N	CSS	452438-MCSSSNG-452440	11/1/1993	8/31/2016	365	N	0	12034	
A	ATMOS ENERGY CORPORATION - MISS DIVISION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	243					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	93					
D	"SCOTTSBORO, CITY OF"	137348637	N	CSS	452623-MCSSSNG-452629	11/1/1993	8/31/2016	365	N	0	78792	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1591					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	606					
D	"SHELLMAN, CITY OF"	171162142	N	CSS	452673-MCSSSNG-452676	11/1/1993	8/31/2016	365	N	0	5330	
A	CITY SERVICES	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	108					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	41					
D	SOUTH CAROLINA ELECTRIC & GAS COMPANY	7919517	N	CSS	452612-MCSSSNG-452619	11/1/2006	8/31/2018	365	N	0	4908848	
P	WR	SNG STORAGE	95	677777	Zone 0	0	99121					
