H	"PANHANDLE EASTERN PIPE LINE COMPANY, LP"	C000250	4/2/2018	O	4/1/2018	T	T	IRMA JARRETT (713) 989-7679				
D	AMEREN ILLINOIS COMPANY	6936017	N	EFT	16216	4/1/1999	3/31/2021		N	45000		
A	AMEREN ILLINOIS COMPANY	N										
P	M2	PHILLIPS HANSFORD RESIDUE - WIT	95	9900	FLD	30000						
P	M2	SATANTA / RICHFIELD CTM	95	13236	FLD	10000						
P	M2	TRANSWESTERN - SNEED	95	7011	FLD	5000						
P	MQ	AMEREN ILLINOIS	95	PEAIC	MKT	45000						
D	AMEREN ILLINOIS COMPANY	6936017	N	EFT	22633	8/1/2008	7/31/2018		N	10000		
P	M2	PANHANDLE BOURBON	95	PBRBN	MKT	10000						
P	MQ	AMEREN ILLINOIS	95	PEAIC	MKT	10000						
D	AMEREN ILLINOIS COMPANY	6936017	N	EFT	26857	4/1/2010	3/31/2036		N	8000		
A	AMEREN ILLINOIS COMPANY	N										
P	M2	WESTANA POINT	95	WTANA	FLD	8000						
P	MQ	AMEREN ILLINOIS	95	PEAIC	MKT	8000						
D	AMEREN ILLINOIS COMPANY	6936017	N	EFT	44853	4/1/2015	3/31/2023		N	10000		
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	10000						
P	MQ	AMEREN ILLINOIS	95	PEAIC	MKT	10000						
D	"AMERICAN MUNICIPAL POWER, INC."	105687560	N	EFT	25129	4/1/2010	10/31/2022		N	40000		
A	"THE ENERGY AUTHORITY, INC."	N										
P	M2	PANHANDLE BOURBON	95	PBRBN	MKT	40000						
P	MQ	FREMONT PLANT - AMERICAN MUNICIPAL	95	9860	MKT	40000						
D	"AMERICAN MUNICIPAL POWER, INC."	105687560	N	EFT	36854	11/12/2012	10/31/2022		N	30000		
A	"THE ENERGY AUTHORITY, INC."	N										
P	M2	HANSFORD HINSHAW 200 INTERCONNECT -	95	41416	FLD	30000						
P	MQ	FREMONT PLANT - AMERICAN MUNICIPAL	95	9860	MKT	30000						
D	"AMERICAN MUNICIPAL POWER, INC."	105687560	N	EFT	44496	11/1/2015	10/31/2025		N	10000		
A	"THE ENERGY AUTHORITY, INC."	N										
P	M2	LEBANON LATERAL	95	2821	MKT	10000						
P	MQ	FREMONT PLANT - AMERICAN MUNICIPAL	95	9860	MKT	10000						
D	ARCHER DANIELS MIDLAND COMPANY	1307586	N	EFT	11651	5/1/1993	3/31/2019		N	26700		
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	25000						
P	M2	SUPERIOR PLANT	95	41417	FLD	1700						
P	MQ	ADM WORLD - UNION ELECTRIC DEDUCT	95	9500	MKT	870						
P	MQ	AMEREN ILLINOIS	95	PEAIC	MKT	22030						
P	MQ	INDIANA GAS	95	INGAS	MKT	3800						
D	ARDAGH GLASS INC.	927756882	N	EFT	12006	5/1/1993	4/30/2020		N	3800		
A	ACCENTURE L.P.	N										
P	M2	NGPL MOULTRIE COUNTY	95	NGPLM	MKT	3800						
P	MQ	ARDAGH GLASS	95	2500	MKT	3800						
D	"ARKALON ETHANOL, LLC"	784984085	N	EFT	23488	12/1/2007	3/31/2019		N	7600		
A	"KINECT ENERGY, INC."	N										
P	M2	ENABLE OKLAHOMA - BECKHAM	95	40466	FLD	3250						
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	4350						
P	MQ	HANSFORD 100 - ARKALON ENERGY	95	41383	FLD	7600						
D	"ASTRAL INDUSTRIES, INC."	62816293	N	EFT	11464	5/1/1993	8/31/2022		N	120		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	HT - DUKE ENERGY TRADING AND MARKET	95	H0004	FLD	120						
P	MQ	ASTRAL INDUSTRIES	95	2829	MKT	120						
D	ATMOS ENERGY CORPORATION	108203241	N	SCT	11478	5/1/1993	3/31/2022		N	300		
P	M2	PRAFFORD GAS SYSTEM	95	40877	FLD	300						
P	MQ	CITY OF HAZELTON - ATMOS ENERGY	95	2254	FLD	300						
D	ATMOS ENERGY CORPORATION	108203241	N	EFT	43780	11/1/2014	3/31/2022		N	10100		
P	M2	CRESCENDO - ETC FIELD SERVICES	95	40524	FLD	2600						
P	M2	HANSFORD HINSHAW 200 INTERCONNECT -	95	41416	FLD	5000						
P	M2	TRANSWESTERN - SNEED	95	7011	FLD	2500						
P	MQ	SPIVEY - KPC PIPELINE	95	12657	FLD	10100						
D	ATMOS ENERGY CORPORATION	108203241	N	EFT	44887	11/1/2015	3/31/2022		N	5050		
P	M2	BAKER - CIMARRON RIVER PIPELINE	95	13216	FLD	5050						
P	MQ	PAOLA T&E - KPC PIPELINE	95	5241	MKT	5050						
D	BASF CORPORATION	1307032	N	EFT	22793	11/1/2008	3/31/2020		N	10500		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	10500						
P	MQ	PALMYRA 2 - BASF	95	2310	MKT	10500						
D	BLACK HILLS UTILITY HOLDINGS INC.	809024784	N	SCT	14738	4/1/1996	10/31/2020		N	5000		
A	BLACK HILLS UTILITY HOLDINGS INC.	N										
P	M2	CRESCENDO - ETC FIELD SERVICES	95	40524	FLD	5000						
P	MQ	BLACK HILLS UTILITY FARM TAP - DS H	95	41080	MKT	520						
P	MQ	BLACK HILLS UTILITY FARM TAP - TRAN	95	41082	FLD	980						
P	MQ	BLACK HILLS UTILITY HOLDINGS	95	1285	MKT	20						
P	MQ	BLACK HILLS UTILITY IRRIG - TRANSM	95	41078	FLD	3480						
D	BLACK HILLS UTILITY HOLDINGS INC.	809024784	N	EFT	41095	3/1/2014	10/31/2020		N	12500		
P	M2	CIG PAN BAKER EXCHANGE - WIT	95	6235	FLD	12500						
P	MQ	CITY OF LIBERAL	95	41414	FLD	12500						
D	BLACK HILLS UTILITY HOLDINGS INC.	809024784	N	FS	41096	3/1/2014	10/31/2020		N		312000	
P	IJ	BLACK HILLS UTILITY HOLDINGS INC. -	95	61447	FLD		3000					
P	WR	BLACK HILLS UTILITY HOLDINGS INC. -	95	61447	FLD		6000					
D	"BLUEMARK ENERGY, LLC"	79355972	N	EFT	49903	10/1/2016	4/30/2018		N	100		
P	M2	MID CONTINENT MARKET	95	40647	MKT	100						
P	MQ	BLUE MARK ENERGY - UNION ELECTRIC D	95	9517	MKT	100						
D	BP CANADA ENERGY MARKETING CORP.	248799413	N	EFT	24759	11/1/2008	10/31/2018		N	3000		
P	M2	WOODS COUNTY PLANT - SEMGAS	95	41384	FLD	3000						
P	MQ	AMEREN ILLINOIS	95	PEAIC	MKT	3000						
D	BP CANADA ENERGY MARKETING CORP.	248799413	N	EFT	54648	4/1/2018	10/31/2018		N	20000		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	20000						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	20000						
D	CERRO FLOW PRODUCTS LLC	928701028	N	EFT	13613	2/1/1996	1/31/2019		N	600		
A	"CLEARWATER ENTERPRISES, LLC"	N										
P	M2	LIGHT SYSTEM DEMARCATION	95	LIGHT	FLD	500						
P	M2	PHILLIPS - CIMARRON	95	2428	FLD	100						
P	MQ	CERRO COPPER CASTING PLANT	95	9216	MKT	600						
D	CITIZENS ENERGY GROUP	6421481	N	IOS	11701	5/1/1993	3/31/2029		N		100000	
A	CITIZENS ENERGY GROUP	N										
P	IJ	CITIZENS ENERGY GROUP - IOS	95	66014	FLD		500					
P	WR	CITIZENS ENERGY GROUP - IOS	95	66014	FLD		1000					
D	CITIZENS ENERGY GROUP	6421481	N	EFT	11721	5/1/1993	3/31/2034		N	27776		
A	CITIZENS ENERGY GROUP	N										
P	M2	CIG PAN BAKER EXCHANGE - WIT	95	6235	FLD	5556						
P	M2	KP&L	95	KPOWR	FLD	16665						
P	M2	SNEED - SCOUT ENERGY	95	12724	FLD	5555						
P	MQ	CITIZENS ENERGY GROUP	95	CITGC	MKT	27775						
P	MQ	INDIANA GAS	95	INGAS	MKT	1						
D	CITIZENS ENERGY GROUP	6421481	N	WS	12008	5/1/1993	3/31/2034		N		6148500	
A	CITIZENS ENERGY GROUP	N										
P	IJ	CITIZENS ENERGY GROUP - WS	95	66240	MKT		30742					
P	WR	CITIZENS ENERGY GROUP - WS	95	66240	MKT		61485					
D	CITIZENS ENERGY GROUP	6421481	N	EFT	12009	5/1/1993	3/31/2034		N	31368		
A	CITIZENS ENERGY GROUP	N										
P	M2	CITIZENS ENERGY GROUP	95	CITGC	MKT	31368						
P	MQ	CITIZENS ENERGY GROUP - WS	95	66240	MKT	31367						
P	MQ	INDIANA GAS	95	INGAS	MKT	1						
D	CITIZENS ENERGY GROUP	6421481	N	EFT	12055	5/1/1993	3/31/2022		N	5687		
A	CITIZENS ENERGY GROUP	N										
P	M2	KP&L	95	KPOWR	FLD	5687						
P	MQ	CITIZENS ENERGY GROUP	95	CITGC	MKT	5686						
P	MQ	INDIANA GAS	95	INGAS	MKT	1						
D	CITIZENS ENERGY GROUP	6421481	N	EFT	22888	9/1/2007	3/31/2022		N	5000		
A	"EXELON GENERATION COMPANY, LLC"	N										
P	M2	ENABLE OKLAHOMA - BECKHAM	95	40466	FLD	2665						
P	M2	ENABLE OKLAHOMA - CARPENTER	95	40555	FLD	2335						
P	MQ	CITIZENS ENERGY GROUP	95	CITGC	MKT	5000						
D	CITY OF AUBURN	33521386	N	SCT	11475	5/1/1993	3/31/2021		N	2100		
A	UTILITY GAS MANAGEMENT	N										
P	M2	HT - CONSTELLATION NEWENERGY - GAS	95	H0174	FLD	2100						
P	MQ	CITY OF AUBURN	95	2129	MKT	2100						
D	CITY OF BUSHNELL	32703001	N	SCT	11533	5/1/1993	3/31/2021		N	3250		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	HT - OCCIDENTAL ENERGY MARKETING	95	H0074	FLD	1083						
P	M2	HT - VESTA ENERGY #2	95	H0065	FLD	1083						
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	1084						
P	MQ	CITY OF BUSHNELL	95	2296	MKT	3250						
D	CITY OF BUSHNELL	32703001	N	SCT	16064	10/1/1998	3/31/2023		N	3250		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	ANR DEFIANCE	95	ANRDF	MKT	3250						
P	MQ	CITY OF BUSHNELL	95	2296	MKT	3250						
D	CITY OF CLARENCE	65185662	N	SCT	11476	5/1/1993	3/31/2020		N	262		
A	MUNICIPAL GAS COMMISSION OF MISSOURI	N										
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	262						
P	MQ	CITY OF CLARENCE	95	5060	MKT	262						
D	"CITY OF FULTON, MO"	86818200	N	SCT	11477	5/1/1993	3/31/2020		N	9999		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	HT - PROLIANCE ENERGY	95	H0414	FLD	9999						
P	MQ	CITY OF FULTON	95	776	MKT	9999						
D	CITY OF GRUVER	21933510	N	SCT	11636	5/1/1993	3/31/2019		N	1000		
A	"WEST TEXAS GAS, INC."	N										
P	M2	CIG PAN BAKER EXCHANGE - WIT	95	6235	FLD	1000						
P	MQ	CITY OF GRUVER	95	425	FLD	1000						
D	CITY OF HERMANN	11177235	N	SCT	11479	5/1/1993	3/31/2020		N	3750		
A	UTILITY GAS MANAGEMENT	N										
P	M2	HT - WESTAR GAS	95	H0313	FLD	3750						
P	MQ	CITY OF HERMANN	95	2304	MKT	3750						
D	CITY OF LACYGNE	162029839	N	SCT	11480	5/1/1993	3/31/2020		N	850		
A	KANSAS MUNICIPAL GAS AGENCY	N										
P	M2	HT - CONSTELLATION NEWENERGY - GAS	95	H0174	FLD	850						
P	MQ	CITY OF LACYGNE	95	2233	MKT	850						
D	CITY OF LOUISBURG	960097137	N	SCT	14987	8/1/1996	7/31/2019		N	2600		
A	KANSAS MUNICIPAL GAS AGENCY	N										
P	M2	HT - WESTAR GAS MARKETING	95	H0263	FLD	2600						
P	MQ	CITY OF LOUISBURG	95	LOUIS	MKT	2600						
D	"CITY OF MACON, MO"	42671065	N	SCT	11722	5/1/1993	3/31/2020		N	4500		
A	"KINECT ENERGY, INC."	N										
P	M2	PT - CITY OF MACON	95	P9768	FLD	4500						
P	MQ	CITY OF MACON	95	2154	MKT	4500						
D	CITY OF MADISON	77364128	N	SCT	11481	5/1/1993	3/31/2020		N	400		
A	MUNICIPAL GAS COMMISSION OF MISSOURI	N										
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	400						
P	MQ	CITY OF MADISON	95	5052	MKT	400						
D	CITY OF MONROE CITY	86817871	N	SCT	11495	5/1/1993	3/31/2024		N	3500		
A	MUNICIPAL GAS COMMISSION OF MISSOURI	N										
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	3500						
P	MQ	CITY OF MONROE CITY	95	2251	MKT	3500						
D	CITY OF MONTGOMERY CITY	47387055	N	SCT	11483	5/1/1993	3/31/2020		N	1600		
A	UTILITY GAS MANAGEMENT	N										
P	M2	HT - CNE GAS SUPPLY	95	H0481	FLD	1600						
P	MQ	CITY OF MONTGOMERY CITY	95	2148	MKT	1600						
D	CITY OF PARIS	181717208	N	SCT	11484	5/1/1993	3/31/2019		N	1270		
A	MUNICIPAL GAS COMMISSION OF MISSOURI	N										
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	1270						
P	MQ	CITY OF PARIS	95	2259	MKT	1270						
D	"CITY OF PERRY, MISSOURI"	156339640	N	SCT	11485	5/1/1993	3/31/2022		N	519		
A	MUNICIPAL GAS COMMISSION OF MISSOURI	N										
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	519						
P	MQ	CITY OF PERRY - DEDUCT	95	5051	MKT	519						
D	CITY OF PITTSFIELD	91530030	N	SCT	11486	5/1/1993	3/31/2020		N	3300		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	HT - OCCIDENTAL ENERGY MARKETING	95	H0074	FLD	1100						
P	M2	HT - VESTA ENERGY #2	95	H0065	FLD	1100						
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	1100						
P	MQ	CITY OF PITTSFIELD	95	2026	MKT	3300						
D	CITY OF PITTSFIELD	91530030	N	SCT	16067	10/1/1998	3/31/2020		N	3300		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	ANR DEFIANCE	95	ANRDF	MKT	3300						
P	MQ	CITY OF PITTSFIELD	95	2026	MKT	3300						
D	CITY OF ROODHOUSE	49003528	N	SCT	11487	5/1/1993	3/31/2020		N	1525		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	HT - OCCIDENTAL ENERGY MARKETING	95	H0074	FLD	763						
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	762						
P	MQ	CITY OF ROODHOUSE	95	2027	MKT	1525						
D	CITY OF SHELBINA	45609914	N	SCT	11488	5/1/1993	3/31/2024		N	2000		
A	MUNICIPAL GAS COMMISSION OF MISSOURI	N										
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	2000						
P	MQ	CITY OF SHELBINA	95	2343	MKT	2000						
D	CITY OF WAVERLY	33146754	N	SCT	11493	5/1/1993	3/31/2020		N	1050		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	HT - VESTA ENERGY #1	95	H0033	FLD	1050						
P	MQ	CITY OF WAVERLY	95	2147	MKT	1050						
D	CITY OF WAVERLY	33146754	N	SCT	16069	10/1/1998	3/31/2020		N	1050		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	ANR DEFIANCE	95	ANRDF	MKT	1050						
P	MQ	CITY OF WAVERLY	95	2147	MKT	1050						
D	CITY OF WHITE HALL	70346861	N	SCT	11494	5/1/1993	3/31/2019		N	2200		
A	UTILITY GAS MANAGEMENT	N										
P	M2	HT - ANADARKO TRADING #2	95	H0014	FLD	2200						
P	MQ	CITY OF WHITE HALL	95	2088	MKT	2200						
D	"CITY OF WINCHESTER, ILLINOIS"	84310804	N	SCT	11490	5/1/1993	3/31/2019		N	1450		
A	UTILITY GAS MANAGEMENT	N										
P	M2	HT - ANADARKO TRADING #2	95	H0014	FLD	1450						
P	MQ	CITY OF WINCHESTER	95	2144	MKT	1450						
D	"CLEARWATER ENTERPRISES, LLC"	95421959	N	EFT	39905	12/1/2013	6/30/2018		N	25		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	25						
P	MQ	CLEARWATER ENTERPRISES - UNION ELEC	95	9514	MKT	25						
D	"CNE GAS SUPPLY, LLC"	829868921	N	EFT	43763	11/1/2014	3/31/2019		N	10000		
P	M2	PUTNAM COUNTY - ROCKIES EXPRESS PIP	95	9254	MKT	10000						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	10000						
D	"COLUMBIA GAS OF OHIO, INC."	4773586	N	FS	18601	4/2/2004	3/31/2023		N		2000000	
P	IJ	COLUMBIA GAS OF OHIO - FS	95	66634	MKT		10000					
P	WR	COLUMBIA GAS OF OHIO - FS	95	66634	MKT		26667					
D	"COLUMBIA GAS OF OHIO, INC."	4773586	N	EFT	18604	12/1/2004	3/31/2023		N	0		
P	M2	PANHANDLE BOURBON	95	PBRBN	MKT	0						
P	MQ	COLUMBIA GAS OF OHIO	95	COLOH	MKT	0						
D	"COLUMBIA GAS OF OHIO, INC."	4773586	N	EFT	18605	11/1/2004	3/31/2023		N	15000		
P	M2	CIG PAN BAKER EXCHANGE - WIT	95	6235	FLD	15000						
P	MQ	COLUMBIA GAS OF OHIO	95	COLOH	MKT	15000						
D	"COLUMBIA GAS OF OHIO, INC."	4773586	N	EFT	18606	11/1/2004	3/31/2023		N	10244		
P	M2	COLUMBIA GAS OF OHIO	95	COLOH	MKT	10244						
P	MQ	COLUMBIA GAS OF OHIO - FS	95	66634	MKT	10244						
D	"CONEXUS ENERGY, LLC"	80120548	N	EFT	55482	4/1/2018	4/30/2018		N	20000		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	20000						
P	MQ	NORTHERN NATURAL	95	NNATL	FLD	20000						
D	CONSUMERS ENERGY COMPANY	6959803	N	EFT	18849	4/1/2005	10/31/2023		N	100000		
P	M2	PUTNAM COUNTY - ROCKIES EXPRESS PIP	95	9254	MKT	100000						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	100000						
D	CONSUMERS ENERGY COMPANY	6959803	N	FT	55257	4/1/2018	4/30/2018		N	94663		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	94663						
P	MQ	PANHANDLE BOURBON	95	PBRBN	MKT	94663						
D	DACOTT INDUSTRIES INC.	133639901	N	SCT	18153	4/1/2003	5/31/2020		N	500		
P	M2	ELK CITY PLANT - ENBRIDGE G & P (OK	95	12475	FLD	500						
P	MQ	MISSOURI FARM TAPS	95	9207	MKT	500						
D	"DOMINION ENERGY SOLUTIONS, INC."	129911954	N	EFT	21164	11/1/2006	12/31/2020		N	10000		
P	M2	BAKER - CIMARRON RIVER PIPELINE	95	13216	FLD	10000						
P	MQ	EAST OHIO GAS	95	EOHIO	MKT	10000						
D	"DOMINION ENERGY SOLUTIONS, INC."	129911954	N	EFT	41745	4/1/2014	3/31/2021		N	4000		
P	M2	HANSFORD HINSHAW 200 INTERCONNECT -	95	41416	FLD	4000						
P	MQ	COLUMBIA GAS - CECIL	95	CECIL	MKT	4000						
D	"DTE ENERGY TRADING, INC."	179989231	N	EFT	12782	4/1/1994	3/31/2020		N	10000		
A	"DTE ENERGY TRADING, INC."	N										
P	M2	BAKER - CIMARRON RIVER PIPELINE	95	13216	FLD	10000						
P	MQ	CITIZENS GAS FUEL	95	CITGF	MKT	5000						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	5000						
D	"DTE ENERGY TRADING, INC."	179989231	N	FS	39344	4/1/2014	3/31/2020		N		1000000	
P	IJ	"DTE ENERGY TRADING, INC. - FS"	95	61236	MKT		7500					
P	WR	"DTE ENERGY TRADING, INC. - FS"	95	61236	MKT		20500					
D	"DTE ENERGY TRADING, INC."	179989231	N	EFT	39345	4/1/2014	3/31/2020		N	3000		
P	M2	CITIZENS GAS FUEL	95	CITGF	MKT	3000						
P	MQ	"DTE ENERGY TRADING, INC. - FS"	95	61236	MKT	3000						
D	"DTE ENERGY TRADING, INC."	179989231	N	EFT	52849	11/1/2017	3/31/2019		N	0		
P	M2	JACKSON PIPELINE	95	JACPL	MKT	0						
P	MQ	OHIO GAS	95	OHGAS	MKT	0						
D	"DTE ENERGY TRADING, INC."	179989231	N	EFT	54472	4/1/2018	10/31/2018		N	12000		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	12000						
P	MQ	EQUISTAR PETROCHEMICALS	95	2811	MKT	12000						
D	DTE GAS COMPANY	6958540	N	EFT	17908	11/1/2003	10/31/2028		N	25000		
P	M2	PHILLIPS HANSFORD RESIDUE - WIT	95	9900	FLD	25000						
P	MQ	DTE GAS CO - DETROIT	95	MCON	MKT	25000						
D	DTE GAS COMPANY	6958540	N	FT	18474	4/1/2004	3/31/2029		N	40000		
P	M2	PHILLIPS HANSFORD RESIDUE - WIT	95	9900	FLD	40000						
P	MQ	DTE GAS CO - DETROIT	95	MCON	MKT	40000						
D	DTE GAS COMPANY	6958540	N	FT	45114	11/1/2015	3/31/2020		N	0		
P	M2	MOBIL MOUSER - DCP OPERATING - STRA	95	41296	FLD	0						
P	M2	PHILLIPS - CIMARRON	95	2428	FLD	0						
P	MQ	DTE GAS CO - DETROIT	95	MCON	MKT	0						
D	"DUKE ENERGY CAROLINAS, LLC"	957879984	N	EFT	52260	7/1/2017	6/30/2019		N	1000		
P	M2	DCP OPERATING - KINGFISHER	95	10632	FLD	1000						
P	MQ	PANHANDLE BOURBON	95	PBRBN	MKT	1000						
D	"DUKE ENERGY INDIANA, INC."	6939540	N	EFT	42531	6/1/2014	10/31/2019		N	25000		
P	M2	LEBANON LATERAL	95	2821	MKT	25000						
P	MQ	INDIANA GAS - CAYUGA	95	2825	MKT	3500						
P	MQ	NOBLESVILLE PLANT - DUKE ENERGY IND	95	2861	MKT	21500						
D	EAST OHIO GAS COMPANY	7900475	N	EFT	21456	11/1/2007	3/31/2021		N	29000		
P	M2	LAKIN-SUBLETTE RECEIPT - WTG HUGOTO	95	41377	FLD	10000						
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	9000						
P	M2	PLAINS LINE DEMARCATION	95	PLAIN	FLD	10000						
P	MQ	EAST OHIO GAS	95	EOHIO	MKT	29000						
D	EMERA ENERGY SERVICES INC.	101069263	N	EFT	41507	11/1/2014	10/31/2019		N	20000		
P	M2	PUTNAM COUNTY - ROCKIES EXPRESS PIP	95	9254	MKT	20000						
P	MQ	UNION OJIBWAY - WAYNE COUNTY	95	UNION	MKT	20000						
D	EMERA ENERGY SERVICES INC.	101069263	N	EFT	55481	4/1/2018	4/30/2018		N	50000		
P	M2	ROVER FALCON	95	RFALC	MKT	50000						
P	MQ	UNION OJIBWAY - WAYNE COUNTY	95	UNION	MKT	50000						
D	EMPIRE DISTRICT GAS COMPANY (THE)	625371880	N	FS	17004	4/1/2000	10/31/2018		N		800000	
A	EMPIRE DISTRICT GAS COMPANY (THE)	N										
P	IJ	EMPIRE DISTRICT GAS - FS	95	66602	FLD		6000					
P	WR	EMPIRE DISTRICT GAS - FS	95	66602	FLD		8700					
D	EMPIRE DISTRICT GAS COMPANY (THE)	625371880	N	EFT	17005	11/1/2000	10/31/2018		N	9000		
A	EMPIRE DISTRICT GAS COMPANY (THE)	N										
P	M2	CRESCENDO - ETC FIELD SERVICES	95	40524	FLD	2250						
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	2250						
P	M2	TALLGRASS GRANT #1	95	9223	FLD	2250						
P	M2	TRANSWESTERN - SNEED	95	7011	FLD	2250						
P	MQ	EMPIRE DISTRICT GAS	95	EMPIR	MKT	9000						
D	ENABLE ENERGY RESOURCES LLC	188781421	N	EFT	55387	4/1/2018	4/30/2018		N	30615		
P	M2	ENABLE OKLAHOMA - BECKHAM	95	40466	FLD	30615						
P	MQ	NORTHERN NATURAL	95	NNATL	FLD	30615						
D	"ENCORE ENERGY SERVICES, INC."	963870089	N	EFT	50899	3/1/2017	3/31/2020		N	650		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	650						
P	MQ	BELA FLOR NURSERIES DEDUCT	95	9519	MKT	650						
D	"ETC MARKETING, LTD."	124416152	Y	EFT	54713	4/1/2018	10/31/2018		N	9700		
P	M2	TRANSWESTERN - SNEED	95	7011	FLD	9700						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	9700						
D	"ETC MARKETING, LTD."	124416152	Y	EFT	55166	4/1/2018	10/31/2019		N	30300		
P	M2	TRANSWESTERN - SNEED	95	7011	FLD	30300						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	30300						
D	"EXELON GENERATION COMPANY, LLC"	196748938	N	EFT	55676	4/1/2018	4/30/2018		N	2700		
P	M2	PUTNAM COUNTY - ROCKIES EXPRESS PIP	95	9254	MKT	2700						
P	MQ	OWENS-BROCKWAY GLASS CONTAINER	95	2595	MKT	2700						
