H	Northern Natural Gas Company	C000060	4/2/2018	O	4/1/2018	B	B	Laura Demman (402) 398-7278				
D	AGRA RESOURCES LLC	9905530	N	TF_M_4_10	109564	4/1/2018	10/31/2018		N	2775	0	k6/k7
A	"ETHANOL PRODUCTS, LLC"	N										
P	M2	TBPL/NNG BEATRICE	95	1318	Market	2775	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TF_M_1_12	104743	11/1/1998	10/31/2022		N	600	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG WELCOME	95	1665	Market	600	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	600	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	600	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TFX_M_1_12	113104	4/1/2007	3/31/2022		N	250	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG WELCOME	95	1665	Market	250	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	250	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	250	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TF_M_1_1	124420	11/1/2012	10/31/2019		N	300	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	300	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	300	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	300	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TF_M_10_10	124420	11/1/2012	10/31/2019		N	210	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	210	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	210	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	210	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TF_M_11_11	124420	11/1/2012	10/31/2019		N	300	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	300	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	300	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	300	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TF_M_12_12	124420	11/1/2012	10/31/2019		N	300	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	300	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	300	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	300	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TF_M_2_2	124420	11/1/2012	10/31/2019		N	300	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	300	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	300	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	300	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TF_M_3_3	124420	11/1/2012	10/31/2019		N	300	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	300	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	300	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	300	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TF_M_4_4	124420	11/1/2012	10/31/2019		N	210	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	210	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	210	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	210	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TF_M_5_5	124420	11/1/2012	10/31/2019		N	210	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	210	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	210	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	210	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TF_M_6_6	124420	11/1/2012	10/31/2019		N	210	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	210	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	210	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	210	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TF_M_7_7	124420	11/1/2012	10/31/2019		N	210	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	210	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	210	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	210	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TF_M_8_8	124420	11/1/2012	10/31/2019		N	210	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	210	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	210	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	210	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TF_M_9_9	124420	11/1/2012	10/31/2019		N	210	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	210	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	210	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	210	0					
D	"AGRI-ENERGY, LLC"	797692639	N	TFX_M_1_12	129930	11/13/2015	10/31/2021		N	100	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG ABERDEEN	95	193	Market	100	0					
P	MQ	ZONE EF CENTERPOINT ENERGY MINNESOTA GAS	95	3026	Market	100	0	yi1				
P	MQ	LUVERNE MN #1	95	1358	Market	100	0					
D	AGROPUR INC.	351442306	N	TF_M_1_12	119089	11/17/2015	3/31/2020		N	100	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG WELCOME	95	1665	Market	100	0					
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	100	0	yi1				
P	MQ	HULL IA #1	95	3297	Market	100	0					
D	AGROPUR INC.	351442306	N	TF_M_1_12	119124	11/17/2015	10/31/2019		N	600	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG WELCOME	95	1665	Market	600	0					
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	600	0	yi1				
P	MQ	HULL IA #1	95	3297	Market	600	0					
D	AGROPUR INC.	351442306	N	TFX_M_1_12	119978	11/17/2015	10/31/2018		N	980	0	k6/o4
A	"KINECT ENERGY, INC."	N										
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	490	0	yi1				
P	MQ	HULL IA #1	95	3297	Market	490	0	O4				
D	AGROPUR INC.	351442306	N	TFX_M_11_3	119978	11/17/2015	10/31/2018		N	490	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG WELCOME	95	1665	Market	490	0					
D	AGROPUR INC.	351442306	N	TFX_M_4_10	119978	11/17/2015	10/31/2018		N	490	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG WELCOME	95	1665	Market	490	0					
D	AGROPUR INC.	351442306	N	TFX_M_1_12	121532	12/1/2017	9/30/2024		N	910	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	910	0					
P	MQ	ZONE ABC-NORTHWESTERN	95	3096	Market	910	0	yi1				
P	MQ	BROOKINGS SD #1	95	4086	Market	910	0					
D	AL-CORN CLEAN FUEL	883092215	N	TF_M_1_12	24192	7/1/2010	10/31/2020		N	1450	0	k6/o4
A	"KINECT ENERGY, INC."	N										
P	MQ	AL-CORN TBS #1	95	62497	Market	1450	0	O4				
D	AL-CORN CLEAN FUEL	883092215	N	TF_M_11_3	24192	7/1/2010	10/31/2020		N	1450	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	1110	0					
P	M2	GRLKS/NNG CARLTON	95	388	Market	90	0					
P	M2	NBPL/NNG WELCOME	95	1665	Market	250	0					
D	AL-CORN CLEAN FUEL	883092215	N	TF_M_4_10	24192	7/1/2010	10/31/2020		N	1450	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	1450	0					
D	AL-CORN CLEAN FUEL	883092215	N	TF_M_1_12	106443	7/1/2010	10/31/2022		N	250	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	250	0					
P	MQ	AL-CORN TBS #1	95	62497	Market	250	0					
D	AL-CORN CLEAN FUEL	883092215	N	TF_M_1_12	109566	7/1/2010	11/30/2020		N	200	0	k6/o4
A	"KINECT ENERGY, INC."	N										
P	MQ	AL-CORN TBS #1	95	62497	Market	200	0	O4				
D	AL-CORN CLEAN FUEL	883092215	N	TF_M_11_3	109566	7/1/2010	11/30/2020		N	200	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	184	0					
P	M2	GRLKS/NNG CARLTON	95	388	Market	16	0					
D	AL-CORN CLEAN FUEL	883092215	N	TF_M_4_10	109566	7/1/2010	11/30/2020		N	200	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	200	0					
D	AL-CORN CLEAN FUEL	883092215	N	TF_M_1_12	110261	7/1/2010	10/31/2019		N	1380	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	1380	0					
P	MQ	AL-CORN TBS #1	95	62497	Market	1380	0					
D	AL-CORN CLEAN FUEL	883092215	N	TF_M_1_12	110363	7/1/2010	10/31/2020		N	112	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	112	0					
P	MQ	AL-CORN TBS #1	95	62497	Market	112	0					
D	AL-CORN CLEAN FUEL	883092215	N	TFX_M_1_12	114009	4/1/2008	3/31/2023		N	850	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	850	0					
P	MQ	AL-CORN TBS #1	95	62497	Market	850	0					
D	AL-CORN CLEAN FUEL	883092215	N	TF_M_1_12	130997	11/1/2017	10/31/2023		Y	5258	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	5258	0					
P	MQ	AL-CORN TBS #1	95	62497	Market	5258	0					
D	ALTON MUNICIPAL UTILITIES	426004209	N	TFX_M_10_10	121511	11/1/2010	10/31/2035		N	400	0	k6/k7
A	CLAYTON ENERGY CORPORATION	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	400	0					
P	MQ	ALTON IA #1	95	3667	Market	400	0					
D	ALTON MUNICIPAL UTILITIES	426004209	N	TFX_M_11_3	121511	11/1/2010	10/31/2035		N	550	0	k6/k7
A	CLAYTON ENERGY CORPORATION	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	550	0					
P	MQ	ALTON IA #1	95	3667	Market	550	0					
D	ALTON MUNICIPAL UTILITIES	426004209	N	TFX_M_4_9	121511	11/1/2010	10/31/2035		N	50	0	k6/k7
A	CLAYTON ENERGY CORPORATION	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	50	0					
P	MQ	ALTON IA #1	95	3667	Market	50	0					
D	ARCHER DANIELS MIDLAND COMPANY	1307586	N	TF_M_1_12	113380	10/1/2008	10/31/2023		Y	24000	0	k6/o4
P	MQ	COLUMBUS #4 (ARCHER DANIELS MIDLAND)	95	57266	Market	24000	0	O4				
D	ARCHER DANIELS MIDLAND COMPANY	1307586	N	TF_M_11_3	113380	10/1/2008	10/31/2023		Y	24000	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	23450	0					
P	M2	GRLKS/NNG CARLTON	95	388	Market	550	0					
D	ARCHER DANIELS MIDLAND COMPANY	1307586	N	TF_M_4_10	113380	10/1/2008	10/31/2023		Y	24000	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	24000	0					
D	ARM ENERGY MANAGEMENT LLC	78609451	N	TFX_F_1_12	132603	11/1/2017	10/31/2018		Y	50000	0	k6/k7
P	M2	OASIS/NNG WAHA	95	62148	Field	50000	0					
P	MQ	NNG FIELD/MKT DEMARCATION -16B	95	37654	Field	50000	0					
D	ATMOS ENERGY CORPORATION	108203241	N	TFX_F_1_12	126665	4/1/2018	3/31/2020		N	20000	0	k6/k7
A	"HARTREE PARTNERS, LP"	N	ye5									
P	M2	TARGA MONUMENT PLANT LEA CO (R)	95	6332	Field	2000	0					
P	M2	TARGA EUNICE PLANT	95	6751	Field	3000	0					
P	M2	DCP FULLERTON PLANT	95	36511	Field	5000	0					
P	M2	OASIS/NNG WAHA	95	62148	Field	5000	0					
P	M2	KINDER MORGAN KEYSTONE STORAGE WINKLER	95	78353	Field	5000	0					
P	MQ	MW POWERTEX HOCKLEY	95	2568	Field	1100	0					
P	MQ	NNG FIELD/MKT DEMARCATION -16B	95	37654	Field	1000	0					
P	MQ	ATMOS ENERGY GAINES COUNTY	95	79128	Field	200	0					
P	MQ	ATMOS ENERGY SHALLOWATER	95	79144	Field	8700	0					
P	MQ	ATMOS SEMINOLE GAINES CO	95	79287	Field	4000	0					
D	ATMOS ENERGY CORPORATION	108203241	N	TFX_F_11_3	126665	4/1/2018	3/31/2020		N	40000	0	k6/k7
P	M2	TARGA MONUMENT PLANT LEA CO (R)	95	6332	Field	3000	0					
P	M2	TARGA EUNICE PLANT	95	6751	Field	2000	0					
P	M2	TW/NNG ESTES WARD	95	61334	Field	6000	0					
P	M2	OASIS/NNG WAHA	95	62148	Field	5000	0					
P	M2	KINDER MORGAN KEYSTONE STORAGE WINKLER	95	78353	Field	24000	0					
P	MQ	NNG FIELD/MKT DEMARCATION -16B	95	37654	Field	4000	0					
P	MQ	ATMOS ENERGY SHALLOWATER	95	79144	Field	25000	0					
P	MQ	ATMOS SEMINOLE GAINES CO	95	79287	Field	6000	0					
P	MQ	ATMOS MIDLAND-STANTON	95	79328	Field	10000	0					
D	ATMOS ENERGY CORPORATION	108203241	N	TFX_F_4_10	126665	4/1/2018	3/31/2020		N	5000	0	k6/o4
P	MQ	ATMOS MIDLAND-STANTON	95	79328	Field	5000	0	O4				
D	AUSTIN UTILITIES	86583866	N	TF_M_1_12	21267	7/1/2000	10/31/2022		N	3570	0	k6/k7
A	BP CANADA ENERGY MARKETING CORP.	N										
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	3570	0					
P	MQ	ZONE E-F-AUSTIN	95	3047	Market	7912	0	yi1				
P	MQ	AUSTIN MN #1	95	2767	Market	4668	0					
P	MQ	AUSTIN MN #1A	95	2768	Market	3244	0					
D	AUSTIN UTILITIES	86583866	N	TF_M_11_3	21267	7/1/2000	10/31/2022		N	8530	0	k6/k7
A	BP CANADA ENERGY MARKETING CORP.	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	6069	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	2461	0					
P	MQ	ZONE E-F-AUSTIN	95	3047	Market	4188	0	yi1				
P	MQ	AUSTIN MN #1	95	2767	Market	2471	0					
P	MQ	AUSTIN MN #1A	95	2768	Market	1717	0					
D	AUSTIN UTILITIES	86583866	N	TF_M_4_10	21267	7/1/2000	10/31/2022		N	4342	0	k6/k7
A	BP CANADA ENERGY MARKETING CORP.	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	4342	0					
D	AUSTIN UTILITIES	86583866	N	TFX_M_11_3	118498	11/1/2011	10/31/2022		N	3000	0	k6/k7
A	BP CANADA ENERGY MARKETING CORP.	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	3000	0					
P	MQ	ZONE E-F-AUSTIN	95	3047	Market	3000	0	yi1				
P	MQ	AUSTIN MN #1	95	2767	Market	1500	0					
P	MQ	AUSTIN MN #1A	95	2768	Market	1500	0					
D	BADGER MINING CORPORATION	93029007	N	TF_M_1_12	122972	4/1/2013	10/31/2022		N	224	0	k6/k7
A	CONSTELLATION ENERGY SERVICES - NATURAL	N										
A	CONSTELLATION NEWENERGY GAS DIV. LLC	N	ye5									
P	M2	VIKING CHISAGO/ISANTI	95	196	Market	224	0					
P	MQ	ZONE E-F-WISCONSIN GAS	95	3123	Market	224	0	yi1				
P	MQ	BLACK RIVER FALLS MASTER METER	95	71439	Market	224	0					
P	MQ	BLACK RIVER FALLS WI #4	95	25288	Market	224	0	yi2				
D	BADGER MINING CORPORATION	93029007	N	TF_M_1_12	122973	11/1/2011	10/31/2022		N	1000	0	k6/k7
A	CONSTELLATION ENERGY SERVICES - NATURAL	N										
A	CONSTELLATION NEWENERGY GAS DIV. LLC	N	ye5									
P	M2	VIKING CHISAGO/ISANTI	95	196	Market	1000	0					
P	MQ	ZONE E-F-WISCONSIN GAS	95	3123	Market	1000	0	yi1				
P	MQ	BLACK RIVER FALLS MASTER METER	95	71439	Market	1000	0					
P	MQ	TAYLOR #2	95	79066	Market	1000	0	yi2				
D	BADGER STATE ETHANOL LLC	807674605	N	TF_M_1_12	108970	5/1/2009	10/31/2022		N	4000	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	4000	0					
P	MQ	BADGER STATE ETHANOL	95	78370	Market	4000	0					
D	BADGER STATE ETHANOL LLC	807674605	N	TF_M_1_12	112555	11/1/2009	10/31/2019		N	250	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	250	0					
P	MQ	BADGER STATE ETHANOL	95	78370	Market	250	0					
D	BADGER STATE ETHANOL LLC	807674605	N	TF_M_1_12	131314	11/1/2016	10/31/2022		N	250	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	250	0					
P	MQ	BADGER STATE ETHANOL	95	78370	Market	250	0					
D	BADGER STATE ETHANOL LLC	807674605	N	TF_M_1_12	131315	4/1/2017	3/31/2023		N	350	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	350	0					
P	MQ	BADGER STATE ETHANOL	95	78370	Market	350	0					
D	BADGER STATE ETHANOL LLC	807674605	N	TF_M_1_12	132379	11/1/2017	10/31/2019		N	600	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	600	0					
P	MQ	BADGER STATE ETHANOL	95	78370	Market	600	0					
D	"BIG RIVER UNITED ENERGY, LLC"	208470931	N	TF_M_1_12	113808	4/1/2011	10/31/2023		N	1463	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	1463	0					
P	MQ	ZONE D-BLACK HILLS	95	3044	Market	6037	0	yi1				
P	MQ	DYERSVILLE IA #2	95	78965	Market	6037	0					
D	"BIG RIVER UNITED ENERGY, LLC"	208470931	N	TF_M_11_3	113808	4/1/2011	10/31/2023		N	7161	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	GRLKS/NNG CARLTON	95	388	Market	891	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	6270	0					
P	MQ	ANR/NNG JANESVILLE	95	180	Market	891	0					
P	MQ	ZONE D-BLACK HILLS	95	3044	Market	1696	0	yi1				
P	MQ	DYERSVILLE IA #2	95	78965	Market	1696	0					
D	"BIG RIVER UNITED ENERGY, LLC"	208470931	N	TF_M_4_10	113808	4/1/2011	10/31/2023		N	4574	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	4574	0					
D	"BIG RIVER UNITED ENERGY, LLC"	208470931	N	TFX_M_1_12	114006	11/1/2008	3/31/2021		N	576	0	k6/k7
A	"KINECT ENERGY, INC."	N										
P	M2	NBPL/NNG VENTURA	95	192	Market	576	0					
P	MQ	ZONE D-BLACK HILLS	95	3044	Market	576	0	yi1				
P	MQ	DYERSVILLE IA #2	95	78965	Market	576	0					
D	"BLACK HILLS GAS DISTRIBUTION, LLC"	796654684	N	TF_M_1_12	21598	11/1/1999	10/31/2023		N	115	0	k6/k7
A	BLACK HILLS ENERGY SERVICES COMPANY	N	ye5									
A	"CENTERPOINT ENERGY SERVICES, INC. (MN)"	N	ye5									
A	"CNE GAS SUPPLY, LLC"	N	ye5									
A	"VISTA ENERGY MARKETING, LP"	N	ye5									
A	WOODRIVER ENERGY LLC	N	ye5									
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	115	0					
P	MQ	KN PIPELINE STA B (WESTERN)	95	25065	Market	115	0					
D	"BLACK HILLS GAS DISTRIBUTION, LLC"	796654684	N	TF_M_11_3	21598	11/1/1999	10/31/2023		N	35	0	k6/k7
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	35	0					
P	MQ	KN PIPELINE STA B (WESTERN)	95	25065	Market	35	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	FDD	23613	6/1/2023	5/31/2044		N	0	1650000	k6/k7
P	IJ	OGDEN DEF. DELIVERY	95	98		0	18154					
P	IJ	DEMARC DEF. - DELIVERY	95	62389		0	1					
P	IJ	MID 13 STORAGE POOLING POINT	95	71330		0	1					
P	IJ	MID 15 STORAGE POOLING POINT	95	71332		0	1					
P	IJ	CIG GARDEN CITY DEF. DELIVERY	95	78903		0	1					
P	WR	OGDEN DEF. DELIVERY	95	98		0	28614					
P	WR	DEMARC DEF. - DELIVERY	95	62389		0	1					
P	WR	MID 13 STORAGE POOLING POINT	95	71330		0	1					
P	WR	MID 15 STORAGE POOLING POINT	95	71332		0	1					
P	WR	CIG GARDEN CITY DEF. DELIVERY	95	78903		0	1					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TFX_M_1_12	110291	2/1/2018	10/31/2018		N	24426	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	24426	0					
P	MQ	ZONE D-BLACK HILLS	95	3044	Market	2500	0	yi1				
P	MQ	ZONE ABC-BLACK HILLS	95	60228	Market	28297	0	yi1				
P	MQ	WEST POINT NE #1	95	1307	Market	630	0					
P	MQ	TEKAMAH NE #1	95	1369	Market	230	0					
P	MQ	CRAIG NE #1	95	1378	Market	34	0					
P	MQ	WAVERLY NE #1	95	1393	Market	295	0					
P	MQ	BEATRICE NE #1	95	1399	Market	2000	0					
P	MQ	BLAIR NE #1	95	1408	Market	302	0					
P	MQ	COLUMBUS NE #1	95	1411	Market	800	0					
P	MQ	MEAD NE #1	95	1448	Market	23	0					
P	MQ	NICKERSON NE #1	95	1454	Market	44	0					
P	MQ	OAKLAND NE #1	95	1458	Market	174	0					
P	MQ	ESTHERVILLE IA #1	95	2811	Market	1018	0					
P	MQ	FREDERICKSBURG IA #1	95	2815	Market	80	0					
P	MQ	NEW HAMPTON IA #1	95	2816	Market	200	0					
P	MQ	MAQUOKETA IA #1	95	2819	Market	632	0					
P	MQ	WAKEFIELD NE #1	95	2840	Market	1057	0					
P	MQ	WAYNE NE #1	95	2841	Market	2430	0					
P	MQ	HOOPER NE #1	95	3745	Market	126	0					
P	MQ	ANDREW IA #1	95	3751	Market	27	0					
P	MQ	BELLEVUE IA #1	95	3754	Market	121	0					
P	MQ	ARNOLDS PARK IA #1	95	3757	Market	839	0					
P	MQ	DELHI IA #1	95	3760	Market	38	0					
P	MQ	DYERSVILLE IA #1	95	3764	Market	308	0					
P	MQ	FARLEY IA #1	95	3770	Market	48	0					
P	MQ	FARNHAMVILLE IA #1	95	3771	Market	100	0					
P	MQ	FOSTORIA IA #1	95	3774	Market	27	0					
P	MQ	GOWRIE IA #1	95	3776	Market	100	0					
P	MQ	MANCHESTER IA #1	95	3796	Market	360	0					
P	MQ	MILES IA #1	95	3799	Market	24	0					
P	MQ	MONTICELLO IA #1	95	3802	Market	187	0					
P	MQ	PAULLINA IA #1	95	3808	Market	145	0					
P	MQ	POCAHONTAS IA #1	95	3810	Market	71	0					
P	MQ	PRIMGHAR IA #1	95	3811	Market	114	0					
P	MQ	ROYAL IA #1	95	3817	Market	50	0					
P	MQ	ST ANSGAR IA #1	95	3818	Market	300	0					
P	MQ	SUPERIOR IA #1	95	3824	Market	16	0					
P	MQ	TERRILL IA #1	95	3825	Market	48	0					
P	MQ	WALLINGFORD IA #1	95	3828	Market	26	0					
P	MQ	ASHLAND NE #1	95	3908	Market	296	0					
P	MQ	ASHLAND NE #3	95	3909	Market	12	0					
P	MQ	BANCROFT NE #1	95	3910	Market	65	0					
P	MQ	EAGLE NE #1	95	3912	Market	92	0					
P	MQ	EMERSON NE #1	95	3916	Market	91	0					
P	MQ	FONTANELLE NE #1	95	3918	Market	1	0					
P	MQ	JACKSON NE #1	95	3923	Market	21	0					
P	MQ	NORTH BEND NE #1A	95	3929	Market	53	0					
P	MQ	TECUMSEH NE #1	95	3941	Market	360	0					
