H	"DOMINION ENERGY OVERTHRUST PIPELINE, LLC"	C001087	4/2/2018	O	4/1/2018	T	T	ERIC LARSON 801-324-2047				
D	"WYOMING INTERSTATE COMPANY, LLC"	30669048	N	FT	4229	7/1/2009	1/31/2023		Y	150000		X4O5
P	MQ	RUBY TOPAZ DELIVERY	95	10030		150000						
P	M2	WIC TO OVERTHRUST	95	10013		150000						
D	"WYOMING INTERSTATE COMPANY, LLC"	30669048	N	FT	4702	5/1/2012	7/31/2021		Y	37857		
P	MQ	RUBY TOPAZ DELIVERY	95	10030		37857						
P	M2	WAMSUTTER (REC)	95	10827		37857						
D	"WYOMING INTERSTATE COMPANY, LLC"	30669048	N	FT	4228	7/1/2009	7/31/2021		Y	75600		X3
P	MQ	RUBY TOPAZ DELIVERY	95	10030		75600						
P	M2	WIC WAMSUTTER (REC)	95	10031		75600						
F	1	"CONTRACT EFFECTIVE DATE IS JULY 1, 2009 AND EXTENDS THROUGH A DATE THAT IS 10 YEARS AFTER THE FIRST DAY OF THE MONTH FOLLOWING THE LATER OF "										
F	1	THE IN-SERVICE DATE OF THE FACILITIES REQUIRED TO PROVIDE THIS SERVICE OR THE IN-SERVICE DATE OF THE EXPANSION OF THE ROCKIES EXPRESS PIPELINE FROM ENTERPRISE MEEKER INTO OVERTHRUST.										
F	2	"THE CONTRACT RDC OF 160,000/DTH/D WILL COMMENCE ON THE LATER OF: (I) THE IN-SERVICE DATE OF THE OVERTHRUST EXPANSION FACILITIES REQUIRED TO PROVIDE THIS SERVICE; AND "										
F	2	"(II) EITHER THE IN-SERVICE DATE OF THE EXPANSION OF THE ROCKIES EXPRESS PIPELINE FROM ENTERPRISE MEEKER INTO OVERTHRUST OR JULY 1, 2010, WHICHEVER IS EARLIER, AND "										
F	2	TERMINATING ON A DATE THAT IS TEN YEARS AFTER THE FIRST DAY OF THE MONTH FOLLOWING THE LATER OF THE IN-SERVICE DATE OF THE OVERTHRUST EXPANSION FACILITIES OR THE REX EXPANSION FACILITIES.										
F	3	"CONTRACT EFFECTIVE DATE IS JULY 1, 2009, AND EXTENDS THROUGH A DATE THAT IS 10 YEARS AFTER THE FIRST DAY OF THE MONTH FOLLOWING THE IN-SERVICE DATE OF THE RUBY PIPELINE FACILITIES."										
F	4	"CONTRACT EFFECTIVE DATE IS JULY 1, 2009 AND EXTENDS THROUGH JANUARY 31, 2023."										
F	5	"THE CONTRACT RDC OF 150,000/DTH/D WILL COMMENCE ON THE LATER OF: (I) THE IN-SERVICE DATE OF THE OVERTHRUST EXPANSION FACILITIES REQUIRED TO PROVIDE THIS SERVICE; "										
F	5	"AND (II) EITHER THE IN-SERVICE DATE OF THE RUBY PIPELINE FACILITIES OR MARCH 31, 2011, WHICHEVER IS EARLIER AND TERMINATING ON JANUARY 31, 2023."										
