H	ANR PIPELINE COMPANY	C000623	4/2/2018	O	4/1/2018	 T 	 T 	 T 	Kay Dennison832-320-5336			
P	MQ	WPSC - GROUP 1                 	95	139258	WI7K	9964	0	0				
D	OHIO VALLEY GAS CORPORATION                                                	6940274	N	NNS  	99517	11/1/1993	3/31/2019	 	N	1500	0	0
A	BP CANADA ENERGY MARKETING CORP.                                           	N										
P	MQ	OHIO VAL-GRP 1                 	95	139236	ME3C	1500	0	0				
D	WISCONSIN PUBLIC SERVICE CORPORATION                                       	7947435	N	FTS-1	104404	4/1/2003	3/31/2019	 	Y	46045	0	0
A	"KOCH ENERGY SERVICES, LLC                                                  "	N										
P	M2	S W HEADSTATION                	95	103702	SW4A	46045	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	46045	0	0				
D	WISCONSIN PUBLIC SERVICE CORPORATION                                       	7947435	N	FTS-1	104405	11/1/2000	3/31/2019	 	Y	0	0	0
P	MQ	FARWELL (DELIVERY)             	95	11616	MI7E	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"CITY OF MURRAY, KENTUCKY                                                   "	956401889	N	FTS-1	104491	11/1/2000	10/31/2020	 	N	150	0	0
A	"CENTERPOINT ENERGY SERVICES, INC.                                          "	N										
P	M2	S E HEADSTATION                	95	103565	SE2A	150	0	0				
P	MQ	MURRAY INTERCONNECT            	95	283195	ME2C	150	0	0				
D	"CENTERPOINT ENERGY SERVICES, INC.                                          "	838611739	N	FTS-1	105424	11/1/2000	10/31/2019	 	N	356	0	0
P	MQ	MENOMINEE FALLS                	95	28834	WI7D	356	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	356	0	0				
D	"CENTERPOINT ENERGY SERVICES, INC.                                          "	838611739	N	FTS-1	105428	11/1/2000	10/31/2019	 	N	2898	0	0
P	MQ	NORTH MADISON                  	95	36868	WI7U	2898	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	2898	0	0				
D	"CENTERPOINT ENERGY SERVICES, INC.                                          "	838611739	N	FTS-1	105429	11/1/2000	10/31/2019	 	N	324	0	0
P	MQ	NEW BERLIN                     	95	28841	WI7D	324	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	324	0	0				
D	"CENTERPOINT ENERGY SERVICES, INC.                                          "	838611739	N	FTS-1	105430	11/1/2000	10/31/2019	 	N	180	0	0
P	MQ	WINCHESTER (WEP SALES)         	95	100052	WI7H	180	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	180	0	0				
D	VERSO MINNESOTA WISCONSIN LLC                                              	945543770	N	FTS-1	106054	4/1/2001	3/31/2019	 	N	8464	0	0
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC                                        "	N										
P	MQ	WISCONSIN RAPIDS               	95	28883	WI7X	8464	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	8464	0	0				
D	MIDLAND COGENERATION VENTURE LIMITED PARTNERSHIP                           	185055373	N	FTS-1	106102	11/1/2001	2/28/2025	 	N	21000	0	0
P	MQ	STAG LAKE(ST JOSEPH CO)        	95	22992	MI7J	21000	0	0				
P	M2	S E HEADSTATION                	95	103565	SE2A	21000	0	0				
D	WISCONSIN PUBLIC SERVICE CORPORATION                                       	7947435	N	FTS-1	106199	6/1/2001	3/31/2019	 	Y	0	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	0	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"NORTHERN STATES POWER COMPANY, A MINNESOTA CORPORATION                     "	6962419	N	FTS-1	106209	5/1/2001	3/31/2021	 	N	4829	0	0
P	MQ	MARSHFIELD/VIKING INT          	95	28873	WI7Q	4829	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	4829	0	0				
D	"NORTHERN STATES POWER COMPANY, A MINNESOTA CORPORATION                     "	6962419	N	FTS-1	106211	5/1/2001	3/31/2021	 	N	5448	0	0
P	M2	MARSHFIELD/VIKING INT          	95	28873	WI7Q	5448	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	5448	0	0				
D	"NORTHERN STATES POWER COMPANY, A MINNESOTA CORPORATION                     "	6962419	N	FSS  	106212	5/1/2001	3/31/2021	 	N	0	948290	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	948290	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	5419	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	15295	0				
D	"THE WEST TENNESSEE PUBLIC UTILITY DISTRICT OF WEAKLEY, CARROLL, AND BENTON "	73525644	N	FTS-1	106308	6/1/2001	3/31/2019	 	N	0	0	0
A	TENNESSEE ENERGY ACQUISITION CORPORATION                                   	N										
P	MQ	GLEASON                        	95	20666	ME2C	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"THE WEST TENNESSEE PUBLIC UTILITY DISTRICT OF WEAKLEY, CARROLL, AND BENTON "	73525644	N	FTS-1	106309	6/1/2001	3/31/2019	 	N	4500	0	0
A	TENNESSEE ENERGY ACQUISITION CORPORATION                                   	N										
P	MQ	GLEASON                        	95	20666	ME2C	4500	0	0				
P	M2	S E HEADSTATION                	95	103565	SE2A	4500	0	0				
D	"THE WEST TENNESSEE PUBLIC UTILITY DISTRICT OF WEAKLEY, CARROLL, AND BENTON "	73525644	N	FTS-1	106310	6/1/2001	3/31/2019	 	N	1592	0	0
A	TENNESSEE ENERGY ACQUISITION CORPORATION                                   	N										
P	M2	S E HEADSTATION                	95	103565	SE2A	1592	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1592	0	0				
D	"THE WEST TENNESSEE PUBLIC UTILITY DISTRICT OF WEAKLEY, CARROLL, AND BENTON "	73525644	N	FSS  	106311	6/1/2001	3/31/2019	 	N	0	277250	0
A	TENNESSEE ENERGY ACQUISITION CORPORATION                                   	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	277250	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1584	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	5545	0				
D	"THE WEST TENNESSEE PUBLIC UTILITY DISTRICT OF WEAKLEY, CARROLL, AND BENTON "	73525644	N	NNS  	106313	6/1/2001	3/31/2019	 	N	1300	0	0
A	TENNESSEE ENERGY ACQUISITION CORPORATION                                   	N										
P	MQ	GLEASON                        	95	20666	ME2C	1300	0	0				
D	WISCONSIN PUBLIC SERVICE CORPORATION                                       	7947435	N	ETS  	106322	6/1/2001	3/31/2019	 	Y	13767	0	0
P	M2	WPSC - GROUP 1                 	95	139258	WI7K	13767	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	13767	0	0				
D	"EXXONMOBIL GAS & POWER MARKETING COMPANY, A DIVISION OF EXXON MOBIL CORPORA"	793763368	N	PTS-2	106776	11/1/2002	12/31/2049	 	Y	260000	0	0
A	EXXON MOBIL CORPORATION                                                    	N										
P	MQ	S E HEADSTATION                	95	103565	SE2A	260000	0	0				
P	M2	GRAND CHENIER/ANR              	95	1250765	SE1F	260000	0	0				
D	"CENTERPOINT ENERGY SERVICES, INC.                                          "	838611739	N	FTS-1	106897	11/1/2001	10/31/2019	 	N	55	0	0
P	MQ	FORT ATKINSON                  	95	28811	WI7W	55	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	55	0	0				
D	"CENTERPOINT ENERGY SERVICES, INC.                                          "	838611739	N	FTS-1	106955	11/1/2001	10/31/2019	 	N	1720	0	0
P	MQ	CAPITOL DRIVE                  	95	28846	WI7D	1720	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	1720	0	0				
D	"CENTERPOINT ENERGY SERVICES, INC.                                          "	838611739	N	FTS-1	107306	1/1/2002	10/31/2019	 	N	468	0	0
P	MQ	MANITOWOC                      	95	28736	WI7M	468	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	468	0	0				
D	VERSO MINNESOTA WISCONSIN LLC                                              	945543770	N	FTS-1	107478	4/1/2002	3/31/2019	 	N	5334	0	0
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC                                        "	N										
P	MQ	STEVENS POINT                  	95	28794	WI7T	5334	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	5334	0	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FSS  	107870	4/1/2003	3/31/2021	 	N	0	1586550	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1586550	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	9066	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	31731	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FSS  	107871	4/1/2003	3/31/2021	 	N	0	837150	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	837150	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	4784	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	16743	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	ETS  	107879	4/1/2003	3/31/2020	 	N	21720	0	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	M2	WISC GAS-GRP 1                 	95	139255	WI7N	21720	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	21720	0	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FSS  	107880	4/1/2003	3/31/2020	 	Y	0	3233900	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	3233900	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	18479	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	64678	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FSS  	107881	4/1/2003	3/31/2020	 	Y	0	613600	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	613600	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	3506	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	30680	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	ETS  	107895	11/1/2003	10/31/2021	 	N	1980	0	0
A	WISCONSIN GAS LLC                                                          	N										
P	M2	JOLIET (NGPL                   	95	2610	MI7F	1980	0	0				
P	MQ	FARWELL (DELIVERY)             	95	11616	MI7E	1980	0	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	ETS  	107896	11/1/2003	10/31/2023	 	Y	0	0	0
A	WISCONSIN GAS LLC                                                          	N										
P	MQ	WISC EPC-GRP 1                 	95	139256	WI7G	0	0	0				
P	M2	WILL COUNTY INT                	95	246067	MI7V	0	0	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	ETS  	107897	11/1/2003	3/31/2021	 	N	12501	0	0
A	WISCONSIN GAS LLC                                                          	N										
P	M2	WISC EPC-GRP 1                 	95	139256	WI7G	12501	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	12501	0	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	ETS  	107898	11/1/2003	3/31/2021	 	N	0	0	0
A	WISCONSIN GAS LLC                                                          	N										
P	MQ	FARWELL (DELIVERY)             	95	11616	MI7E	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	FSS  	107900	4/1/2003	3/31/2021	 	N	0	1976292	0
A	WISCONSIN GAS LLC                                                          	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1976292	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	11293	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	54897	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	FSS  	107901	4/1/2003	3/31/2021	 	N	0	347700	0
A	WISCONSIN GAS LLC                                                          	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	347700	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1987	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	17385	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	NNS  	107995	4/1/2003	3/31/2020	 	N	29762	0	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	MQ	WISC GAS-GRP 1                 	95	139255	WI7N	29762	0	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	NNS  	107997	4/1/2003	3/31/2020	 	N	27159	0	0
A	WISCONSIN GAS LLC                                                          	N										
P	MQ	WISC EPC-GRP 1                 	95	139256	WI7G	27159	0	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	ETS  	108014	11/1/2003	10/31/2023	 	Y	0	0	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	MQ	WISC GAS-GRP 1                 	95	139255	WI7N	0	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	0	0	0				
D	"CITY OF JASPER, INDIANA                                                    "	79669495	N	ETS  	108031	8/1/2002	5/31/2021	 	N	5000	0	0
A	UTILITY GAS MANAGEMENT                                                     	N										
P	M2	S E HEADSTATION                	95	103565	SE2A	5000	0	0				
P	MQ	JASPER INT                     	95	153708	ME3A	5000	0	0				
D	DTE GAS COMPANY                                                            	6958540	N	ETS  	108268	11/1/2003	10/31/2022	 	N	10000	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	10000	0	0				
P	MQ	MICHCON-GRP 1                  	95	139248	WI7O	10000	0	0				
D	DTE GAS COMPANY                                                            	6958540	N	ETS  	108304	11/1/2003	10/31/2022	 	N	15000	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	15000	0	0				
P	MQ	MICHCON-GRP 2                  	95	139369	MI7E	15000	0	0				
D	"GEORGE B. FRANKLIN & SON, INC.                                             "	8192585	N	FTS-2	108766	10/1/2003	9/30/2018	 	Y	400	0	0
P	MQ	GEORGE B FRANKLIN INT          	95	40715	ME2A	400	0	0				
P	M2	S E HEADSTATION                	95	103565	SE2A	400	0	0				
D	ALLERTON GAS COMPANY                                                       	22005821	N	FTS-1	108861	5/1/2003	4/30/2020	 	N	775	0	0
P	MQ	ALLERTON                       	95	4857	MW6F	775	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	775	0	0				
D	AMEREN ILLINOIS COMPANY                                                    	6936017	N	FSS  	108983	4/1/2003	3/31/2020	 	N	0	31248	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	31248	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	179	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1008	0				
D	AMEREN ILLINOIS COMPANY                                                    	6936017	N	NNS  	108984	4/1/2003	3/31/2020	 	N	1000	0	0
P	MQ	IPC - GROUP 1                  	95	139233	MW6K	1000	0	0				
D	AMEREN ILLINOIS COMPANY                                                    	6936017	N	ETS  	108985	4/1/2003	3/31/2020	 	N	0	0	0
P	M2	IPC - GROUP 1                  	95	139233	MW6K	0	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	AMEREN ILLINOIS COMPANY                                                    	6936017	N	ETS  	108986	4/1/2003	3/31/2020	 	N	2220	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	2220	0	0				
P	MQ	IPC - GROUP 1                  	95	139233	MW6K	2220	0	0				
D	THE PEOPLES GAS LIGHT AND COKE COMPANY                                     	6932115	N	NNS  	109016	4/1/2004	3/31/2021	 	N	40644	0	0
P	MQ	PGL&C - GROUP 1                	95	295958	MI7V	40644	0	0				
D	NORTH SHORE GAS COMPANY                                                    	6936306	N	NNS  	109020	4/1/2003	3/31/2021	 	N	20000	0	0
A	THE PEOPLES GAS LIGHT AND COKE COMPANY                                     	N										
P	MQ	PARIS - NORTH SHORE            	95	261574	WI7E	20000	0	0				
D	NORTH SHORE GAS COMPANY                                                    	6936306	N	FTS-1	109021	4/1/2003	3/31/2021	 	N	0	0	0
A	THE PEOPLES GAS LIGHT AND COKE COMPANY                                     	N										
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
P	MQ	HAMPSHIRE INT                  	95	183670	WI7A	0	0	0				
D	NORTH SHORE GAS COMPANY                                                    	6936306	N	FTS-1	109022	4/1/2003	3/31/2021	 	N	0	0	0
A	THE PEOPLES GAS LIGHT AND COKE COMPANY                                     	N										
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
P	MQ	PARIS - NORTH SHORE            	95	261574	WI7E	0	0	0				
D	NORTH SHORE GAS COMPANY                                                    	6936306	N	FTS-1	109024	11/1/2003	3/31/2021	 	N	20000	0	0
A	THE PEOPLES GAS LIGHT AND COKE COMPANY                                     	N										
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	20000	0	0				
P	M2	WILL COUNTY INT                	95	246067	MI7V	20000	0	0				
D	NORTH SHORE GAS COMPANY                                                    	6936306	N	FTS-1	109025	11/1/2003	3/31/2021	 	N	20000	0	0
A	THE PEOPLES GAS LIGHT AND COKE COMPANY                                     	N										
P	M2	WILL COUNTY INT                	95	246067	MI7V	20000	0	0				
P	MQ	PARIS - NORTH SHORE            	95	261574	WI7E	20000	0	0				
D	"FOUNTAINTOWN GAS CO., INC.                                                 "	75980516	N	STS  	109138	11/1/2003	3/31/2020	 	N	5500	151250	0
A	UTILITY GAS MANAGEMENT                                                     	N										
P	M2	S E HEADSTATION                	95	103565	SE2A	2475	0	0				
P	MQ	FOUNTAINTOWN-GRP 1             	95	139239	ME3A	5500	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	3025	151250	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	3025	151250	0				
D	"CITY OF ALBANY, MISSOURI                                                   "	46334660	N	STS  	109148	11/1/2003	3/31/2020	 	N	1550	42650	0
A	UTILITY GAS MANAGEMENT                                                     	N										
P	MQ	ALBANY                         	95	12977	MW6A	1550	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	697	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	853	42650	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	853	42650	0				
D	"CITY OF MILAN, MISSOURI                                                    "	52816493	N	STS  	109171	11/1/2003	3/31/2021	 	N	3620	99550	0
A	UTILITY GAS MANAGEMENT                                                     	N										
P	MQ	MILAN MO                       	95	40193	MW6H	3620	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	1630	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1990	99550	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1990	99550	0				
D	"COMMUNITY NATURAL GAS CO., INC.                                            "	7814049	N	STS  	109190	11/1/2003	3/31/2020	 	N	3000	82500	0
A	UTILITY GAS MANAGEMENT                                                     	N										
P	M2	S E HEADSTATION                	95	103565	SE2A	1350	0	0				
P	MQ	COMM NATL-GRP 1                	95	139237	ME3A	3000	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1650	82500	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1650	82500	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FSS  	109210	6/16/2003	3/31/2020	 	N	0	579700	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	579700	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	3313	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	11594	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FSS  	109211	6/16/2003	3/31/2020	 	N	0	655320	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	655320	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	3277	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	65532	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FTS-1	109212	6/16/2003	10/31/2019	 	N	6159	0	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	6159	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	6159	0	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	ETS  	109218	11/1/2003	3/31/2020	 	N	0	0	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	MQ	WISC GAS-GRP 1                 	95	139255	WI7N	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	FTS-1	109223	6/16/2003	10/31/2019	 	N	6570	0	0
A	WISCONSIN GAS LLC                                                          	N										
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	6570	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	6570	0	0				
