H	"EL PASO NATURAL GAS COMPANY, L.L.C."	C000967	4/2/2018	O	4/1/2018	T		Sherry Saunders 719-520-3711				
P	M2	MARKWEST/EPNG (ITRICRWN) TRIPLE CRO	95	334863	TEXAS - PERMIAN BASI	85000	0					
D	CHEVRON U.S.A. INC.	9140559	N	FT-1	FT3G8000-FT1EPNG	1/1/2016	12/31/2019		N	30000	0	n1
P	M2	DBMPL/EPNG (IRAMSEYS) RAMSEY SO REC	95	800908	TEXAS - PERMIAN BASI	5875	0					
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	23000	0					
P	MQ	EPNG/EPNG (WAHATRAN) WAHA TRANSFER	95	302407	TEXAS - PERMIAN BASI	7000	0					
P	M2	MARKWEST/EPNG (ITRICRWN) TRIPLE CRO	95	334863	TEXAS - PERMIAN BASI	24125	0					
D	CHEVRON U.S.A. INC.	9140559	N	FT-1	610533-FT1EPNG	2/1/2018	4/30/2018		N	20000	0	n1
P	M2	DBMPL/EPNG (IRAMSEYN) RAMSEY NORTH	95	48164	NEW MEXICO - PERMIAN	20000	0					
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	20000	0					
D	CHEVRON U.S.A. INC.	9140559	N	FT-1	610784-FT1EPNG	3/15/2018	1/31/2021		N	3000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	3000	0					
P	MQ	CHEVEXPR/EPNG (DCATFISH) CATFISH DE	95	49637	NEW MEXICO - PERMIAN	1000	0					
P	MQ	CHEVEXPR/EPNG (DSALDRWD) SALADO DRA	95	49775	NEW MEXICO - PERMIAN	2000	0					
D	CIMAREX ENERGY CO.	120809749	N	FT-1	FT3EK000-FT1EPNG	8/1/2015	7/31/2025		N	85000	0	n1
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	42000	0					
P	MQ	EPNG/EPNG (WAHATRAN) WAHA TRANSFER	95	302407	TEXAS - PERMIAN BASI	43000	0					
P	M2	MARKWEST/EPNG (ITRICRWN) TRIPLE CRO	95	334863	TEXAS - PERMIAN BASI	85000	0					
D	CITADEL ENERGY MARKETING LLC	79663087	N	FT-1	610827-FT1EPNG	4/1/2018	3/31/2019		N	50000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	50000	0					
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	50000	0					
D	CITADEL ENERGY MARKETING LLC	79663087	N	FT-1	610912-FT1EPNG	4/1/2018	4/30/2018		N	891	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	891	0					
P	MQ	TRANSCOL/EPNG (ITCOLBLA) TRANSCOLOR	95	301881	NEW MEXICO - SAN JUA	891	0					
D	"CITY OF MESA, ARIZONA"	20141404	N	FT-1	FT2AE000-FT1EPNG	2/1/2007	6/30/2025		N	7775	0	n1
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	1586	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	1156	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	1376	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	3657	0					
P	MQ	CTYMSAAZ/EPNG (DMESAPHX) MESA CG MA	95	300931	ARIZONA - NO BASIN	7775	0					
D	"CITY OF MESA, ARIZONA"	20141404	N	FT-1	FT2AF000-FTAEPNG	2/1/2007	10/31/2011	365	N	7442	0	
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	3703	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	3739	0					
P	MQ	CTYMSAAZ/EPNG (DMESAPHX) MESA CG MA	95	300931	ARIZONA - NO BASIN	7442	0					
D	"CNE GAS SUPPLY, LLC"	829868921	N	FT-1	FT36K000-FT1EPNG	4/1/2012	3/31/2019		N	3000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	3000	0					
P	MQ	ANG/EPNG (IW41-106) MID-AMERICAN PI	95	341106	TEXAS - PERMIAN BASI	480	0					
P	MQ	ANG/EPNG (IW41-130) ADAMS JONES LIN	95	341130	TEXAS - PERMIAN BASI	2520	0					
D	"CNE GAS SUPPLY, LLC"	829868921	N	FT-1	FT3AJ000-FT1EPNG	10/1/2013	9/30/2018		N	100	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	100	0					
P	MQ	JOBE/EPNG (DAVISPA) AVISPA DEL	95	801183	TEXAS - NO BASIN	100	0					
D	"CNE GAS SUPPLY, LLC"	829868921	N	FT-1	FT3JM000-FT1EPNG	7/1/2017	12/31/2018		N	300	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	300	0					
P	MQ	GOLDHAM/EPNG (DGOLDHMR) GOLDEN HAMM	95	334875	TEXAS - PERMIAN BASI	300	0					
D	CONCORD ENERGY LLC	113637503	N	FT-1	610865-FT1EPNG	4/1/2018	3/31/2019		N	20000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	20000	0					
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	20000	0					
D	CONOCOPHILLIPS COMPANY	1368265	N	FT-1	FT276000-FT1EPNG	10/1/2006	4/30/2024		Y	35000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	19250	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	15750	0					
P	MQ	CONOCOPH/EPNG (IPHHUTCH) HUTCHINSON	95	314852	TEXAS - ANADARKO BAS	35000	0					
D	CONOCOPHILLIPS COMPANY	1368265	N	FT-1	FT3EA000-FT1EPNG	4/1/2015	10/31/2025		Y	217000	0	n1
P	M2	CAPITAN/EPNG (ICAPITAN) CAPITAN REC	95	301380	TEXAS - PERMIAN BASI	15000	0					
P	M2	DBMPL/EPNG (IRAMSEYN) RAMSEY NORTH	95	48164	NEW MEXICO - PERMIAN	71000	0					
P	M2	DBMPL/EPNG (IRAMSEYS) RAMSEY SO REC	95	800908	TEXAS - PERMIAN BASI	45000	0					
P	M2	DCP OPER/EPNG (IPHGOLDS) RES FM PHI	95	302381	TEXAS - PERMIAN BASI	15000	0					
P	M2	DELAWAR/EPNG (IZORRO) ZORRO RECEIPT	95	49027	TEXAS - PERMIAN BASI	41000	0					
P	M2	MEDALDEL/EPNG (ISANDBND) SAND BEND	95	48454	TEXAS - PERMIAN BASI	30000	0					
P	MQ	SOCETS/EPNG (DSCALEHR) SOCAL EHRENB	95	301016	CALIFORNIA - NO BASI	217000	0					
D	"DCP MIDSTREAM MARKETING, LLC"	874926801	N	FT-1	FT3JA000-FT1EPNG	8/1/2017	7/31/2022		N	12000	0	n1
P	M2	DCP OPER/EPNG (IMOBILPE) PEGASUS PL	95	377008	TEXAS - PERMIAN BASI	12000	0					
P	MQ	EPNG/EPNG (WAHATRAN) WAHA TRANSFER	95	302407	TEXAS - PERMIAN BASI	12000	0					
D	"DCP MIDSTREAM MARKETING, LLC"	874926801	N	FT-1	FT3G3000-FT1EPNG	1/1/2016	12/31/2019		N	25000	0	n1
P	M2	DCP OPER/EPNG (IMOBILPE) PEGASUS PL	95	377008	TEXAS - PERMIAN BASI	25000	0					
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	25000	0					
D	"DCP MIDSTREAM MARKETING, LLC"	874926801	N	FT-1	FT3HC000-FT1EPNG	12/1/2016	11/30/2019		N	10000	0	n1
P	M2	DCP OPER/EPNG (ILINAM) LINAM RANCH	95	314897	NEW MEXICO - PERMIAN	5000	0					
P	M2	DCP OPER/EPNG (IPHEUNIC) PHIL EUNIC	95	377287	NEW MEXICO - PERMIAN	5000	0					
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	10000	0					
D	"DCP MIDSTREAM MARKETING, LLC"	874926801	N	FT-1	610369-FT1EPNG	11/1/2017	10/31/2019		N	10000	0	n1
P	M2	DCP OPER/EPNG (IMOBILPE) PEGASUS PL	95	377008	TEXAS - PERMIAN BASI	10000	0					
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	10000	0					
D	"DCP MIDSTREAM MARKETING, LLC"	874926801	N	FT-1	610894-FT1EPNG	4/1/2018	4/30/2018		N	5000	0	n1
P	M2	(PLAINS) PLAINS POOL	95	302248	TEXAS - PERMIAN BASI	5000	0					
P	MQ	NNG/EPNG (INNDUMAS) DUMAS PLT	95	305421	TEXAS - ANADARKO BAS	5000	0					
D	"DCP OPERATING COMPANY, LP"	3048753	N	FT-1	FT2TH000-FT1EPNG	2/1/2009	1/31/2019		N	2000	0	n1
P	M2	ANR/EPNG (IREDBULL) RED BULL REC	95	334834	TEXAS - ANADARKO BAS	2000	0					
P	MQ	DCP OPER/EPNG (DPHSNEED) SNEED DEL	95	341804	TEXAS - ANADARKO BAS	1550	0					
P	MQ	DCP OPER/EPNG (DPHVENTB) VENT BOOST	95	377202	TEXAS - ANADARKO BAS	400	0					
P	MQ	DCP OPER/EPNG (DPHZELL) ZELL DEL PO	95	341805	TEXAS - ANADARKO BAS	50	0					
D	"DCP OPERATING COMPANY, LP"	3048753	N	FT-1	FT2TJ000-FT1EPNG	2/1/2009	1/31/2019		N	2900	0	n1
P	MQ	DCP OPER/EPNG (DAMERAN) NELLIE MART	95	315327	TEXAS - PERMIAN BASI	350	0					
P	MQ	DCP OPER/EPNG (DGPMFULT) FULLERTON	95	335442	TEXAS - PERMIAN BASI	1	0					
P	MQ	DCP OPER/EPNG (DGPMHOBS) HOBBS EUNI	95	300891	NEW MEXICO - PERMIAN	1105	0					
P	MQ	DCP OPER/EPNG (DPHBAYVU) BAYVIEW CO	95	344245	TEXAS - PERMIAN BASI	95	0					
P	MQ	DCP OPER/EPNG (DPHCRAFL) FUEL TO PH	95	335444	TEXAS - PERMIAN BASI	825	0					
P	MQ	DCP OPER/EPNG (DPHIL311) DUNE BOOST	95	341920	TEXAS - PERMIAN BASI	4	0					
P	MQ	DCP OPER/EPNG (DPHILGLD) DEMPSEY BO	95	341798	TEXAS - PERMIAN BASI	275	0					
P	MQ	DCP OPER/EPNG (DPHILMID) CREDO BOOS	95	341922	TEXAS - PERMIAN BASI	200	0					
P	MQ	DCP OPER/EPNG (DPHILSUT) SO COWDEN	95	341233	TEXAS - PERMIAN BASI	10	0					
P	MQ	DCP OPER/EPNG (DREVSGNS) FUEL TO RE	95	314464	TEXAS - PERMIAN BASI	35	0					
P	M2	DCP OPER/EPNG (IPHEUNIC) PHIL EUNIC	95	377287	NEW MEXICO - PERMIAN	2900	0					
D	"EDF TRADING NORTH AMERICA, LLC"	130385763	N	FT-1	610357-FT1EPNG	11/1/2017	10/31/2019		N	40000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	20000	0					
P	M2	DBMPL/EPNG (IRAMSEYN) RAMSEY NORTH	95	48164	NEW MEXICO - PERMIAN	10000	0					
P	M2	DBMPL/EPNG (IRAMSEYS) RAMSEY SO REC	95	800908	TEXAS - PERMIAN BASI	10000	0					
P	MQ	NBAJA/EPNG (INORBAJA) NORTH BAJA DE	95	301693	CALIFORNIA - NO BASI	40000	0					
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	0	0					
D	"EL PASO MARKETING COMPANY, L.L.C."	51776169	Y	FT-1	9MPN-FT1EPNG	10/1/2002	10/31/2028		N	40960	0	n1
A	TENASKA MARKETING VENTURES	N										
P	M2	EPNG/EPNG (IWILCOXD) WILLCOX DELIVE	95	302080	ARIZONA - NO BASIN	40960	0					
P	MQ	GASDEAGU/EPNG (ICFEAGUA) EL FRESNAL	95	398666	WILLCOX LATERAL	40960	0					
D	"EL PASO MARKETING COMPANY, L.L.C."	51776169	Y	FT-1	9MPQ-FT1EPNG	10/1/2002	10/31/2028		N	9089	0	n1
A	TENASKA MARKETING VENTURES	N										
P	M2	EPNG/EPNG (IWILCOXD) WILLCOX DELIVE	95	302080	ARIZONA - NO BASIN	9089	0					
P	MQ	GASDEAGU/EPNG (ICFEAGUA) EL FRESNAL	95	398666	WILLCOX LATERAL	9089	0					
D	"EL PASO MARKETING COMPANY, L.L.C."	51776169	Y	FT-1	9MPT-FT1EPNG	9/1/2001	6/30/2026		N	4393	0	n1
A	TENASKA MARKETING VENTURES	N										
P	M2	EPNG/EPNG (IWILCOXD) WILLCOX DELIVE	95	302080	ARIZONA - NO BASIN	4393	0					
P	MQ	PEMEX/EPNG (IMEXWIL) WILLMEX	95	398669	WILLCOX LATERAL	4393	0					
D	"EL PASO MARKETING COMPANY, L.L.C."	51776169	Y	FT-1	9MPV-FT1EPNG	9/1/2001	6/30/2026		N	39936	0	n1
A	TENASKA MARKETING VENTURES	N										
P	M2	EPNG/EPNG (IWILCOXD) WILLCOX DELIVE	95	302080	ARIZONA - NO BASIN	39936	0					
P	MQ	PEMEX/EPNG (IMEXWIL) WILLMEX	95	398669	WILLCOX LATERAL	39936	0					
D	"EL PASO MARKETING COMPANY, L.L.C."	51776169	Y	FT-1	FT2K2000-FT1EPNG	4/1/2008	5/31/2020		Y	94500	0	n1
A	TENASKA MARKETING VENTURES	N										
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	64500	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	30000	0					
P	MQ	EPNG/EPNG (IWILCOXD) WILLCOX DELIVE	95	302080	ARIZONA - NO BASIN	94500	0					
D	"EL PASO MARKETING COMPANY, L.L.C."	51776169	Y	FT-1	FT3AF000-FT1EPNG	1/1/2014	3/31/2020		N	0	0	n1
P	M2	EPNG/EPNG (IWILCOXD) WILLCOX DELIVE	95	302080	ARIZONA - NO BASIN	0	0					
P	MQ	GASDEAGU/EPNG (ICFEAGUA) EL FRESNAL	95	398666	WILLCOX LATERAL	0	0					
D	"EOG RESOURCES, INC."	186830733	N	FT-1	FT3EG000-FT1EPNG	4/1/2015	3/31/2020		N	0	0	n1
P	M2	DELAWAR/EPNG (IZORRO) ZORRO RECEIPT	95	49027	TEXAS - PERMIAN BASI	0	0					
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	0	0					
D	"EOG RESOURCES, INC."	186830733	N	FT-1	FT3EN000-FT1EPNG	11/1/2015	3/31/2020		N	25000	0	n1
P	M2	DELAWAR/EPNG (IZORRO) ZORRO RECEIPT	95	49027	TEXAS - PERMIAN BASI	25000	0					
P	MQ	SOCETS/EPNG (DSCALEHR) SOCAL EHRENB	95	301016	CALIFORNIA - NO BASI	25000	0					
