H	MIDCONTINENT EXPRESS PIPELINE LLC	C000235	4/2/2018	O	4/1/2018	T		Pam Ojeman 713-369-9332				
P	MQ	TRNSCO/MEP DEL CHOCTAW	95	44451	ZONE 2 (DELHI TO TRA	100000	0					
D	TENASKA MARKETING VENTURES	624240628	N	FT	214141-FTSMEP	4/1/2018	10/31/2018		N	25000	0	n1
P	M2	NGPL/MEP ATLANTA CASS	95	44602	ZONE 1 (BENNINGTON -	25000	0					
P	MQ	TRNSCO/MEP DEL CHOCTAW	95	44451	ZONE 2 (DELHI TO TRA	25000	0					
D	TG BARNETT RESOURCES LP	78849386	N	FT	558368	8/10/2013	7/31/2019		Y	12500	0	n1
P	MQ	COL GULF/MEP PERRYVILLE MADISON	95	44445	ZONE 1 (BENNINGTON -	6250	0					
P	M2	HPL/MEP  LAMAR	95	44440	ZONE 1 (BENNINGTON -	12500	0					
P	MQ	TRNSCO/MEP DEL CHOCTAW	95	44451	ZONE 2 (DELHI TO TRA	6250	0					
D	"TOTAL GAS & POWER NORTH AMERICA, INC."	620059980	N	FT	214007-FTSMEP	4/1/2018	10/31/2018		N	48303	0	n1
P	M2	NGPL/MEP ATLANTA CASS	95	44602	ZONE 1 (BENNINGTON -	48303	0					
P	MQ	TRNSCO/MEP DEL CHOCTAW	95	44451	ZONE 2 (DELHI TO TRA	48303	0					
D	"TOTAL GAS & POWER NORTH AMERICA, INC."	620059980	N	FT	555263	6/1/2010	7/31/2019		Y	88000	0	n1
P	MQ	COL GULF/MEP PERRYVILLE MADISON	95	44445	ZONE 1 (BENNINGTON -	44000	0					
P	M2	HPL/MEP  LAMAR	95	44440	ZONE 1 (BENNINGTON -	88000	0					
P	MQ	TRNSCO/MEP DEL CHOCTAW	95	44451	ZONE 2 (DELHI TO TRA	44000	0					
D	"TOTAL GAS & POWER NORTH AMERICA, INC."	620059980	N	FT	555292	6/1/2010	1/31/2020		Y	55990	0	n1
P	M2	MEP/MEP ZONE BOUNDARY TRANSFER POIN	95	44988	ZONE 2 (DELHI TO TRA	55990	0					
P	MQ	TRNSCO/MEP DEL CHOCTAW	95	44451	ZONE 2 (DELHI TO TRA	55990	0					
D	"TOTAL GAS & POWER NORTH AMERICA, INC."	620059980	N	FT	555293	6/1/2010	5/31/2020		Y	60500	0	n1
P	MQ	ANR/MEP PERRYVILLE RICHLAND	95	44444	ZONE 1 (BENNINGTON -	4510	0					
P	M2	HPL/MEP  LAMAR	95	44440	ZONE 1 (BENNINGTON -	60500	0					
P	MQ	MEP/MEP ZONE BOUNDARY TRANSFER POIN	95	44988	ZONE 2 (DELHI TO TRA	55990	0					
D	"XTO ENERGY, INC."	804712347	N	FT	554239	8/7/2009	7/31/2019		Y	350000	0	n1
P	M2	EMP-EOIT/MEP BENNINGTON BRYAN	95	44438	ZONE 1 (BENNINGTON -	100000	0					
P	M2	HPL/MEP  LAMAR	95	44440	ZONE 1 (BENNINGTON -	250000	0					
P	MQ	TRNSCO/MEP DEL CHOCTAW	95	44451	ZONE 2 (DELHI TO TRA	350000	0					
F	1	"The Contract Primary Term Expiration Date has not passed. Contract may or may not continue under an ""evergreen"" or ""rollover"" provision."										
